label,type,title,author,journal,abstract,year,doi,volume,issue,pages,language,issn,keywords,url,institution,DA,j2,DP,l1,l2,ST
Liu_2021_AIDandbeh,JOUR,DOT Diary: Developing a Novel Mobile App Using Artificial Intelligence and an Electronic Sexual Diary to Measure and Support PrEP Adherence Among Young Men Who Have Sex with Men,"Liu, Albert Y. and Laborde, Nicole D. and Coleman, Kenneth and Vittinghoff, Eric and Gonzalez, Rafael and Wilde, Gretchen and Thorne, Annie L. and Ikeguchi, Ed and Shafner, Laura and Sunshine, Lauren and van der Straten, Ariane and Siegler, Aaron J. and Buchbinder, Susan",AIDS and behavior,"Young men who have sex with men (YMSM) are highly vulnerable to HIV. While pre-exposure prophylaxis (PrEP) has demonstrated effectiveness, adherence has been low among YMSM and difficult to measure accurately. In collaboration with a healthcare company, we configured an automated directly-observed therapy (aDOT) platform for monitoring and supporting PrEP use. Based on interest expressed in focus groups among 54 YMSM, we combined aDOT with an electronic sexual diary to provide feedback on level of protection during sex and to motivate app use. In an 8-week optimization pilot with 20 YMSM in San Francisco and Atlanta, the app was found to be highly acceptable, with median System Usability Scale scores in the ""excellent"" range (80/100). App use was high, with median PrEP adherence of 91% based on aDOT-confirmed dosing. Most (84%) participants reported the app helped with taking PrEP. These promising findings support further evaluation of DOT Diary in future effectiveness studies.",2021,10.1007/s10461-020-03054-2,25,4,1001-1012,eng,1573-3254 1090-7165,"Artificial intelligence and Humans and Male and Medication Adherence and HIV and Adherence and Artificial Intelligence and San Francisco and Mobile health and *Mobile Applications and *Pre-Exposure Prophylaxis and *HIV Infections/prevention & control and *Sexual and Gender Minorities and Homosexuality, Male and Electronics and Pre-exposure prophylaxis",NA,NA,2021/04//undefined,AIDS Behav,NA,NA,NA,NA
Marcus_2019_ThelanHIV,JOUR,Use of electronic health record data and machine learning to identify candidates for HIV pre-exposure prophylaxis: a modelling study,"Marcus, Julia L. and Hurley, Leo B. and Krakower, Douglas S. and Alexeeff, Stacey and Silverberg, Michael J. and Volk, Jonathan E.",The lancet. HIV,"BACKGROUND: The limitations of existing HIV risk prediction tools are a barrier to implementation of pre-exposure prophylaxis (PrEP). We developed and validated an HIV prediction model to identify potential PrEP candidates in a large health-care system. METHODS: Our study population was HIV-uninfected adult members of Kaiser Permanente Northern California, a large integrated health-care system, who were not yet using PrEP and had at least 2 years of previous health plan enrolment with at least one outpatient visit from Jan 1, 2007, to Dec 31, 2017. Using 81 electronic health record (EHR) variables, we applied least absolute shrinkage and selection operator (LASSO) regression to predict incident HIV diagnosis within 3 years on a subset of patients who entered the cohort in 2007-14 (development dataset), assessing ten-fold cross-validated area under the receiver operating characteristic curve (AUC) and 95% CIs. We compared the full model to simpler models including only men who have sex with men (MSM) status and sexually transmitted infection (STI) positivity, testing, and treatment. Models were validated prospectively with data from an independent set of patients who entered the cohort in 2015-17. We computed predicted probabilities of incident HIV diagnosis within 3 years (risk scores), categorised as low risk (<0<c2><b7>05%), moderate risk (0<c2><b7>05% to <0<c2><b7>20%), high risk (0<c2><b7>20% to <1<c2><b7>0%), and very high risk (<e2><89><a5>1<c2><b7>0%), for all patients in the validation dataset. FINDINGS: Of 3 750 664 patients in 2007-17 (3 143 963 in the development dataset and 606 701 in the validation dataset), there were 784 incident HIV cases within 3 years of baseline. The LASSO procedure retained 44 predictors in the full model, with an AUC of 0<c2><b7>86 (95% CI 0<c2><b7>85-0<c2><b7>87) for incident HIV cases in 2007-14. Model performance remained high in the validation dataset (AUC 0<c2><b7>84, 0<c2><b7>80-0<c2><b7>89). The full model outperformed simpler models including only MSM status and STI positivity. For the full model, flagging 13 463 (2<c2><b7>2%) patients with high or very high HIV risk scores in the validation dataset identified 32 (38<c2><b7>6%) of the 83 incident HIV cases, including 32 (46<c2><b7>4%) of 69 male cases and none of the 14 female cases. The full model had equivalent sensitivity by race whereas simpler models identified fewer black than white HIV cases. INTERPRETATION: Prediction models using EHR data can identify patients at high risk of HIV acquisition who could benefit from PrEP. Future studies should optimise EHR-based HIV risk prediction tools and evaluate their effect on prescription of PrEP. FUNDING: Kaiser Permanente Community Benefit Research Program and the US National Institutes of Health.",2019,10.1016/S2352-3018(19)30137-7,6,10,e688-e695,eng,2352-3018 2405-4704,"Humans and Electronic Health Records and Female and Male and Adult and Middle Aged and Young Adult and Machine Learning and Cohort Studies and HIV Infections/*prevention & control and Pre-Exposure Prophylaxis/*methods and Homosexuality, Male and Anti-HIV Agents/therapeutic use",NA,NA,2019/10//undefined,Lancet HIV,NA,NA,NA,NA
Pai_2020_ThelanHIV,JOUR,Modern diagnostic technologies for HIV,"Pai, Nitika Pant and Karellis, Angela and Kim, John and Peter, Trevor",The lancet. HIV,"Novel diagnostic technologies, including nanotechnology, microfluidics, -omics science, next-generation sequencing, genomics big data, and machine learning, could contribute to meeting the UNAIDS 95-95-95 targets to end the HIV epidemic by 2030. Novel technologies include multiplexed technologies (including biomarker-based point-of-care tests and molecular platform technologies), biomarker-based combination antibody and antigen technologies, dried-blood-spot testing, and self-testing. Although biomarker-based rapid tests, in particular antibody-based tests, have dominated HIV diagnostics since the development of the first HIV test in the mid-1980s, targets such as nucleic acids and genes are now used in nanomedicine, biosensors, microfluidics, and -omics to enable early diagnosis of HIV. These novel technologies show promise as they are associated with ease of use, high diagnostic accuracy, rapid detection, and the ability to detect HIV-specific markers. Additional clinical and implementation research is needed to generate evidence for use of novel technologies and a public health approach will be required to address clinical and operational challenges to optimise their global deployment.",2020,10.1016/S2352-3018(20)30190-9,7,8,e574-e581,eng,2352-3018,Humans and Early Diagnosis and Diagnostic Techniques and Procedures/*trends and HIV Infections/*diagnosis,NA,NA,2020/08//undefined,Lancet HIV,NA,NA,NA,NA
Chan_2018_AIDandbeh,JOUR,"An Online Risk Index for the Cross-Sectional Prediction of New HIV Chlamydia, and Gonorrhea Diagnoses Across U.S. Counties and Across Years","Chan, Man-Pui Sally and Lohmann, Sophie and Morales, Alex and Zhai, Chengxiang and Ungar, Lyle and Holtgrave, David R. and Albarracin, Dolores",AIDS and behavior,"The present study evaluated the potential use of Twitter data for providing risk indices of STIs. We developed online risk indices (ORIs) based on tweets to predict new HIV, gonorrhea, and chlamydia diagnoses, across U.S. counties and across 5 years. We analyzed over one hundred million tweets from 2009 to 2013 using open-vocabulary techniques and estimated the ORIs for a particular year by entering tweets from the same year into multiple semantic models (one for each year). The ORIs were moderately to strongly associated with the actual rates (.35 < rs < .68 for 93% of models), both nationwide and when applied to single states (California, Florida, and New York). Later models were slightly better than older ones at predicting gonorrhea and chlamydia, but not at predicting HIV. The proposed technique using free social media data provides signals of community health at a high temporal and spatial resolution.",2018,10.1007/s10461-018-2046-0,22,7,2322-2333,eng,1573-3254 1090-7165,Public Health and Humans and Cross-Sectional Studies and Risk Assessment and Big data and Social media and HIV and United States/epidemiology and *Social Media and *Big Data and New York/epidemiology and California/epidemiology and Chlamydia and Chlamydia Infections/diagnosis/*epidemiology and Florida/epidemiology and Gonorrhea and Gonorrhea/diagnosis/*epidemiology and HIV Infections/diagnosis/*epidemiology and Sexually Transmitted Diseases/epidemiology,NA,NA,2018/07//undefined,AIDS Behav,NA,NA,NA,NA
Calabrese_2018_AIDandbeh,JOUR,A Closer Look at Racism and Heterosexism in Medical Students' Clinical Decision-Making Related to HIV Pre-Exposure Prophylaxis (PrEP): Implications for PrEP Education,"Calabrese, Sarah K. and Earnshaw, Valerie A. and Krakower, Douglas S. and Underhill, Kristen and Vincent, Wilson and Magnus, Manya and Hansen, Nathan B. and Kershaw, Trace S. and Mayer, Kenneth H. and Betancourt, Joseph R. and Dovidio, John F.",AIDS and behavior,"Social biases among healthcare providers could limit PrEP access. In this survey study of 115 US medical students, we examined associations between biases (racism and heterosexism) and PrEP clinical decision-making and explored prior PrEP education as a potential buffer. After viewing a vignette about a PrEP-seeking MSM patient, participants reported anticipated patient behavior (condomless sex, extra-relational sex, and adherence), intention to prescribe PrEP to the patient, biases, and background characteristics. Minimal evidence for racism affecting clinical decision-making emerged. In unadjusted analyses, heterosexism indirectly affected prescribing intention via all anticipated behaviors, tested as parallel mediators. Participants expressing greater heterosexism more strongly anticipated increased risk behavior and adherence problems, which were associated with lower prescribing intention. The indirect effect via condomless sex remained significant adjusting for background characteristics. Prior PrEP education did not buffer any indirect effects. Heterosexism may compromise PrEP provision to MSM and should be addressed in PrEP-related medical education.",2018,10.1007/s10461-017-1979-z,22,4,1122-1138,eng,1573-3254 1090-7165,"Humans and Female and Male and Adult and Surveys and Questionnaires and HIV and African Americans and Intention and Health Personnel and Risk-Taking and Prejudice and *Attitude of Health Personnel and *Clinical Decision-Making and Students, Medical/*psychology and *Racism and HIV Infections/*prevention & control and *Pre-Exposure Prophylaxis and Homosexuality, Male and Clinical decision-making and Pre-exposure prophylaxis and *Homophobia and Anti-HIV Agents/*administration & dosage and Sexual minorities",NA,NA,2018/04//undefined,AIDS Behav,NA,NA,NA,NA
Gonsalves_2018_ThelanHIV,JOUR,"Dynamics of the HIV outbreak and response in Scott County, IN, USA, 2011-15: a modelling study","Gonsalves, Gregg S. and Crawford, Forrest W.",The lancet. HIV,"BACKGROUND: In November, 2014, a cluster of HIV infections was detected among people who inject drugs in Scott County, IN, USA, with 215 HIV infections eventually attributed to the outbreak. This study examines whether earlier implementation of a public health response could have reduced the scale of the outbreak. METHODS: In this modelling study, we derived weekly case data from the HIV outbreak in Scott County, IN, and on the uptake of HIV testing, treatment, and prevention services from publicly available reports from the US Centers for Disease Control and Prevention (CDC) and researchers from Indiana. Our primary objective was to determine if an earlier response to the outbreak could have had an effect on the number of people infected. We computed upper and lower bounds for cumulative HIV incidence by digitally extracting data from published images from a CDC study using Bio-Rad avidity incidence testing to estimate the recency of each transmission event. We constructed a generalisation of the susceptible-infectious-removed model to capture the transmission dynamics of the HIV outbreak. We computed non-parametric interval estimates of the number of individuals with an undiagnosed HIV infection, the case-finding rate per undiagnosed HIV infection, and model-based bounds for the HIV transmission rate throughout the epidemic. We used these models to assess the potential effect if the same intervention had begun at two key timepoints earlier than the actual date of the initiation of efforts to control the outbreak. FINDINGS: The upper bound for undiagnosed HIV infections in Scott County peaked at 126 around Jan 10, 2015, over 2 months before the Governor of Indiana declared a public health emergency on March 26, 2015. Applying the observed case-finding rate scale-up to earlier intervention times suggests that an earlier public health response could have substantially reduced the total number of HIV infections (estimated to have been 183-184 infections by Aug 11, 2015). Initiation of a response on Jan 1, 2013, could have suppressed the number of infections to 56 or fewer, averting at least 127 infections; whereas an intervention on April 1, 2011, could have reduced the number of infections to ten or fewer, averting at least 173 infections. INTERPRETATION: Early and robust surveillance efforts and case finding alone could reduce nascent epidemics. Ensuring access to HIV services and harm-reduction interventions could further reduce the likelihood of outbreaks, and substantially mitigate their severity and scope. FUNDING: US National Institute on Drug Abuse, US National Institutes of Mental Health, US National Institutes of Health Big Data to Knowledge programme, and the US National Institutes of Health.",2018,10.1016/S2352-3018(18)30176-0,5,10,e569-e577,eng,2352-3018 2405-4704,"Humans and Time Factors and Incidence and *Models, Statistical and Disease Outbreaks/*prevention & control and *Epidemiological Monitoring and *Public Health/methods and HIV Infections/*epidemiology/prevention & control and Indiana/epidemiology",NA,NA,2018/10//undefined,Lancet HIV,NA,NA,NA,NA
Nielsen_2017_AIDandbeh,JOUR,"Social Media Monitoring of Discrimination and HIV Testing in Brazil, 2014-2015","Nielsen, Rene Clausen and Luengo-Oroz, Miguel and Mello, Maeve B. and Paz, Josi and Pantin, Colin and Erkkola, Taavi",AIDS and behavior,"Big data can be used to assess perceptions about public health issues. This study assessed social media data from Twitter to inform communication campaigns to promote HIV testing and reduce discrimination related to HIV/AIDS or towards key populations to the HIV epidemic, and its potential utility to evaluate such campaigns through HIV testing uptake. Tweets from Brazil were collected from January 2014 to March 2015 and filtered by four categories of keywords including discrimination, HIV prevention, HIV testing, and HIV campaigns. In total over 100,000 geo-located tweets were extracted and analyzed. A dynamic online dashboard updated daily allowed mapping trends, anomalies and influencers, and enabled its use for feedback to campaigns, including correcting misconceptions. These results encourage the use of social networking data for improved messaging in campaigns. Clinical HIV test data was collected monthly from the city of Curitiba and compared to the number of tweets mapped to the city showing a moderate positive correlation (r = 0.39). Results are limited due to the availability of the HIV testing data. The potential of social media as a proxy for HIV testing uptake needs further validation, which can only be done with higher frequency and higher spatial granularity of service delivery data, enabling comparisons with the social media data. Such timely information could empower early response immediate media messaging to support programmatic efforts, such as HIV prevention, testing, and treatment scale up.",2017,10.1007/s10461-017-1753-2,21,Suppl 1,114-120,eng,1573-3254 1090-7165,"Advocacy and Humans and Big data and Social media and Discrimination and *Public Health and Brazil/epidemiology and Perceptions and *Social Networking and *Social Marketing and *Social Media/statistics & numerical data and Discrimination, Psychological and HIV Infections/*diagnosis/epidemiology/prevention & control and HIV testing",NA,NA,2017/07//undefined,AIDS Behav,NA,NA,NA,NA
Nobles_2020_AIDandbeh,JOUR,#HIV: Alignment of HIV-Related Visual Content on Instagram with Public Health Priorities in the US,"Nobles, Alicia L. and Leas, Eric C. and Latkin, Carl A. and Dredze, Mark and Strathdee, Steffanie A. and Ayers, John W.",AIDS and behavior,"Instagram, with more than 1 billion monthly users, is the go-to social media platform to chronicle one's life via images, but how are people using the platform to present visual content about HIV? We analyzed public Instagram posts containing the hashtag ""#HIV"" (because they are self-tagged as related to HIV) between January 2017 and July 2018. We described the prevalence of co-occurring hashtags and explored thematic concepts in the images using automated image recognition and topic modeling. Twenty-eight percent of all #HIV posts included hashtags focused on awareness, followed by LGBTQ (24.5%) and living with HIV (17.9%). However, specific strategies were rarely cited, including testing (10.8%), treatment (10.3%), PrEP (6.2%) and condoms (4.1%). Image analyses revealed 44.5% of posts included infographics followed by people (21.3%) thereby humanizing HIV and stigmatized populations and promoting community mobilization. Novel content such as the handwriting image-theme (3.8%) where posters shared their HIV test results appeared. We discuss how this visual content aligns with public health priorities to reduce HIV in the US and the novel, organic messages that public health could help amplify.",2020,10.1007/s10461-019-02765-5,24,7,2045-2053,eng,1573-3254 1090-7165,Humans and Telemedicine and Big data and Social media and HIV and Prevalence and Datasets as Topic and *Public Health and *Social Media and HIV Infections/*prevention & control and *Health Priorities and Digital health and Health surveillance,NA,NA,2020/07//undefined,AIDS Behav,NA,NA,NA,NA
Krakower_2019_ThelanHIV,JOUR,Development and validation of an automated HIV prediction algorithm to identify candidates for pre-exposure prophylaxis: a modelling study,"Krakower, Douglas S. and Gruber, Susan and Hsu, Katherine and Menchaca, John T. and Maro, Judith C. and Kruskal, Benjamin A. and Wilson, Ira B. and Mayer, Kenneth H. and Klompas, Michael",The lancet. HIV,"BACKGROUND: HIV pre-exposure prophylaxis (PrEP) is effective but underused, in part because clinicians do not have the tools to identify PrEP candidates. We developed and validated an automated prediction algorithm that uses electronic health record (EHR) data to identify individuals at increased risk for HIV acquisition. METHODS: We used machine learning algorithms to predict incident HIV infections with 180 potential predictors of HIV risk drawn from EHR data from 2007-15 at Atrius Health, an ambulatory group practice in Massachusetts, USA. We included EHRs of all patients aged 15 years or older with at least one clinical encounter during 2007-15. We used ten-fold cross-validated area under the receiver operating characteristic curve (cv-AUC) with 95% CIs to assess the model's performance at identifying individuals with incident HIV and patients independently prescribed PrEP by clinicians. The best-performing model was validated prospectively with 2016 data from Atrius Health and externally with 2011-16 data from Fenway Health, a community health centre specialising in sexual health care in Boston (MA, USA). We calculated HIV risk scores (ie, probability of an incident HIV diagnosis) for every HIV-uninfected patient not on PrEP during 2007-15 at Atrius Health and assessed the distribution of scores for thresholds to determine possible candidates for PrEP in the three study cohorts. FINDINGS: We included 1 155 966 Atrius Health patients from 2007-15 (150 [<0<c2><b7>1%] patients with incident HIV) in our development cohort, 537 257 Atrius Health patients in 2016 (16 [<0<c2><b7>1%] with incident HIV) in our prospective validation cohort, and 33 404 Fenway Health patients from 2011-16 (423 [1<c2><b7>3%] with incident HIV) in our external validation cohort. The best-performing algorithm was obtained with least absolute shrinkage and selection operator (LASSO) and had a cv-AUC of 0<c2><b7>86 (95% CI 0<c2><b7>82-0<c2><b7>90) for identification of incident HIV infections in the development cohort, 0<c2><b7>91 (0<c2><b7>81-1<c2><b7>00) on prospective validation, and 0<c2><b7>77 (0<c2><b7>74-0<c2><b7>79) on external validation. The LASSO model successfully identified patients independently prescribed PrEP by clinicians at Atrius Health in 2016 (cv-AUC 0<c2><b7>93, 95% CI 0<c2><b7>90-0<c2><b7>96) or Fenway Health (0<c2><b7>79, 0<c2><b7>78-0<c2><b7>80). HIV risk scores increased steeply at the 98th percentile. Using this score as a threshold, we prospectively identified 9515 (1<c2><b7>8%) of 536 384 patients at Atrius Health in 2016 and 4385 (15<c2><b7>3%) of 28 702 Fenway Health patients as potential PrEP candidates. INTERPRETATION: Automated algorithms can efficiently identify patients at increased risk for HIV acquisition. Integrating these models into EHRs to alert providers about patients who might benefit from PrEP could improve prescribing and prevent new HIV infections. FUNDING: Harvard University Center for AIDS Research, Providence/Boston Center for AIDS Research, Rhode Island IDeA-CTR, the National Institute of Mental Health, and the US Centers for Disease Control and Prevention.",2019,10.1016/S2352-3018(19)30139-0,6,10,e696-e704,eng,2352-3018 2405-4704,Humans and Electronic Health Records and Female and Male and Adolescent and Adult and Middle Aged and Young Adult and Prospective Studies and *Algorithms and HIV Infections/*prevention & control and Pre-Exposure Prophylaxis/*methods and Anti-HIV Agents/therapeutic use,NA,NA,2019/10//undefined,Lancet HIV,NA,NA,NA,NA
Gloyd_2016_JoofthInAISo,JOUR,Opportunities and challenges in conducting secondary analysis of HIV programmes using data from routine health information systems and personal health information,"Gloyd, Stephen and Wagenaar, Bradley H. and Woelk, Godfrey B. and Kalibala, Samuel",Journal of the International AIDS Society,"INTRODUCTION: HIV programme data from routine health information systems (RHIS) and personal health information (PHI) provide ample opportunities for secondary data analysis. However, these data pose unique opportunities and challenges for use in health system monitoring, along with process and impact evaluations. METHODS: Analyses focused on retrospective case reviews of four of the HIV-related studies published in this JIAS supplement. We identify specific opportunities and challenges with respect to the secondary analysis of RHIS and PHI data. RESULTS: Challenges working with both HIV-related RHIS and PHI included missing, inconsistent and implausible data; rapidly changing indicators; systematic differences in the utilization of services; and patient linkages over time and different data sources. Specific challenges among RHIS data included numerous registries and indicators, inconsistent data entry, gaps in data transmission, duplicate registry of information, numerator-denominator incompatibility and infrequent use of data for decision-making. Challenges specific to PHI included the time burden for busy providers, the culture of lax charting, overflowing archives for paper charts and infrequent chart review. CONCLUSIONS: Many of the challenges that undermine effective use of RHIS and PHI data for analyses are related to the processes and context of collecting the data, excessive data requirements, lack of knowledge of the purpose of data and the limited use of data among those generating the data. Recommendations include simplifying data sources, analysis and reporting; conducting systematic data quality audits; enhancing the use of data for decision-making; promoting routine chart review linked with simple patient tracking systems; and encouraging open access to RHIS and PHI data for increased use.",2016,10.7448/IAS.19.5.20847,19,5 Suppl 4,20847,eng,1758-2652,"Humans and Retrospective Studies and data analysis and electronic medical records and Program Evaluation and Health Records, Personal and personal health information and *Information Storage and Retrieval and *Data Collection and *Health Information Systems and health information systems and missing data and *HIV Infections and data accuracy and secondary data analysis",NA,NA,2016///,J Int AIDS Soc,NA,NA,NA,NA
