label,type,title,author,journal,abstract,year,doi,volume,issue,pages,language,issn,keywords,url,institution,DA,j2,DP,l1,l2,ST
Jing_2020_Druandalcdep,JOUR,Analysis of substance use and its outcomes by machine learning I. Childhood evaluation of liability to substance use disorder,"Jing, Yankang and Hu, Ziheng and Fan, Peihao and Xue, Ying and Wang, Lirong and Tarter, Ralph E. and Kirisci, Levent and Wang, Junmei and Vanyukov, Michael and Xie, Xiang-Qun",Drug and alcohol dependence,"BACKGROUND: Substance use disorder (SUD) exacts enormous societal costs in the United States, and it is important to detect high-risk youths for prevention. Machine learning (ML) is the method to find patterns and make prediction from data. We hypothesized that ML identifies the health, psychological, psychiatric, and contextual features to predict SUD, and the identified features predict high-risk individuals to develop SUD. METHOD: Male (N<e2><80><af>=<e2><80><af>494) and female (N<e2><80><af>=<e2><80><af>206) participants and their informant parents were administered a battery of questionnaires across five waves of assessment conducted at 10-12, 12-14, 16, 19, and 22 years of age. Characteristics most strongly associated with SUD were identified using the random forest (RF)algorithm from approximately 1000 variables measured at each assessment. Next, the complement of features was validated, and the best models were selected for predicting SUD using seven ML algorithms. Lastly, area under the receiver operating characteristic curve (AUROC) evaluated accuracy of detecting individuals who develop SUD+/- up to thirty years of age. RESULTS: Approximately thirty variables strongly predict SUD. The predictors shift from psychological dysregulation and poor health behavior in late childhood to non-normative socialization in mid to late adolescence. In 10-12-year-old youths, the features predict SUD+/- with 74% accuracy, increasing to 86% at 22 years of age. The RF algorithm optimally detects individuals between 10-22 years of age who develop SUD compared to other ML algorithms. CONCLUSION: These findings inform the items required for inclusion in instruments to accurately identify high risk youths and young adults requiring SUD prevention.",2020,10.1016/j.drugalcdep.2019.107605,206,NA,107605,eng,1879-0046 0376-8716,"Machine learning and Humans and Female and Male and Adolescent and Adult and Young Adult and Child and Longitudinal Studies and Big data and Reproducibility of Results and Predictive Value of Tests and ROC Curve and Substance use disorder and Outcome Assessment, Health Care/*methods and *Machine Learning and *Severity of Illness Index and Substance-Related Disorders/*diagnosis and *Psychological Techniques and Screening addiction risk and Substance abuse prevention",NA,NA,2020/01/01/,Drug Alcohol Depend,NA,NA,NA,NA
Seo_2020_Joofbead,JOUR,Machine learning-based analysis of adolescent gambling factors,"Seo, Wonju and Kim, Namho and Lee, Sang-Kyu and Park, Sung-Min",Journal of behavioral addictions,"BACKGROUND AND AIMS: Problem gambling among adolescents has recently attracted attention because of easy access to gambling in online environments and its serious effects on adolescent lives. We proposed a machine learning-based analysis method for predicting the degree of problem gambling. METHODS: Of the 17,520 respondents in the 2018 National Survey on Youth Gambling Problems dataset (collected by the Korea Center on Gambling Problems), 5,045 students who had gambled in the past 3 months were included in this study. The Gambling Problem Severity Scale was used to provide the binary label information. After the random forest-based feature selection method, we trained four models: random forest (RF), support vector machine (SVM), extra trees (ETs), and ridge regression. RESULTS: The online gambling behavior in the past 3 months, experience of winning money or goods, and gambling of personal relationship were three factors exhibiting the high feature importance. All four models demonstrated an area under the curve (AUC) of >0.7; ET showed the highest AUC (0.755), RF demonstrated the highest accuracy (71.8%), and SVM showed the highest F1 score (0.507) on a testing set. DISCUSSION: The results indicate that machine learning models can convey meaningful information to support predictions regarding the degree of problem gambling. CONCLUSION: Machine learning models trained using important features showed moderate accuracy in a large-scale Korean adolescent dataset. These findings suggest that the method will help screen adolescents at risk of problem gambling. We believe that expandable machine learning-based approaches will become more powerful as more datasets are collected.",2020,10.1556/2006.2020.00063,9,3,734-743,eng,2063-5303 2062-5871,Humans and Female and Male and Adolescent and Health Surveys and adolescents and Severity of Illness Index and Support Vector Machine and *Machine Learning and Adolescent Behavior/*physiology and feature engineering and Gambling/*physiopathology and machine learning-based analysis method and problem gambling,NA,NA,2020/10/12/,J Behav Addict,NA,NA,NA,NA
Kalyanam_2017_Addibeha,JOUR,Exploring trends of nonmedical use of prescription drugs and polydrug abuse in the Twittersphere using unsupervised machine learning,"Kalyanam, Janani and Katsuki, Takeo and R G Lanckriet, Gert and Mackey, Tim K.",Addictive behaviors,"INTRODUCTION: Nonmedical use of prescription medications/drugs (NMUPD) is a serious public health threat, particularly in relation to the prescription opioid analgesics abuse epidemic. While attention to this problem has been growing, there remains an urgent need to develop novel strategies in the field of ""digital epidemiology"" to better identify, analyze and understand trends in NMUPD behavior. METHODS: We conducted surveillance of the popular microblogging site Twitter by collecting 11 million tweets filtered for three commonly abused prescription opioid analgesic drugs Percocet(R) (acetaminophen/oxycodone), OxyContin(R) (oxycodone), and Oxycodone. Unsupervised machine learning was applied on the subset of tweets for each analgesic drug to discover underlying latent themes regarding risk behavior. A two-step process of obtaining themes, and filtering out unwanted tweets was carried out in three subsequent rounds of machine learning. RESULTS: Using this methodology, 2.3M tweets were identified that contained content relevant to analgesic NMUPD. The underlying themes were identified for each drug and the most representative tweets of each theme were annotated for NMUPD behavioral risk factors. The primary themes identified evidence high levels of social media discussion about polydrug abuse on Twitter. This included specific mention of various polydrug combinations including use of other classes of prescription drugs, and illicit drug abuse. CONCLUSIONS: This study presents a methodology to filter Twitter content for NMUPD behavior, while also identifying underlying themes with minimal human intervention. Results from the study track accurately with the inclusion/exclusion criteria used to isolate NMUPD-related risk behaviors of interest and also provides insight on NMUPD behavior that has a high level of social media engagement. Results suggest that this could be a viable methodology for use in big data substance abuse surveillance, data collection, and analysis in comparison to other studies that rely upon content analysis and human coding schemes.",2017,10.1016/j.addbeh.2016.08.019,65,NA,289-295,eng,1873-6327 0306-4603,Humans and Substance abuse and Social media and Twitter and Risk Factors and Opioid-Related Disorders/*epidemiology and Social Media/*statistics & numerical data and Digital surveillance and Nonmedical use of prescription drugs and Prescription Drug Misuse/*statistics & numerical data and Prescription opioid abuse and Unsupervised Machine Learning/*statistics & numerical data,NA,NA,2017/02//undefined,Addict Behav,NA,NA,NA,NA
Hakkarainen_2012_Addi.AbiEngl,JOUR,"Addiction research centres and the nurturing of creativity: the Department of Alcohol, Drugs and Addiction at the National Institute for Health and Welfare in Finland: diverse problems, diverse perspectives","Hakkarainen, Pekka and Kiianmaa, Kalervo and Kuoppasalmi, Kimmo and Tigerstedt, Christoffer","Addiction (Abingdon, England)","The Department of Alcohol, Drugs and Addiction started operations on 1 January 2009, when the National Institute of Public Health (KTL) and the National Research and Development Centre for Welfare and Health (STAKES) were merged. The newly formed institute, called the National Institute for Health and Welfare (THL), operates under the Finnish Ministry of Social Affairs and Health. The scope of the research and preventive work conducted in the Department covers alcohol, drugs, tobacco and gambling issues. The two main tasks of the Department are (i) to research, produce and disseminate information on alcohol and drugs, substance use, addictions and their social and health-related effects and (ii) to develop prevention and good practices with a view to counteracting the onset and development of alcohol and drug problems and the damaging effects of smoking and other addictions. The number of staff hovers at approximately 60 people. The Department is organized into three units, one specialized in social sciences (the Alcohol and Drug Research Unit), another in laboratory analytics (the Alcohol and Drug Analytics Unit) and the third primarily in preventive work (the Addiction Prevention Unit). These units incorporate a rich variety and long traditions of both research and preventive work. The mixture of different disciplines creates good opportunities for interdisciplinary research projects and collaboration within the Department. Also, the fact that in the same administrative context there are both researchers and people specialized in preventive work opens up interesting possibilities for combining efforts from these two branches. Nationally, the Department is a key player in all its fields of interest. It engages in a great deal of cooperation both nationally and internationally, and among its strengths are the high-quality, regularly collected long-term data sets.",2012,10.1111/j.1360-0443.2011.03594.x,107,10,1741-1746,eng,1360-0443 0965-2140,Humans and Forecasting and Creativity and Interprofessional Relations and Finland and Biomedical Research/*organization & administration/trends and Academies and Institutes/*organization & administration/trends and Substance-Related Disorders/*prevention & control,NA,NA,2012/10//undefined,Addiction,NA,NA,NA,NA
Hu_2020_Druandalcdep,JOUR,Analysis of substance use and its outcomes by machine learning: II. Derivation and prediction of the trajectory of substance use severity,"Hu, Ziheng and Jing, Yankang and Xue, Ying and Fan, Peihao and Wang, Lirong and Vanyukov, Michael and Kirisci, Levent and Wang, Junmei and Tarter, Ralph E. and Xie, Xiang-Qun",Drug and alcohol dependence,"BACKGROUND: This longitudinal study explored the utility of machine learning (ML) methodology in predicting the trajectory of severity of substance use from childhood to thirty years of age using a set of psychological and health characteristics. DESIGN: Boys (N<e2><80><af>=<e2><80><af>494) and girls (N<e2><80><af>=<e2><80><af>206) were recruited using a high-risk paradigm at 10-12 years of age and followed up at 12-14, 16, 19, 22, 25 and 30 years of age. MEASUREMENTS: At each visit, the subjects were administered a comprehensive battery to measure psychological makeup, health status, substance use and psychiatric disorder, and their overall harmfulness of substance consumption was quantified according to the multidimensional criteria (physical, dependence, and social) developed by Nutt et al. (2007). Next, high- and low- substance use severity trajectories were derived differentially associated with probability of segueing to substance use disorder (SUD). ML methodology was employed to predict trajectory membership. FINDINGS: The high-severity trajectory group had a higher probability of leading to SUD than the low-severity trajectory (89.0% vs 32.4%; odds ratio<e2><80><af>=<e2><80><af>16.88, p<e2><80><af><<e2><80><af>0.0001). Thirty psychological and health status items at each of the six visits predict membership in the high- or low-severity trajectory, with 71% accuracy at 10-12 years of age, increasing to 93% at 22 years of age. CONCLUSION: These findings demonstrate the applicability of the machine learning methodology for detecting membership in a substance use trajectory with high probability of culminating in SUD, potentially informing primary and secondary prevention.",2020,10.1016/j.drugalcdep.2019.107604,206,NA,107604,eng,1879-0046 0376-8716,Machine learning and Humans and Female and Male and Adolescent and Adult and Young Adult and Child and Longitudinal Studies and Reproducibility of Results and Predictive Value of Tests and Random Forest and Substance use disorder and *Machine Learning and *Severity of Illness Index and Substance-Related Disorders/*diagnosis and *Psychological Techniques and Substance misuse prevention and Trajectory analysis,NA,NA,2020/01/01/,Drug Alcohol Depend,NA,NA,NA,NA
Wadekar_2020_Druandalcdep,JOUR,Understanding Opioid Use Disorder (OUD) using tree-based classifiers,"Wadekar, Adway S.",Drug and alcohol dependence,"BACKGROUND: Opioid Use Disorder (OUD), defined as a physical or psychological reliance on opioids, is a public health epidemic. Identifying adults likely to develop OUD can help public health officials in planning effective intervention strategies. The aim of this paper is to develop a machine learning approach to predict adults at risk for OUD and to identify interactions between various characteristics that increase this risk. METHODS: In this approach, a data set was curated using the responses from the 2016 edition of the National Survey on Drug Use and Health (NSDUH). Using this data set, tree-based classifiers (decision tree and random forest) were trained, while employing downsampling to handle class imbalance. Predictions from the tree-based classifiers were also compared to the results from a logistic regression model. The results from the three classifiers were then interpreted synergistically to highlight individual characteristics and their interplay that pose a risk for OUD. RESULTS: Random forest predicted adults at risk for OUD with remarkable accuracy, with the average area under the Receiver-Operating-Characteristics curve (AUC) over 0.89, even though the prevalence of OUD was only about 1 %. It showed a slight improvement over logistic regression. Logistic regression identified statistically significant characteristics, while random forest ranked the predictors in order of their contribution to OUD prediction. Early initiation of marijuana (before 18 years) emerged as the dominant predictor. Decision trees revealed that early marijuana initiation especially increased the risk if individuals: (i) were between 18-34 years of age, or (ii) had incomes less than $49,000, or (iii) were of Hispanic and White heritage, or (iv) were on probation, or (v) lived in neighborhoods with easy access to drugs. CONCLUSIONS: Machine learning can accurately predict adults at risk for OUD, and identify interactions among the factors that pronounce this risk. Curbing early initiation of marijuana may be an effective prevention strategy against opioid addiction, especially in high risk groups.",2020,10.1016/j.drugalcdep.2020.107839,208,NA,107839,eng,1879-0046 0376-8716,"Machine learning and Humans and Female and Male and Adolescent and Adult and Middle Aged and Young Adult and Aged and Marijuana and Prevalence and Random forest and *Decision Trees and Databases, Factual/*classification and Machine Learning/*classification/trends and Opioid Use Disorder and Opioid-Related Disorders/*classification/diagnosis/*epidemiology",NA,NA,2020/03/01/,Drug Alcohol Depend,NA,NA,NA,NA
Friedrichs_2018_Addibeha,JOUR,Role preferences of patients with alcohol use disorders,"Friedrichs, Anke and Silkens, Anna and Reimer, Jens and Kraus, Ludwig and Scherbaum, Norbert and Piontek, Daniela and Rohrig, Jeanette and Hempleman, Jochen and Harter, Martin and Buchholz, Angela",Addictive behaviors,"AIMS: Shared decision making (SDM) is increasingly demanded in medical decision making. SDM acknowledges patients' role preferences in decision making processes. There has been limited research on SDM and role preferences in substance use disorders; results are promising. Aim of this study was to investigate role preferences of patients with alcohol use disorders (AUD), and to identify predictors of these preferences. METHOD: Cross-sectional data collected from June 2013 to May 2014 in four detoxification wards in Germany during a randomised controlled trial (RCT, Registration Code 01GY1114) was analysed. Of the 250 patients with AUD who were included in the RCT, data from 242 patients [65% male; mean age<e2><80><af>=<e2><80><af>45.2<e2><80><af>years (sd<e2><80><af>=<e2><80><af>10.3)] were analysed. Participants' role preferences were assessed with the Control Preference Scale. Potential correlates were drawn from instruments used in the RCT; multinomial logistic regression was used. RESULTS: 90% (n<e2><80><af>=<e2><80><af>217) of the AUD patients preferred an active or shared role in decision-making, 10% (n<e2><80><af>=<e2><80><af>25) preferred a passive role. Patients' desire for help was associated with their role preference (OR<e2><80><af>=<e2><80><af>3.087, p<e2><80><af>=<e2><80><af>.05). The model's goodness of fit was Nagelkerke's R(2)<e2><80><af>=<e2><80><af>0.153 [<cf><87>(2) (24)<e2><80><af>=<e2><80><af>25.206, p<e2><80><af>=<e2><80><af>.395]. CONCLUSIONS: Patients' preference for an active role in decision-making underscores the importance of involving patients in their treatment planning. Patients' desire for help seems to be an important determinant of paternalistic decision making. However, further research is needed to determine whether patients' role preferences are related to their behavior during their treatment referral and recovery.",2018,10.1016/j.addbeh.2018.05.002,84,NA,248-254,eng,1873-6327 0306-4603,Shared decision making and Humans and Female and Male and Adult and Middle Aged and Young Adult and Cross-Sectional Studies and Aged and Logistic Models and Decision Making and Germany and *Patient Participation and *Patient Preference and Alcohol use disorder and Alcoholism/*rehabilitation and Participation preferences,NA,NA,2018/09//undefined,Addict Behav,NA,NA,NA,NA
Thomas_2016_Druandalcdep,JOUR,Growth in spending on substance use disorder treatment services for the privately insured population,"Thomas, Cindy Parks and Hodgkin, Dominic and Levit, Katharine and Mark, Tami L.",Drug and alcohol dependence,"BACKGROUND: Approximately 8% of individuals with private health insurance in the United States have substance use disorders (SUDs), but in 2009 only 0.4% of all private insurance spending was on SUDs. The objective of this study was to determine if changes that occurred between 2009 and 2012 - such as more generous SUD benefits, an epidemic of opioid use disorders, and slow recovery from a recession - were associated with greater use of SUD treatment. METHODS: Data were from the 2004-2012 Truven Health Analytics MarketScan((R)) Commercial Claims and Encounters Database. This database is representative of individuals with private insurance in the United States. Per enrollee use of and spending on SUD treatment was determined and compared with spending on all health care services. Trends were examined for inpatient care, outpatient care, and prescription medications. RESULTS: During the 2009-2012 time period, use of and spending on SUD services increased compared with all diagnoses. Two-thirds of the increase was driven by higher growth rates in outpatient use and prices. Despite the high growth rates, SUD treatment penetration rates remained low. As of 2012, only 0.6% of individuals with private insurance used SUD outpatient services, 0.2% filled SUD medication prescriptions, and 0.1% used inpatient SUD services. In 2012, SUD services accounted for less than 0.7% of all private insurance spending. CONCLUSIONS: Despite recent coverage improvements, individuals with private health insurance still may not receive adequate levels of treatment for SUDs, as evidenced by the small proportion of individuals who access treatment.",2016,10.1016/j.drugalcdep.2015.12.024,160,NA,143-150,eng,1879-0046 0376-8716,"United States and Humans and Female and Male and Adult and Middle Aged and Substance-related disorders and Hospitalization/economics and Insurance, Health/*economics and Ambulatory Care/economics and Drug Prescriptions/economics and Addiction treatment and Health expenditures and Health Expenditures/*trends and Mental Health Services/economics and Private Sector/*economics and Substance Abuse Treatment Centers/economics and Substance-Related Disorders/*economics/therapy",NA,NA,2016/03/01/,Drug Alcohol Depend,NA,NA,NA,NA
Meade_2017_Druandalcdep,JOUR,Cocaine dependence modulates the effect of HIV infection on brain activation during intertemporal decision making,"Meade, Christina S. and Hobkirk, Andrea L. and Towe, Sheri L. and Chen, Nan-Kuei and Bell, Ryan P. and Huettel, Scott A.",Drug and alcohol dependence,"BACKGROUND: Both HIV infection and chronic cocaine use alter the neural circuitry of decision making, but the interactive effects of these commonly comorbid conditions have not been adequately examined. This study tested how cocaine moderates HIV-related neural activation during an intertemporal decision-making task. METHODS: The sample included 73 participants who differed on cocaine and HIV status (18 COC+/HIV+, 19 COC+/HIV-, 19 COC-/HIV+, 17 COC-/HIV-). Participants made choices between smaller, sooner and larger, delayed rewards while undergoing functional MRI. Choices varied in difficulty based on subjective value: hard (equivalently valued), easy (disparately valued), and control choices. A mixed-effects model controlling for education and smoking identified main and interactive effects of HIV and COC during hard relative to easy choices (difficulty contrast). RESULTS: COC+ status was associated with lower activation in bilateral frontal gyri and right insular and posterior parietal cortices. HIV+ status was associated with higher activation in the visual cortex, but lower activation in bilateral prefrontal cortices and cerebellum and left posterior parietal cortex. COC moderated the effects of HIV in several clusters centered in the bilateral prefrontal cortices and cerebellum. In post-hoc analyses, there were significant effects of HIV status on activation for COC+, but not COC-, participants; interaction effects remained after controlling for polysubstance use. CONCLUSION: Cocaine use may diminish the compensatory neural activation often seen among HIV+ samples during decision making. Our results highlight the importance of examining the neuropsychiatric effects of comorbid medical conditions to identify potential neural targets for cognitive remediation interventions.",2017,10.1016/j.drugalcdep.2017.05.043,178,NA,443-451,eng,1879-0046 0376-8716,Decision making and Humans and HIV/AIDS and Magnetic Resonance Imaging and Decision Making/*physiology and Reward and Brain/*physiopathology and Cerebral Cortex/*physiology and Choice Behavior/*physiology and Cocaine dependence and Cocaine-Related Disorders/physiopathology/*psychology and Delay Discounting and Drug addiction and Frontal Lobe/*physiology and Functional magnetic resonance imaging (fMRI) and HIV Infections/microbiology/*physiopathology and Prefrontal Cortex/*physiology and Temporal discounting,NA,NA,2017/09/01/,Drug Alcohol Depend,NA,NA,NA,NA
Carreiro_2020_Druandalcdep,JOUR,Current reporting of usability and impact of mHealth interventions for substance use disorder: A systematic review,"Carreiro, Stephanie and Newcomb, Mark and Leach, Rebecca and Ostrowski, Simon and Boudreaux, Edwin D. and Amante, Daniel",Drug and alcohol dependence,"BACKGROUND: Connected interventions use data collected through mobile/wearable devices to trigger real-time interventions and have great potential to improve treatment for substance use disorder (SUD). This review aims to describe the current landscape, effectiveness and usability of connected interventions for SUD. METHODS: A systematic review was conducted to identify articles evaluating connected health interventions for SUD in accordance with the Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines. Three databases (PubMed, IEEE, and Scopus) were searched over a five-year period. Included articles described a connected health intervention targeting SUD and provided outcomes data. Data were extracted using a standardized reporting tool. RESULTS: A total of 1676 unique articles were identified during the initial search, with 32 articles included in the final analysis. Seven articles of the 32 were derived from two large studies. The most commonly studied SUD was alcohol use disorder. Sixteen articles reported at least one statistically significant result with respect to reduced craving and/or substance use. The majority of articles used ecological momentary assessment to trigger interventions, while four used biologic/physiologic data. Two articles used a wearable device. Common intervention types included craving management, coping assistance, and tailored feedback. Twenty-three articles measured usability factors, and acceptability was generally reported as high. CONCLUSION: Identified themes included a focus on AUD, use of smart phones, use of EMA for intervention delivery, positive effects on SUD related outcomes, and overall high acceptability. Wearables that directly monitor biologic data and predictive analytics using integrated data streams represent understudied opportunities for new research.",2020,10.1016/j.drugalcdep.2020.108201,215,NA,108201,eng,1879-0046 0376-8716,Intervention and Humans and Sensors and Smartphone and Substance use disorder and Telemedicine/*methods and mHealth and Substance-Related Disorders/*therapy and Alcoholism/therapy and Connected health and Craving,NA,NA,2020/10/01/,Drug Alcohol Depend,NA,NA,NA,NA
