label,type,title,author,journal,abstract,year,doi,volume,issue,pages,language,issn,keywords,url,institution,DA,j2,DP,l1,l2,ST
Saunders_2020_Earandhea,JOUR,Application of Big Data to Support Evidence-Based Public Health Policy Decision-Making for Hearing,"Saunders, Gabrielle H. and Christensen, Jeppe H. and Gutenberg, Johanna and Pontoppidan, Niels H. and Smith, Andrew and Spanoudakis, George and Bamiou, Doris-Eva",Ear and hearing,"Ideally, public health policies are formulated from scientific data; however, policy-specific data are often unavailable. Big data can generate ecologically-valid, high-quality scientific evidence, and therefore has the potential to change how public health policies are formulated. Here, we discuss the use of big data for developing evidence-based hearing health policies, using data collected and analyzed with a research prototype of a data repository known as EVOTION (EVidence-based management of hearing impairments: public health pOlicy-making based on fusing big data analytics and simulaTION), to illustrate our points. Data in the repository consist of audiometric clinical data, prospective real-world data collected from hearing aids and an app, and responses to questionnaires collected for research purposes. To date, we have used the platform and a synthetic dataset to model the estimated risk of noise-induced hearing loss and have shown novel evidence of ways in which external factors influence hearing aid usage patterns. We contend that this research prototype data repository illustrates the value of using big data for policy-making by providing high-quality evidence that could be used to formulate and evaluate the impact of hearing health care policies.",2020,10.1097/AUD.0000000000000850,41,5,1057-1063,eng,1538-4667 0196-0202,Humans and Health Policy and Prospective Studies and *Big Data and *Policy Making and Hearing,NA,NA,2020/10//Sep undefined,Ear Hear,NA,NA,NA,NA
Pennington_2020_Earandhea,JOUR,Perspective on the Development of a Large-Scale Clinical Data Repository for Pediatric Hearing Research,"Pennington, Jeffrey W. and Ruth, Byron and Miller, Jeffrey M. and Peterson, Joy and Xu, Baichen and Masino, Aaron J. and Krantz, Ian and Manganella, Juliana and Gomes, Tamar and Stiles, Derek and Kenna, Margaret and Hood, Linda J. and Germiller, John and Crenshaw, E. Bryan 3rd",Ear and hearing,"The use of ""big data"" for pediatric hearing research requires new approaches to both data collection and research methods. The widespread deployment of electronic health record systems creates new opportunities and corresponding challenges in the secondary use of large volumes of audiological and medical data. Opportunities include cost-effective hypothesis generation, rapid cohort expansion for rare conditions, and observational studies based on sample sizes in the thousands to tens of thousands. Challenges include finding and forming appropriately skilled teams, access to data, data quality assessment, and engagement with a research community new to big data. The authors share their experience and perspective on the work required to build and validate a pediatric hearing research database that integrates clinical data for over 185,000 patients from the electronic health record systems of three major academic medical centers.",2020,10.1097/AUD.0000000000000779,41,2,231-238,eng,1538-4667 0196-0202,"Humans and Child and Databases, Factual and Cohort Studies and Hearing and *Audiology",NA,NA,2020/04//Mar undefined,Ear Hear,NA,NA,NA,NA
Chang_2020_Amjoofsppa,JOUR,Effects of Visual Aids for End-of-Life Care on Decisional Capacity of People With Dementia,"Chang, Wan-Zu D. and Bourgeois, Michelle S.",American journal of speech-language pathology,"Purpose This study evaluated the decision-making capacity of persons with mild and moderate dementia on end-of-life care when using visual aids. A secondary purpose was to learn whether the judges naive to the experimental conditions would rate participants' decisional abilities as better when augmented by visual aids, thereby validating the behavioral changes due to the use of these external support. Method Twenty older adults with mild and moderate dementia demonstrated Understanding, Expressing a Choice, Reasoning, and Appreciation of 2 medical vignettes under 2 counterbalanced conditions: verbal alone or verbal with visual aids. Transcripts were analyzed and scored to measure decisional skills. Twelve judges rated participants' decisional abilities using a 7-point Likert scale. Results Participants demonstrated significantly better overall decisional capacity in Understanding, Reasoning, and Appreciation when supported by visual aids during the decision-making process. No significant differences between conditions were found in Expressing a Choice, the decisional skill Logical Sequence under Reasoning, and Acknowledgment under Appreciation. Overall, the judges' ratings validated these outcomes; the judges' ratings reflected greater agreement in the visual condition than in the verbal condition. Conclusions Findings indicated that visual aids (a) improved the decision-making capacity of individuals with dementia in comprehending medical information, employing supportive reasons, and relating this information to his or her own situation and (b) contain the potential for judges who majored or are majoring in speech-language pathology to reach a stronger consensus when determining the decision-making capacity of individuals with dementia.",2020,10.1044/2019_AJSLP-19-0028,29,1,185-200,eng,1558-9110 1058-0360,"Humans and Female and Male and Aged and Patient Participation and Aged, 80 and over and *Choice Behavior and *Audiovisual Aids and Terminal Care/*methods and Dementia/*psychology and Mental Status and Dementia Tests",NA,NA,2020/02/07/,Am J Speech Lang Pathol,NA,NA,NA,NA
Baylor_2019_Amjoofsppa,JOUR,Teaching Medical Students Skills for Effective Communication With Patients Who Have Communication Disorders,"Baylor, Carolyn and Burns, Michael and McDonough, Karen and Mach, Helen and Yorkston, Kathryn",American journal of speech-language pathology,"Purpose Patients with communication impairments including speech, language, cognition, or hearing disorders face many barriers to communication in health care settings. These patients report loss of autonomy in health care decision making, are at increased risk for medical errors, and are less satisfied with health care than patients without communication disorders. Although medical students receive training in effective patient-provider communication, most of this training assumes patients have intact communication abilities. Medical students and other health care providers are often unprepared to meet the communication needs of patients with communication disorders in health care encounters. The purpose of this study was to assess the impact of a curriculum for training medical students to communicate effectively with patients who have a range of communication disorders. Method Twenty-six 2nd-year medical students volunteered for assessments before and after a required workshop in a class. This workshop included instruction about different types of communication disorders and communication strategies, followed by practice with standardized patients portraying different communication disorders. Outcome measures included a knowledge test, ratings of self-efficacy, and evaluation of students' skills when interviewing standardized patients portraying aphasia and dysarthria. Results Medical students demonstrated significant improvements in knowledge, self-efficacy, and use of recommended communication techniques. Conclusions The curriculum appeared effective in changing medical students' knowledge and skills for working with patients with communication disorders. Equipping medical students to meet the needs of patients with communication disorders is 1 key element for improving the quality of health care for this patient population.",2019,10.1044/2018_AJSLP-18-0130,28,1,155-164,eng,1558-9110 1058-0360,"Curriculum and Humans and Female and Male and Adult and Young Adult and Washington and Self Efficacy and Clinical Competence and *Communication and *Physician-Patient Relations and Education, Medical, Undergraduate/*methods and Communication Disorders/*psychology and Speech-Language Pathology/*education",NA,NA,2019/02/21/,Am J Speech Lang Pathol,NA,NA,NA,NA
Horner_2016_Amjoofsppa,JOUR,"Consent, Refusal, and Waivers in Patient-Centered Dysphagia Care: Using Law, Ethics, and Evidence to Guide Clinical Practice","Horner, Jennifer and Modayil, Maria and Chapman, Laura Roche and Dinh, An",American journal of speech-language pathology,"PURPOSE: When patients refuse medical or rehabilitation procedures, waivers of liability have been used to bar future lawsuits. The purpose of this tutorial is to review the myriad issues surrounding consent, refusal, and waivers. The larger goal is to invigorate clinical practice by providing clinicians with knowledge of ethics and law. This tutorial is for educational purposes only and does not constitute legal advice. METHOD: The authors use a hypothetical case of a ""noncompliant"" individual under the care of an interdisciplinary neurorehabilitation team to illuminate the ethical and legal features of the patient-practitioner relationship; the elements of clinical decision-making capacity; the duty of disclosure and the right of informed consent or informed refusal; and the relationship among noncompliance, defensive practices, and iatrogenic harm. We explore the legal question of whether waivers of liability in the medical context are enforceable or unenforceable as a matter of public policy. CONCLUSIONS: Speech-language pathologists, among other health care providers, have fiduciary and other ethical and legal obligations to patients. Because waivers try to shift liability for substandard care from health care providers to patients, courts usually find waivers of liability in the medical context unenforceable as a matter of public policy.",2016,10.1044/2016_AJSLP-15-0041,25,4,453-469,eng,1558-9110 1058-0360,Humans and Evidence-Based Medicine and *Informed Consent and *Deglutition Disorders and Treatment Refusal/*ethics,NA,NA,2016/11/01/,Am J Speech Lang Pathol,NA,NA,NA,NA
Caduff_2020_Earandhea,JOUR,Physiological Monitoring and Hearing Loss: Toward a More Integrated and Ecologically Validated Health Mapping,"Caduff, Andreas and Feldman, Yuri and Ben Ishai, Paul and Launer, Stefan",Ear and hearing,"With an ongoing shift from managing disease toward the inclusion of maintaining health and preventing disease, the world has seen the rise of increasingly sophisticated physiological monitoring and analytics. Innovations range from wearables, smartphone-based spot monitoring to highly complex noncontact, remote monitoring, utilizing different mechanisms. These tools empower the individual to better navigate their own health. They also generate powerful insights towards the detection of subclinical symptoms or processes via existing and novel digital biomarkers. In that context, a topic that is receiving increasing interest is the modulation of human physiology around an individual ""baseline"" in everyday life and the impact thereof on other sensorineural body functions such as hearing. More and more fully contextualized and truly long-term physiological data are becoming available that allows deeper insights into the response of the human body to our behavior, immediate environment and the understanding of how chronic conditions are evolving. Hearing loss often goes hand in hand with chronic conditions, such as diabetes, cognitive impairment, increased risk of fall, mental health, or cardiovascular risk factors. This inspires an interest to not only look at hearing impairment itself but to take a broader view, for example, to include contextualized vital signs. Interestingly, stress and its physiological implications have also been shown to be a relevant precursor to hearing loss and other chronic conditions. This article deduces the requirements for wearables and their ecosystems to detect relevant dynamics and connects that to the need for more ecologically valid data towards an integrated and more holistic mapping of hearing characteristics.",2020,10.1097/AUD.0000000000000960,41 Suppl 1,NA,120S-130S,eng,1538-4667 0196-0202,"Humans and Ecosystem and Monitoring, Physiologic and *Hearing Loss/diagnosis and Hearing and *Deafness",NA,NA,2020/12//Nov undefined,Ear Hear,NA,NA,NA,NA
Buhl_2020_Injoofau,JOUR,Common Audiological Functional Parameters (CAFPAs) for single patient cases: deriving statistical models from an expert-labelled data set,"Buhl, Mareike and Warzybok, Anna and Schadler, Marc Rene and Majdani, Omid and Kollmeier, Birger",International journal of audiology,"Objective: Statistical knowledge about many patients could be exploited using machine learning to provide supporting information to otolaryngologists and other hearing health care professionals, but needs to be made accessible. The Common Audiological Functional Parameters (CAFPAs) were recently introduced for the purpose of integrating data from different databases by providing an abstract representation of audiological measurements. This paper aims at collecting expert labels for a sample database and to determine statistical models from the labelled data set.Design: By an expert survey, CAFPAs as well as labels for audiological findings and treatment recommendations were collected for patients from the database of Horzentrum Oldenburg.Study sample: A total of 287 single patient cases were assessed by twelve highly experienced audiological experts.Results: The labelled data set was used to derive probability density functions for categories given by the expert labels. The collected data set is suitable for estimating training distributions due to realistic variability contained in data for different, distinct categories. Suitable distribution functions were determined. The derived training distributions were compared regarding different audiological questions.Conclusions: The method-expert survey, sorting data into categories, and determining training distributions - could be extended to other data sets, which could then be integrated via the CAFPAs and used in a classification task.",2020,10.1080/14992027.2020.1728401,59,7,534-547,eng,1708-8186 1499-2027,"machine learning and Humans and Probability and Databases, Factual and Reproducibility of Results and Data Interpretation, Statistical and *Expert Systems and *Models, Statistical and *Datasets as Topic and Audiology/*statistics & numerical data and Correction of Hearing Impairment/*statistics & numerical data and Hearing Tests/statistics & numerical data and Medical audiology and precision diagnostics and Tele-audiology/tele-health",NA,NA,2020/07//undefined,Int J Audiol,NA,NA,NA,NA
Zhao_2019_Earandhea,JOUR,Machine Learning Models for the Hearing Impairment Prediction in Workers Exposed to Complex Industrial Noise: A Pilot Study,"Zhao, Yanxia and Li, Jingsong and Zhang, Meibian and Lu, Yao and Xie, Hongwei and Tian, Yu and Qiu, Wei",Ear and hearing,"OBJECTIVES: To demonstrate the feasibility of developing machine learning models for the prediction of hearing impairment in humans exposed to complex non-Gaussian industrial noise. DESIGN: Audiometric and noise exposure data were collected on a population of screened workers (N = 1,113) from 17 factories located in Zhejiang province, China. All the subjects were exposed to complex noise. Each subject was given an otologic examination to determine their pure-tone hearing threshold levels and had their personal full-shift noise recorded. For each subject, the hearing loss was evaluated according to the hearing impairment definition of the National Institute for Occupational Safety and Health. Age, exposure duration, equivalent A-weighted SPL (LAeq), and median kurtosis were used as the input for four machine learning algorithms, that is, support vector machine, neural network multilayer perceptron, random forest, and adaptive boosting. Both classification and regression models were developed to predict noise-induced hearing loss applying these four machine learning algorithms. Two indexes, area under the curve and prediction accuracy, were used to assess the performances of the classification models for predicting hearing impairment of workers. Root mean square error was used to quantify the prediction performance of the regression models. RESULTS: A prediction accuracy between 78.6 and 80.1% indicated that the four classification models could be useful tools to assess noise-induced hearing impairment of workers exposed to various complex occupational noises. A comprehensive evaluation using both the area under the curve and prediction accuracy showed that the support vector machine model achieved the best score and thus should be selected as the tool with the highest potential for predicting hearing impairment from the occupational noise exposures in this study. The root mean square error performance indicated that the four regression models could be used to predict noise-induced hearing loss quantitatively and the multilayer perceptron regression model had the best performance. CONCLUSIONS: This pilot study demonstrated that machine learning algorithms are potential tools for the evaluation and prediction of noise-induced hearing impairment in workers exposed to diverse complex industrial noises.",2019,10.1097/AUD.0000000000000649,40,3,690-699,eng,1538-4667 0196-0202,"Humans and Female and Male and Adult and Middle Aged and Young Adult and Risk Assessment and Pilot Projects and Feasibility Studies and Audiometry, Pure-Tone and Support Vector Machine and *Machine Learning and China/epidemiology and Hearing Loss, Noise-Induced/*epidemiology and Noise, Occupational/*statistics & numerical data",NA,NA,2019/06//May undefined,Ear Hear,NA,NA,NA,NA
Wu_2016_Injoofau,JOUR,Predicting three-month and 12-month post-fitting real-world hearing-aid outcome using pre-fitting acceptable noise level (ANL),"Wu, Yu-Hsiang and Ho, Hsu-Chueh and Hsiao, Shih-Hsuan and Brummet, Ryan B. and Chipara, Octav",International journal of audiology,"OBJECTIVE: Determine the extent to which pre-fitting acceptable noise level (ANL), with or without other predictors such as hearing-aid experience, can predict real-world hearing-aid outcomes at three and 12 months post-fitting. DESIGN: ANLs were measured before hearing-aid fitting. Post-fitting outcome was assessed using the international outcome inventory for hearing aids (IOI-HA) and a hearing-aid use questionnaire. Models that predicted outcomes (successful vs. unsuccessful) were built using logistic regression and several machine learning algorithms, and were evaluated using the cross-validation technique. STUDY SAMPLE: A total of 132 adults with hearing impairment. RESULTS: The prediction accuracy of the models ranged from 61% to 68% (IOI-HA) and from 55% to 61% (hearing-aid use questionnaire). The models performed more poorly in predicting 12-month than three-month outcomes. The ANL cutoff between successful and unsuccessful users was higher for experienced (<e2><88><bc>18 dB) than first-time hearing-aid users (<e2><88><bc>10 dB), indicating that most experienced users will be predicted as successful users regardless of their ANLs. CONCLUSIONS: Pre-fitting ANL is more useful in predicting short-term (three months) hearing-aid outcomes for first-time users, as measured by the IOI-HA. The prediction accuracy was lower than the accuracy reported by some previous research that used a cross-sectional design.",2016,10.3109/14992027.2015.1120892,55,5,285-294,eng,1708-8186 1499-2027,"machine learning and Humans and Female and Male and Adult and Middle Aged and Aged and Time Factors and Logistic Models and Surveys and Questionnaires and Algorithms and Treatment Outcome and Aged, 80 and over and Predictive Value of Tests and Outcome Assessment, Health Care/*methods and outcome and *Noise and Acceptable noise level and Auditory Threshold and Correction of Hearing Impairment/*instrumentation and hearing aid and Hearing Aids/*statistics & numerical data and Hearing Loss/*physiopathology/rehabilitation and international outcome inventory for hearing aids (IOI-HA) and Prosthesis Fitting",NA,NA,2016///,Int J Audiol,NA,NA,NA,NA
King_2018_Injoofau,JOUR,"Clinical trials, ototoxicity grading scales and the audiologist's role in therapeutic decision making","King, Kelly A. and Brewer, Carmen C.",International journal of audiology,"OBJECTIVES: Define clinical trials and adverse event (AE) monitoring from the perspective of the audiologist. Rationalise the importance of audiology's involvement before, during and after monitoring. Identify strengths and weaknesses in toxicity grading scales, and discuss factors that may influence these. DESIGN: Literature involving commonly cited grading scales used to capture ototoxicity is reviewed. Current regulations and language associated with clinical trial implementation and AE monitoring are described. Personal observations based on a variety of clinical populations are drawn from years of experience developing and employing ototoxicity monitoring protocols in a complex medical setting. RESULTS: Six commonly used grading scales for ototoxicity are systematically reviewed for strengths and weaknesses. Necessary considerations that inform selection of grading scales are presented. A review of and historical context for clinical trial development and AE monitoring is provided. CONCLUSIONS: The audiologist's role in therapeutic decision making goes beyond collection of the audiogram. Clear communication to stakeholders in ototoxicity monitoring is paramount, and toxicity grading scales are one tool to facilitate this exchange. Various factors should be considered in advance of selecting the most appropriate scale to capture hearing loss, and no scale is without limitation.",2018,10.1080/14992027.2017.1417644,57,sup4,S89-S98,eng,1708-8186 1499-2027,"Humans and Risk Factors and Prognosis and Health Knowledge, Attitudes, Practice and Reproducibility of Results and Predictive Value of Tests and Age Factors and Attitude of Health Personnel and Adverse Drug Reaction Reporting Systems and Dose-Response Relationship, Drug and Severity of Illness Index and adverse event and clinical trial and *Clinical Decision-Making and *Professional Role and Clinical Trials as Topic/*methods and *Research Design and *Hearing Tests and Audiologists/*psychology and Drug Monitoring/*methods and Hearing Loss/*chemically induced/diagnosis/physiopathology/therapy and Hearing/*drug effects and Ototoxicity and ototoxicity grading scale and ototoxicity monitoring",NA,NA,2018/09//undefined,Int J Audiol,NA,NA,NA,NA
