label,type,title,author,journal,abstract,year,doi,volume,issue,pages,language,issn,keywords,url,institution,DA,j2,DP,l1,l2,ST
Grote_2020_Joofmeet,JOUR,On the ethics of algorithmic decision-making in healthcare,"Grote, Thomas and Berens, Philipp",Journal of medical ethics,"In recent years, a plethora of high-profile scientific publications has been reporting about machine learning algorithms outperforming clinicians in medical diagnosis or treatment recommendations. This has spiked interest in deploying relevant algorithms with the aim of enhancing decision-making in healthcare. In this paper, we argue that instead of straightforwardly enhancing the decision-making capabilities of clinicians and healthcare institutions, deploying machines learning algorithms entails trade-offs at the epistemic and the normative level. Whereas involving machine learning might improve the accuracy of medical diagnosis, it comes at the expense of opacity when trying to assess the reliability of given diagnosis. Drawing on literature in social epistemology and moral responsibility, we argue that the uncertainty in question potentially undermines the epistemic authority of clinicians. Furthermore, we elucidate potential pitfalls of involving machine learning in healthcare with respect to paternalism, moral responsibility and fairness. At last, we discuss how the deployment of machine learning algorithms might shift the evidentiary norms of medical diagnosis. In this regard, we hope to lay the grounds for further ethical reflection of the opportunities and pitfalls of machine learning for enhancing decision-making in healthcare.",2020,10.1136/medethics-2019-105586,46,3,205-211,eng,1473-4257 0306-6800,"machine learning and decision-making and Uncertainty and Humans and Decision Making and uncertainty and Paternalism and autonomy and Reproducibility of Results and paternalism and Ethics, Medical and *Delivery of Health Care and *Morals",NA,NA,2020/03//undefined,J Med Ethics,NA,NA,NA,NA
Char_2020_TAjob.A,JOUR,Identifying Ethical Considerations for Machine Learning Healthcare Applications,"Char, Danton S. and Abramoff, Michael D. and Feudtner, Chris",The American journal of bioethics : AJOB,"Along with potential benefits to healthcare delivery, machine learning healthcare applications (ML-HCAs) raise a number of ethical concerns. Ethical evaluations of ML-HCAs will need to structure the overall problem of evaluating these technologies, especially for a diverse group of stakeholders. This paper outlines a systematic approach to identifying ML-HCA ethical concerns, starting with a conceptual model of the pipeline of the conception, development, implementation of ML-HCAs, and the parallel pipeline of evaluation and oversight tasks at each stage. Over this model, we layer key questions that raise value-based issues, along with ethical considerations identified in large part by a literature review, but also identifying some ethical considerations that have yet to receive attention. This pipeline model framework will be useful for systematic ethical appraisals of ML-HCA from development through implementation, and for interdisciplinary collaboration of diverse stakeholders that will be required to understand and subsequently manage the ethical implications of ML-HCAs.",2020,10.1080/15265161.2020.1819469,20,11,17-7,eng,1536-0075 1526-5161,machine learning and Artificial intelligence and Humans and Delivery of Health Care and ethics and safety and effectiveness and *Machine Learning and *Morals and test characteristics,NA,NA,2020/11//undefined,Am J Bioeth,NA,NA,NA,NA
Hatherley_2020_Joofmeet,JOUR,Limits of trust in medical AI,"Hatherley, Joshua James",Journal of medical ethics,"Artificial intelligence (AI) is expected to revolutionise the practice of medicine. Recent advancements in the field of deep learning have demonstrated success in variety of clinical tasks: detecting diabetic retinopathy from images, predicting hospital readmissions, aiding in the discovery of new drugs, etc. AI's progress in medicine, however, has led to concerns regarding the potential effects of this technology on relationships of trust in clinical practice. In this paper, I will argue that there is merit to these concerns, since AI systems can be relied on, and are capable of reliability, but cannot be trusted, and are not capable of trustworthiness. Insofar as patients are required to rely on AI systems for their medical decision-making, there is potential for this to produce a deficit of trust in relationships in clinical practice.",2020,10.1136/medethics-2019-105935,46,7,478-481,eng,1473-4257 0306-6800,information technology and Humans and ethics and Reproducibility of Results and *Artificial Intelligence and *Trust and quality of health care,NA,NA,2020/07//undefined,J Med Ethics,NA,NA,NA,NA
Di.Nucci_2019_Joofmeet,JOUR,Should we be afraid of medical AI?,"Di Nucci, Ezio",Journal of medical ethics,"I analyse an argument according to which medical artificial intelligence (AI) represents a threat to patient autonomy-recently put forward by Rosalind McDougall in the Journal of Medical Ethics The argument takes the case of IBM Watson for Oncology to argue that such technologies risk disregarding the individual values and wishes of patients. I find three problems with this argument: (1) it confuses AI with machine learning; (2) it misses machine learning's potential for personalised medicine through big data; (3) it fails to distinguish between evidence-based advice and decision-making within healthcare. I conclude that how much and which tasks we should delegate to machine learning and other technologies within healthcare and beyond is indeed a crucial question of our time, but in order to answer it, we must be careful in analysing and properly distinguish between the different systems and different delegated tasks.",2019,10.1136/medethics-2018-105281,45,8,556-558,eng,1473-4257 0306-6800,"Humans and ethics and Medical Oncology and Ethics, Medical and *Artificial Intelligence and *Machine Learning",NA,NA,2019/08//undefined,J Med Ethics,NA,NA,NA,NA
Peirce_2020_Nursethi,JOUR,"Knowledge development, technology and questions of nursing ethics","Peirce, Anne Griswold and Elie, Suzanne and George, Annie and Gold, Mariya and O'Hara, Kim and Rose-Facey, Wendella",Nursing ethics,"This article explores emerging ethical questions that result from knowledge development in a complex, technological age. Nursing practice is at a critical ideological and ethical precipice where decision-making is enhanced and burdened by new ways of knowing that include artificial intelligence, algorithms, Big Data, genetics and genomics, neuroscience, and technological innovation. On the positive side is the new understanding provided by large data sets; the quick and efficient reduction of data into useable pieces; the replacement of redundant human tasks by machines, error reduction, pattern recognition, and so forth. However, these innovations require skepticism and critique from a profession whose mission is to care for and protect patients. The promise of technology and the new biological sciences to radically and positively transform healthcare may seem compelling when couched in terms of safety, efficiency, and effectiveness but their role in the provision of ethical nursing care remains uncertain. Given the profound moral and clinical implications of how today's knowledge is developed and utilized, it is time to reconsider the relationship between ethics and knowledge development in this new uncharted area.",2020,10.1177/0969733019840752,27,1,77-87,eng,1477-0989 0969-7330,"artificial intelligence and Humans and Big Data and Knowledge and *Algorithms and Thinking and *Big Data and complexity theory and *Ethics, Nursing and Artificial Intelligence/*ethics/trends and Biomedical Technology/*ethics/trends and Genetics/ethics and genomics and neuroethics and Genomics/ethics and Inventions/ethics/trends and Knowledge development and Neurosciences/ethics and Nursing Care/*ethics and nursing ethics",NA,NA,2020/02//undefined,Nurs Ethics,NA,NA,NA,NA
Fischer_2016_BMCmedeth,JOUR,Clinical decision-making and secondary findings in systems medicine,"Fischer, T. and Brothers, K. B. and Erdmann, P. and Langanke, M.",BMC medical ethics,"BACKGROUND: Systems medicine is the name for an assemblage of scientific strategies and practices that include bioinformatics approaches to human biology (especially systems biology); ""big data"" statistical analysis; and medical informatics tools. Whereas personalized and precision medicine involve similar analytical methods applied to genomic and medical record data, systems medicine draws on these as well as other sources of data. Given this distinction, the clinical translation of systems medicine poses a number of important ethical and epistemological challenges for researchers working to generate systems medicine knowledge and clinicians working to apply it. DISCUSSION: This article focuses on three key challenges: First, we will discuss the conflicts in decision-making that can arise when healthcare providers committed to principles of experimental medicine or evidence-based medicine encounter individualized recommendations derived from computer algorithms. We will explore in particular whether controlled experiments, such as comparative effectiveness trials, should mediate the translation of systems medicine, or if instead individualized findings generated through ""big data"" approaches can be applied directly in clinical decision-making. Second, we will examine the case of the Riyadh Intensive Care Program Mortality Prediction Algorithm, pejoratively referred to as the ""death computer,"" to demonstrate the ethical challenges that can arise when big-data-driven scoring systems are applied in clinical contexts. We argue that the uncritical use of predictive clinical algorithms, including those envisioned for systems medicine, challenge basic understandings of the doctor-patient relationship. Third, we will build on the recent discourse on secondary findings in genomics and imaging to draw attention to the important implications of secondary findings derived from the joint analysis of data from diverse sources, including data recorded by patients in an attempt to realize their ""quantified self."" This paper examines possible ethical challenges that are likely to be raised as systems medicine to be translated into clinical medicine. These include the epistemological challenges for clinical decision-making, the use of scoring systems optimized by big data techniques and the risk that incidental and secondary findings will significantly increase. While some ethical implications remain still hypothetical we should use the opportunity to prospectively identify challenges to avoid making foreseeable mistakes when systems medicine inevitably arrives in routine care.",2016,10.1186/s12910-016-0113-5,17,1,32,eng,1472-6939,"Electronic health records and Humans and Medical Informatics and Physician-Patient Relations and Algorithms and Big data and Prognosis and Systems Analysis and Epistemology and Knowledge and Statistics as Topic and Precision Medicine and *Ethics, Medical and *Data Collection and Decision Making/*ethics and *Incidental Findings and *Systems Biology and *Translational Research, Biomedical and Clinical decision-making and Clinical Decision-Making/*ethics and Scoring systems and Secondary findings and Systems medicine and Translation",NA,NA,2016/05/21/,BMC Med Ethics,NA,NA,NA,NA
Morrison_2016_BMCmedeth,JOUR,"Introduction to the article collection 'Translation in healthcare: ethical, legal, and social implications'","Morrison, Michael and Dickenson, Donna and Lee, Sandra Soo-Jin",BMC medical ethics,"New technologies are transforming and reconfiguring the boundaries between patients, research participants and consumers, between research and clinical practice, and between public and private domains. From personalised medicine to big data and social media, these platforms facilitate new kinds of interactions, challenge longstanding understandings of privacy and consent, and raise fundamental questions about how the translational patient pathway should be organised.This editorial introduces the cross-journal article collection ""Translation in healthcare: ethical, legal, and social implications"", briefly outlining the genesis of the collection in the 2015 Translation in healthcare conference in Oxford, UK and providing an introduction to the contemporary ethical challenges of translational research in biology and medicine accompanied by a summary of the papers included in this collection.",2016,10.1186/s12910-016-0157-6,17,1,74,eng,1472-6939,"Humans and Privacy and Community Participation and Confidentiality and Informed Consent and Precision Medicine and Social Media and Ethics, Clinical and *Bioethical Issues and Delivery of Health Care/*ethics/legislation & jurisprudence and Research Subjects and Translational Research, Biomedical/*ethics/legislation & jurisprudence",NA,NA,2016/11/14/,BMC Med Ethics,NA,NA,NA,NA
Rumbold_2017_BMCmedeth,JOUR,A critique of the regulation of data science in healthcare research in the European Union,"Rumbold, John M. M. and Pierscionek, Barbara K.",BMC medical ethics,"The EU offers a suitable milieu for the comparison and harmonisation of healthcare across different languages, cultures, and jurisdictions (albeit with a supranational legal framework), which could provide improvements in healthcare standards across the bloc. There are specific ethico-legal issues with the use of data in healthcare research that mandate a different approach from other forms of research. The use of healthcare data over a long period of time is similar to the use of tissue in biobanks. There is a low risk to subjects but it is impossible to gain specific informed consent given the future possibilities for research. Large amounts of data on a subject present a finite risk of re-identification. Consequently, there is a balancing act between this risk and retaining sufficient utility of the data. Anonymising methods need to take into account the circumstances of data sharing to enable an appropriate balance in all cases. There are ethical and policy advantages to exceeding the legal requirements and thereby securing the social licence for research. This process would require the examination and comparison of data protection laws across the trading bloc to produce an ethico-legal framework compatible with the requirements of all member states. Seven EU jurisdictions are given consideration in this critique.",2017,10.1186/s12910-017-0184-y,18,1,27,eng,1472-6939,"Data science and Humans and International Cooperation and Big Data and European Union and Computer Security and *Medical Records and *Informed Consent and *Privacy and *Confidentiality and Data Collection/*ethics/legislation & jurisprudence and Ethics, Research and Health Services Research/*ethics/legislation & jurisprudence and Information Dissemination/*ethics/legislation & jurisprudence and Information governance and Research Ethics and Social Control, Formal",NA,NA,2017/04/08/,BMC Med Ethics,NA,NA,NA,NA
Ploug_2020_BMCmedeth,JOUR,"In Defence of informed consent for health record research - why arguments from 'easy rescue', 'no harm' and 'consent bias' fail","Ploug, Thomas",BMC medical ethics,"BACKGROUND: Health data holds great potential for improved treatments. Big data research and machine learning models have been shown to hold great promise for improved diagnostics and treatment planning. The potential is tied, however, to the availability of personal health data. In recent years, it has been argued that data from health records should be available for health research, and that individuals have a duty to make the data available for such research. A central point of debate is whether such secondary use of health data requires informed consent. MAIN BODY: In response to recent writings this paper argues that a requirement of informed consent for health record research must be upheld. It does so by exploring different contrasting notions of the duty of easy rescue and arguing that none of them entail a perfect duty to participate in health record research. In part because the costs of participation cannot be limited to 1) the threat of privacy breaches, but includes 2) the risk of reduced trust and 3) suboptimal treatment, 4) stigmatization and 5) medicalisation, 6) further stratification of solidarity and 7) increased inequality in access to treatment and medicine. And finally, it defends the requirement of informed consent by arguing that the mere possibility of consent bias provides a rather weak reason for making research participation mandatory, and that there are strong, independent reasons for making. CONCLUSION: Arguments from the duty of easy rescue in combination with claims about little risk of harm and potential consent bias fail to establish not only a perfect duty to participate in health record research, but also that participation in such research should be mandatory. On the contrary, an analysis of these arguments indicates that the duty to participate in research is most adequately construed as an imperfect duty, and reveals a number of strong reasons for insisting that participation in health records research is based on informed consent.",2020,10.1186/s12910-020-00519-w,21,1,75,eng,1472-6939,Humans and Trust and Privacy and *Informed Consent and *Trust and Informed consent and Consent bias and Dissent and Disputes and Duty of easy rescue and Equality in health and Harm and Health data and Medicalization and Solidarity and Stigmatization,NA,NA,2020/08/20/,BMC Med Ethics,NA,NA,NA,NA
Degeling_2020_BMCmedeth,JOUR,Community perspectives on the benefits and risks of technologically enhanced communicable disease surveillance systems: a report on four community juries,"Degeling, Chris and Carter, Stacy M. and van Oijen, Antoine M. and McAnulty, Jeremy and Sintchenko, Vitali and Braunack-Mayer, Annette and Yarwood, Trent and Johnson, Jane and Gilbert, Gwendolyn L.",BMC medical ethics,"BACKGROUND: Outbreaks of infectious disease cause serious and costly health and social problems. Two new technologies - pathogen whole genome sequencing (WGS) and Big Data analytics - promise to improve our capacity to detect and control outbreaks earlier, saving lives and resources. However, routinely using these technologies to capture more detailed and specific personal information could be perceived as intrusive and a threat to privacy. METHOD: Four community juries were convened in two demographically different Sydney municipalities and two regional cities in New South Wales, Australia (western Sydney, Wollongong, Tamworth, eastern Sydney) to elicit the views of well-informed community members on the acceptability and legitimacy of: making pathogen WGS and linked administrative data available for public health researchusing this information in concert with data linkage and machine learning to enhance communicable disease surveillance systems Fifty participants of diverse backgrounds, mixed genders and ages were recruited by random-digit-dialling and topic-blinded social-media advertising. Each jury was presented with balanced factual evidence supporting different expert perspectives on the potential benefits and costs of technologically enhanced public health research and communicable disease surveillance and given the opportunity to question experts. RESULTS: Almost all jurors supported data linkage and WGS on routinely collected patient isolates for the purposes of public health research, provided standard de-identification practices were applied. However, allowing this information to be operationalised as a syndromic surveillance system was highly contentious with three juries voting in favour, and one against by narrow margins. For those in favour, support depended on several conditions related to system oversight and security being met. Those against were concerned about loss of privacy and did not trust Australian governments to run secure and effective systems. CONCLUSIONS: Participants across all four events strongly supported the introduction of data linkage and pathogenomics to public health research under current research governance structures. Combining pathogen WGS with event-based data surveillance systems, however, is likely to be controversial because of a lack of public trust, even when the potential public health benefits are clear. Any suggestion of private sector involvement or commercialisation of WGS or surveillance data was unanimously rejected.",2020,10.1186/s12910-020-00474-6,21,1,31,eng,1472-6939,Humans and Female and Male and Risk Assessment and Infectious disease and Trust and Australia/epidemiology and *Communicable Diseases/epidemiology and Data-linkage and New South Wales/epidemiology and Pathogenomics and Public deliberation and Public health surveillance and Social licence,NA,NA,2020/04/25/,BMC Med Ethics,NA,NA,NA,NA
