label,type,title,author,journal,abstract,year,doi,volume,issue,pages,language,issn,keywords,url,institution,DA,j2,DP,l1,l2,ST
Wu_2017_IEtronbien,JOUR,-Omic and Electronic Health Record Big Data Analytics for Precision Medicine,"Wu, Po-Yen and Cheng, Chih-Wen and Kaddi, Chanchala D. and Venugopalan, Janani and Hoffman, Ryan and Wang, May D.",IEEE transactions on bio-medical engineering,"OBJECTIVE: Rapid advances of high-throughput technologies and wide adoption of electronic health records (EHRs) have led to fast accumulation of -omic and EHR data. These voluminous complex data contain abundant information for precision medicine, and big data analytics can extract such knowledge to improve the quality of healthcare. METHODS: In this paper, we present -omic and EHR data characteristics, associated challenges, and data analytics including data preprocessing, mining, and modeling. RESULTS: To demonstrate how big data analytics enables precision medicine, we provide two case studies, including identifying disease biomarkers from multi-omic data and incorporating -omic information into EHR. CONCLUSION: Big data analytics is able to address -omic and EHR data challenges for paradigm shift toward precision medicine. SIGNIFICANCE: Big data analytics makes sense of -omic and EHR data to improve healthcare outcome. It has long lasting societal impact.",2017,10.1109/TBME.2016.2573285,64,2,263-273,eng,1558-2531 0018-9294,"Humans and *Databases, Factual and *Genomics and *Electronic Health Records and *Medical Informatics and *Precision Medicine",NA,NA,2017/02//undefined,IEEE Trans Biomed Eng,NA,NA,NA,NA
Zarkogianni_2015_IEtronbien,JOUR,A Review of Emerging Technologies for the Management of Diabetes Mellitus,"Zarkogianni, Konstantia and Litsa, Eleni and Mitsis, Konstantinos and Wu, Po-Yen and Kaddi, Chanchala D. and Cheng, Chih-Wen and Wang, May D. and Nikita, Konstantina S.",IEEE transactions on bio-medical engineering,"OBJECTIVE: High prevalence of diabetes mellitus (DM) along with the poor health outcomes and the escalated costs of treatment and care poses the need to focus on prevention, early detection and improved management of the disease. The aim of this paper is to present and discuss the latest accomplishments in sensors for glucose and lifestyle monitoring along with clinical decision support systems (CDSSs) facilitating self-disease management and supporting healthcare professionals in decision making. METHODS: A critical literature review analysis is conducted focusing on advances in: 1) sensors for physiological and lifestyle monitoring, 2) models and molecular biomarkers for predicting the onset and assessing the progress of DM, and 3) modeling and control methods for regulating glucose levels. RESULTS: Glucose and lifestyle sensing technologies are continuously evolving with current research focusing on the development of noninvasive sensors for accurate glucose monitoring. A wide range of modeling, classification, clustering, and control approaches have been deployed for the development of the CDSS for diabetes management. Sophisticated multiscale, multilevel modeling frameworks taking into account information from behavioral down to molecular level are necessary to reveal correlations and patterns indicating the onset and evolution of DM. CONCLUSION: Integration of data originating from sensor-based systems and electronic health records combined with smart data analytics methods and powerful user centered approaches enable the shift toward preventive, predictive, personalized, and participatory diabetes care. SIGNIFICANCE: The potential of sensing and predictive modeling approaches toward improving diabetes management is highlighted and related challenges are identified.",2015,10.1109/TBME.2015.2470521,62,12,2735-2749,eng,1558-2531 0018-9294,"Humans and *Decision Support Systems, Clinical and Biomarkers/blood and *Monitoring, Physiologic and *Diabetes Mellitus/diagnosis/therapy and Blood Glucose/analysis",NA,NA,2015/12//undefined,IEEE Trans Biomed Eng,NA,NA,NA,NA
Han_2020_Actabiom,JOUR,Machine learning as a tool to design glasses with controlled dissolution for healthcare applications,"Han, Taihao and Stone-Weiss, Nicholas and Huang, Jie and Goel, Ashutosh and Kumar, Aditya",Acta biomaterialia,"The advancement of glass science has played a pivotal role in enhancing the quality and length of human life. However, with an ever-increasing demand for glasses in a variety of healthcare applications - especially with controlled degradation rates - it is becoming difficult to design new glass compositions using conventional approaches. For example, it is difficult, if not impossible, to design new gene-activation bioactive glasses, with controlled release of functional ions tailored for specific patient states, using trial-and-error based approaches. Notwithstanding, it is possible to design new glasses with controlled release of functional ions by using artificial intelligence-based methods, for example, supervised machine learning (ML). In this paper, we present an ensemble ML model for reliable prediction of time- and composition-dependent dissolution behavior of a wide variety of oxide glasses relevant for various biomedical applications. A comprehensive database, comprising of over 1300 data-records consolidated from original glass dissolution experiments, has been used for training and subsequent testing of prediction performance of the ML model. Results demonstrate that the ensemble ML model can predict chemical degradation behavior of glasses in aqueous solutions over a wide range of pH relevant for their usage in a human body where the environment can be highly acidic (for example, pH = 3), for example, due to secretion of citric acid by osteoclasts, or highly alkaline (pH <e2><89><88>10) due to the release of alkali cations from bioactive glasses. Outcomes of this study can be leveraged to design glasses with controlled dissolution behavior in various biological environments. STATEMENT OF SIGNIFICANCE: In this paper, we present an ensemble machine learning (ML) model for prediction of dissolution behavior of a wide variety of oxide glasses relevant for various biomedical applications. The results demonstrate that the ML model can predict the chemical degradation behavior of glasses in aqueous solutions over a wide range of pH relevant for their usage in a human body where the environment can be highly acidic (for example, pH = 3), for example, due to secretion of citric acid by osteoclasts, or highly alkaline (pH <e2><89><88>10) due to the release of alkali cations from bioactive glasses. Outcomes of this study can be leveraged to design new biomedical glasses with controlled (desired) dissolution behavior in various biological environments.",2020,10.1016/j.actbio.2020.02.037,107,NA,286-298,eng,1878-7568 1742-7061,Random forest and Solubility and Biomedical and *Supervised Machine Learning and *Eyeglasses and Additive regression and Biocompatible Materials/*chemistry and Ensemble machine learning and Equipment Design/*methods and Glass dissolution and Glass/*chemistry and Oxides/chemistry,NA,NA,2020/04/15/,Acta Biomater,NA,NA,NA,NA
Puppala_2015_IEtronbien,JOUR,METEOR: An Enterprise Health Informatics Environment to Support Evidence-Based Medicine,"Puppala, Mamta and He, Tiancheng and Chen, Shenyi and Ogunti, Richard and Yu, Xiaohui and Li, Fuhai and Jackson, Robert and Wong, Stephen T. C.",IEEE transactions on bio-medical engineering,"GOAL: The aim of this paper is to propose the design and implementation of next-generation enterprise analytics platform developed at the Houston Methodist Hospital (HMH) system to meet the market and regulatory needs of the healthcare industry. METHODS: For this goal, we developed an integrated clinical informatics environment, i.e., Methodist environment for translational enhancement and outcomes research (METEOR). The framework of METEOR consists of two components: the enterprise data warehouse (EDW) and a software intelligence and analytics (SIA) layer for enabling a wide range of clinical decision support systems that can be used directly by outcomes researchers and clinical investigators to facilitate data access for the purposes of hypothesis testing, cohort identification, data mining, risk prediction, and clinical research training. RESULTS: Data and usability analysis were performed on METEOR components as a preliminary evaluation, which successfully demonstrated that METEOR addresses significant niches in the clinical informatics area, and provides a powerful means for data integration and efficient access in supporting clinical and translational research. CONCLUSION: METEOR EDW and informatics applications improved outcomes, enabled coordinated care, and support health analytics and clinical research at HMH. SIGNIFICANCE: The twin pressures of cost containment in the healthcare market and new federal regulations and policies have led to the prioritization of the meaningful use of electronic health records in the United States. EDW and SIA layers on top of EDW are becoming an essential strategic tool to healthcare institutions and integrated delivery networks in order to support evidence-based medicine at the enterprise level.",2015,10.1109/TBME.2015.2450181,62,12,2776-2786,eng,1558-2531 0018-9294,"Humans and Female and Male and Adult and Middle Aged and Risk Assessment and Aged and Natural Language Processing and *Database Management Systems and Mobile Applications and *Evidence-Based Medicine and *Decision Support Systems, Clinical and *Data Mining and Translational Research, Biomedical",NA,NA,2015/12//undefined,IEEE Trans Biomed Eng,NA,NA,NA,NA
Doyle_2013_IEtronbien,JOUR,Bridging paradigms: hybrid mechanistic-discriminative predictive models,"Doyle, Orla M. and Tsaneva-Atansaova, Krasimira and Harte, James and Tiffin, Paul A. and Tino, Peter and Diaz-Zuccarini, Vanessa",IEEE transactions on bio-medical engineering,"Many disease processes are extremely complex and characterized by multiple stochastic processes interacting simultaneously. Current analytical approaches have included mechanistic models and machine learning (ML), which are often treated as orthogonal viewpoints. However, to facilitate truly personalized medicine, new perspectives may be required. This paper reviews the use of both mechanistic models and ML in healthcare as well as emerging hybrid methods, which are an exciting and promising approach for biologically based, yet data-driven advanced intelligent systems.",2013,10.1109/TBME.2013.2244598,60,3,735-742,eng,1558-2531 0018-9294,"Humans and Evidence-Based Medicine and Chronic Disease and Animals and *Artificial Intelligence and *Models, Biological and *Biomedical Research and *Precision Medicine",NA,NA,2013/03//undefined,IEEE Trans Biomed Eng,NA,NA,NA,NA
Turner_2019_IEtronbien,JOUR,The Classification of Minor Gait Alterations Using Wearable Sensors and Deep Learning,"Turner, Alexander and Hayes, Stephen",IEEE transactions on bio-medical engineering,"OBJECTIVE: This paper describes how non-invasive wearable sensors can be used in combination with deep learning to classify artificially induced gait alterations without the requirement for a medical professional or gait analyst to be present. This approach is motivated by the goal of diagnosing gait abnormalities on a symptom-by-symptom basis, irrespective of other neuromuscular movement disorders the patients may be affected by. This could lead to improvements in treatment and offer a greater insight into movement disorders. METHODS: In-shoe pressure was measured for 12 able-bodied participants, each subject to eight artificially induced gait alterations, achieved by modifying the underside of the shoe. The data were recorded at 100 Hz over 2520 data channels and were analyzed using the deep learning architecture and the long term short term memory networks. Additionally, the rationale for the decision-making process of these networks was investigated. CONCLUSION: Long term short term memory networks are applicable to the classification of the gait function. The classifications can be made using only 2 s of sparse data (82.0% accuracy over 96 000 instances of test data) from participants who were not a part of the training set. SIGNIFICANCE: This paper provides potential for the gait function to be accurately classified using non-invasive techniques, and at more regular intervals, outside of a clinical setting, without the need for healthcare professionals to be present.",2019,10.1109/TBME.2019.2900863,66,11,3136-3145,eng,1558-2531 0018-9294,"Humans and Adult and Young Adult and Pressure and Equipment Design and *Deep Learning and *Wearable Electronic Devices and Gait/*physiology and *Gait Analysis/instrumentation/methods and Walking/physiology and Foot/physiology and Shoes and Signal Processing, Computer-Assisted/instrumentation",NA,NA,2019/11//undefined,IEEE Trans Biomed Eng,NA,NA,NA,NA
Hu_2010_IEtronbien,JOUR,Forecasting ICP elevation based on prescient changes of intracranial pressure waveform morphology,"Hu, Xiao and Xu, Peng and Asgari, Shadnaz and Vespa, Paul and Bergsneider, Marvin",IEEE transactions on bio-medical engineering,"Interventions of intracranial pressure (ICP) elevation in neurocritical care is currently delivered only after healthcare professionals notice sustained and significant mean ICP elevation. This paper uses the morphological clustering and analysis of ICP (MOCAIP) algorithm to derive 24 metrics characterizing morphology of ICP pulses and test the hypothesis that preintracranial hypertension (Pre-IH) segments of ICP can be differentiated, using these morphological metrics, from control segments that were not associated with any ICP elevation or at least 1 h prior to ICP elevation. Furthermore, we investigate whether a global optimization algorithm could effectively find the optimal subset of these morphological metrics to achieve better classification performance as compared to using full set of MOCAIP metrics. The results showed that Pre-IH segments, using the optimal subset of metrics found by the differential evolution algorithm, can be differentiated from control segments at a specificity of 99% and sensitivity of 37% for these Pre-IH segments 5 min prior to the ICP elevation. While the sensitivity decreased to 21% for Pre-IH segments, 20 min prior to ICP elevation, the high specificity of 99% was retained. The performance using the full set of MOCAIP metrics was shown inferior to results achieved using the optimal subset of metrics. This paper demonstrated that advanced ICP pulse analysis combined with machine learning could potentially leads to the forecasting of ICP elevation so that a proactive ICP management could be realized based on these accurate forecasts.",2010,10.1109/TBME.2009.2037607,57,5,1070-1078,eng,1558-2531 0018-9294,"Humans and Forecasting and Prognosis and Computer Simulation and *Artificial Intelligence and Pattern Recognition, Automated/*methods and Diagnosis, Computer-Assisted/*methods and Models, Neurological and *Intracranial Pressure and Intracranial Hypertension/*diagnosis/*physiopathology and Manometry/*methods",NA,NA,2010/05//undefined,IEEE Trans Biomed Eng,NA,NA,NA,NA
Vamsikrishna_2016_IEtronbien,JOUR,Computer-Vision-Assisted Palm Rehabilitation With Supervised Learning,"Vamsikrishna, K. M. and Dogra, Debi Prosad and Desarkar, Maunendra Sankar",IEEE transactions on bio-medical engineering,"Physical rehabilitation supported by the computer-assisted-interface is gaining popularity among health-care fraternity. In this paper, we have proposed a computer-vision-assisted contactless methodology to facilitate palm and finger rehabilitation. Leap motion controller has been interfaced with a computing device to record parameters describing 3-D movements of the palm of a user undergoing rehabilitation. We have proposed an interface using Unity3D development platform. Our interface is capable of analyzing intermediate steps of rehabilitation without the help of an expert, and it can provide online feedback to the user. Isolated gestures are classified using linear discriminant analysis (DA) and support vector machines (SVM). Finally, a set of discrete hidden Markov models (HMM) have been used to classify gesture sequence performed during rehabilitation. Experimental validation using a large number of samples collected from healthy volunteers reveals that DA and SVM perform similarly while applied on isolated gesture recognition. We have compared the results of HMM-based sequence classification with CRF-based techniques. Our results confirm that both HMM and CRF perform quite similarly when tested on gesture sequences. The proposed system can be used for home-based palm or finger rehabilitation in the absence of experts.",2016,10.1109/TBME.2015.2480881,63,5,1001-991,eng,1558-2531 0018-9294,"Humans and *User-Computer Interface and Supervised Machine Learning and Signal Processing, Computer-Assisted and Pattern Recognition, Automated/*methods and *Video Games and Hand/*physiology and Rehabilitation/*methods and *Gestures",NA,NA,2016/05//undefined,IEEE Trans Biomed Eng,NA,NA,NA,NA
Kachuee_2017_IEtronbien,JOUR,Cuffless Blood Pressure Estimation Algorithms for Continuous Health-Care Monitoring,"Kachuee, Mohammad and Kiani, Mohammad Mahdi and Mohammadzade, Hoda and Shabany, Mahdi",IEEE transactions on bio-medical engineering,"GOAL: Continuous blood pressure (BP) monitoring can provide invaluable information about individuals' health conditions. However, BP is conventionally measured using inconvenient cuff-based instruments, which prevents continuous BP monitoring. This paper presents an efficient algorithm, based on the pulse arrival time (PAT), for the continuous and cuffless estimation of the systolic BP, diastolic blood pressure (DBP), and mean arterial pressure (MAP) values. METHODS: The proposed framework estimates the BP values through processing vital signals and extracting two types of features, which are based on either physiological parameters or whole-based representation of vital signals. Finally, the regression algorithms are employed for the BP estimation. Although the proposed algorithm works reliably without any need for calibration, an optional calibration procedure is also suggested, which can improve the system's accuracy even further. RESULTS: The proposed method is evaluated on about a thousand subjects using the Association for the Advancement of Medical Instrumentation (AAMI) and the British Hypertension Society (BHS) standards. The method complies with the AAMI standard in the estimation of DBP and MAP values. Regarding the BHS protocol, the results achieve grade A for the estimation of DBP and grade B for the estimation of MAP. CONCLUSION: We conclude that by using the PAT in combination with informative features from the vital signals, the BP can be accurately and reliably estimated in a noninvasive fashion. SIGNIFICANCE: The results indicate that the proposed algorithm for the cuffless estimation of the BP can potentially enable mobile health-care gadgets to monitor the BP continuously.",2017,10.1109/TBME.2016.2580904,64,4,859-869,eng,1558-2531 0018-9294,"Humans and Machine Learning and Sensitivity and Specificity and Reproducibility of Results and *Algorithms and Equipment Failure Analysis and Equipment Design and Monitoring, Ambulatory/instrumentation/*methods and Blood Pressure/*physiology and Blood Pressure Determination/instrumentation/*methods and Blood Pressure Monitors and Diagnosis, Computer-Assisted/instrumentation/*methods and Pulse Wave Analysis/instrumentation/*methods",NA,NA,2017/04//undefined,IEEE Trans Biomed Eng,NA,NA,NA,NA
Akbari_2020_IEtronbien,JOUR,Personalizing Activity Recognition Models Through Quantifying Different Types of Uncertainty Using Wearable Sensors,"Akbari, Ali and Jafari, Roozbeh",IEEE transactions on bio-medical engineering,"Recognizing activities of daily living (ADL) provides vital contextual information that enhances the effectiveness of various mobile health and wellness applications. Development of wearable motion sensors along with machine learning algorithms offer a great opportunity for ADL recognition. However, the performance of the ADL recognition systems may significantly degrade when they are used by a new user due to inter-subject variability. This issue limits the usability of these systems. In this paper, we propose a deep learning assisted personalization framework for ADL recognition with the aim to maximize the personalization performance while minimizing solicitation of inputs or labels from the user to reduce user's burden. The proposed framework consists of unsupervised retraining of automatic feature extraction layers and supervised fine-tuning of classification layers through a novel active learning model based on a given model's uncertainty. We design a Bayesian deep convolutional neural network with stochastic latent variables that allows us to estimate both aleatoric (data-dependent) and epistemic (model-dependent) uncertainties in recognition task. In this study, for the first time, we show how distinguishing between the two aforementioned sources of uncertainty leads to more effective active learning. The experimental results show that our proposed method improves the accuracy of ADL recognition on a new user by 25% on average compared to the case of using a model for a new user with no personalization with an average final accuracy of 89.2%. Moreover, our method achieves higher personalization accuracy while significantly reducing user's burden in terms of soliciting inputs and labels compared to other methods.",2020,10.1109/TBME.2019.2963816,67,9,2530-2541,eng,1558-2531 0018-9294,"Uncertainty and Humans and Algorithms and Bayes Theorem and *Activities of Daily Living and Neural Networks, Computer and *Wearable Electronic Devices",NA,NA,2020/09//undefined,IEEE Trans Biomed Eng,NA,NA,NA,NA
