label,type,title,author,journal,abstract,year,doi,volume,issue,pages,language,issn,keywords,url,institution,DA,j2,DP,l1,l2,ST
Stone_2016_Joofcrca,JOUR,Actuating critical care therapeutics,"Stone, David J. and Csete, Marie",Journal of critical care,"Viewing the intensive care unit (ICU) as a control system with inputs (patients) and outputs (outcomes), we focus on actuation (therapies) of the system and how to enhance our understanding of status of patients and their trajectory in the ICU. To incorporate the results of these analytics meaningfully, we feel that a reassessment of predictive scoring systems and of ways to optimally characterize and display the patient's ""state space"" to clinicians is important. Advances in sensing (diagnostics) and computation have not yet led to significantly better actuation, and so we focus on ways that data can be used to improve actuation in the ICU, in particular by following therapeutic burden along with disease severity. This article is meant to encourage discussion about how the critical care community can best deal with the data they see each day, and prepare for recommendations that will inevitably arise from application of major federal and state initiatives in big data analytics and precision medicine.",2016,10.1016/j.jcrc.2016.05.002,35,NA,90-95,eng,1557-8615 0883-9441,"Risk and United States and Risk analysis and Humans and Data Interpretation, Statistical and Critical Care/*standards and APACHE and *Critical Pathways and *Outcome Assessment, Health Care and Intensive Care Units/standards and Predictive monitoring and Risk stratification and Systemic inflammation and Therapeutic load",NA,NA,2016/10//undefined,J Crit Care,NA,NA,NA,NA
Bulgarelli_2020_Joofcrca,JOUR,"Prediction on critically ill patients: The role of ""big data""","Bulgarelli, Lucas and Deliberato, Rodrigo Octavio and Johnson, Alistair E. W.",Journal of critical care,"Accurate outcome prediction in Intensive Care Units (ICUs) would allow for better treatment planning, risk adjustment of study populations, and overall improvements in patient care. In the past, prognostic models have focused on mortality using simple ordinal severity of illness scores which could be tabulated manually by a human. With the improvements in computing power and proliferation of electronic medical records, entirely new approaches have become possible. Here we review the latest advances in outcome prediction, paying close attention to methods which are widely applicable and provide a high-level overview of the challenges the field currently faces.",2020,10.1016/j.jcrc.2020.07.017,60,NA,64-68,eng,1557-8615 0883-9441,Machine learning and Humans and Electronic Health Records and Hospital Mortality and Prognosis and Length of Stay and Critical Illness and Critical Care and Delivery of Health Care/*methods and *Machine Learning and *Severity of Illness Index and *Intensive Care Units and Critical Care/*methods and Outcome prediction,NA,NA,2020/12//undefined,J Crit Care,NA,NA,NA,NA
Le_2020_Joofcrca,JOUR,Supervised machine learning for the early prediction of acute respiratory distress syndrome (ARDS),"Le, Sidney and Pellegrini, Emily and Green-Saxena, Abigail and Summers, Charlotte and Hoffman, Jana and Calvert, Jacob and Das, Ritankar",Journal of critical care,"PURPOSE: Acute respiratory distress syndrome (ARDS) is a serious respiratory condition with high mortality and associated morbidity. The objective of this study is to develop and evaluate a novel application of gradient boosted tree models trained on patient health record data for the early prediction of ARDS. MATERIALS AND METHODS: 9919 patient encounters were retrospectively analyzed from the Medical Information Mart for Intensive Care III (MIMIC-III) data base. XGBoost gradient boosted tree models for early ARDS prediction were created using routinely collected clinical variables and numerical representations of radiology reports as inputs. XGBoost models were iteratively trained and validated using 10-fold cross validation. RESULTS: On a hold-out test set, algorithm classifiers attained area under the receiver operating characteristic curve (AUROC) values of 0.905 when tested for the detection of ARDS at onset and 0.827, 0.810, and 0.790 for the prediction of ARDS at 12-, 24-, and 48-h windows prior to onset, respectively. CONCLUSION: Supervised machine learning predictions may help predict patients with ARDS up to 48 h prior to onset.",2020,10.1016/j.jcrc.2020.07.019,60,NA,102-96,eng,1557-8615 0883-9441,"Machine learning and Electronic health records and Humans and Female and Male and Adolescent and Adult and Middle Aged and Young Adult and Retrospective Studies and Aged and Databases, Factual and Risk Factors and Medical informatics and Area Under Curve and ROC Curve and Clinical decision support systems and Early Diagnosis and Intensive Care Units and Acute respiratory distress syndrome and *Supervised Machine Learning and Critical Care/*methods and Intensive care unit and Respiratory Distress Syndrome/*diagnosis",NA,NA,2020/12//undefined,J Crit Care,NA,NA,NA,NA
He_2020_Critcaremedi,JOUR,Early Sepsis Prediction Using Ensemble Learning With Deep Features and Artificial Features Extracted From Clinical Electronic Health Records,"He, Zhengling and Du, Lidong and Zhang, Pengfei and Zhao, Rongjian and Chen, Xianxiang and Fang, Zhen",Critical care medicine,"OBJECTIVES: Sepsis is caused by infection and subsequent overreaction of immune system and will severely threaten human life. The early prediction is important for the treatment of sepsis. This report aims to develop an early prediction method for sepsis 6 hours ahead on the basis of clinical electronic health records. DATA SOURCES: Challenge data are released by PhysioNet/Computing in Cardiology Challenge 2019 and obtained from ICU patients in three separate hospital systems. Part of the data from two datasets, including 40,336 subjects, are publicly available, and the remaining are used as hidden test set. A normalized utility score defined by the organizing committee is used for model performance evaluation. STUDY SELECTION: The supervised machine learning is applied to tackle this challenge. Specifically, we establish the prediction model under the framework of ensemble learning by integrating the artificial features based on clinical prior knowledge of sepsis with deep features automatically extracted by long short-term memory neural network. DATA EXTRACTION: Forty clinical variables, including eight vital signs, 26 laboratory values, and six demographics, were measured and recorded once an hour for each individual, and the binary label (0 or 1) was simultaneously provided for each item. DATA SYNTHESIS: The proposed model was evaluated by 30-fold cross-validation. The sensitivity, specificity, and normalized utility score were 0.641 <c2><b1> 0.022, 0.844 <c2><b1> 0.007, and 0.401 <c2><b1> 0.019 on publicly available datasets, respectively. The final normalized utility score our team (UCAS_DataMiner) has obtained was 0.313 on full hidden test set (0.406, 0.373, and -0.215 on test set A, B, and C, respectively). CONCLUSIONS: We realized a 6-hour ahead early-onset prediction of sepsis on the basis of clinical electronic health record by ensemble learning. The results indicated the proposed model functioned well in the early prediction of sepsis. In particular, ensemble learning had a significant (p < 0.01) improvement than any single model in performance.",2020,10.1097/CCM.0000000000004644,48,12,e1337-e1342,eng,1530-0293 0090-3493,"Humans and Reproducibility of Results and Artificial Intelligence and Early Diagnosis and Supervised Machine Learning and Neural Networks, Computer and Intensive Care Units/statistics & numerical data and *Deep Learning and Electronic Health Records/*statistics & numerical data and Sepsis/*diagnosis/etiology",NA,NA,2020/12//undefined,Crit Care Med,NA,NA,NA,NA
Shillan_2019_Critcare.LonEngl,JOUR,Use of machine learning to analyse routinely collected intensive care unit data: a systematic review,"Shillan, Duncan and Sterne, Jonathan A. C. and Champneys, Alan and Gibbison, Ben","Critical care (London, England)","BACKGROUND: Intensive care units (ICUs) face financial, bed management, and staffing constraints. Detailed data covering all aspects of patients' journeys into and through intensive care are now collected and stored in electronic health records: machine learning has been used to analyse such data in order to provide decision support to clinicians. METHODS: Systematic review of the applications of machine learning to routinely collected ICU data. Web of Science and MEDLINE databases were searched to identify candidate articles: those on image processing were excluded. The study aim, the type of machine learning used, the size of dataset analysed, whether and how the model was validated, and measures of predictive accuracy were extracted. RESULTS: Of 2450 papers identified, 258 fulfilled eligibility criteria. The most common study aims were predicting complications (77 papers [29.8% of studies]), predicting mortality (70 [27.1%]), improving prognostic models (43 [16.7%]), and classifying sub-populations (29 [11.2%]). Median sample size was 488 (IQR 108-4099): 41 studies analysed data on > 10,000 patients. Analyses focused on 169 (65.5%) papers that used machine learning to predict complications, mortality, length of stay, or improvement of health. Predictions were validated in 161 (95.2%) of these studies: the area under the ROC curve (AUC) was reported by 97 (60.2%) but only 10 (6.2%) validated predictions using independent data. The median AUC was 0.83 in studies of 1000-10,000 patients, rising to 0.94 in studies of > 100,000 patients. The most common machine learning methods were neural networks (72 studies [42.6%]), support vector machines (40 [23.7%]), and classification/decision trees (34 [20.1%]). Since 2015 (125 studies [48.4%]), the most common methods were support vector machines (37 studies [29.6%]) and random forests (29 [23.2%]). CONCLUSIONS: The rate of publication of studies using machine learning to analyse routinely collected ICU data is increasing rapidly. The sample sizes used in many published studies are too small to exploit the potential of these methods. Methodological and reporting guidelines are needed, particularly with regard to the choice of method and validation of predictions, to increase confidence in reported findings and aid in translating findings towards routine use in clinical practice.",2019,10.1186/s13054-019-2564-9,23,1,284,eng,1466-609X 1364-8535,Machine learning and Artificial intelligence and Humans and Electronic Health Records and Female and Male and Adult and Intensive Care Units/organization & administration and Data Analysis and Intensive care unit and Machine Learning/*standards/trends and Routinely collected data,NA,NA,2019/08/22/,Crit Care,NA,NA,NA,NA
Cho_2020_Critcaremedi,JOUR,Detecting Patient Deterioration Using Artificial Intelligence in a Rapid Response System,"Cho, Kyung-Jae and Kwon, Oyeon and Kwon, Joon-Myoung and Lee, Yeha and Park, Hyunho and Jeon, Ki-Hyun and Kim, Kyung-Hee and Park, Jinsik and Oh, Byung-Hee",Critical care medicine,"OBJECTIVES: As the performance of a conventional track and trigger system in a rapid response system has been unsatisfactory, we developed and implemented an artificial intelligence for predicting in-hospital cardiac arrest, denoted the deep learning-based early warning system. The purpose of this study was to compare the performance of an artificial intelligence-based early warning system with that of conventional methods in a real hospital situation. DESIGN: Retrospective cohort study. SETTING: This study was conducted at a hospital in which deep learning-based early warning system was implemented. PATIENTS: We reviewed the records of adult patients who were admitted to the general ward of our hospital from April 2018 to March 2019. INTERVENTIONS: The study population included 8,039 adult patients. A total 83 events of deterioration occurred during the study period. The outcome was events of deterioration, defined as cardiac arrest and unexpected ICU admission. We defined a true alarm as an alarm occurring within 0.5-24 hours before a deteriorating event. MEASUREMENTS AND MAIN RESULTS: We used the area under the receiver operating characteristic curve, area under the precision-recall curve, number needed to examine, and mean alarm count per day as comparative measures. The deep learning-based early warning system (area under the receiver operating characteristic curve, 0.865; area under the precision-recall curve, 0.066) outperformed the modified early warning score (area under the receiver operating characteristic curve, 0.682; area under the precision-recall curve, 0.010) and reduced the number needed to examine and mean alarm count per day by 69.2% and 59.6%, respectively. At the same specificity, deep learning-based early warning system had up to 257% higher sensitivity than conventional methods. CONCLUSIONS: The developed artificial intelligence based on deep-learning, deep learning-based early warning system, accurately predicted deterioration of patients in a general ward and outperformed conventional methods. This study showed the potential and effectiveness of artificial intelligence in an rapid response system, which can be applied together with electronic health records. This will be a useful method to identify patients with deterioration and help with precise decision-making in daily practice.",2020,10.1097/CCM.0000000000004236,48,4,e285-e289,eng,1530-0293 0090-3493,Humans and Female and Male and Adult and Middle Aged and Retrospective Studies and Algorithms and ROC Curve and *Artificial Intelligence and Risk Assessment/methods and *Critical Illness and *Vital Signs and *Clinical Deterioration and Heart Arrest/diagnosis and Hospital Rapid Response Team/*organization & administration,NA,NA,2020/04//undefined,Crit Care Med,NA,NA,NA,NA
Zador_2019_Critcare.LonEngl,JOUR,Multimorbidity states associated with higher mortality rates in organ dysfunction and sepsis: a data-driven analysis in critical care,"Zador, Zsolt and Landry, Alexander and Cusimano, Michael D. and Geifman, Nophar","Critical care (London, England)","BACKGROUND: Sepsis remains a complex medical problem and a major challenge in healthcare. Diagnostics and outcome predictions are focused on physiological parameters with less consideration given to patients' medical background. Given the aging population, not only are diseases becoming increasingly prevalent but occur more frequently in combinations (""multimorbidity""). We hypothesized the existence of patient subgroups in critical care with distinct multimorbidity states. We further hypothesize that certain multimorbidity states associate with higher rates of organ failure, sepsis, and mortality co-occurring with these clinical problems. METHODS: We analyzed 36,390 patients from the open source Medical Information Mart for Intensive Care III (MIMIC III) dataset. Morbidities were defined based on Elixhauser categories, a well-established scheme distinguishing 30 classes of chronic diseases. We used latent class analysis to identify distinct patient subgroups based on demographics, admission type, and morbidity compositions and compared the prevalence of organ dysfunction, sepsis, and inpatient mortality for each subgroup. RESULTS: We identified six clinically distinct multimorbidity subgroups labeled based on their dominant Elixhauser disease classes. The ""cardiopulmonary"" and ""cardiac"" subgroups consisted of older patients with a high prevalence of cardiopulmonary conditions and constituted 6.1% and 26.4% of study cohort respectively. The ""young"" subgroup included 23.5% of the cohort composed of young and healthy patients. The ""hepatic/addiction"" subgroup, constituting 9.8% of the cohort, consisted of middle-aged patients (mean age of 52.25, 95% CI 51.85-52.65) with the high rates of depression (20.1%), alcohol abuse (47.75%), drug abuse (18.2%), and liver failure (67%). The ""complicated diabetics"" and ""uncomplicated diabetics"" subgroups constituted 9.4% and 24.8% of the study cohort respectively. The complicated diabetics subgroup demonstrated higher rates of end-organ complications (88.3% prevalence of renal failure). Rates of organ dysfunction and sepsis ranged 19.6-69% and 12.5-46.7% respectively in the six subgroups. Mortality co-occurring with organ dysfunction and sepsis ranges was 8.4-23.8% and 11.7-27.4% respectively. These adverse outcomes were most prevalent in the hepatic/addiction subgroup. CONCLUSION: We identify distinct multimorbidity states that associate with relatively higher prevalence of organ dysfunction, sepsis, and co-occurring mortality. The findings promote the incorporation of multimorbidity in healthcare models and the shift away from the current single-disease paradigm in clinical practice, training, and trial design.",2019,10.1186/s13054-019-2486-6,23,1,247,eng,1466-609X 1364-8535,Machine learning and Humans and Female and Male and Adult and Middle Aged and Aged and Cohort Studies and Sepsis and Organ Dysfunction Scores and Data analytics and Multimorbidity and Critical Care/methods/trends and Latent class analysis and Multimorbidity/*trends and Multiple Organ Failure and Sepsis/*complications/*mortality,NA,NA,2019/07/08/,Crit Care,NA,NA,NA,NA
Delahanty_2018_Critcaremedi,JOUR,Development and Evaluation of an Automated Machine Learning Algorithm for In-Hospital Mortality Risk Adjustment Among Critical Care Patients,"Delahanty, Ryan J. and Kaufman, David and Jones, Spencer S.",Critical care medicine,"OBJECTIVES: Risk adjustment algorithms for ICU mortality are necessary for measuring and improving ICU performance. Existing risk adjustment algorithms are not widely adopted. Key barriers to adoption include licensing and implementation costs as well as labor costs associated with human-intensive data collection. Widespread adoption of electronic health records makes automated risk adjustment feasible. Using modern machine learning methods and open source tools, we developed and evaluated a retrospective risk adjustment algorithm for in-hospital mortality among ICU patients. The Risk of Inpatient Death score can be fully automated and is reliant upon data elements that are generated in the course of usual hospital processes. SETTING: One hundred thirty-one ICUs in 53 hospitals operated by Tenet Healthcare. PATIENTS: A cohort of 237,173 ICU patients discharged between January 2014 and December 2016. DESIGN: The data were randomly split into training (36 hospitals), and validation (17 hospitals) data sets. Feature selection and model training were carried out using the training set while the discrimination, calibration, and accuracy of the model were assessed in the validation data set. MEASUREMENTS AND MAIN RESULTS: Model discrimination was evaluated based on the area under receiver operating characteristic curve; accuracy and calibration were assessed via adjusted Brier scores and visual analysis of calibration curves. Seventeen features, including a mix of clinical and administrative data elements, were retained in the final model. The Risk of Inpatient Death score demonstrated excellent discrimination (area under receiver operating characteristic curve = 0.94) and calibration (adjusted Brier score = 52.8%) in the validation dataset; these results compare favorably to the published performance statistics for the most commonly used mortality risk adjustment algorithms. CONCLUSIONS: Low adoption of ICU mortality risk adjustment algorithms impedes progress toward increasing the value of the healthcare delivered in ICUs. The Risk of Inpatient Death score has many attractive attributes that address the key barriers to adoption of ICU risk adjustment algorithms and performs comparably to existing human-intensive algorithms. Automated risk adjustment algorithms have the potential to obviate known barriers to adoption such as cost-prohibitive licensing fees and significant direct labor costs. Further evaluation is needed to ensure that the level of performance observed in this study could be achieved at independent sites.",2018,10.1097/CCM.0000000000003011,46,6,e481-e488,eng,1530-0293 0090-3493,"Humans and Female and Male and Middle Aged and Hospital Mortality and Algorithms and Models, Statistical and Intensive Care Units/*statistics & numerical data and *Unsupervised Machine Learning and Risk Adjustment/methods",NA,NA,2018/06//undefined,Crit Care Med,NA,NA,NA,NA
Johnson_2013_Critcaremedi,JOUR,A new severity of illness scale using a subset of Acute Physiology And Chronic Health Evaluation data elements shows comparable predictive accuracy,"Johnson, Alistair E. W. and Kramer, Andrew A. and Clifford, Gari D.",Critical care medicine,"OBJECTIVES: Severity of illness scores have gained considerable interest for their use in predicting outcomes such as mortality and length of stay. The most sophisticated scoring systems require the collection of numerous physiologic measurements, making their use in real-time difficult. A severity of illness score based on a few parameters that can be captured electronically would be of great benefit. Using a machine-learning technique known as particle swarm optimization, we attempted to reduce the number of physiologic parameters collected in the Acute Physiology, Age, and Chronic Health Evaluation IV system without losing predictive accuracy. DESIGN: Retrospective cohort study of ICU admissions from 2007 to 2011. SETTING: Eighty-six ICUs at 49 U.S. hospitals where an Acute Physiology, Age, and Chronic Health Evaluation IV system had been installed. PATIENTS: 81,087 admissions, of which 72,474 did not have any missing values. INTERVENTIONS: None. MEASUREMENTS AND MAIN RESULTS: Machine-learning algorithms were used to come up with the minimal set of variables that were capable of yielding an accurate severity of illness score: the Oxford Acute Severity of Illness Score. Predictive models of ICU mortality using Oxford Acute Severity of Illness Score were developed on admissions during 2007-2009 and validated on admissions during 2010-2011. The most parsimonious Oxford Acute Severity of Illness Score consisted of seven physiologic measurements, elective surgery, age, and prior length of stay. Predictive models of ICU mortality using Oxford Acute Severity of Illness Score achieved an area under the receiver operating characteristic curve of 0.88 and calibrated well. CONCLUSIONS: A reduced severity of illness score had discrimination and calibration equivalent to more complex existing models. This was accomplished in large part using machine-learning algorithms, which can effectively account for the nonlinear associations between physiologic parameters and outcome.",2013,10.1097/CCM.0b013e31828a24fe,41,7,1711-1718,eng,1530-0293 0090-3493,Humans and Female and Male and Middle Aged and Retrospective Studies and Chronic Disease and Sensitivity and Specificity and Artificial Intelligence and ROC Curve and Racial Groups and Length of Stay and Intensive Care Units/*statistics & numerical data and APACHE and *Health Status Indicators,NA,NA,2013/07//undefined,Crit Care Med,NA,NA,NA,NA
Nemati_2018_Critcaremedi,JOUR,An Interpretable Machine Learning Model for Accurate Prediction of Sepsis in the ICU,"Nemati, Shamim and Holder, Andre and Razmi, Fereshteh and Stanley, Matthew D. and Clifford, Gari D. and Buchman, Timothy G.",Critical care medicine,"OBJECTIVES: Sepsis is among the leading causes of morbidity, mortality, and cost overruns in critically ill patients. Early intervention with antibiotics improves survival in septic patients. However, no clinically validated system exists for real-time prediction of sepsis onset. We aimed to develop and validate an Artificial Intelligence Sepsis Expert algorithm for early prediction of sepsis. DESIGN: Observational cohort study. SETTING: Academic medical center from January 2013 to December 2015. PATIENTS: Over 31,000 admissions to the ICUs at two Emory University hospitals (development cohort), in addition to over 52,000 ICU patients from the publicly available Medical Information Mart for Intensive Care-III ICU database (validation cohort). Patients who met the Third International Consensus Definitions for Sepsis (Sepsis-3) prior to or within 4 hours of their ICU admission were excluded, resulting in roughly 27,000 and 42,000 patients within our development and validation cohorts, respectively. INTERVENTIONS: None. MEASUREMENTS AND MAIN RESULTS: High-resolution vital signs time series and electronic medical record data were extracted. A set of 65 features (variables) were calculated on hourly basis and passed to the Artificial Intelligence Sepsis Expert algorithm to predict onset of sepsis in the proceeding T hours (where T = 12, 8, 6, or 4). Artificial Intelligence Sepsis Expert was used to predict onset of sepsis in the proceeding T hours and to produce a list of the most significant contributing factors. For the 12-, 8-, 6-, and 4-hour ahead prediction of sepsis, Artificial Intelligence Sepsis Expert achieved area under the receiver operating characteristic in the range of 0.83-0.85. Performance of the Artificial Intelligence Sepsis Expert on the development and validation cohorts was indistinguishable. CONCLUSIONS: Using data available in the ICU in real-time, Artificial Intelligence Sepsis Expert can accurately predict the onset of sepsis in an ICU patient 4-12 hours prior to clinical recognition. A prospective study is necessary to determine the clinical utility of the proposed sepsis prediction model.",2018,10.1097/CCM.0000000000002936,46,4,547-553,eng,1530-0293 0090-3493,"Humans and Electronic Health Records and Female and Male and Middle Aged and Aged and Time Factors and Sex Factors and Socioeconomic Factors and Comorbidity and ROC Curve and Age Factors and Severity of Illness Index and Academic Medical Centers and Heart Rate and Blood Pressure and Critical Illness and Vital Signs and Electrocardiography and Time-to-Treatment and *Decision Support Systems, Clinical and *Machine Learning and *Intensive Care Units and Organ Dysfunction Scores and Hospital Mortality/trends and Sepsis/*diagnosis/mortality",NA,NA,2018/04//undefined,Crit Care Med,NA,NA,NA,NA
