label,type,title,author,journal,abstract,year,doi,volume,issue,pages,language,issn,keywords,url,institution,DA,j2,DP,l1,l2,ST
Schwendicke_2020_Joofdere,JOUR,Artificial Intelligence in Dentistry: Chances and Challenges,"Schwendicke, F. and Samek, W. and Krois, J.",Journal of dental research,"The term ""artificial intelligence"" (AI) refers to the idea of machines being capable of performing human tasks. A subdomain of AI is machine learning (ML), which ""learns"" intrinsic statistical patterns in data to eventually cast predictions on unseen data. Deep learning is a ML technique using multi-layer mathematical operations for learning and inferring on complex data like imagery. This succinct narrative review describes the application, limitations and possible future of AI-based dental diagnostics, treatment planning, and conduct, for example, image analysis, prediction making, record keeping, as well as dental research and discovery. AI-based applications will streamline care, relieving the dental workforce from laborious routine tasks, increasing health at lower costs for a broader population, and eventually facilitate personalized, predictive, preventive, and participatory dentistry. However, AI solutions have not by large entered routine dental practice, mainly due to 1) limited data availability, accessibility, structure, and comprehensiveness, 2) lacking methodological rigor and standards in their development, 3) and practical questions around the value and usefulness of these solutions, but also ethics and responsibility. Any AI application in dentistry should demonstrate tangible value by, for example, improving access to and quality of care, increasing efficiency and safety of services, empowering and enabling patients, supporting medical research, or increasing sustainability. Individual privacy, rights, and autonomy need to be put front and center; a shift from centralized to distributed/federated learning may address this while improving scalability and robustness. Lastly, trustworthiness into, and generalizability of, dental AI solutions need to be guaranteed; the implementation of continuous human oversight and standards grounded in evidence-based dentistry should be expected. Methods to visualize, interpret, and explain the logic behind AI solutions will contribute (""explainable AI""). Dental education will need to accompany the introduction of clinical AI solutions by fostering digital literacy in the future dental workforce.",2020,10.1177/0022034520915714,99,7,769-774,eng,1544-0591 0022-0345,"deep learning and machine learning and decision-making and Humans and Forecasting and Image Processing, Computer-Assisted and *Artificial Intelligence and informatics and dental and Dentistry and diagnostic systems",NA,NA,2020/07//undefined,J Dent Res,NA,NA,NA,NA
Shan_2021_Joofdere,JOUR,Application of Artificial Intelligence in Dentistry,"Shan, T. and Tay, F. R. and Gu, L.",Journal of dental research,"Artificial intelligence (AI) is a technology that utilizes machines to mimic intelligent human behavior. To appreciate human-technology interaction in the clinical setting, augmented intelligence has been proposed as a cognitive extension of AI in health care, emphasizing its assistive and supplementary role to medical professionals. While truly autonomous medical robotic systems are still beyond reach, the virtual component of AI, known as software-type algorithms, is the main component used in dentistry. Because of their powerful capabilities in data analysis, these virtual algorithms are expected to improve the accuracy and efficacy of dental diagnosis, provide visualized anatomic guidance for treatment, simulate and evaluate prospective results, and project the occurrence and prognosis of oral diseases. Potential obstacles in contemporary algorithms that prevent routine implementation of AI include the lack of data curation, sharing, and readability; the inability to illustrate the inner decision-making process; the insufficient power of classical computing; and the neglect of ethical principles in the design of AI frameworks. It is necessary to maintain a proactive attitude toward AI to ensure its affirmative development and promote human-technology rapport to revolutionize dental practice. The present review outlines the progress and potential dental applications of AI in medical-aided diagnosis, treatment, and disease prediction and discusses their data limitations, interpretability, computing power, and ethical considerations, as well as their impact on dentists, with the objective of creating a backdrop for future research in this rapidly expanding arena.",2021,10.1177/0022034520969115,100,3,232-244,eng,1544-0591 0022-0345,Software and machine learning and Humans and neural networks and Prospective Studies and big data and clinical decision making and *Algorithms and *Artificial Intelligence and informatics and dental and Dentistry,NA,NA,2021/03//undefined,J Dent Res,NA,NA,NA,NA
Nosrat_2021_Joofen,JOUR,Postoperative Pain: An Analysis on Evolution of Research in Half-Century,"Nosrat, Ali and Dianat, Omid and Verma, Prashant and Nixdorf, Donald R. and Law, Alan S.",Journal of endodontics,"INTRODUCTION: Examining the evolution of research parameters helps scientists to discover the well-developed and neglected aspects of knowledge. Pain after root canal treatment is a health problem affecting millions of patients. Research in this field has a meaningful impact on quality of lives. The aim of this study was to analyze the evolution of research on postoperative pain over the past 50 years. METHODS: Electronic searches were performed in Scopus and MEDLINE databases to identify studies on pain after nonsurgical root canal treatments/retreatments. The full texts of eligible articles were reviewed to determine the study category and to extract and analyze the methodological variables. A series of statistical analyses were performed to determine the trend of publications based on the variable of interest over time. RESULTS: Four hundred twenty-four articles were included. There was a positive trend for systematic reviews, studies with sample size <200, studies on single-visit treatment, and clinical trials on instrumentation and adjunct treatments (P < .05). There was a negative trend for the use of numeric rating scales, studies on multiple-visit treatments, clinical trials on medication/medicament, and studies on pain in maxillary incisors (P < .05). No trend was observed based on pulpal diagnosis or for studies with longer observation periods (>8 weeks) (P > .05). CONCLUSIONS: A paradigm shift is needed toward clinical studies with larger sample sizes, longer observation periods, and more focus on pulpal diagnoses associated with higher rates of postoperative pain. There is a need to view postoperative pain as an important patient-centered outcome and to develop and disseminate standard reporting guidelines for future studies.",2021,10.1016/j.joen.2020.11.021,47,3,358-365,eng,1878-3554 0099-2399,"Humans and Bibliometrics and Big data analytics and science and Research Design and pain and evolution and *Pain, Postoperative and *Root Canal Therapy/adverse effects and endodontics and trend",NA,NA,2021/03//undefined,J Endod,NA,NA,NA,NA
Joda_2021_Joofdere,JOUR,Disruptive Innovation in Dentistry: What It Is and What Could Be Next,"Joda, T. and Yeung, A. W. K. and Hung, K. and Zitzmann, N. U. and Bornstein, M. M.",Journal of dental research,"Dentistry is a technically oriented profession, and the health care sector is significantly influenced by the ubiquitous trend of digitalization. Some of these digital developments have the potential to result in disruptive changes for dental practice, while others may turn out to be just a pipedream. This Discovery! essay focuses on innovations built on artificial intelligence (AI) as the center-technology influencing 1) dental eHealth data management, 2) clinical and technical health care applications, and 3) services and operations. AI systems enable personalized dental medicine workflows by analyzing all eHealth data gathered from an individual patient. Besides dental-specific data, this also includes genomic, proteomic, and metabolomic information and therefore facilitates optimized and personalized treatment strategies and risk management. Based on the power of AI, the triangular frame of ""data""/""health care""/""service"" is supplemented by technological advancements in the field of social media, Internet of things, augmented and virtual reality, rapid prototyping, and intraoral optical scanning as well as teledentistry. Innovation continues to be critical to tackle dental problems until its routine implementation based on sound scientific evidence. Novel technologies must be viewed critically in relation to the cost-benefit ratio and the ethical implications of a misleading diagnosis or treatment produced by AI algorithms. Highly sensitive eHealth data must be handled responsibly to enable the immense benefits of these technologies to be realized for society. The focus on patient-centered research and the development of personalized dental medicine have the potential to improve individual and public health, as well as clarify the interconnectivity of disease in a more cost-effective way.",2021,10.1177/0022034520978774,100,5,448-453,eng,1544-0591 0022-0345,artificial intelligence and Humans and Delivery of Health Care and Algorithms and digital transformation and augmented reality and *Artificial Intelligence and Dentistry and personalized dental medicine and rapid prototyping and *Proteomics and teledentistry,NA,NA,2021/05//undefined,J Dent Res,NA,NA,NA,NA
Stamm_2020_Clinoralinve,JOUR,Regional and gender differences in population-based oral health insurance data,"Stamm, Tanja and Ritschl, Valentin and Platzer, Alexander and Omara, Maisa and Mosor, Erika and Reichardt, Berthold and Schmitl, Lina and Behanova, Martina and Bekes, Katrin",Clinical oral investigations,"OBJECTIVE: Early dental monitoring contributes substantially to good oral health in children. However, little is known on whether children from different geographical regions and gender are equally reached with current preventive and curative oral health strategies. The aim of our study therefore was to explore regional and gender differences in a population-based oral health dataset of Austrian children up to the age of 14. MATERIALS AND METHODS: We extracted the first electronically available health insurance data of children aged up to 14 years on dental services within a 4-year observation period in Austria and performed a separate analysis in up to 6-year-old children. In addition, we used a smaller randomly selected sample dataset of 3000 children as the large numbers would result in significant, but very small effects. RESULTS: In a total of 130,895 children, of whom 77,173 children (59%) were up to the age of six, we detected an east-west gradient: The eastern regions of Austria showed an older age at first contact and a higher number of dental services. A child aged up to 6 years who needed more than four dental services had a likelihood of 40% to be from Vienna, Austria's capital city located in the east. The smaller random sample did not show significant gender differences. CONCLUSIONS: Even in regions with a high density of dentists, such as Vienna, we obviously did not reach young children in the same extent as in other regions. CLINICAL RELEVANCE: Stratified interventions could be developed to overcome regional inequalities.",2020,10.1007/s00784-019-03090-w,24,7,2331-2339,eng,1436-3771 1432-6981,"Machine learning and Humans and Adolescent and Child and Child, Preschool and Sex Factors and Insurance Coverage and Socioeconomic Factors and Health services research and *Oral Health and *Dental Caries/epidemiology/prevention & control and *Insurance, Dental/statistics & numerical data and Austria/epidemiology and Oral health-related quality of life and Pediatric dentistry and Population-based data",NA,NA,2020/07//undefined,Clin Oral Investig,NA,NA,NA,NA
Dechouniotis_2010_Joofen,JOUR,Influence of specialty training and experience on endodontic decision making,"Dechouniotis, George and Petridis, Xenos M. and Georgopoulou, Maria K.",Journal of endodontics,"INTRODUCTION: The purpose of this study was to compare decision-making choices among dentists with different levels of training. METHODS: Scanned periapical radiographs and a leaflet with relevant information of 17 endodontically treated teeth were mailed to 40 undergraduate students, 25 general practitioners, 20 postgraduate students, and 40 endodontists. All teeth were symptom-free. The hypothetical scenario referred to patients who sought treatment for first time and had noncontributory medical history. Five treatment options were given for each situation: (1) Extraction, (2) Surgical Retreatment, (3) Nonsurgical Retreatment, (4) Wait and See, and (5) No Therapy. Statistical analysis was performed by using multinomial logistic regression models. RESULTS: The overall response rate was 70.4%, with endodontists exhibiting the lowest response. The undergraduates gave 4 or 5 treatment solutions for all cases, in contrast to endodontists, who gave 2 or 3 treatment solutions in a percentage of 82%. Nonsurgical Retreatment predominated among the participants' choices. Significant differences were detected in (1) Extraction for postgraduate students (P = .008) and endodontists (P = .001), (2) Surgical Retreatment for general practitioners (P = .002), postgraduate students (P = .002), and endodontists (P = .001), and (3) Wait and See for postgraduate students (P = .023). CONCLUSIONS: Differences in specialty training and experience strongly influence endodontic decision making. Endodontists showed the most consistent agreement among the groups.",2010,10.1016/j.joen.2010.03.023,36,7,1130-1134,eng,1878-3554 0099-2399,"Humans and Patient Care Planning and *Decision Making and *Clinical Competence and *Root Canal Therapy and Education, Dental, Graduate and Endodontics/education and General Practice, Dental and Radiography, Bitewing and Retreatment and Specialties, Dental/*education and Students, Dental and Tooth Extraction and Tooth, Nonvital/therapy",NA,NA,2010/07//undefined,J Endod,NA,NA,NA,NA
Skallsjo_2020_Clinoralinve,JOUR,Apical periodontitis as potential source of infection in patients with lymphoma treated with chemotherapy,"Skallsjo, Kristina and Johansson, Jan-Erik and Jonasson, Peter and Hasseus, Bengt",Clinical oral investigations,"OBJECTIVES: To investigate signs of infection and infection-related complications of apical periodontitis (AP) in patients who underwent chemotherapy for lymphoma. MATERIALS AND METHODS: Data were collected retrospectively from the dental and medical records of patients receiving chemotherapy for lymphoma. Based on the findings from a dental evaluation made in conjunction with chemotherapy, the patients were divided into two groups, patients with or without teeth with AP. RESULTS: Eighty-six of the 213 patients had one or more teeth with AP and received no planned dental treatment for this condition, while 127 patients had no AP-affected teeth. During chemotherapy, seven patients (8%) developed local symptoms related to teeth with AP, while no patients in the control group developed symptoms of AP. No significant differences were found with respect to the administration of antibiotics related to dental infection or hospital admission events due to fever or infection, between the group with AP and the group without AP. CONCLUSIONS: AP is a common finding and exacerbation seems more common in patients diagnosed with chronic AP than in patients without chronic AP. The presence of chronic AP in patients treated with chemotherapy for lymphoma is not linked to additional medical complications that require hospital admission owing to fever/infection. CLINICAL RELEVANCE: Knowledge regarding infection-related complications of AP in patients with lymphoma treated with chemotherapy will guide clinical decision-making by identifying those patients who warrant treatment. This will allow dental interventions to be postponed until completion of chemotherapy, without serious medical complications. The results of this study serve as a basis for larger prospective studies.",2020,10.1007/s00784-019-02909-w,24,1,133-140,eng,1436-3771 1432-6981,Infections and Humans and Female and Male and Retrospective Studies and Prospective Studies and Antineoplastic Combined Chemotherapy Protocols and Immunosuppression and Doxorubicin and Lymphoma and Antineoplastic Agents/*therapeutic use and Hodgkin Disease and *Periapical Periodontitis and Apical periodontitis and Bleomycin and Dacarbazine and Exacerbation and Lymphoma/*drug therapy and Oral infection and Root Canal Therapy and Vinblastine,NA,NA,2020/01//undefined,Clin Oral Investig,NA,NA,NA,NA
Schwendicke_2021_Joofdere,JOUR,Cost-effectiveness of Artificial Intelligence for Proximal Caries Detection,"Schwendicke, F. and Rossi, J. G. and Gostemeyer, G. and Elhennawy, K. and Cantu, A. G. and Gaudin, R. and Chaurasia, A. and Gehrung, S. and Krois, J.",Journal of dental research,"Artificial intelligence (AI) can assist dentists in image assessment, for example, caries detection. The wider health and cost impact of employing AI for dental diagnostics has not yet been evaluated. We compared the cost-effectiveness of proximal caries detection on bitewing radiographs with versus without AI. U-Net, a fully convolutional neural network, had been trained, validated, and tested on 3,293, 252, and 141 bitewing radiographs, respectively, on which 4 experienced dentists had marked carious lesions (reference test). Lesions were stratified for initial lesions (E1/E2/D1, presumed noncavitated, receiving caries infiltration if detected) and advanced lesions (D2/D3, presumed cavitated, receiving restorative care if detected). A Markov model was used to simulate the consequences of true- and false-positive and true- and false-negative detections, as well as the subsequent decisions over the lifetime of patients. A German mixed-payers perspective was adopted. Our health outcome was tooth retention years. Costs were measured in 2020 euro. Monte-Carlo microsimulations and univariate and probabilistic sensitivity analyses were conducted. The incremental cost-effectiveness ratio (ICER) and the cost-effectiveness acceptability at different willingness-to-pay thresholds were quantified. AI showed an accuracy of 0.80; dentists' mean accuracy was significantly lower at 0.71 (minimum-maximum: 0.61-0.78, P < 0.05). AI was significantly more sensitive than dentists (0.75 vs. 0.36 [0.19-0.65]; P = 0.006), while its specificity was not significantly lower (0.83 vs. 0.91 [0.69-0.98]; P > 0.05). In the base-case scenario, AI was more effective (tooth retention for a mean 64 [2.5%-97.5%: 61-65] y) and less costly (298 [244-367] euro) than assessment without AI (62 [59-64] y; 322 [257-394] euro). The ICER was -13.9 euro/y (i.e., AI saved money at higher effectiveness). In the majority (>77%) of all cases, AI was less costly and more effective. Applying AI for caries detection is likely to be cost-effective, mainly as fewer lesions remain undetected. Notably, this cost-effectiveness requires dentists to manage detected early lesions nonrestoratively.",2021,10.1177/0022034520972335,100,4,369-376,eng,1544-0591 0022-0345,Humans and Cost-Benefit Analysis and decision making and Artificial Intelligence and computer simulation and Monte Carlo Method and dental and radiology and economic evaluation and *Dental Caries Susceptibility and *Dental Caries/diagnosis and caries diagnosis/prevention,NA,NA,2021/04//undefined,J Dent Res,NA,NA,NA,NA
Cosyn_2012_Joofclpe,JOUR,An analysis of the decision-making process for single implant treatment in general practice,"Cosyn, Jan and Raes, Stefanie and De Meyer, Stefanie and Raes, Filiep and Buyl, Ronald and Coomans, Danny and De Bruyn, Hugo",Journal of clinical periodontology,"PURPOSE: To study the frequency of and factors associated with the decision to perform single implant treatment after tooth extraction by general practitioners in a private, fee-for-service setting. MATERIAL AND METHODS: One hundred practitioners with a general dental practice in Ghent were randomly selected. Clinicians were asked to fill in a study form for every single extraction they performed during an 8-week period. The form related to the treatment decision and a number of patient- and clinician-related factors. RESULTS: Ninety-four general dentists (52 men, 42 women; mean age 49; range 24-68) agreed to participate and extracted 1180 single teeth. After exclusion of third molars and cases where the reason for tooth loss would generally prohibit replacement, 900 cases were identified. In 24% of these patients, there was no treatment decision and in 18% replacement was deemed unnecessary. When replacement was necessary (n = 526), removable partial denture (RPD), fixed partial denture (FPD), single implant treatment and resin-bonded bridge were chosen in 54%, 24%, 21% and 1% of the patients, respectively. Multinomial logistic regression was used to evaluate the decision-making process for single implant treatment against RPD and FPD. In relation to RPD, single implant treatment was more likely in highly educated patients with few missing teeth and no bone loss at adjacent teeth. In relation to FPD, single implant treatment was more likely in patients with intact adjacent teeth and when the tooth was extracted by a female dentist. Experience in implant prosthetics was positively associated with single implant treatment in all analyses. CONCLUSIONS: Single implant treatment is not the most common procedure in daily practice to restore a single tooth gap. Patient's education, oral factors and clinician-related factors may affect the decision-making process, whereas medical factors may not.",2012,10.1111/j.1600-051X.2011.01804.x,39,2,166-172,eng,1600-051X 0303-6979,"Humans and Female and Male and Adult and Middle Aged and Young Adult and Aged and Patient Care Planning and *Decision Making and Tooth Extraction and Dental Implants, Single-Tooth/*statistics & numerical data and Dental Restoration, Permanent/methods/statistics & numerical data and Denture, Partial/statistics & numerical data and General Practice, Dental/*statistics & numerical data and Jaw, Edentulous, Partially/*rehabilitation and Practice Patterns, Dentists'/*statistics & numerical data",NA,NA,2012/02//undefined,J Clin Periodontol,NA,NA,NA,NA
Pietropaoli_2020_Joofclpe,JOUR,Association between periodontal inflammation and hypertension using periodontal inflamed surface area and bleeding on probing,"Pietropaoli, Davide and Del Pinto, Rita and Ferri, Claudio and Marzo, Giuseppe and Giannoni, Mario and Ortu, Eleonora and Monaco, Annalisa",Journal of clinical periodontology,"AIM: Periodontitis is a relapsing-remitting disease. Compared with bleeding on probing (BoP), expression of disease activity, periodontal inflamed surface area (PISA), incorporates chronic disease parameters. We tested the association of PISA and BoP with blood pressure (BP) in NHANES III. MATERIALS AND METHODS: A total of 8,614 subjects (<e2><89><a5>30 years) with complete periodontal and BP examinations were enrolled. PISA was derived from periodontal probing depth and BoP. The association of PISA and BoP with high/uncontrolled BP was examined by multiple-adjusted models. Inflammatory markers were tested as possible mediators. A machine learning (ML) approach was used to define the relative importance of PISA and BoP and estimate the power of BP status prediction. RESULTS: Compared to no inflammation, severe PISA and BoP were associated with 43% (p < .001) and 32% (p = .006) higher odds of high/uncontrolled BP (<e2><89><a5>130/80 mmHg), and with higher systolic BP by <e2><89><88>4 (p < .001) and 5 (p < .001) mmHg, respectively. Inflammatory markers appeared to mediate this association with various extents, without threshold effect. BoP predicted high/uncontrolled BP more efficiently than PISA using ML. CONCLUSION: PISA and BoP describe the association of periodontal inflammation and hypertension with subtle differences. The contribution of local inflammation to the global inflammatory burden might explain the observed findings.",2020,10.1111/jcpe.13216,47,2,160-172,eng,1600-051X 0303-6979,Humans and Nutrition Surveys and Blood Pressure and inflammation and oral health and hypertension and Hypertension/*complications and Inflammation/complications and periodontal diseases and periodontitis and Periodontitis/*complications,NA,NA,2020/02//undefined,J Clin Periodontol,NA,NA,NA,NA
