label,type,title,author,journal,abstract,year,doi,volume,issue,pages,language,issn,keywords,url,institution,DA,j2,DP,l1,l2,ST
Du.Harpur_2020_ThBrjoofde,JOUR,What is AI? Applications of artificial intelligence to dermatology,"Du-Harpur, X. and Watt, F. M. and Luscombe, N. M. and Lynch, M. D.",The British journal of dermatology,"In the past, the skills required to make an accurate dermatological diagnosis have required exposure to thousands of patients over many years. However, in recent years, artificial intelligence (AI) has made enormous advances, particularly in the area of image classification. This has led computer scientists to apply these techniques to develop algorithms that are able to recognize skin lesions, particularly melanoma. Since 2017, there have been numerous studies assessing the accuracy of algorithms, with some reporting that the accuracy matches or surpasses that of a dermatologist. While the principles underlying these methods are relatively straightforward, it can be challenging for the practising dermatologist to make sense of a plethora of unfamiliar terms in this domain. Here we explain the concepts of AI, machine learning, neural networks and deep learning, and explore the principles of how these tasks are accomplished. We critically evaluate the studies that have assessed the efficacy of these methods and discuss limitations and potential ethical issues. The burden of skin cancer is growing within the Western world, with major implications for both population skin health and the provision of dermatology services. AI has the potential to assist in the diagnosis of skin lesions and may have particular value at the interface between primary and secondary care. The emerging technology represents an exciting opportunity for dermatologists, who are the individuals best informed to explore the utility of this powerful novel diagnostic tool, and facilitate its safe and ethical implementation within healthcare systems.",2020,10.1111/bjd.18880,183,3,423-430,eng,1365-2133 0007-0963,"Humans and Algorithms and Machine Learning and *Artificial Intelligence and Neural Networks, Computer and *Dermatology",NA,NA,2020/09//undefined,Br J Dermatol,NA,NA,NA,NA
Fried_2020_JoofthAmAcofDe,JOUR,Technological advances for the detection of melanoma: Advances in diagnostic techniques,"Fried, Lauren and Tan, Andrea and Bajaj, Shirin and Liebman, Tracey N. and Polsky, David and Stein, Jennifer A.",Journal of the American Academy of Dermatology,"Managing the balance between accurately identifying early stage melanomas while avoiding obtaining biopsy specimens of benign lesions (ie, overbiopsy) is the major challenge of melanoma detection. Decision making can be especially difficult in patients with extensive atypical nevi. Recognizing that the primary screening modality for melanoma is subjective examination, studies have shown a tendency toward overbiopsy. Even low-risk routine surgical procedures are associated with morbidity, mounting health care costs, and patient anxiety. Recent advancements in noninvasive diagnostic modalities have helped improve diagnostic accuracy, especially when managing melanocytic lesions of uncertain diagnosis. Breakthroughs in artificial intelligence have also shown exciting potential in changing the landscape of melanoma detection. In the first article in this continuing medical education series, we review novel diagnostic technologies, such as automated 2- and 3-dimensional total body imaging with sequential digital dermoscopic imaging, reflectance confocal microscopy, and electrical impedance spectroscopy, and we explore the logistics and implications of potentially integrating artificial intelligence into existing melanoma management paradigms.",2020,10.1016/j.jaad.2020.03.121,83,4,983-992,eng,1097-6787 0190-9622,"machine learning and artificial intelligence and Humans and melanoma and Biomedical Technology and *Machine Learning and Imaging, Three-Dimensional and Photography/*methods and confocal microscopy and dermoscopy and Dermoscopy/methods and Dielectric Spectroscopy and electrical impedance spectroscopy and Melanoma/*diagnostic imaging and Microscopy, Confocal/methods and sequential digital dermoscopic imaging and Skin Neoplasms/*diagnostic imaging and total body photography",NA,NA,2020/10//undefined,J Am Acad Dermatol,NA,NA,NA,NA
Pangti_2021_JotEAoDaV.J,JOUR,"A machine learning-based, decision support, mobile phone application for diagnosis of common dermatological diseases","Pangti, R. and Mathur, J. and Chouhan, V. and Kumar, S. and Rajput, L. and Shah, S. and Gupta, A. and Dixit, A. and Dholakia, D. and Gupta, S. and Gupta, S. and George, M. and Sharma, V. K. and Gupta, S.",Journal of the European Academy of Dermatology and Venereology : JEADV,"BACKGROUND: The integration of machine learning algorithms in decision support tools for physicians is gaining popularity. These tools can tackle the disparities in healthcare access as the technology can be implemented on smartphones. We present the first, large-scale study on patients with skin of colour, in which the feasibility of a novel mobile health application (mHealth app) was investigated in actual clinical workflows. OBJECTIVE: To develop a mHealth app to diagnose 40 common skin diseases and test it in clinical settings. METHODS: A convolutional neural network-based algorithm was trained with clinical images of 40 skin diseases. A smartphone app was generated and validated on 5014 patients, attending rural and urban outpatient dermatology departments in India. The results of this mHealth app were compared against the dermatologists' diagnoses. RESULTS: The machine-learning model, in an in silico validation study, demonstrated an overall top-1 accuracy of 76.93 <c2><b1> 0.88% and mean area-under-curve of 0.95 <c2><b1> 0.02 on a set of clinical images. In the clinical study, on patients with skin of colour, the app achieved an overall top-1 accuracy of 75.07% (95% CI = 73.75-76.36), top-3 accuracy of 89.62% (95% CI = 88.67-90.52) and mean area-under-curve of 0.90 <c2><b1> 0.07. CONCLUSION: This study underscores the utility of artificial intelligence-driven smartphone applications as a point-of-care, clinical decision support tool for dermatological diagnosis for a wide spectrum of skin diseases in patients of the skin of colour.",2021,10.1111/jdv.16967,35,2,536-545,eng,1468-3083 0926-9959,Humans and Machine Learning and Artificial Intelligence and India and *Mobile Applications and *Skin Neoplasms,NA,NA,2021/02//undefined,J Eur Acad Dermatol Venereol,NA,NA,NA,NA
Appenzeller_2020_JotEAoDaV.J,JOUR,Skin exposome science in practice : current evidence on hair biomonitoring and future perspectives,"Appenzeller, B. M. R. and Chadeau-Hyam, M. and Aguilar, L.",Journal of the European Academy of Dermatology and Venereology : JEADV,"The skin exposome, defined as the totality of environmental exposures from conception to death that can induce or modify various skin conditions, compiles environmental, lifestyle and psychosocial exposures, as well as the resulting internal biological and physiological responses to these exposures. Biomonitoring can be used to obtain information on the internal dose of pollutants. The concentration of biomarkers in body fluids is highly variable over time due to differential elimination kinetics of chemicals, whereas they accumulate in hair. Hair analysis thus provides information on cumulative exposure over a longer period of time, and so can be used for assessing chronic exposure to pollutants. Studies on hair samples collected from 204 women living in two cities in China with different levels of pollution demonstrated that hair damage and the skin microbiome are biomarkers of a polluted city and long-term exposure to pollution and UV can increase signs of facial ageing. Adopting an exposome approach to skin health requires assessing multiple exposures and biological consequences, possibly in relation to longitudinally followed-up health outcomes. Leveraging ""omics"" data (e.g. metabolomics, proteomics, genomics and microbiome) and big data analytics, in particular multivariate analysis, will help to further understand the impact of pollution on skin and the combined effects with other exposome factors, including solar radiation and other environmental exposures.",2020,10.1111/jdv.16640,34 Suppl 4,NA,26-30,eng,1468-3083 0926-9959,China and Humans and Female and *Environmental Pollutants and *Exposome and Biological Monitoring and Environmental Exposure/adverse effects,NA,NA,2020/07//undefined,J Eur Acad Dermatol Venereol,NA,NA,NA,NA
Schmid.Grendelmeier_2019_JotEAoDaV.J,JOUR,Position Statement on Atopic Dermatitis in Sub-Saharan Africa: current status and roadmap,"Schmid-Grendelmeier, P. and Takaoka, R. and Ahogo, K. C. and Belachew, W. A. and Brown, S. J. and Correia, J. C. and Correia, M. and Degboe, B. and Dorizy-Vuong, V. and Faye, O. and Fuller, L. C. and Grando, K. and Hsu, C. and Kayitenkore, K. and Lunjani, N. and Ly, F. and Mahamadou, G. and Manuel, R. C. F. and Kebe Dia, M. and Masenga, E. J. and Muteba Baseke, C. and Ouedraogo, A. N. and Rapelanoro Rabenja, F. and Su, J. and Teclessou, J. N. and Todd, G. and Taieb, A.",Journal of the European Academy of Dermatology and Venereology : JEADV,"BACKGROUND: The first International Society of Atopic Dermatitis (ISAD) global meeting dedicated to atopic dermatitis (AD) in Sub-Saharan Africa (SSA) was held in Geneva, Switzerland in April 2019. A total of 30 participants were present at the meeting, including those from 17 SSA countries, representatives of the World Health Organization (WHO), the International Foundation for Dermatology (IFD) (a committee of the International League of Dermatological Societies, ILDS www.ilds.org), the Fondation pour la Dermatite Atopique, as well as specialists in telemedicine, artificial intelligence and therapeutic patient education (TPE). RESULTS: AD is one of the most prevalent chronic inflammatory skin diseases in SSA. Besides neglected tropical diseases (NTDs) with a dermatological presentation, AD requires closer attention from the WHO and national Departments of Health. CONCLUSIONS: A roadmap has been defined with top priorities such as access to essential medicines and devices for AD care, in particular emollients, better education of primary healthcare workers for adequate triage (e.g. better educational materials for skin diseases in pigmented skin generally and AD in particular, especially targeted to Africa), involvement of traditional healers and to a certain extent also patient education, bearing in mind the barriers to effective healthcare faced in SSA countries such as travel distances to health facilities, limited resources and the lack of dermatological expertise. In addition, several initiatives concerning AD research in SSA were discussed and should be implemented in close collaboration with the WHO and assessed at follow-up meetings, in particular, at the next ISAD meeting in Seoul, South Korea and African Society of Dermatology and Venereology (ASDV) meeting in Nairobi, Kenya, both in 2020.",2019,10.1111/jdv.15972,33,11,2019-2028,eng,1468-3083 0926-9959,"Humans and Congresses as Topic and *Dermatitis, Atopic/diagnosis/epidemiology/therapy and Africa South of the Sahara/epidemiology",NA,NA,2019/11//undefined,J Eur Acad Dermatol Venereol,NA,NA,NA,NA
Lowenstein_2018_ThBrjoofde,JOUR,"Diagnostic heuristics in dermatology, part 2: metacognition and other fixes","Lowenstein, E. J. and Sidlow, R.",The British journal of dermatology,"Diagnostic errors are the most common, costly and dangerous of medical mistakes. In part 1 of this series, we described how general and dermatology-specific cognitive and perceptual biases underlie most of our correct diagnoses, as well as being a source of diagnostic medical errors. In this second part of the series, we describe some tactics to combat diagnostic error. Metacognition, or thinking about how we think, is the central approach advocated to avoid errors of 'uncritical' diagnostic thinking. Current individual and medical cultural attitudes need to be modified in order to incorporate improvements in diagnosis. Algorithms, artificial intelligence and system changes are being developed to address error and improve diagnostic accuracy.",2018,10.1111/bjd.17127,179,6,1270-1276,eng,1365-2133 0007-0963,"Humans and Patient Participation and Intuition and Decision Support Techniques and Clinical Decision-Making/methods and *Heuristics and *Metacognition and Alert Fatigue, Health Personnel/prevention & control and Dermatologists/*psychology and Dermatology/methods/organization & administration and Diagnostic Errors/*prevention & control/psychology and Skin Diseases/*diagnosis/pathology and Skin/diagnostic imaging/pathology",NA,NA,2018/12//undefined,Br J Dermatol,NA,NA,NA,NA
Cohen_2017_ThBrjoofde,JOUR,"Biosimilars for psoriasis: worldwide overview of regulatory guidelines, uptake and implications for dermatology clinical practice","Cohen, A. D. and Wu, J. J. and Puig, L. and Chimenti, S. and Vender, R. and Rajagopalan, M. and Romiti, R. and de la Cruz, C. and Skov, L. and Zachariae, C. and Young, H. S. and Foley, P. and van der Walt, J. M. and Naldi, L. and Prens, E. P. and Blauvelt, A.",The British journal of dermatology,"The introduction of biological drugs for the treatment of patients with psoriasis has revolutionized treatment paradigms and enabled numerous patients to achieve disease control with an acceptable safety profile. However, the high cost of biologics limits access to these medications for the majority of patients worldwide. In recent years, the introduction of biosimilars for inflammatory diseases has become a fast evolving field. The future use of biosimilars offers the potential for decreased cost and increased access to biologics for patients with psoriasis. For approval of biosimilars, different regulatory agencies use highly variable methods for definition, production, approval, marketing and postmarketing surveillance. Due to potential interchangeability between biologics and biosimilars, traceability and pharmacovigilance are required to collect accurate data about adverse events in patients with psoriasis; spontaneous reporting, registries and use of 'big data' should facilitate this process on a global basis. The current article describes biosimilar regulatory guidelines and examples of biosimilar uptake in clinical practice in several countries around the world. As it is apparent that biological therapy treatment decisions may become more physician independent, the International Psoriasis Council recommends that dermatologists should take an active role in the development of biosimilar prescribing policies with their respective healthcare settings and government agencies.",2017,10.1111/bjd.15756,177,6,1495-1502,eng,1365-2133 0007-0963,"Humans and Practice Guidelines as Topic and Product Surveillance, Postmarketing and Drug Approval and Legislation, Drug and Practice Patterns, Physicians' and Global Health and Biosimilar Pharmaceuticals/adverse effects/*therapeutic use and Dermatologic Agents/adverse effects/*therapeutic use and Dermatologists/psychology and Psoriasis/*drug therapy",NA,NA,2017/12//undefined,Br J Dermatol,NA,NA,NA,NA
Shah_2017_JoofthAmAcofDe,JOUR,Real-world burden of comorbidities in US patients with psoriasis,"Shah, Kamal and Mellars, Lillian and Changolkar, Arun and Feldman, Steven R.",Journal of the American Academy of Dermatology,"BACKGROUND: Understanding background comorbidity rates in psoriasis can provide perspective for adverse events associated with new therapies. OBJECTIVE: We sought to assess the extent of comorbidities in psoriasis patients by use of the Truven Health Analytics MarketScan database. METHODS: MarketScan, comprising commercial claims representative of a large US-insured population, had 1.22 million patients with <e2><89><a5>1 claim with a psoriasis diagnosis between January 1, 2008, and December 31, 2014. Patients <e2><89><a5>18 years of age who had <e2><89><a5>2 health claims in any diagnosis field for psoriasis (International Classification of Diseases, 9th Revision, Clinical Modification 696.1) with a psoriasis diagnosis (index) date between July 1, 2008, and June 30, 2014, were included to allow follow-up observation time. RESULTS: Prevalence and incidence of 24 comorbidities were assessed in 469,097 psoriasis patients; the most common comorbidities were hyperlipidemia (45.64% and 30.83%, respectively), hypertension (42.19% and 24.19%), depression (17.91% and 12.68%), type 2 diabetes mellitus (17.45% and 8.44%), and obesity (14.38% and 11.57%). LIMITATIONS: A limitation of the study was that only a certain insured population was represented. CONCLUSIONS: Comorbidity rates align with those described in the literature and support the concept that psoriasis patients have high rates of cardiometabolic comorbidities. This analysis highlights the potential utility of very large insurance databases for determining comorbidity prevalence in psoriasis, which may aid health care providers in managing psoriasis.",2017,10.1016/j.jaad.2017.03.037,77,2,287-292.e4,eng,1097-6787 0190-9622,"Humans and Female and Male and Adolescent and Adult and Middle Aged and Young Adult and Aged and Databases, Factual and Comorbidity and database and Prevalence and Incidence and United States/epidemiology and Hypertension/*epidemiology and Depression/*epidemiology and Diabetes Mellitus, Type 2/*epidemiology and comorbidity and Administrative Claims, Healthcare/statistics & numerical data and disease burden and Hyperlipidemias/*epidemiology and MarketScan and medical insurance claims and Obesity/*epidemiology and psoriasis and Psoriasis/*epidemiology",NA,NA,2017/08//undefined,J Am Acad Dermatol,NA,NA,NA,NA
Wang_2019_JAMAderm,JOUR,Assessment of Deep Learning Using Nonimaging Information and Sequential Medical Records to Develop a Prediction Model for Nonmelanoma Skin Cancer,"Wang, Hsiao-Han and Wang, Yu-Hsiang and Liang, Chia-Wei and Li, Yu-Chuan",JAMA dermatology,"IMPORTANCE: A prediction model for new-onset nonmelanoma skin cancer could enhance prevention measures, but few patient data-driven tools exist for more accurate prediction. OBJECTIVE: To use machine learning to develop a prediction model for incident nonmelanoma skin cancer based on large-scale, multidimensional, nonimaging medical information. DESIGN, SETTING, AND PARTICIPANTS: This study used a database comprising 2 million randomly sampled patients from the Taiwan National Health Insurance Research Database from January 1, 1999, to December 31, 2013. A total of 1829 patients with nonmelanoma skin cancer as their first diagnosed cancer and 7665 random controls without cancer were included in the analysis. A convolutional neural network, a deep learning approach, was used to develop a risk prediction model. This risk prediction model used 3-year clinical diagnostic information, medical records, and temporal-sequential information to predict the skin cancer risk of a given patient within the next year. Stepwise feature selection was also performed to investigate important and determining factors of the model. Statistical analysis was performed from November 1, 2016, to October 31, 2018. MAIN OUTCOMES AND MEASURES: Sensitivity, specificity, and area under the receiver operating characteristic (AUROC) curve were used to evaluate the performance of the models. RESULTS: A total of 1829 patients (923 women [50.5%] and 906 men [49.5%]; mean [SD] age, 65.3 [15.7] years) with nonmelanoma skin cancer and 7665 random controls without cancer (3951 women [51.5%] and 3714 men [48.4%]; mean [SD] age, 47.5 [17.3] years) were included in the analysis. The 1-year incident nonmelanoma skin cancer risk prediction model using sequential diagnostic information and drug prescription information as a time-incorporated feature matrix could attain an AUROC of 0.89 (95% CI, 0.87-0.91), with a mean (SD) sensitivity of 83.1% (3.5%) and mean (SD) specificity of 82.3% (4.1%). Carcinoma in situ of skin (AUROC, 0.867; -2.80% loss) and other chronic comorbidities (eg, degenerative osteopathy [AUROC, 0.872; -2.32% loss], hypertension [AUROC, 0.879; -1.53% loss], and chronic kidney insufficiency [AUROC, 0.879; -1.52% loss]) served as more discriminative factors for the prediction. Medications such as trazodone, acarbose, systemic antifungal agents, statins, nonsteroidal anti-inflammatory drugs, and thiazide diuretics were the top-ranking discriminative features in the model; each led to more than a 1% decrease of the AUROC when eliminated individually (eg, trazodone AUROC, 0.868; -2.67% reduction; acarbose AUROC, 0.870; -2.50 reduction; and systemic antifungal agents AUROC, 0.875; -1.99 reduction). CONCLUSIONS AND RELEVANCE: The findings of this study suggest that a risk prediction model may have potential predictive factors for nonmelanoma skin cancer. This model may help health care professionals target high-risk populations for more intensive skin cancer preventive methods.",2019,10.1001/jamadermatol.2019.2335,155,11,1277-1283,eng,2168-6084 2168-6068,NA,NA,NA,2019/11/01/,JAMA Dermatol,NA,NA,NA,NA
Tan_2019_JAMAderm,JOUR,Trends in Private Equity Acquisition of Dermatology Practices in the United States,"Tan, Sally and Seiger, Kira and Renehan, Peter and Mostaghimi, Arash",JAMA dermatology,"IMPORTANCE: Private equity (PE) firms invest in dermatology management groups (DMGs), which are physician practice management firms that operate multiple clinics and often acquire smaller, physician-owned practices. Consolidation of dermatology practices as a result of PE investment may be associated with changes in practice management in the United States. OBJECTIVE: To describe the scope of PE-backed dermatology practice acquisitions geographically over time. DESIGN, SETTING, AND PARTICIPANTS: This cross-sectional study examined acquisitions of dermatology practices by PE-backed DMGs in the United States. Acquisition and investment data through May 31, 2018, were compiled using information from 5 financial databases. Transaction data were supplemented with publicly available information from 2 additional financial databases, 2 financial news outlets, and press releases from DMGs. All dermatology practices acquired by PE-backed DMGs were included. Acquisitions were verified to be dermatology practices that provided medical, surgical, and/or cosmetic clinical care. Private equity financing data were included when available. The addresses of clinics associated with acquired practices were mapped using spatial analytics software. MAIN OUTCOMES AND MEASURES: The number and location of PE practice acquisitions over time were measured based on the date of deal closure, the geographic footprint of each DMG's acquisition, and the financing of each DMG. RESULTS: Seventeen PE-backed DMGs acquired 184 practices between May 1, 2012, and May 22, 2018. These acquired practices accounted for an estimated 381 dermatology clinics as of mid-2018 (assessment period from May 1 to August 31). The total number of PE-owned dermatology clinics in the United States was substantially larger because these data did not reflect DMGs that opened new clinics (organic growth); acquisitions data represented only the ownership transfer of existing practices from physician to PE-backed DMG. Practice acquisitions increased each year, from 5 in 2012 to 59 in 2017. An additional 34 acquisitions took place from January 1 to May 31, 2018. The number of financing rounds to sustain transactions mirrored the aforementioned trends in practice acquisitions. Clinics associated with acquired practices spanned at least 30 states, with 138 of 381 clinics (36%) located in Texas and Florida. CONCLUSION AND RELEVANCE: The study findings suggest that PE firms have a financial stake in an increasing number of dermatology practices throughout the United States. Further research is needed to assess whether and how PE-backed ownership influences clinical decision-making, health care expenditures, and patient outcomes.",2019,10.1001/jamadermatol.2019.1634,155,9,1013-1021,eng,2168-6084 2168-6068,NA,NA,NA,2019/09/01/,JAMA Dermatol,NA,NA,NA,NA
Nelson_2020_JAMAderm,JOUR,Patient Perspectives on the Use of Artificial Intelligence for Skin Cancer Screening: A Qualitative Study,"Nelson, Caroline A. and Perez-Chada, Lourdes Maria and Creadore, Andrew and Li, Sara Jiayang and Lo, Kelly and Manjaly, Priya and Pournamdari, Ashley Bahareh and Tkachenko, Elizabeth and Barbieri, John S. and Ko, Justin M. and Menon, Alka V. and Hartman, Rebecca Ivy and Mostaghimi, Arash",JAMA dermatology,"IMPORTANCE: The use of artificial intelligence (AI) is expanding throughout the field of medicine. In dermatology, researchers are evaluating the potential for direct-to-patient and clinician decision-support AI tools to classify skin lesions. Although AI is poised to change how patients engage in health care, patient perspectives remain poorly understood. OBJECTIVE: To explore how patients conceptualize AI and perceive the use of AI for skin cancer screening. DESIGN, SETTING, AND PARTICIPANTS: A qualitative study using a grounded theory approach to semistructured interview analysis was conducted in general dermatology clinics at the Brigham and Women's Hospital and melanoma clinics at the Dana-Farber Cancer Institute. Forty-eight patients were enrolled. Each interview was independently coded by 2 researchers with interrater reliability measurement; reconciled codes were used to assess code frequency. The study was conducted from May 6 to July 8, 2019. MAIN OUTCOMES AND MEASURES: Artificial intelligence concept, perceived benefits and risks of AI, strengths and weaknesses of AI, AI implementation, response to conflict between human and AI clinical decision-making, and recommendation for or against AI. RESULTS: Of 48 patients enrolled, 26 participants (54%) were women; mean (SD) age was 53.3 (21.7) years. Sixteen patients (33%) had a history of melanoma, 16 patients (33%) had a history of nonmelanoma skin cancer only, and 16 patients (33%) had no history of skin cancer. Twenty-four patients were interviewed about a direct-to-patient AI tool and 24 patients were interviewed about a clinician decision-support AI tool. Interrater reliability ratings for the 2 coding teams were <ce><ba> = 0.94 and <ce><ba> = 0.89. Patients primarily conceptualized AI in terms of cognition. Increased diagnostic speed (29 participants [60%]) and health care access (29 [60%]) were the most commonly perceived benefits of AI for skin cancer screening; increased patient anxiety was the most commonly perceived risk (19 [40%]). Patients perceived both more accurate diagnosis (33 [69%]) and less accurate diagnosis (41 [85%]) to be the greatest strength and weakness of AI, respectively. The dominant theme that emerged was the importance of symbiosis between humans and AI (45 [94%]). Seeking biopsy was the most common response to conflict between human and AI clinical decision-making (32 [67%]). Overall, 36 patients (75%) would recommend AI to family members and friends. CONCLUSIONS AND RELEVANCE: In this qualitative study, patients appeared to be receptive to the use of AI for skin cancer screening if implemented in a manner that preserves the integrity of the human physician-patient relationship.",2020,10.1001/jamadermatol.2019.5014,156,5,501-512,eng,2168-6084 2168-6068,Health Services Accessibility and Humans and Female and Male and Adult and Middle Aged and Aged and Physician-Patient Relations and Interviews as Topic and Qualitative Research and Reproducibility of Results and Grounded Theory and Patient Acceptance of Health Care and Observer Variation and Biopsy and *Artificial Intelligence and Mass Screening/*methods and Skin Neoplasms/*diagnosis and Early Detection of Cancer/methods and Melanoma/*diagnosis,NA,NA,2020/05/01/,JAMA Dermatol,NA,NA,NA,NA
