label,type,title,author,journal,abstract,year,doi,volume,issue,pages,language,issn,keywords,url,institution,DA,j2,DP,l1,l2,ST
Kwon_2019_Resu,JOUR,Deep-learning-based out-of-hospital cardiac arrest prognostic system to predict clinical outcomes,"Kwon, Joon-Myoung and Jeon, Ki-Hyun and Kim, Hyue Mee and Kim, Min Jeong and Lim, Sungmin and Kim, Kyung-Hee and Song, Pil Sang and Park, Jinsik and Choi, Rak Kyeong and Oh, Byung-Hee",Resuscitation,"AIM: Out-of-hospital cardiac arrest (OHCA) is a major healthcare burden, and prognosis is critical in decision-making for treatment and the withdrawal of life-sustaining therapy. This study aimed to develop and validate a deep-learning-based out-of-hospital cardiac arrest prognostic system (DCAPS) for predicting neurologic recovery and survival to discharge. METHODS: The study subjects were patients from the Korea OHCA registry who experienced return of spontaneous circulation (ROSC) after OHCA. A total of 36,190 patients were exclusively divided into a set of 28,045 subjects for derivation data and 8,145 subjects for validation data. We used information available for the time of ROSC as predictor variables, and the endpoints were neurologic recovery (cerebral performance category 1 or 2) and survival to discharge. The DCAPS was developed using the derivation data and represented the favorability of prognosis with a score between 0 and 100. RESULTS: The area under the receiver operating characteristic curve (AUROC) of DCAPS for predicting neurologic recovery for the validation data was 0.953 [95% confidence interval 0.952-0.954]; these results significantly outperformed those of logistic regression (0.947 [0.943-0.948]), random forest (0.943 [0.942-0.945]), support vector machine (0.930 [0.929-0.932]), and conventional methods of a previous study (0.817 [0.815-0.820]). The AUROC of the DCAPS for survival to discharge was 0.901 [0.900-0.903], and this result significantly outperformed those of other models as well. CONCLUSIONS: The DCAPS predicted neurologic recovery and survival to discharge of OHCA patients accurately and outperformed the conventional method and other machine-learning methods.",2019,10.1016/j.resuscitation.2019.04.007,139,NA,84-91,eng,1873-1570 0300-9572,"Machine learning and Artificial intelligence and Humans and Female and Male and Adult and Middle Aged and Retrospective Studies and Aged and Neural networks and Treatment Outcome and Prognosis and Registries and Decision Support Systems, Clinical/*standards and *Deep Learning and Decision support techniques and Out-of-Hospital cardiac arrest and Out-of-Hospital Cardiac Arrest/*mortality/therapy",NA,NA,2019/06//undefined,Resuscitation,NA,NA,NA,NA
Janke_2016_Anofemme,JOUR,Exploring the Potential of Predictive Analytics and Big Data in Emergency Care,"Janke, Alexander T. and Overbeek, Daniel L. and Kocher, Keith E. and Levy, Phillip D.",Annals of emergency medicine,"Clinical research often focuses on resource-intensive causal inference, whereas the potential of predictive analytics with constantly increasing big data sources remains largely unexplored. Basic prediction, divorced from causal inference, is much easier with big data. Emergency care may benefit from this simpler application of big data. Historically, predictive analytics have played an important role in emergency care as simple heuristics for risk stratification. These tools generally follow a standard approach: parsimonious criteria, easy computability, and independent validation with distinct populations. Simplicity in a prediction tool is valuable, but technological advances make it no longer a necessity. Emergency care could benefit from clinical predictions built using data science tools with abundant potential input variables available in electronic medical records. Patients' risks could be stratified more precisely with large pools of data and lower resource requirements for comparing each clinical encounter to those that came before it, benefiting clinical decisionmaking and health systems operations. The largest value of predictive analytics comes early in the clinical encounter, in which diagnostic and prognostic uncertainty are high and resource-committing decisions need to be made. We propose an agenda for widening the application of predictive analytics in emergency care. Throughout, we express cautious optimism because there are myriad challenges related to database infrastructure, practitioner uptake, and patient acceptance. The quality of routinely compiled clinical data will remain an important limitation. Complementing big data sources with prospective data may be necessary if predictive analytics are to achieve their full potential to improve care quality in the emergency department.",2016,10.1016/j.annemergmed.2015.06.024,67,2,227-236,eng,1097-6760 0196-0644,"United States and Humans and Electronic Health Records and Predictive Value of Tests and Biomedical Research and *Risk Assessment and Emergency Service, Hospital/*organization & administration and Emergency Medical Services/*statistics & numerical data and Medical Informatics/*statistics & numerical data",NA,NA,2016/02//undefined,Ann Emerg Med,NA,NA,NA,NA
Zhai_2014_Resu,JOUR,Developing and evaluating a machine learning based algorithm to predict the need of pediatric intensive care unit transfer for newly hospitalized children,"Zhai, Haijun and Brady, Patrick and Li, Qi and Lingren, Todd and Ni, Yizhao and Wheeler, Derek S. and Solti, Imre",Resuscitation,"BACKGROUND: Early warning scores (EWS) are designed to identify early clinical deterioration by combining physiologic and/or laboratory measures to generate a quantified score. Current EWS leverage only a small fraction of Electronic Health Record (EHR) content. The planned widespread implementation of EHRs brings the promise of abundant data resources for prediction purposes. The three specific aims of our research are: (1) to develop an EHR-based automated algorithm to predict the need for Pediatric Intensive Care Unit (PICU) transfer in the first 24h of admission; (2) to evaluate the performance of the new algorithm on a held-out test data set; and (3) to compare the effectiveness of the new algorithm's with those of two published Pediatric Early Warning Scores (PEWS). METHODS: The cases were comprised of 526 encounters with 24-h Pediatric Intensive Care Unit (PICU) transfer. In addition to the cases, we randomly selected 6772 control encounters from 62516 inpatient admissions that were never transferred to the PICU. We used 29 variables in a logistic regression and compared our algorithm against two published PEWS on a held-out test data set. RESULTS: The logistic regression algorithm achieved 0.849 (95% CI 0.753-0.945) sensitivity, 0.859 (95% CI 0.850-0.868) specificity and 0.912 (95% CI 0.905-0.919) area under the curve (AUC) in the test set. Our algorithm's AUC was significantly higher, by 11.8 and 22.6% in the test set, than two published PEWS. CONCLUSION: The novel algorithm achieved higher sensitivity, specificity, and AUC than the two PEWS reported in the literature.",2014,10.1016/j.resuscitation.2014.04.009,85,8,1065-1071,eng,1873-1570 0300-9572,"Machine learning and Humans and Female and Male and Child and Infant and Retrospective Studies and EHR and ROC Curve and Follow-Up Studies and *Algorithms and Severity of Illness Index and *Artificial Intelligence and *Health Services Needs and Demand and *Patient Transfer and *Child, Hospitalized and Clinical care and Clinical status deterioration and Intensive Care Units, Pediatric/*organization & administration and PEWS and PICU",NA,NA,2014/08//undefined,Resuscitation,NA,NA,NA,NA
Melnick_2010_Anofemme,JOUR,Delphi consensus on the feasibility of translating the ACEP clinical policies into computerized clinical decision support,"Melnick, Edward R. and Nielson, Jeffrey A. and Finnell, John T. and Bullard, Michael J. and Cantrill, Stephen V. and Cochrane, Dennis G. and Halamka, John D. and Handler, Jonathan A. and Holroyd, Brian R. and Kamens, Donald and Kho, Abel and McClay, James and Shapiro, Jason S. and Teich, Jonathan and Wears, Robert L. and Patel, Saumil J. and Ward, Mary F. and Richardson, Lynne D.",Annals of emergency medicine,"Clinical practice guidelines are developed to reduce variations in clinical practice, with the goal of improving health care quality and cost. However, evidence-based practice guidelines face barriers to dissemination, implementation, usability, integration into practice, and use. The American College of Emergency Physicians (ACEP) clinical policies have been shown to be safe and effective and are even cited by other specialties. In spite of the benefits of the ACEP clinical policies, implementation of these clinical practice guidelines into physician practice continues to be a challenge. Translation of the ACEP clinical policies into real-time computerized clinical decision support systems could help address these barriers and improve clinician decision making at the point of care. The investigators convened an emergency medicine informatics expert panel and used a Delphi consensus process to assess the feasibility of translating the current ACEP clinical policies into clinical decision support content. This resulting consensus document will serve to identify limitations to implementation of the existing ACEP Clinical Policies so that future clinical practice guideline development will consider implementation into clinical decision support at all stages of guideline development.",2010,10.1016/j.annemergmed.2010.03.006,56,4,317-320,eng,1097-6760 0196-0644,"United States and Humans and Delphi Technique and Consensus and Societies, Medical and *Practice Guidelines as Topic and *Decision Support Systems, Clinical/organization & administration and Emergency Medicine/methods/*standards and Guideline Adherence/organization & administration and Quality of Health Care/organization & administration/standards",NA,NA,2010/10//undefined,Ann Emerg Med,NA,NA,NA,NA
Christie_2018_Thjooftranaccasu,JOUR,Machine learning without borders? An adaptable tool to optimize mortality prediction in diverse clinical settings,"Christie, S. Ariane and Hubbard, Alan E. and Callcut, Rachael A. and Hameed, Morad and Dissak-Delon, Fanny Nadia and Mekolo, David and Saidou, Arabo and Mefire, Alain Chichom and Nsongoo, Pierre and Dicker, Rochelle A. and Cohen, Mitchell Jay and Juillard, Catherine",The journal of trauma and acute care surgery,"BACKGROUND: Mortality prediction aids clinical decision making and is necessary for quality improvement initiatives. Validated metrics rely on prespecified variables and often require advanced diagnostics, which are unfeasible in resource-constrained contexts. We hypothesize that machine learning will generate superior mortality prediction in both high-income and low- and middle-income country cohorts. METHODS: SuperLearner, an ensemble machine-learning algorithm, was applied to data from three prospective trauma cohorts: a highest-activation cohort in the United States, a high-volume center cohort in South Africa (SA), and a multicenter registry in Cameroon. Cross-validation was used to assess model discrimination of discharge mortality by site using receiver operating characteristic curves. SuperLearner discrimination was compared with standard scoring methods. Clinical variables driving SuperLearner prediction at each site were evaluated. RESULTS: Data from 28,212 injured patients were used to generate prediction. Discharge mortality was 17%, 1.3%, and 1.7% among US, SA, and Cameroonian cohorts. SuperLearner delivered superior prediction of discharge mortality in the United States (area under the curve [AUC], 94-97%) and vastly superior prediction in Cameroon (AUC, 90-94%) compared with conventional scoring algorithms. It provided similar prediction to standard scores in the SA cohort (AUC, 90-95%). Context-specific variables (partial thromboplastin time in the United States and hospital distance in Cameroon) were prime drivers of predicted mortality in their respective cohorts, whereas severe brain injury predicted mortality across sites. CONCLUSIONS: Machine learning provides excellent discrimination of injury mortality in diverse settings. Unlike traditional scores, data-adaptive methods are well suited to optimizing precise site-specific prediction regardless of diagnostic capabilities or data set inclusion allowing for individualized decision making and expanded access to quality improvement programming. LEVEL OF EVIDENCE: Prognostic and therapeutic, level II and III.",2018,10.1097/TA.0000000000002044,85,5,921-927,eng,2163-0763 2163-0755,Health Services Accessibility and Humans and Female and Male and Adult and Middle Aged and Area Under Curve and ROC Curve and United States/epidemiology and *Machine Learning and Forecasting/methods and *Developing Countries and South Africa/epidemiology and Partial Thromboplastin Time and *Developed Countries and Cameroon/epidemiology and Wounds and Injuries/*mortality,NA,NA,2018/11//undefined,J Trauma Acute Care Surg,NA,NA,NA,NA
Jang_2020_ThAmjoofemme,JOUR,Developing neural network models for early detection of cardiac arrest in emergency department,"Jang, Dong-Hyun and Kim, Joonghee and Jo, You Hwan and Lee, Jae Hyuk and Hwang, Ji Eun and Park, Seung Min and Lee, Dong Keon and Park, Inwon and Kim, Doyun and Chang, Hyunglan",The American journal of emergency medicine,"BACKGROUND: Automated surveillance for cardiac arrests would be useful in overcrowded emergency departments. The purpose of this study is to develop and test artificial neural network (ANN) classifiers for early detection of patients at risk of cardiac arrest in emergency departments. METHODS: This is a single-center electronic health record (EHR)-based study. The primary outcome was the development of cardiac arrest within 24<e2><80><af>h after prediction. Three ANN models were trained: multilayer perceptron (MLP), long-short-term memory (LSTM), and hybrid. These were compared to other classifiers including the modified early warning score (MEWS), logistic regression, and random forest. We used AUROC, sensitivity, specificity, positive predictive value (PPV), and negative predictive value (NPV) for the comparison. RESULTS: During the study period, there were a total of 374,605 ED visits and 2,910,321 patient status updates. The ANN models (MLP, LSTM, and hybrid) achieved higher AUROC (AUROC: 0.929, 0.933, and 0.936; 95% confidential interval: 0.926-0.932, 0.930-0.936, and 0.933-0.939, respectively) compared to the non-ANN models, and the hybrid model exhibited the best performance. The ANN classifiers displayed higher performance in most of the test characteristics when the threshold levels of the classifiers were fixed to display the same positive result as those at the three MEWS thresholds (score<e2><80><af><e2><89><a5><e2><80><af>3, <e2><89><a5>4, and <e2><89><a5>5), and when compared with each other. CONCLUSIONS: The ANN improves upon MEWS and conventional machine learning algorithms for the prediction of cardiac arrests in emergency departments. The hybrid ANN model utilizing both baseline and sequence information achieved the best performance.",2020,10.1016/j.ajem.2019.04.006,38,1,43-49,eng,1532-8171 0735-6757,"Humans and Electronic Health Records and Female and Male and Adult and Middle Aged and Retrospective Studies and Aged and Monitoring and Logistic Models and Deep learning and Emergency department and Predictive Value of Tests and ROC Curve and *Neural Networks, Computer and *Emergency Service, Hospital and *Early Diagnosis and Cardiac arrest and Early warning system and Heart Arrest/*diagnosis",NA,NA,2020/01//undefined,Am J Emerg Med,NA,NA,NA,NA
Gibbs_2016_Resu,JOUR,Themes and variations: An exploratory international investigation into resuscitation decision-making,"Gibbs, Alexander J. O. and Malyon, Alexandra C. and Fritz, Zoe B. McC",Resuscitation,"BACKGROUND: Do Not Attempt Cardiopulmonary Resuscitation (DNACPR) decisions are made in hospitals throughout the globe. International variation in clinicians' perception of DNACPR decision-making and implementation and the factors influencing such variation has not previously been explored. METHODS: A questionnaire asking how DNACPR decisions are made, communicated and perceived in their country was composed: it consisted of seven closed-answer and four open-answer questions. It was distributed to 143 medical professionals with prior published material relating to DNACPR decisions. Under-represented geographical areas were identified and an additional 34 physicians were contacted through medical colleagues and students at the university hospital from which this study was based. The respondents had 4 weeks to answer the questionnaire. RESULTS: 78 responses (44%) were received from 43 countries. All continents were represented. 88% of respondents reported a method for implementing DNACPR decisions, 90% of which discussed resuscitation wishes with the patient at least half of the time. 94% of respondents thought that national guidance for DNACPR order implementation should exist; 53% of countries surveyed reported existence of such guidance. Cultural attitudes towards death, medical education and culture, health economics and the societal role of family were commonly identified as factors influencing perception of DNACPR decisions. CONCLUSIONS: The majority of countries surveyed make some form of DNACPR decision but differing cultures and economic status contribute towards a heterogeneity of approaches to resuscitation decision-making. Adequacy of relevant medical education and national policy are two areas that were regularly identified as impacting upon the processes of DNACPR decision-making and implementation.",2016,10.1016/j.resuscitation.2016.01.020,103,NA,75-81,eng,1873-1570 0300-9572,Communication and Humans and Surveys and Questionnaires and Practice Guidelines as Topic and Attitude of Health Personnel and Attitude to Death and Terminal Care and *Decision Making and Physicians/*psychology and *Resuscitation Orders and Cardiopulmonary Resuscitation/*standards and International perspectives and Physician-patient relationship and Resuscitation decisions and Resuscitation orders,NA,NA,2016/06//undefined,Resuscitation,NA,NA,NA,NA
Harford_2019_Resu,JOUR,A machine learning based model for Out of Hospital cardiac arrest outcome classification and sensitivity analysis,"Harford, Samuel and Darabi, Houshang and Del Rios, Marina and Majumdar, Somshubra and Karim, Fazle and Vanden Hoek, Terry and Erwin, Kim and Watson, Dennis P.",Resuscitation,"BACKGROUND: Out-of-hospital cardiac arrest (OHCA) affects nearly 400,000 people each year in the United States of which only 10% survive. Using data from the Cardiac Arrest Registry to Enhance Survival (CARES), and machine learning (ML) techniques, we developed a model of neurological outcome prediction for OHCA in Chicago, Illinois. METHODS: Rescue workflow data of 2639 patients with witnessed OHCA were retrieved from Chicago's CARES. An Embedded Fully Convolutional Network (EFCN) classification model was selected to predict the patient outcome (survival with good neurological outcomes or not) based on 27 input features with the objective of maximizing the average class sensitivity. Using this model, sensitivity analysis of intervention variables such as bystander cardiopulmonary resuscitation (CPR), targeted temperature management, and coronary angiography was conducted. RESULTS: The EFCN classification model has an average class sensitivity of 0.825. Sensitivity analysis of patient outcome shows that an additional 33 patients would have survived with good neurological outcome if they had received lay person CPR in addition to CPR by emergency medical services and 88 additional patients would have survived if they had received the coronary angiography intervention. CONCLUSIONS: ML modeling of the complex Chicago OHCA rescue system can predict neurologic outcomes with a reasonable level of accuracy and can be used to support intervention decisions such as CPR or coronary angiography. The discriminative ability of this ML model requires validation in external cohorts to establish generalizability.",2019,10.1016/j.resuscitation.2019.03.012,138,NA,134-140,eng,1873-1570 0300-9572,"Machine learning and Humans and Chicago and Prognosis and Survival Analysis and *Machine Learning and Latent Class Analysis and Registries/statistics & numerical data and *Cardiopulmonary Resuscitation/adverse effects/methods and *Out-of-Hospital Cardiac Arrest/mortality/therapy and Coronary Angiography/*methods and Emergency Medical Services/methods/statistics & numerical data and Hypothermia, Induced/*methods and Nervous System Diseases/*diagnosis/etiology and Neurological outcome and Out of hospital cardiac arrest and Outcome Assessment, Health Care/classification/methods",NA,NA,2019/05//undefined,Resuscitation,NA,NA,NA,NA
Rivkind_2015_Thjooftranaccasu,JOUR,Combating terror: a new paradigm in student trauma education,"Rivkind, Avraham I. and Faroja, Mouhammad and Mintz, Yoav and Pikarsky, Alon J. and Zamir, Gideon and Elazary, Ram and Abu-Gazala, Mahmoud and Bala, Miklosh",The journal of trauma and acute care surgery,"BACKGROUND: Other than the Advanced Trauma Life Support course, usually run for postgraduate trainees, there are few trauma courses available for medical students. It has been shown that trauma teaching for medical students is sadly lacking within the undergraduate curriculum. We stated that students following formal teaching, even just theory and some practice in basic skills significantly improved their management of trauma patients. METHODS: Hadassah-Hebrew University in Israel runs an annual 2-week trauma course for final-year medical students. The focus is on hands-on practice in resuscitation, diagnosis, procedures, and decision making. After engaging a combination of instructional and interactive teaching methods including practice on simulated injuries that students must assess and treat through the 2 weeks, the course culminates in a disaster drill where students work alongside the emergency services to rescue, assess, treat, and transfer patients. The course is evaluated with a written precourse and postcourse test, an Objective Structured Clinical Examination and detailed feedback from the drill. RESULTS: We analyzed student feedback at the end of each course during a 6-year period from 2007 to 2012. Correct answers for the posttest results were higher each year with good reliability as assessed by Chronbach's <ce><b1> and with significant variation from pretest scores assessed using paired-samples t tests. Best scores were achieved in knowledge acquisition and practical skills gained. Students were also asked whether the course contributed to self-preparedness in treating trauma patients, and this consistently achieved high scores. CONCLUSION: We believe that students benefit substantially from the course and gain lasting skills and confidence in trauma management, decision making, and organizational skills. The course provides students with the opportunity to learn and ingrain trauma principles along Advanced Trauma Life Support guidelines and prepares them for practice as safe doctors. We advocate the global implementation of a student trauma training course as a mandatory educational initiative and propose our course format as a model for similar courses.",2015,10.1097/TA.0000000000000508,78,2,415-421,eng,2163-0763 2163-0755,"Curriculum and Humans and Female and Male and Adult and Educational Measurement and *Education, Medical, Undergraduate and *Clinical Competence and Israel and *Mass Casualty Incidents and *Terrorism and Traumatology/*education",NA,NA,2015/02//undefined,J Trauma Acute Care Surg,NA,NA,NA,NA
Adini_2015_Thjooftranaccasu,JOUR,Load index model: An advanced tool to support decision making during mass-casualty incidents,"Adini, Bruria and Aharonson-Daniel, Limor and Israeli, Avi",The journal of trauma and acute care surgery,"BACKGROUND: In mass-casualty events, accessing information concerning hospital congestion levels is crucial to improving patient distribution and optimizing care. The study aimed to develop a decision support tool for distributing casualties to hospitals in an emergency scenario involving multiple casualties. METHODS: A comprehensive literature review and structured interviews with 20 content experts produced a shortlist of relevant criteria for inclusion in the model. A ""load index model"" was prepared, incorporating results of a modified Delphi survey of 100 emergency response experts. The model was tested in three simulation exercises in which an emergency scenario was presented to six groups of senior emergency managers. Information was provided regarding capacities of 11 simulated admitting hospitals in the region, and evacuation destinations were requested for 600 simulated casualties. Of the three simulation rounds, two were performed without the model and one after its presentation. Following simulation experiments and implementation during a real-life security threat, the efficacy of the model was assessed. RESULTS: Variability between experts concerning casualties' evacuation destinations decreased significantly following the model's introduction. Most responders (92%) supported the need for standardized data, and 85% found that the model improved policy setting regarding casualty evacuation in an emergency situation. These findings were reaffirmed in a real-life emergency scenario. CONCLUSION: The proposed model improved capacity to ensure evacuation of patients to less congested medical facilities in emergency situations, thereby enhancing lifesaving medical services. The model supported decision-making processes in both simulation exercises and an actual emergency situation.",2015,10.1097/TA.0000000000000535,78,3,622-627,eng,2163-0763 2163-0755,"Humans and Models, Organizational and Planning Techniques and Interviews as Topic and Delphi Technique and *Decision Support Techniques and Emergency Medical Services/*organization & administration and *Patient Transfer and *Mass Casualty Incidents and *Crowding and *Hospital Planning and Disaster Planning",NA,NA,2015/03//undefined,J Trauma Acute Care Surg,NA,NA,NA,NA
