label,type,title,author,journal,abstract,year,doi,volume,issue,pages,language,issn,keywords,url,institution,DA,j2,DP,l1,l2,ST
Rocklov_2019_Emerinfedise,JOUR,"Using Big Data to Monitor the Introduction and Spread of Chikungunya, Europe, 2017","Rocklov, Joacim and Tozan, Yesim and Ramadona, Aditya and Sewe, Maquines O. and Sudre, Bertrand and Garrido, Jon and de Saint Lary, Chiara Bellegarde and Lohr, Wolfgang and Semenza, Jan C.",Emerging infectious diseases,"With regard to fully harvesting the potential of big data, public health lags behind other fields. To determine this potential, we applied big data (air passenger volume from international areas with active chikungunya transmission, Twitter data, and vectorial capacity estimates of Aedes albopictus mosquitoes) to the 2017 chikungunya outbreaks in Europe to assess the risks for virus transmission, virus importation, and short-range dispersion from the outbreak foci. We found that indicators based on voluminous and velocious data can help identify virus dispersion from outbreak foci and that vector abundance and vectorial capacity estimates can provide information on local climate suitability for mosquitoborne outbreaks. In contrast, more established indicators based on Wikipedia and Google Trends search strings were less timely. We found that a combination of novel and disparate datasets can be used in real time to prevent and control emerging and reemerging infectious diseases.",2019,10.3201/eid2506.180138,25,6,1041-1049,eng,1080-6059 1080-6040,"social media and data science and Humans and Europe and big data and Animals and Climate and Data Mining and History, 21st Century and Disease Outbreaks and Seasons and Public Health Surveillance and Population Dynamics and Geography, Medical and *Big Data and Europe/epidemiology and Aedes/virology and Mosquito Vectors/virology and *Chikungunya virus and Aedes albopictus and arbovirus and chikungunya and Chikungunya Fever/*epidemiology/history/*transmission/virology and Communicable Diseases, Emerging/epidemiology/history/transmission/virology and human mobility and vector-borne infections and vectorial capacity and viruses",NA,NA,2019/06//undefined,Emerg Infect Dis,NA,NA,NA,NA
Martinez.Bello_2019_Emerinfedise,JOUR,"Joint Estimation of Relative Risk for Dengue and Zika Infections, Colombia, 2015-2016","Martinez-Bello, Daniel Adyro and Lopez-Quilez, Antonio and Prieto, Alexander Torres",Emerging infectious diseases,"We jointly estimated relative risk for dengue and Zika virus disease (Zika) in Colombia, establishing the spatial association between them at the department and city levels for October 2015-December 2016. Cases of dengue and Zika were allocated to the 87 municipalities of 1 department and the 293 census sections of 1 city in Colombia. We fitted 8 hierarchical Bayesian Poisson joint models of relative risk for dengue and Zika, including area- and disease-specific random effects accounting for several spatial patterns of disease risk (clustered or uncorrelated heterogeneity) within and between both diseases. Most of the dengue and Zika high-risk municipalities varied in their risk distribution; those for Zika were in the northern part of the department and dengue in the southern to northeastern parts. At city level, spatially clustered patterns of dengue high-risk census sections indicated Zika high-risk areas. This information can be used to inform public health decision making.",2019,10.3201/eid2506.180392,25,6,1118-1126,eng,1080-6059 1080-6040,"Humans and Female and Male and Adolescent and Adult and Middle Aged and Young Adult and Child and Child, Preschool and Infant and Risk Assessment and Risk Factors and Colombia and Prevalence and Infant, Newborn and Bayes Theorem and Age Distribution and History, 21st Century and Geography, Medical and Zika Virus and viruses and Bayesian models and Colombia/epidemiology and conditional auto-regressive prior and dengue virus and Dengue Virus and Dengue/*epidemiology/history/virology and multivariate risk models and Risk maps and Zika virus and Zika Virus Infection/*epidemiology/history/virology",NA,NA,2019/06//undefined,Emerg Infect Dis,NA,NA,NA,NA
Spreco_2018_Emerinfedise,JOUR,"Evaluation of Nowcasting for Detecting and Predicting Local Influenza Epidemics, Sweden, 2009-2014","Spreco, Armin and Eriksson, Olle and Dahlstrom, Orjan and Cowling, Benjamin John and Timpka, Toomas",Emerging infectious diseases,"The growing availability of big data in healthcare and public health opens possibilities for infectious disease control in local settings. We prospectively evaluated a method for integrated local detection and prediction (nowcasting) of influenza epidemics over 5 years, using the total population in Ostergotland County, Sweden. We used routine health information system data on influenza-diagnosis cases and syndromic telenursing data for July 2009-June 2014 to evaluate epidemic detection, peak-timing prediction, and peak-intensity prediction. Detection performance was satisfactory throughout the period, except for the 2011-12 influenza A(H3N2) season, which followed a season with influenza B and pandemic influenza A(H1N1)pdm09 virus activity. Peak-timing prediction performance was satisfactory for the 4 influenza seasons but not the pandemic. Peak-intensity levels were correctly categorized for the pandemic and 2 of 4 influenza seasons. We recommend using versions of this method modified with regard to local use context for further evaluations using standard methods.",2018,10.3201/eid2410.171940,24,10,1868-1873,eng,1080-6059 1080-6040,"epidemiology and Epidemics and Humans and Sweden and surveillance and Population Surveillance and History, 21st Century and influenza and Sweden/epidemiology and infectious disease and viruses and evaluation research and human influenza and Influenza A Virus, H1N1 Subtype and Influenza A Virus, H3N2 Subtype and Influenza A virus/classification/genetics and Influenza, Human/*epidemiology/history/virology and nowcasting and signal detection analysis",NA,NA,2018/10//undefined,Emerg Infect Dis,NA,NA,NA,NA
Fecht_2020_Injoofep,JOUR,Advances in mapping population and demographic characteristics at small-area levels,"Fecht, Daniela and Cockings, Samantha and Hodgson, Susan and Piel, Frederic B. and Martin, David and Waller, Lance A.",International journal of epidemiology,"Temporally and spatially highly resolved information on population characteristics, including demographic profile (e.g. age and sex), ethnicity and socio-economic status (e.g. income, occupation, education), are essential for observational health studies at the small-area level. Time-relevant population data are critical as denominators for health statistics, analytics and epidemiology, to calculate rates or risks of disease. Demographic and socio-economic characteristics are key determinants of health and important confounders in the relationship between environmental contaminants and health. In many countries, census data have long been the source of small-area population denominators and confounder information. A strength of the traditional census model has been its careful design and high level of population coverage, allowing high-quality detailed data to be released for small areas periodically, e.g. every 10 years. The timeliness of data, however, becomes a challenge when temporally and spatially highly accurate annual (or even more frequent) data at high spatial resolution are needed, for example, for health surveillance and epidemiological studies. Additionally, the approach to collecting demographic population information is changing in the era of open and big data and may eventually evolve to using combinations of administrative and other data, supplemented by surveys. We discuss different approaches to address these challenges including (i) the US American Community Survey, a rolling sample of the US population census, (ii) the use of spatial analysis techniques to compile temporally and spatially high-resolution demographic data and (iii) the use of administrative and big data sources as proxies for demographic characteristics.",2020,10.1093/ije/dyz179,49 Suppl 1,Suppl 1,i15-i25,eng,1464-3685 0300-5771,United States and Population and Humans and Female and Male and Demography and big data and Social Class and Censuses and census and Spatial Analysis and administrative data and *Observational Studies as Topic and *Small-Area Analysis and spatio-temporal analysis,NA,NA,2020/04/01/,Int J Epidemiol,NA,NA,NA,NA
Zhu_2007_Joofclep,JOUR,The K-nearest neighbor algorithm predicted rehabilitation potential better than current Clinical Assessment Protocol,"Zhu, Mu and Chen, Wenhong and Hirdes, John P. and Stolee, Paul",Journal of clinical epidemiology,"OBJECTIVE: There may be great potential for using computer-modeling techniques and machine-learning algorithms in clinical decision making, if these can be shown to produce results superior to clinical protocols currently in use. We aim to explore the potential to use an automatic, data-driven, machine-learning algorithm in clinical decision making. STUDY DESIGN AND SETTING: Using a database containing comprehensive health assessment information (the interRAI-HC) on home care clients (N=24,724) from eight community-care regions in Ontario, Canada, we compare the performance of the K-nearest neighbor (KNN) algorithm and a Clinical Assessment Protocol (the ""ADLCAP"") currently used to predict rehabilitation potential. For our purposes, we define a patient as having rehabilitation potential if the patient had functional improvement or remained at home over a follow-up period of approximately 1 year. RESULTS: The KNN algorithm has a lower false positive rate in all but one of the eight regions in the sample, and lower false negative rates in all regions. Compared using likelihood ratio statistics, KNN is uniformly more informative than the ADLCAP. CONCLUSION: This article illustrates the potential for a machine-learning algorithm to enhance clinical decision making.",2007,10.1016/j.jclinepi.2007.06.001,60,10,1015-1021,eng,0895-4356,"Humans and Prognosis and Ontario and Artificial Intelligence and Computer Simulation and Activities of Daily Living and Diagnostic Errors and *Algorithms and Bayes Theorem and Patient Selection and Health Status Indicators and *Decision Making, Computer-Assisted and Home Care Services/organization & administration and Rehabilitation/*organization & administration",NA,NA,2007/10//undefined,J Clin Epidemiol,NA,NA,NA,NA
Cowling_2020_Joofclep,JOUR,A novel approach selected small sets of diagnosis codes with high prediction performance in large healthcare datasets,"Cowling, Thomas E. and Cromwell, David A. and Sharples, Linda D. and van der Meulen, Jan",Journal of clinical epidemiology,"OBJECTIVES: The objective of the study was to examine an approach for selecting small sets of diagnosis codes with high prediction performance in large datasets of electronic medical records. STUDY DESIGN AND SETTING: This was a modeling study using national hospital and mortality records for patients with myocardial infarction (n = 200,119), hip fracture (n = 169,646), or colorectal cancer surgery (n = 56,515) in England in 2015-2017. One-year mortality was predicted from ICD-10 codes recorded for at least 0.5% of patients using logistic regression ('full' models). An approximation method was used to select fewer codes that explained at least 95% of variation in full model predictions ('reduced' models). RESULTS: One-year mortality was 17.2% (34,520) after myocardial infarction, 27.2% (46,115) after hip fracture, and 9.3% (5,273) after colorectal surgery. Full models included 202, 257, and 209 ICD-10 codes in these populations. C-statistics for these models were 0.884 (95% confidence interval (CI) 0.882, 0.886), 0.798 (0.795, 0.800), and 0.810 (0.804, 0.817). Reduced models included 18, 33, and 41 codes and had c-statistics of 0.874 (95% CI 0.872, 0.876), 0.791 (0.788, 0.793), and 0.807 (0.801, 0.813). Performance was also similar when measured using Brier scores. All models were well calibrated. CONCLUSION: Our approach selected small sets of diagnosis codes that predicted patient outcomes comparably to large, comprehensive sets of codes.",2020,10.1016/j.jclinepi.2020.08.001,128,NA,20-28,eng,1878-5921 0895-4356,England and Humans and Electronic medical records and Big data and Prognosis and Comorbidity and International Classification of Diseases and Electronic Health Records/*standards and Multimorbidity and Colorectal Surgery/*statistics & numerical data and Datasets as Topic/*statistics & numerical data and Hip Fractures/diagnosis/*epidemiology and ICD-10 and International Classification of Diseases/*standards and Myocardial Infarction/diagnosis/*epidemiology and Statistical models and Variable selection,NA,NA,2020/12//undefined,J Clin Epidemiol,NA,NA,NA,NA
Westreich_2010_Joofclep,JOUR,"Propensity score estimation: neural networks, support vector machines, decision trees (CART), and meta-classifiers as alternatives to logistic regression","Westreich, Daniel and Lessler, Justin and Funk, Michele Jonsson",Journal of clinical epidemiology,"OBJECTIVE: Propensity scores for the analysis of observational data are typically estimated using logistic regression. Our objective in this review was to assess machine learning alternatives to logistic regression, which may accomplish the same goals but with fewer assumptions or greater accuracy. STUDY DESIGN AND SETTING: We identified alternative methods for propensity score estimation and/or classification from the public health, biostatistics, discrete mathematics, and computer science literature, and evaluated these algorithms for applicability to the problem of propensity score estimation, potential advantages over logistic regression, and ease of use. RESULTS: We identified four techniques as alternatives to logistic regression: neural networks, support vector machines, decision trees (classification and regression trees [CART]), and meta-classifiers (in particular, boosting). CONCLUSION: Although the assumptions of logistic regression are well understood, those assumptions are frequently ignored. All four alternatives have advantages and disadvantages compared with logistic regression. Boosting (meta-classifiers) and, to a lesser extent, decision trees (particularly CART), appear to be most promising for use in the context of propensity score analysis, but extensive simulation studies are needed to establish their utility in practice.",2010,10.1016/j.jclinepi.2009.11.020,63,8,826-833,eng,1878-5921 0895-4356,"Humans and Algorithms and Artificial Intelligence and Neural Networks, Computer and *Data Interpretation, Statistical and *Decision Trees and *Propensity Score and *Logistic Models",NA,NA,2010/08//undefined,J Clin Epidemiol,NA,NA,NA,NA
Hodgson_2020_Injoofep,JOUR,"Availability, access, analysis and dissemination of small-area data","Hodgson, Susan and Fecht, Daniela and Gulliver, John and Iyathooray Daby, Hima and Piel, Frederic B. and Yip, Fuyuen and Strosnider, Heather and Hansell, Anna and Elliott, Paul",International journal of epidemiology,"In this era of 'big data', there is growing recognition of the value of environmental, health, social and demographic data for research. Open government data initiatives are growing in number and in terms of content. Remote sensing data are finding widespread use in environmental research, including in low- and middle-income settings. While our ability to study environment and health associations across countries and continents grows, data protection rules and greater patient control over the use of their data present new challenges to using health data in research. Innovative tools that circumvent the need for the physical sharing of data by supporting non-disclosive sharing of information, or that permit spatial analysis without researchers needing access to underlying patient data can be used to support analyses while protecting data confidentiality. User-friendly visualizations, allowing small-area data to be seen and understood by non-expert audiences, are revolutionizing public and researcher interactions with data. The UK Small Area Health Statistics Unit's Environment and Health Atlas for England and Wales, and the US National Environmental Public Health Tracking Network offer good examples. Open data facilitates user-generated outputs, and 'mash-ups', and user-generated inputs from social media, mobile devices and wearable tech are new data streams that will find utility in future studies, and bring novel dimensions with respect to ethical use of small-area data.",2020,10.1093/ije/dyz051,49 Suppl 1,Suppl 1,i14-i4,eng,1464-3685 0300-5771,Public Health and England and Humans and Big Data and Confidentiality and open data and Wales and *Information Dissemination and *Access to Information and *Data Analysis and *Small-Area Analysis and environment and health and remote sensing and Small-area studies,NA,NA,2020/04/01/,Int J Epidemiol,NA,NA,NA,NA
Cuello.Garcia_2020_Joofclep,JOUR,Social media can have an impact on how we manage and investigate the COVID-19 pandemic,"Cuello-Garcia, Carlos and Perez-Gaxiola, Giordano and van Amelsvoort, Ludo",Journal of clinical epidemiology,"<e2><80><a2> In situations of emergencies and urgencies, such as the COVID-19 pandemic, many are disseminating information through social media channels; this has an impact on billions of persons worldwide. <e2><80><a2> Misinformation about the current pandemic occurs frequently in these platforms and can have serious consequences. <e2><80><a2> When properly used, social media can be a useful tool that provides opportunities to disseminate and receive relevant information for patients, clinicians, and scientists. <e2><80><a2> Better research methods and proper use of these platforms by health scientists and the public are warranted to address social media's role in health policy and individual decisions. A multidisciplinary approach with better outreach and dissemination is optimal.",2020,10.1016/j.jclinepi.2020.06.028,127,NA,198-201,eng,1878-5921 0895-4356,"COVID-19 and Humans and Big Data and Data Mining and *Social Media and Information Dissemination/*methods and Coronavirus Infections/*epidemiology and Pneumonia, Viral/*epidemiology and *Pandemics",NA,NA,2020/11//undefined,J Clin Epidemiol,NA,NA,NA,NA
Schmidt_2018_Joofclep,JOUR,Linear regression and the normality assumption,"Schmidt, Amand F. and Finan, Chris",Journal of clinical epidemiology,"OBJECTIVES: Researchers often perform arbitrary outcome transformations to fulfill the normality assumption of a linear regression model. This commentary explains and illustrates that in large data settings, such transformations are often unnecessary, and worse may bias model estimates. STUDY DESIGN AND SETTING: Linear regression assumptions are illustrated using simulated data and an empirical example on the relation between time since type 2 diabetes diagnosis and glycated hemoglobin levels. Simulation results were evaluated on coverage; i.e., the number of times the 95% confidence interval included the true slope coefficient. RESULTS: Although outcome transformations bias point estimates, violations of the normality assumption in linear regression analyses do not. The normality assumption is necessary to unbiasedly estimate standard errors, and hence confidence intervals and P-values. However, in large sample sizes (e.g., where the number of observations per variable is >10) violations of this normality assumption often do not noticeably impact results. Contrary to this, assumptions on, the parametric model, absence of extreme observations, homoscedasticity, and independency of the errors, remain influential even in large sample size settings. CONCLUSION: Given that modern healthcare research typically includes thousands of subjects focusing on the normality assumption is often unnecessary, does not guarantee valid results, and worse may bias estimates due to the practice of outcome transformations.",2018,10.1016/j.jclinepi.2017.12.006,98,NA,146-151,eng,1878-5921 0895-4356,Big data and Bias and *Linear Models and *Bias and *Sample Size and Epidemiological methods and Linear regression and Modeling assumptions and Statistical inference,NA,NA,2018/06//undefined,J Clin Epidemiol,NA,NA,NA,NA
