label,type,title,author,journal,abstract,year,doi,volume,issue,pages,language,issn,keywords,url,institution,DA,j2,DP,l1,l2,ST
Bukowski_2021_Amjoofobangy,JOUR,"Computational medicine, present and the future: obstetrics and gynecology perspective","Bukowski, Radek and Schulz, Karl and Gaither, Kelly and Stephens, Keri K. and Semeraro, Dave and Drake, Justin and Smith, Gordon and Cordola, Craig and Zariphopoulou, Thaleia and Hughes, Thomas J. R. and Zarins, Christopher and Kusnezov, Dimitri and Howard, Donna and Oden, Tinsley",American journal of obstetrics and gynecology,"Medicine is, in its essence, decision making under uncertainty; the decisions are made about tests to be performed and treatments to be administered. Traditionally, the uncertainty in decision making was handled using expertise collected by individual providers and, more recently, systematic appraisal of research in the form of evidence-based medicine. The traditional approach has been used successfully in medicine for a very long time. However, it has substantial limitations because of the complexity of the system of the human body and healthcare. The complex systems are a network of highly coupled components intensely interacting with each other. These interactions give those systems redundancy and thus robustness to failure and, at the same time, equifinality, that is, many different causative pathways leading to the same outcome. The equifinality of the complex systems of the human body and healthcare system demand the individualization of medical care, medicine, and medical decision making. Computational models excel in modeling complex systems and, consequently, enabling individualization of medical decision making and medicine. Computational models are theory- or knowledge-based models, data-driven models, or models that combine both approaches. Data are essential, although to a different degree, for computational models to successfully represent complex systems. The individualized decision making, made possible by the computational modeling of complex systems, has the potential to revolutionize the entire spectrum of medicine from individual patient care to policymaking. This approach allows applying tests and treatments to individuals who receive a net benefit from them, for whom benefits outweigh the risk, rather than treating all individuals in a population because, on average, the population benefits. Thus, the computational modeling-enabled individualization of medical decision making has the potential to both improve health outcomes and decrease the costs of healthcare.",2021,10.1016/j.ajog.2020.08.057,224,1,16-34,eng,1097-6868 0002-9378,"machine learning and Humans and uncertainty and modeling and data and *Models, Theoretical and data-driven models and computation and *Computational Biology and *Gynecology and *Obstetrics and physics-based models and theory-based models",NA,NA,2021/01//undefined,Am J Obstet Gynecol,NA,NA,NA,NA
Macedonia_2017_Obsandgyn,JOUR,"Advanced Research and Data Methods in Women's Health: Big Data Analytics, Adaptive Studies, and the Road Ahead","Macedonia, Christian R. and Johnson, Clark T. and Rajapakse, Indika",Obstetrics and gynecology,"Technical advances in science have had broad implications in reproductive and women's health care. Recent innovations in population-level data collection and storage have made available an unprecedented amount of data for analysis while computational technology has evolved to permit processing of data previously thought too dense to study. ""Big data"" is a term used to describe data that are a combination of dramatically greater volume, complexity, and scale. The number of variables in typical big data research can readily be in the thousands, challenging the limits of traditional research methodologies. Regardless of what it is called, advanced data methods, predictive analytics, or big data, this unprecedented revolution in scientific exploration has the potential to dramatically assist research in obstetrics and gynecology broadly across subject matter. Before implementation of big data research methodologies, however, potential researchers and reviewers should be aware of strengths, strategies, study design methods, and potential pitfalls. Examination of big data research examples contained in this article provides insight into the potential and the limitations of this data science revolution and practical pathways for its useful implementation.",2017,10.1097/AOG.0000000000001865,129,2,249-264,eng,1873-233X 0029-7844,"Humans and *Data Interpretation, Statistical and Biomedical Research/*trends and Data Collection/*trends and Gynecology/*trends and Obstetrics/*trends",NA,NA,2017/02//undefined,Obstet Gynecol,NA,NA,NA,NA
X2020_Obsandgyn,JOUR,Implementing Telehealth in Practice,NA,Obstetrics and gynecology,"The term ""telemedicine"" often is used to refer to traditional clinical diagnosis and monitoring that are delivered by technology. The term ""telehealth"" refers to the technology-enhanced health care framework that includes services such as virtual visits, remote patient monitoring, and mobile health care. Evidence suggests that telehealth provides comparable health outcomes when compared with traditional methods of health care delivery without compromising the patient-physician relationship, and it also has been shown to enhance patient satisfaction and improve patient engagement. Obstetrician-gynecologists and other physicians who practice telehealth should make certain that they have the necessary hardware, software, and a reliable, secure internet connection to ensure quality care and patient safety. To implement a telehealth program effectively, participating sites must undergo resource assessments to evaluate equipment readiness. Credentialing and privileging in telemedicine depend on the requirements of the facilities where the physician practices and the source of service payment or reimbursement. Obstetrician-gynecologists and other physicians who provide telehealth must meet many safeguards before delivering telehealth services, including federal, state, and local regulatory laws and licensure requirements. Insurance carriers should provide clear guidelines to physicians who provide telehealth to ensure appropriate health insurance coverage for telehealth encounters. Telehealth has quickly become integrated into nearly every aspect of obstetrics and gynecology, and current trends in patient-generated data and big data analytics portend increased use. These technology-enhanced health care delivery opportunities enhance, not replace, the current standard of care.",2020,10.1097/AOG.0000000000003671,135,2,e73-e79,eng,1873-233X 0029-7844,"United States and Humans and Female and Insurance, Health and Physician-Patient Relations and Obstetrics and Pregnancy and Patient Satisfaction and Video Recording and Gynecology and Smartphone and Reimbursement Mechanisms and Telemedicine/*economics and Quality of Health Care/economics/*organization & administration and Credentialing and Hospitals/standards and Licensure, Medical",NA,NA,2020/02//undefined,Obstet Gynecol,NA,NA,NA,NA
X2020_Obsandgyn_1,JOUR,"Implementing Telehealth in Practice: ACOG Committee Opinion Summary, Number 798",NA,Obstetrics and gynecology,"The term ""telemedicine"" often is used to refer to traditional clinical diagnosis and monitoring that are delivered by technology. The term ""telehealth"" refers to the technology-enhanced health care framework that includes services such as virtual visits, remote patient monitoring, and mobile health care. Evidence suggests that telehealth provides comparable health outcomes when compared with traditional methods of health care delivery without compromising the patient-physician relationship, and it also has been shown to enhance patient satisfaction and improve patient engagement. Obstetrician-gynecologists and other physicians who provide telehealth should make certain that they have the necessary hardware, software, and a reliable, secure internet connection to ensure quality care and patient safety. To implement a telehealth program effectively, participating sites must undergo resource assessments to evaluate equipment readiness. Credentialing and privileging in telemedicine depend on the requirements of the facilities where the physician practices and the source of service payment or reimbursement. Obstetrician-gynecologists and other physicians who provide telehealth must meet many safeguards before delivering telehealth services, including federal, state, and local regulatory laws and licensure requirements. Insurance carriers should provide clear guidelines to physicians who provide telehealth to ensure appropriate health insurance coverage for tele-encounters. Telehealth has quickly become integrated into nearly every aspect of obstetrics and gynecology, and current trends in patient-generated data and big data analytics portend increased use. These technology-enhanced health care delivery opportunities enhance, not replace, the current standard of care.",2020,10.1097/AOG.0000000000003672,135,2,493-494,eng,1873-233X 0029-7844,"United States and Humans and Female and Insurance, Health and Physician-Patient Relations and Obstetrics and Pregnancy and Patient Satisfaction and Video Recording and Gynecology and Smartphone and Reimbursement Mechanisms and Telemedicine/*economics and Quality of Health Care/economics/*organization & administration and Credentialing and Hospitals/standards and Licensure, Medical",NA,NA,2020/02//undefined,Obstet Gynecol,NA,NA,NA,NA
Goodin_2017_O.gs,JOUR,The Power and Pitfalls of Big Data Research in Obstetrics and Gynecology: A Consumer's Guide,"Goodin, Amie and Delcher, Chris and Valenzuela, Chelsea and Wang, Xi and Zhu, Yanmin and Roussos-Ross, Dikea and Brown, Joshua D.",Obstetrical & gynecological survey,"IMPORTANCE: Research in obstetrics and gynecology (OB/GYN) increasingly relies on ""big data"" and observational study designs. There is a gap in practitioner-relevant guides to interpret and critique such research. OBJECTIVE: This guide is an introduction to interpreting research using observational data and provides explanations and context for related terminology. In addition, it serves as a guide for critiquing OB/GYN studies that use observational data by outlining how to assess common pitfalls of experimental and observational study designs. Lastly, the piece provides a compendium of observational data resources commonly used within OB/GYN research. EVIDENCE ACQUISITION: Review of literature was conducted for the collection of definitions and examples of terminology related to observational data research. Data resources were collected via Web search and researcher recommendations. Next, each data resource was reviewed and analyzed for content and accessibility. Contents of data resources were organized into summary tables and matched to relevant literature examples. RESULTS: We identified 26 observational data resources frequently used in secondary analysis for OB/GYN research. Cost, accessibility considerations for software/hardware capabilities, and contents of each data resource varied substantially. CONCLUSIONS AND RELEVANCE: Observational data sources can provide researchers with a variety of options in tackling their research questions related to OB/GYN practice, patient health outcomes, trends in utilization of medications/procedures, or prevalence estimates of disease states. Insurance claims data resources are useful for population-level prevalence estimates and utilization trends, whereas electronic health record-derived data and patient survey data may be more useful for exploring patient behaviors and trends in practice.",2017,10.1097/OGX.0000000000000504,72,11,669-682,eng,1533-9866 0029-7828,"Humans and Data Collection and Female and Male and Data Mining and Data Interpretation, Statistical and Observational Studies as Topic and Datasets as Topic and Biomedical Research/*methods and *Gynecology and *Obstetrics and *Research Design",NA,NA,2017/11//undefined,Obstet Gynecol Surv,NA,NA,NA,NA
Emerson_2019_O.gs,JOUR,Gynecologic Surgical Outcomes Through the Patient's Eyes: Are Physicians Looking in the Same Direction?,"Emerson, Jenna and Paquet, Amanda and Sangha, Roopina and Robison, Katina",Obstetrical & gynecological survey,"IMPORTANCE: Patient-centered care integrates the highest clinical standards with patient preferences surrounding their treatment. Increasing focus is being placed on the identification of patient-centered outcomes to optimize the impact of medical treatments on patient quality of life, as defined by patients themselves. OBJECTIVE: This article will review the central concepts of patient-centered outcomes in benign gynecologic surgery. This expert review will serve as a practical guide for surgeons to incorporate patient preferences into shared surgical decision making. EVIDENCE ACQUISITION: The current literature is examined, defining those outcomes identified by women undergoing gynecologic procedures as the most important factors in their decision making. Available literature on these patient-identified priorities is then reviewed with respect to gynecologic surgery in the preoperative, intraoperative, and postoperative periods. RESULTS: Each section of the article concludes with Clinical Pearls, where practical tools and key elements are summarized to assist providers with incorporating these concepts into practice. CONCLUSIONS AND RELEVANCE: Many key outcomes have been identified by women undergoing benign gynecologic surgery in their decision-making process. Patient counseling should address clinically appropriate treatment modalities and include an exploration of patient expectations and preferences around nonclinical outcomes as well. This shared decision-making model will result in improved satisfaction with outcomes.",2019,10.1097/OGX.0000000000000681,74,6,351-361,eng,1533-9866 0029-7828,"Humans and Female and Treatment Outcome and Patient Education as Topic and Postoperative Period and *Patient Participation and *Patient Preference and *Patient-Centered Care and Pain, Postoperative/etiology and *Gynecologic Surgical Procedures/adverse effects and Enhanced Recovery After Surgery and Ovary/physiology and Sexual Health and Surgical Wound/complications and Wound Closure Techniques",NA,NA,2019/06//undefined,Obstet Gynecol Surv,NA,NA,NA,NA
Sandy_2016_O.gs,JOUR,Contemporary Obstetric Triage,"Sandy, Edward Allen 2nd and Kaminski, Robert and Simhan, Hygriv and Beigi, Richard",Obstetrical & gynecological survey,"IMPORTANCE: The role of obstetric triage in the care of pregnant women has expanded significantly. Factors driving this change include the Emergency Medical Treatment and Active Labor Act, improved methods of testing for fetal well-being, increasing litigation risk, and changes in resident duty hour guidelines. The contemporary obstetric triage facility must have processes in place to provide a medical screening examination that complies with regulatory statues while considering both the facility's maternal level of care and available resources. OBJECTIVE: This review examines the history of the development of obstetric triage, current considerations in a contemporary obstetric triage paradigm, and future areas for consideration. An example of a contemporary obstetric triage program at an academic medical center is presented. RESULT: A successful contemporary obstetric triage paradigm is one that addresses the questions of ""sick or not sick"" and ""labor or no labor,"" for every obstetric patient that presents for care. Failure to do so risks poor patient outcome, poor patient satisfaction, adverse litigation outcome, regulatory scrutiny, and exclusion from federal payment programs. CONCLUSIONS: Understanding the role of contemporary obstetric triage in the current health care environment is important for both providers and health care leadership. TARGET AUDIENCE: This study is for obstetricians and gynecologists as well as family physicians. LEARNING OBJECTIVES: After completing this activity, the learner should be better able to understand the scope of a medical screening examination within the context of contemporary obstetric triage; understand how a facility's level of maternal care influences clinical decision making in a contemporary obstetric triage setting; and understand the considerations necessary for the systematic evaluation of the 2 basic contemporary obstetric questions, ""sick or not sick?"" and ""labor or no labor?""",2016,10.1097/OGX.0000000000000282,71,3,165-177,eng,1533-9866 0029-7828,"United States and Humans and Female and Pregnancy and History, 21st Century and History, 20th Century and Internship and Residency and Personnel Staffing and Scheduling and Pregnancy Outcome and *Labor, Obstetric and *Obstetrics/history/legislation & jurisprudence/standards and *Triage/history/legislation & jurisprudence/standards and Emergency Service, Hospital/legislation & jurisprudence/standards and History, 18th Century",NA,NA,2016/03//undefined,Obstet Gynecol Surv,NA,NA,NA,NA
Sadovsky_2020_Amjoofobangy,JOUR,Advancing human health in the decade ahead: pregnancy as a key window for discovery: A Burroughs Wellcome Fund Pregnancy Think Tank,"Sadovsky, Yoel and Mesiano, Sam and Burton, Graham J. and Lampl, Michelle and Murray, Jeffrey C. and Freathy, Rachel M. and Mahadevan-Jansen, Anita and Moffett, Ashley and Price, Nathan D. and Wise, Paul H. and Wildman, Derek E. and Snyderman, Ralph and Paneth, Nigel and Capra, John Anthony and Nobrega, Marcelo A. and Barak, Yaacov and Muglia, Louis J.",American journal of obstetrics and gynecology,"Recent revolutionary advances at the intersection of medicine, omics, data sciences, computing, epidemiology, and related technologies inspire us to ponder their impact on health. Their potential impact is particularly germane to the biology of pregnancy and perinatal medicine, where limited improvement in health outcomes for women and children has remained a global challenge. We assembled a group of experts to establish a Pregnancy Think Tank to discuss a broad spectrum of major gestational disorders and adverse pregnancy outcomes that affect maternal-infant lifelong health and should serve as targets for leveraging the many recent advances. This report reflects avenues for future effects that hold great potential in 3 major areas: developmental genomics, including the application of methodologies designed to bridge genotypes, physiology, and diseases, addressing vexing questions in early human development; gestational physiology, from immune tolerance to growth and the timing of parturition; and personalized and population medicine, focusing on amalgamating health record data and deep phenotypes to create broad knowledge that can be integrated into healthcare systems and drive discovery to address pregnancy-related disease and promote general health. We propose a series of questions reflecting development, systems biology, diseases, clinical approaches and tools, and population health, and a call for scientific action. Clearly, transdisciplinary science must advance and accelerate to address adverse pregnancy outcomes. Disciplines not traditionally involved in the reproductive sciences, such as computer science, engineering, mathematics, and pharmacology, should be engaged at the study design phase to optimize the information gathered and to identify and further evaluate potentially actionable therapeutic targets. Information sources should include noninvasive personalized sensors and monitors, alongside instructive ""liquid biopsies"" for noninvasive pregnancy assessment. Future research should also address the diversity of human cohorts in terms of geography, racial and ethnic distributions, and social and health disparities. Modern technologies, for both data-gathering and data-analyzing, make this possible at a scale that was previously unachievable. Finally, the psychosocial and economic environment in which pregnancy takes place must be considered to promote the health and wellness of communities worldwide.",2020,10.1016/j.ajog.2020.06.031,223,3,312-321,eng,1097-6868 0002-9378,genomics and precision medicine and artificial intelligence and Humans and Female and Psychology and disparities and Economics and Pregnancy and physiology and metabolomics and population health and pregnancy and maternal health and *Pregnancy Outcome/epidemiology/genetics and adverse outcomes and birthweight and computational biology and developmental origins of adult disease and drug discovery and evolutionary biology and Fetal Development/genetics/physiology and fetal growth and fetal growth restriction and gestational diabetes mellitus and Health Promotion/*trends and immune tolerance and multiomics and parturition and Perinatal Care and preeclampsia and Pregnancy Complications/ethnology/genetics/physiopathology and preterm birth and stillbirth,NA,NA,2020/09//undefined,Am J Obstet Gynecol,NA,NA,NA,NA
Guedalia_2020_Amjoofobangy,JOUR,Real-time data analysis using a machine learning model significantly improves prediction of successful vaginal deliveries,"Guedalia, Joshua and Lipschuetz, Michal and Novoselsky-Persky, Michal and Cohen, Sarah M. and Rottenstreich, Amihai and Levin, Gabriel and Yagel, Simcha and Unger, Ron and Sompolinsky, Yishai",American journal of obstetrics and gynecology,"BACKGROUND: The process of childbirth is one of the most crucial events in the future health and development of the offspring. The vulnerability of parturients and fetuses during the delivery process led to the development of intrapartum monitoring methods and to the emergence of alternative methods of delivery. However, current monitoring methods fail to accurately discriminate between cases in which intervention is unnecessary, partly contributing to the high rates of cesarean deliveries worldwide. Machine learning methods are applied in various medical fields to create personalized prediction models. These methods are used to analyze abundant, complex data with intricate associations to aid in decision making. Initial attempts to predict vaginal delivery vs cesarean deliveries using machine learning tools did not utilize the vast amount of data recorded during labor. The data recorded during labor represent the dynamic process of labor and therefore may be invaluable for dynamic prediction of vaginal delivery. OBJECTIVE: We aimed to create a personalized machine learning-based prediction model to predict successful vaginal deliveries using real-time data acquired during the first stage of labor. STUDY DESIGN: Electronic medical records of labor occurring during a 12-year period in a tertiary referral center were explored and labeled. Four different models were created using input from multiple maternal and fetal parameters. Initial risk assessments for vaginal delivery were calculated using data available at the time of admission to the delivery unit, followed by models incorporating cervical examination data and fetal heart rate data, and finally, a model that integrates additional data available during the first stage of labor was created. RESULTS: A total of 94,480 cases in which a trial of labor was attempted were identified. Based on approximately 180 million data points from the first stage of labor, machine learning models were developed to predict successful vaginal deliveries. A model using data available at the time of admission to the delivery unit yielded an area under the curve of 0.817 (95% confidence interval, 0.811-0.823). Models that used real-time data increased prediction accuracy. A model that includes real-time cervical examination data had an initial area under the curve of 0.819 (95% confidence interval, 0.813-0.825) at first examination, which increased to an area under the curve of 0.917 (95% confidence interval, 0.913-0.921) by the end of the first stage. Adding the real-time fetal heart monitor data provided an area under the curve of 0.824 (95% confidence interval, 0.818-0.830) at first examination, which increased to an area under the curve of 0.928 (95% confidence interval, 0.924-0.932) by the end of the first stage. Finally, adding additional real-time data increased the area under the curve initially to 0.833 (95% confidence interval, 0.827-0.838) at the first cervical examination and up to 0.932 (95% confidence interval, 0.928-0.935) by the end of the first stage. CONCLUSION: Real-time data acquired throughout the process of labor significantly increased the prediction accuracy for vaginal delivery using machine learning models. These models enable translation and quantification of the data gathered in the delivery unit into a clinical tool that yields a reliable personalized risk score and helps avoid unnecessary interventions.",2020,10.1016/j.ajog.2020.05.025,223,3,437.e1-437.e15,eng,1097-6868 0002-9378,"machine learning and prediction and Humans and Electronic Health Records and Female and Pregnancy and Predictive Value of Tests and personalized medicine and *Machine Learning and *Models, Theoretical and *Delivery, Obstetric and *Prenatal Diagnosis and obstetrics and cesarean delivery and trial of labor and Trial of Labor and vaginal delivery",NA,NA,2020/09//undefined,Am J Obstet Gynecol,NA,NA,NA,NA
Hopkins_2020_O.gs,JOUR,Exome Sequencing and Its Emerging Role in Prenatal Genetic Diagnosis,"Hopkins, Maeve K. and Dugoff, Lorraine and Kuller, Jeffrey A.",Obstetrical & gynecological survey,"IMPORTANCE: Prenatal genetic diagnosis can guide pregnancy management and decision making. Genetic diagnosis has advanced rapidly, and chromosomal microarray has become widely used, in addition to conventional karyotype. Exome sequencing may provide an even higher detection rate of genetic anomalies and may be more commonly applied in the future. OBJECTIVES: The objectives of this manuscript are to review current practices in prenatal genetic diagnosis, define exome sequencing, identify scenarios in which exome sequencing may be indicated, identify potential concerns regarding exome sequencing, and review the importance for the general obstetrician-gynecologist to understand exome sequencing technology and its uses. EVIDENCE ACQUISITION: A MEDLINE search of ""prenatal genetic testing,"" ""chromosomal microarray,"" ""conventional karyotype,"" or ""exome sequencing"" in the review was performed. RESULTS: The evidence cited in this review includes 6 medical society committee opinions and 17 additional peer-reviewed journal articles that were original research or expert opinion summaries. CONCLUSIONS AND RELEVANCE: Exome sequencing may be a useful prenatal genetic diagnostic tool in cases with ultrasound anomalies with previously normal chromosomal microarray and/or karyotype. As more data become available, technology improves, and costs fall, exome sequencing may become more widely used in prenatal genetic diagnosis.",2020,10.1097/OGX.0000000000000787,75,5,317-320,eng,1533-9866 0029-7828,"Humans and Female and Pregnancy and Genetic Testing/*methods and *Whole Exome Sequencing and Genetic Diseases, Inborn/*diagnosis and Prenatal Diagnosis/*methods",NA,NA,2020/05//undefined,Obstet Gynecol Surv,NA,NA,NA,NA
