label,type,title,author,journal,abstract,year,doi,volume,issue,pages,language,issn,keywords,url,institution,DA,j2,DP,l1,l2,ST
Xu.Monette_2020_Blooadva,JOUR,A refined cell-of-origin classifier with targeted NGS and artificial intelligence shows robust predictive value in DLBCL,"Xu-Monette, Zijun Y. and Zhang, Hongwei and Zhu, Feng and Tzankov, Alexandar and Bhagat, Govind and Visco, Carlo and Dybkaer, Karen and Chiu, April and Tam, Wayne and Zu, Youli and Hsi, Eric D. and You, Hua and Huh, Jooryung and Ponzoni, Maurilio and Ferreri, Andres J. M. and Moller, Michael B. and Parsons, Benjamin M. and van Krieken, J. Han and Piris, Miguel A. and Winter, Jane N. and Hagemeister, Fredrick B. and Shahbaba, Babak and De Dios, Ivan and Zhang, Hong and Li, Yong and Xu, Bing and Albitar, Maher and Young, Ken H.",Blood advances,"Diffuse large B-cell lymphoma (DLBCL) is a heterogeneous entity of B-cell lymphoma. Cell-of-origin (COO) classification of DLBCL is required in routine practice by the World Health Organization classification for biological and therapeutic insights. Genetic subtypes uncovered recently are based on distinct genetic alterations in DLBCL, which are different from the COO subtypes defined by gene expression signatures of normal B cells retained in DLBCL. We hypothesize that classifiers incorporating both genome-wide gene-expression and pathogenetic variables can improve the therapeutic significance of DLBCL classification. To develop such refined classifiers, we performed targeted RNA sequencing (RNA-Seq) with a commercially available next-generation sequencing (NGS) platform in a large cohort of 418 DLBCLs. Genetic and transcriptional data obtained by RNA-Seq in a single run were explored by state-of-the-art artificial intelligence (AI) to develop a NGS-COO classifier for COO assignment and NGS survival models for clinical outcome prediction. The NGS-COO model built through applying AI in the training set was robust, showing high concordance with COO classification by either Affymetrix GeneChip microarray or the NanoString Lymph2Cx assay in 2 validation sets. Although the NGS-COO model was not trained for clinical outcome, the activated B-cell-like compared with the germinal-center B-cell-like subtype had significantly poorer survival. The NGS survival models stratified 30% high-risk patients in the validation set with poor survival as in the training set. These results demonstrate that targeted RNA-Seq coupled with AI deep learning techniques provides reproducible, efficient, and affordable assays for clinical application. The clinical grade assays and NGS models integrating both genetic and transcriptional factors developed in this study may eventually support precision medicine in DLBCL.",2020,10.1182/bloodadvances.2020001949,4,14,3391-3404,eng,2473-9537 2473-9529,"Humans and *Artificial Intelligence and High-Throughput Nucleotide Sequencing and *Lymphoma, Large B-Cell, Diffuse/diagnosis/genetics and B-Lymphocytes and Germinal Center",NA,NA,2020/07/28/,Blood Adv,NA,NA,NA,NA
Kong_2020_Joh.o,JOUR,Constructing an automatic diagnosis and severity-classification model for acromegaly using facial photographs by deep learning,"Kong, Yanguo and Kong, Xiangyi and He, Cheng and Liu, Changsong and Wang, Liting and Su, Lijuan and Gao, Jun and Guo, Qi and Cheng, Ran",Journal of hematology & oncology,"Due to acromegaly's insidious onset and slow progression, its diagnosis is usually delayed, thus causing severe complications and treatment difficulty. A convenient screening method is imperative. Based on our previous work, we herein developed a new automatic diagnosis and severity-classification model for acromegaly using facial photographs by deep learning on the data of 2148 photographs at different severity levels. Each photograph was given a score reflecting its severity (range 1~3). Our developed model achieved a prediction accuracy of 90.7% on the internal test dataset and outperformed the performance of ten junior internal medicine physicians (89.0%). The prospect of applying this model to real clinical practices is promising due to its potential health economic benefits.",2020,10.1186/s13045-020-00925-y,13,1,88,eng,1756-8722,"Humans and Female and Male and Adult and Middle Aged and Models, Theoretical and Algorithms and Deep learning and Sensitivity and Specificity and Image Processing, Computer-Assisted and Datasets as Topic and *Severity of Illness Index and Photography and *Deep Learning and Diagnosis, Computer-Assisted/*methods and Diagnostic Self Evaluation and Acromegaly and Acromegaly/*diagnosis and Cephalometry/*methods and Face/*abnormalities and Facial photographs and Severity-classification model",NA,NA,2020/07/03/,J Hematol Oncol,NA,NA,NA,NA
Burd_2019_Blooadva,JOUR,Challenges and approaches to implementing master/basket trials in oncology,"Burd, Amy and Schilsky, Richard L. and Byrd, John C. and Levine, Ross L. and Papadimitrakopoulou, Vassiliki A. and Herbst, Roy S. and Redman, Mary W. and Druker, Brian J. and Gandara, David R.",Blood advances,"The appetite for cutting-edge cancer research, across medical institutions, scientific researchers, and health care providers, is increasing based on the promise of true breakthroughs and cures with new therapeutics available for investigation. At the same time, the barriers for advancing clinical research are impacting how quickly drug development efforts are conducted. For example, we know now that under a microscope, patients with the same type of cancer and histology might look the same; however, the reality is that most cancers are driven by genomic, transcriptional, and epigenetic changes that make each patient unique. Additionally, the immunologic reaction to different tumor types is distinct among patients. The challenge for researchers developing new therapies today is vastly different than it was in the era of cytotoxics. Today, we must identify a sufficient number of patients harboring a rare mutation or other characteristic and match this to the right therapeutic option. This summary provides a guide to help inform the scientific cancer community about the benefits and challenges of conducting umbrella or basket trials (master trials), and to create a roadmap to help make this new and evolving form of clinical trial design as effective as possible.",2019,10.1182/bloodadvances.2019031229,3,14,2237-2243,eng,2473-9537 2473-9529,Humans and Disease Management and Research Design and Clinical Decision-Making and Precision Medicine/methods and *Clinical Trials as Topic and *Medical Oncology/methods/standards and Neoplasms/etiology/*therapy,NA,NA,2019/07/23/,Blood Adv,NA,NA,NA,NA
Singh_2018_Blooadva,JOUR,Identification of patients with hemoglobin SS/SÎ²(0) thalassemia disease and pain crises within electronic health records,"Singh, Ashima and Mora, Javier and Panepinto, Julie A.",Blood advances,"Electronic health records (EHRs) are a source of big data that provide opportunities for conducting population-based studies and creating learning health systems, especially for rare conditions such as sickle cell disease (SCD). The objective of our study is to validate algorithms for accurate identification of patients with hemoglobin (Hb) SS/S<ce><b2>(0) thalassemia and acute care encounters for pain among SCD patients within EHR warehouse. We used data for children receiving care at Children's Hospital of Wisconsin from 2013 to 2016 to test the accuracy of the 2 algorithms. The algorithm for genotype identification used composite information (blood test results, transcranial Doppler) along with diagnoses codes. Acute pain encounters were identified using diagnoses codes and further refined by using prescription of IV pain medications. Sensitivities and specificities were calculated for the algorithms. Predictive values for the algorithm to identify SCD genotype were calculated. For all assessments, the local SCD registry and patients' charts were considered gold standards. These included 360 children with SCD, of whom 51% were females. Our algorithm to identify patients with HbSS/S<ce><b2>(0) thalassemia demonstrated sensitivity of 89.9% (confidence interval [CI], 85.1%-93.7%) and specificity of 97.1% (CI, 92.7%-99.2%). This algorithm had a positive and negative predictive value of 97.9% (CI, 94.8%-99.9%) and 88.7% (CI, 82.6%-93.3%), respectively. Acute pain crises encounters were identified with a sensitivity and specificity of 95.1% (CI, 86.3%-99.0%) and 96.1% (CI, 88.3%-99.6%). This study demonstrates the feasibility to accurately identify patients with specific types of SCD and pain crises within an EHR.",2018,10.1182/bloodadvances.2018017541,2,11,1172-1179,eng,2473-9537 2473-9529,"Humans and Female and Male and Adolescent and Child and Child, Preschool and Retrospective Studies and *Algorithms and *Databases, Factual and *Electronic Health Records and *Genotype and Hemoglobin, Sickle/*genetics and Pain/*genetics and Thalassemia/*genetics",NA,NA,2018/06/12/,Blood Adv,NA,NA,NA,NA
Nendaz_2010_Jotah.J,JOUR,Adequacy of venous thromboprophylaxis in acutely ill medical patients (IMPART): multisite comparison of different clinical decision support systems,"Nendaz, M. R. and Chopard, P. and Lovis, C. and Kucher, N. and Asmis, L. M. and Dorffler, J. and Spirk, D. and Bounameaux, H.",Journal of thrombosis and haemostasis : JTH,"BACKGROUND: The adequacy of thromboprophylaxis prescriptions in acutely ill hospitalized medical patients needs improvement. OBJECTIVE: To prospectively assess the efficacy of thromboprophylaxis adequacy of various clinical decision support systems (CDSS) with the aim of increasing the use of explicit criteria for thromboprophylaxis prescription in nine Swiss medical services. METHODS: We randomly assigned medical services to a pocket digital assistant program (PDA), pocket cards (PC) and no CDSS (controls). In centers using an electronic chart, an e-alert system (eAlerts) was developed. After 4 months, we compared post-CDSS with baseline thromboprophylaxis adequacy for the various CDSS and control groups. RESULTS: Overall, 1085 patients were included (395 controls, 196 PC, 168 PDA, 326 eAlerts), 651 pre- and 434 post-CDSS implementation: 472 (43.5%) presented a risk of VTE justifying thromboprophylaxis (31.8% pre, 61.1% post) and 556 (51.2%) received thromboprophylaxis (54.2% pre, 46.8% post). The overall adequacy (% patients with adequate prescription) of pre- and post-CDSS implementation was 56.2 and 50.7 for controls (P = 0.29), 67.3 and 45.3 for PC (P = 0.002), 66.0 and 64.9 for PDA (P = 0.99), 50.5 and 56.2 for eAlerts (P = 0.37), respectively, eAlerts limited overprescription (56% pre, 31% post, P = 0.01). CONCLUSION: While pocket cards and handhelds did not improve thromboprophylaxis adequacy, eAlerts had a modest effect, particularly on the reduction of overprescription. This effect only partially contributes to the improvement of patient safety and more work is needed towards institution-tailored tools.",2010,10.1111/j.1538-7836.2010.03817.x,8,6,1230-1234,eng,1538-7836,"Humans and Aged and Acute Disease and *Decision Support Systems, Clinical and Venous Thromboembolism/*prevention & control",NA,NA,2010/06//undefined,J Thromb Haemost,NA,NA,NA,NA
Darzi_2020_Blooadva,JOUR,Risk-assessment models for VTE and bleeding in hospitalized medical patients: an overview of systematic reviews,"Darzi, Andrea J. and Repp, Allen B. and Spencer, Frederick A. and Morsi, Rami Z. and Charide, Rana and Etxeandia-Ikobaltzeta, Itziar and Bauer, Kenneth A. and Burnett, Allison E. and Cushman, Mary and Dentali, Francesco and Kahn, Susan R. and Rezende, Suely M. and Zakai, Neil A. and Agarwal, Arnav and Karam, Samer G. and Lotfi, Tamara and Wiercioch, Wojtek and Waziry, Reem and Iorio, Alfonso and Akl, Elie A. and Schunemann, Holger J.",Blood advances,"Multiple risk-assessment models (RAMs) for venous thromboembolism (VTE) in hospitalized medical patients have been developed. To inform the 2018 American Society of Hematology (ASH) guidelines on VTE, we conducted an overview of systematic reviews to identify and summarize evidence related to RAMs for VTE and bleeding in medical inpatients. We searched Epistemonikos, the Cochrane Database, Medline, and Embase from 2005 through June 2017 and then updated the search in January 2020 to identify systematic reviews that included RAMs for VTE and bleeding in medical inpatients. We conducted study selection, data abstraction and quality assessment (using the Risk of Bias in Systematic Reviews [ROBIS] tool) independently and in duplicate. We described the characteristics of the reviews and their included studies, and compared the identified RAMs using narrative synthesis. Of 15 348 citations, we included 2 systematic reviews, of which 1 had low risk of bias. The reviews included 19 unique studies reporting on 15 RAMs. Seven of the RAMs were derived using individual patient data in which risk factors were included based on their predictive ability in a regression analysis. The other 8 RAMs were empirically developed using consensus approaches, risk factors identified from a literature review, and clinical expertise. The RAMs that have been externally validated include the Caprini, Geneva, IMPROVE, Kucher, and Padua RAMs. The Padua, Geneva, and Kucher RAMs have been evaluated in impact studies that reported an increase in appropriate VTE prophylaxis rates. Our findings informed the ASH guidelines. They also aim to guide health care practitioners in their decision-making processes regarding appropriate individual prophylactic management.",2020,10.1182/bloodadvances.2020002482,4,19,4929-4944,eng,2473-9537 2473-9529,Humans and Risk Assessment and Risk Factors and Systematic Reviews as Topic and *Venous Thromboembolism/diagnosis/drug therapy/epidemiology and Hemorrhage/diagnosis,NA,NA,2020/10/13/,Blood Adv,NA,NA,NA,NA
Guyatt_2013_Jotah.J,JOUR,A guide to GRADE guidelines for the readers of JTH,"Guyatt, G. and Eikelboom, J. W. and Akl, E. A. and Crowther, M. and Gutterman, D. and Kahn, S. R. and Schunemann, H. and Hirsh, J.",Journal of thrombosis and haemostasis : JTH,"More than 70 organizations worldwide have adopted the GRADE methodology for guideline development. The ninth iteration of the American Collage of Chest Physicians guidelines (AT9) adopted structural and policy changes that resulted in a greater adherence to GRADE guidance than previous iterations. The most important of these changes include minimizing the impact of financial and intellectual conflict of interest, increasing the rigor of evidence evaluation, acknowledging uncertainty in estimates of typical values and preferences, and awareness of the large variability in values and preferences. One of the consequences of the greater adherence to GRADE methodology is an increase in weak vs. strong recommendations in AT9. The result of the GRADE process highlights the desirability of higher-quality evidence both regarding the outcomes of alternative management strategies and regarding the distribution of values and preferences in patients considering those alternatives. It also encourages shared decision making in encounters between physicians and patients. Although some physicians might find the uncertainty underlying medical practice discouraging or unsettling, relative to denying or obscuring the uncertainty, acknowledging and addressing the uncertainty will lead to more credible, realistic, and useful recommendations.",2013,10.1111/jth.12320,11,8,1603-1608,eng,1538-7836,"United States and Humans and International Cooperation and Decision Making and guidelines and Treatment Outcome and Guideline Adherence and Societies, Medical and Review Literature as Topic and *Practice Guidelines as Topic and evidence-based medicine and conflict of interest and Evidence-Based Medicine/methods and Aspirin/therapeutic use and antithrombotic agents and aspirin and Fibrinolytic Agents/therapeutic use and Hematology/*standards",NA,NA,2013/08//undefined,J Thromb Haemost,NA,NA,NA,NA
Punt_2020_Jotah.J,JOUR,The experiences and attitudes of hemophilia carriers around pregnancy: A qualitative systematic review,"Punt, Marieke C. and Aalders, Tanja H. and Bloemenkamp, Kitty W. M. and Driessens, Mariette H. E. and Fischer, Kathelijn and Schrijvers, Marlies H. and van Galen, Karin P. M.",Journal of thrombosis and haemostasis : JTH,"BACKGROUND: Hemophilia carriers (HCs) face specific psychosocial challenges related to pregnancy, caused by their inherited bleeding disorder. Optimal support from healthcare providers can only be realized by exploring medical and psychological healthcare requirements. OBJECTIVE: To review all published evidence on the experiences and attitudes of HCs regarding reproductive decision-making, prenatal diagnosis, pregnancy, childbirth, and puerperium to provide an accessible overview of this information for health care providers. STUDY SELECTION: Cochrane library, PubMed/MEDLINE, EMBASE, CINAHL, and PsycINFO were searched for original qualitative data. Two authors performed study selection, risk-of-bias assessment, data extraction, and data analysis through meta-summary. The extracted themes were discussed within the research team. FINDINGS: Fifteen studies with an overall moderate quality were included. The following findings were identified: (a) Quality of life of family members with hemophilia influences reproductive decision-making; (b) Genetic counselling is generally considered useful; (c) The development of a specialized carrier clinic is considered valuable; (d) HCs describe prenatal diagnosis as beneficial yet psychosocially challenging; and (e) noninvasive prenatal diagnosis and preimplantation genetic diagnosis are predominantly considered beneficial. These findings are limited by the overall moderate quality of included studies and the possibly partly outdated results in the current era of hemophilia treatment. CONCLUSIONS: Available qualitative literature on HCs around pregnancy focuses on genetic counselling and prenatal diagnosis. Future studies are needed on the experiences and needs of HCs through pregnancy and puerperium as well as in light of emerging hemophilia diagnosis and treatment options.",2020,10.1111/jth.14825,18,7,1626-1636,eng,1538-7836 1538-7933,Humans and Female and Attitude and qualitative research and Pregnancy and Qualitative Research and Quality of Life and systematic review and Genetic Counseling and *Hemophilia A/diagnosis/genetics/therapy and Hemophilia A and Hemophilia B and inherited blood coagulation disorders and reproduction and von Willebrand Diseases,NA,NA,2020/07//undefined,J Thromb Haemost,NA,NA,NA,NA
Luo_2019_Blooadva,JOUR,ClinGen Myeloid Malignancy Variant Curation Expert Panel recommendations for germline RUNX1 variants,"Luo, Xi and Feurstein, Simone and Mohan, Shruthi and Porter, Christopher C. and Jackson, Sarah A. and Keel, Sioban and Chicka, Michael and Brown, Anna L. and Kesserwan, Chimene and Agarwal, Anupriya and Luo, Minjie and Li, Zejuan and Ross, Justyne E. and Baliakas, Panagiotis and Pineda-Alvarez, Daniel and DiNardo, Courtney D. and Bertuch, Alison A. and Mehta, Nikita and Vulliamy, Tom and Wang, Ying and Nichols, Kim E. and Malcovati, Luca and Walsh, Michael F. and Rawlings, Lesley H. and McWeeney, Shannon K. and Soulier, Jean and Raimbault, Anna and Routbort, Mark J. and Zhang, Liying and Ryan, Gabriella and Speck, Nancy A. and Plon, Sharon E. and Wu, David and Godley, Lucy A.",Blood advances,"Standardized variant curation is essential for clinical care recommendations for patients with inherited disorders. Clinical Genome Resource (ClinGen) variant curation expert panels are developing disease-associated gene specifications using the 2015 American College of Medical Genetics and Genomics (ACMG) and Association for Molecular Pathology (AMP) guidelines to reduce curation discrepancies. The ClinGen Myeloid Malignancy Variant Curation Expert Panel (MM-VCEP) was created collaboratively between the American Society of Hematology and ClinGen to perform gene- and disease-specific modifications for inherited myeloid malignancies. The MM-VCEP began optimizing ACMG/AMP rules for RUNX1 because many germline variants have been described in patients with familial platelet disorder with a predisposition to acute myeloid leukemia, characterized by thrombocytopenia, platelet functional/ultrastructural defects, and a predisposition to hematologic malignancies. The 28 ACMG/AMP codes were tailored for RUNX1 variants by modifying gene/disease specifications, incorporating strength adjustments of existing rules, or both. Key specifications included calculation of minor allele frequency thresholds, formulating a semi-quantitative approach to counting multiple independent variant occurrences, identifying functional domains and mutational hotspots, establishing functional assay thresholds, and characterizing phenotype-specific guidelines. Preliminary rules were tested by using a pilot set of 52 variants; among these, 50 were previously classified as benign/likely benign, pathogenic/likely pathogenic, variant of unknown significance (VUS), or conflicting interpretations (CONF) in ClinVar. The application of RUNX1-specific criteria resulted in a reduction in CONF and VUS variants by 33%, emphasizing the benefit of gene-specific criteria and sharing internal laboratory data.",2019,10.1182/bloodadvances.2019000644,3,20,2962-2979,eng,2473-9537 2473-9529,"Humans and Reproducibility of Results and Disease Management and Phenotype and Genetic Testing and Genetic Predisposition to Disease and Genetic Association Studies and Clinical Decision-Making and Genomics/methods and *Genetic Variation and *Germ-Line Mutation and Core Binding Factor Alpha 2 Subunit/*genetics and Leukemia, Myeloid/*diagnosis/*genetics",NA,NA,2019/10/22/,Blood Adv,NA,NA,NA,NA
Huang_2019_Blooadva,JOUR,Overexpression of WT1 and PRAME predicts poor outcomes of patients with myelodysplastic syndromes with thrombocytopenia,"Huang, Qiu-Sha and Wang, Jing-Zhi and Qin, Ya-Zhen and Zeng, Qiao-Zhu and Jiang, Qian and Jiang, Hao and Lu, Jin and Liu, Hui-Xin and Liu, Yi and Wang, Jing-Bo and Su, Li and Zhang, Hong-Yu and Li, Zhen-Ling and Gao, Su-Jun and Huang, Bo and Liu, Yu-Ying and Liu, Yan-Rong and Xu, Lan-Ping and Huang, Xiao-Jun and Zhang, Xiao-Hui",Blood advances,"Thrombocytopenia is associated with life-threatening bleeding and is common in myelodysplastic syndromes (MDS). Robust molecular prognostic biomarkers need to be developed to improve clinical decision making for patients with MDS with thrombocytopenia. Wilms tumor 1 (WT1) and preferentially expressed antigen in melanoma (PRAME) are promising immunogenic antigen candidates for immunotherapy, and their clinical effects on patients with MDS with thrombocytopenia are still not well understood. We performed a multicenter observational study of adult patients with MDS with thrombocytopenia from 7 different tertiary medical centers in China. We examined bone marrow samples collected at diagnosis for WT1 and PRAME transcript levels and then analyzed their prognostic effect for patients with MDS with thrombocytopenia. In total, we enrolled 1110 patients diagnosed with MDS with thrombocytopenia. Overexpression of WT1 and PRAME was associated with elevated blast percentage, worse cytogenetics, and higher Revised International Prognostic Scoring System (IPSS-R) risk. Further, both WT1 and PRAME overexpression were independent poor prognostic factors for acute myeloid leukemia evolution, overall survival, and progression-free survival. Together, the 2 genes overexpression identified a population of patients with MDS with substantially worse survival. On the basis of WT1 and PRAME transcript levels, patients with MDS with IPSS-R low risk were classified into 2 significantly divergent prognostic risk groups: a low-favorable group and a low-adverse group. The low-adverse group had survival similar to that of patients in the intermediate-risk group. Our study demonstrates that the evaluation of WT1/PRAME transcript analysis may improve the prognostication precision and better risk-stratify the patients.",2019,10.1182/bloodadvances.2019000564,3,21,3406-3418,eng,2473-9537 2473-9529,"Humans and Female and Male and Adult and Middle Aged and Retrospective Studies and Aged and Algorithms and Treatment Outcome and Prognosis and Disease Management and Biomarkers and Survival Analysis and Combined Modality Therapy and *Gene Expression and Antigens, Neoplasm/*genetics and Cell Transformation, Neoplastic/genetics and Myelodysplastic Syndromes/complications/*diagnosis/*genetics/therapy and Thrombocytopenia/*diagnosis/etiology and WT1 Proteins/*genetics",NA,NA,2019/11/12/,Blood Adv,NA,NA,NA,NA
