label,type,title,author,journal,abstract,year,doi,volume,issue,pages,language,issn,keywords,url,institution,DA,j2,DP,l1,l2,ST
Zhang_2020_Cell,JOUR,"Clinically Applicable AI System for Accurate Diagnosis, Quantitative Measurements, and Prognosis of COVID-19 Pneumonia Using Computed Tomography","Zhang, Kang and Liu, Xiaohong and Shen, Jun and Li, Zhihuan and Sang, Ye and Wu, Xingwang and Zha, Yunfei and Liang, Wenhua and Wang, Chengdi and Wang, Ke and Ye, Linsen and Gao, Ming and Zhou, Zhongguo and Li, Liang and Wang, Jin and Yang, Zehong and Cai, Huimin and Xu, Jie and Yang, Lei and Cai, Wenjia and Xu, Wenqin and Wu, Shaoxu and Zhang, Wei and Jiang, Shanping and Zheng, Lianghong and Zhang, Xuan and Wang, Li and Lu, Liu and Li, Jiaming and Yin, Haiping and Wang, Winston and Li, Oulan and Zhang, Charlotte and Liang, Liang and Wu, Tao and Deng, Ruiyun and Wei, Kang and Zhou, Yong and Chen, Ting and Lau, Johnson Yiu-Nam and Fok, Manson and He, Jianxing and Lin, Tianxin and Li, Weimin and Wang, Guangyu",Cell,"Many COVID-19 patients infected by SARS-CoV-2 virus develop pneumonia (called novel coronavirus pneumonia, NCP) and rapidly progress to respiratory failure. However, rapid diagnosis and identification of high-risk patients for early intervention are challenging. Using a large computed tomography (CT) database from 3,777 patients, we developed an AI system that can diagnose NCP and differentiate it from other common pneumonia and normal controls. The AI system can assist radiologists and physicians in performing a quick diagnosis especially when the health system is overloaded. Significantly, our AI system identified important clinical markers that correlated with the NCP lesion properties. Together with the clinical data, our AI system was able to provide accurate clinical prognosis that can aid clinicians to consider appropriate early clinical management and allocate resources appropriately. We have made this AI system available globally to assist the clinicians to combat COVID-19.",2020,10.1016/j.cell.2020.04.045,181,6,1423-1433.e11,eng,1097-4172 0092-8674,"SARS-CoV-2 and deep learning and China and COVID-19 and Humans and Pilot Projects and Cohort Studies and AI and Prognosis and computed tomography and Pandemics and Models, Biological and Datasets as Topic and *Artificial Intelligence and pneumonia and *Tomography, X-Ray Computed and Radiologists and automated diagnosis and Lung/pathology and Coronavirus Infections/*diagnosis/pathology/therapy and Pneumonia, Viral/*diagnosis/pathology/therapy and prognosis analysis and Respiratory Insufficiency/diagnosis",NA,NA,2020/06/11/,Cell,NA,NA,NA,NA
Goecks_2020_Cell,JOUR,How Machine Learning Will Transform Biomedicine,"Goecks, Jeremy and Jalili, Vahid and Heiser, Laura M. and Gray, Joe W.",Cell,"This Perspective explores the application of machine learning toward improved diagnosis and treatment. We outline a vision for how machine learning can transform three broad areas of biomedicine: clinical diagnostics, precision treatments, and health monitoring, where the goal is to maintain health through a range of diseases and the normal aging process. For each area, early instances of successful machine learning applications are discussed, as well as opportunities and challenges for machine learning. When these challenges are met, machine learning promises a future of rigorous, outcomes-based medicine with detection, diagnosis, and treatment strategies that are continuously adapted to individual and environmental differences.",2020,10.1016/j.cell.2020.03.022,181,1,101-92,eng,1097-4172 0092-8674,Humans and *Machine Learning and *Precision Medicine,NA,NA,2020/04/02/,Cell,NA,NA,NA,NA
X2019_Nuclacidrese,JOUR,Database Resources of the BIG Data Center in 2019,NA,Nucleic acids research,"The BIG Data Center at Beijing Institute of Genomics (BIG) of the Chinese Academy of Sciences provides a suite of database resources in support of worldwide research activities in both academia and industry. With the vast amounts of multi-omics data generated at unprecedented scales and rates, the BIG Data Center is continually expanding, updating and enriching its core database resources through big data integration and value-added curation. Resources with significant updates in the past year include BioProject (a biological project library), BioSample (a biological sample library), Genome Sequence Archive (GSA, a data repository for archiving raw sequence reads), Genome Warehouse (GWH, a centralized resource housing genome-scale data), Genome Variation Map (GVM, a public repository of genome variations), Science Wikis (a catalog of biological knowledge wikis for community annotations) and IC4R (Information Commons for Rice). Newly released resources include EWAS Atlas (a knowledgebase of epigenome-wide association studies), iDog (an integrated omics data resource for dog) and RNA editing resources (for editome-disease associations and plant RNA editosome, respectively). To promote biodiversity and health big data sharing around the world, the Open Biodiversity and Health Big Data (BHBD) initiative is introduced. All of these resources are publicly accessible at http://bigd.big.ac.cn.",2019,10.1093/nar/gky993,47,D1,D14-D8,eng,1362-4962 0305-1048,"Humans and Animals and *Big Data and Web Browser and Data Warehousing and *Databases, Genetic/trends and Plants/genetics",NA,NA,2019/01/08/,Nucleic Acids Res,NA,NA,NA,NA
Lundberg_2019_NatureviMolecellbiol,JOUR,Spatial proteomics: a powerful discovery tool for cell biology,"Lundberg, Emma and Borner, Georg H. H.",Nature reviews. Molecular cell biology,"Protein subcellular localization is tightly controlled and intimately linked to protein function in health and disease. Capturing the spatial proteome - that is, the localizations of proteins and their dynamics at the subcellular level - is therefore essential for a complete understanding of cell biology. Owing to substantial advances in microscopy, mass spectrometry and machine learning applications for data analysis, the field is now mature for proteome-wide investigations of spatial cellular regulation. Studies of the human proteome have begun to reveal a complex architecture, including single-cell variations, dynamic protein translocations, changing interaction networks and proteins localizing to multiple compartments. Furthermore, several studies have successfully harnessed the power of comparative spatial proteomics as a discovery tool to unravel disease mechanisms. We are at the beginning of an era in which spatial proteomics finally integrates with cell biology and medical research, thereby paving the way for unbiased systems-level insights into cellular processes. Here, we discuss current methods for spatial proteomics using imaging or mass spectrometry and specifically highlight global comparative applications. The aim of this Review is to survey the state of the field and also to encourage more cell biologists to apply spatial proteomics approaches.",2019,10.1038/s41580-018-0094-y,20,5,285-302,eng,1471-0080 1471-0072,Humans and Animals and *Proteomics and *Mass Spectrometry and Protein Transport/physiology and Proteome/genetics/*metabolism,NA,NA,2019/05//undefined,Nat Rev Mol Cell Biol,NA,NA,NA,NA
Wang_2018_Cellrepo,JOUR,Bridging Genomics to Phenomics at Atomic Resolution through Variation Spatial Profiling,"Wang, Chao and Balch, William E.",Cell reports,"To understand the impact of genome sequence variation (the genotype) responsible for biological diversity and human health (the phenotype) including cystic fibrosis and Alzheimer's disease, we developed a Gaussian-process-based machine learning (ML) approach, variation spatial profiling (VSP). VSP uses a sparse collection of known variants found in the population that perturb the protein fold to define unknown variant function based on the emergent general principle of spatial covariance (SCV). SCV quantitatively captures the role of proximity in genotype-to-phenotype spatial-temporal relationships. Phenotype landscapes generated through SCV provide a platform that can be used to describe the functional properties that drive sequence-to-function-to-structure design of the polypeptide fold at atomic resolution. We provide proof of principle that SCV can enable the use of population-based genomic platforms to define the origins and mechanism of action of genotype-to-phenotype transformations contributing to the health and disease of an individual.",2018,10.1016/j.celrep.2018.07.059,24,8,2013-2028.e6,eng,2211-1247,machine learning and genetic diversity and Humans and ML and Alzheimer's disease and Phenotype and Spatial Analysis and Genomics/*methods and AD and amyloid precursor protein and APP and CFTR and cystic fibrosis transmembrane conductance regulator and natural selection and phenotype landscape and presenilin 1 and PS1 and SCV and spatial covariance and variation spatial profiling and VSP,NA,NA,2018/08/21/,Cell Rep,NA,NA,NA,NA
Li_2018_Cell,JOUR,Decoding the Genomics of Abdominal Aortic Aneurysm,"Li, Jingjing and Pan, Cuiping and Zhang, Sai and Spin, Joshua M. and Deng, Alicia and Leung, Lawrence L. K. and Dalman, Ronald L. and Tsao, Philip S. and Snyder, Michael",Cell,"A key aspect of genomic medicine is to make individualized clinical decisions from personal genomes. We developed a machine-learning framework to integrate personal genomes and electronic health record (EHR) data and used this framework to study abdominal aortic aneurysm (AAA), a prevalent irreversible cardiovascular disease with unclear etiology. Performing whole-genome sequencing on AAA patients and controls, we demonstrated its predictive precision solely from personal genomes. By modeling personal genomes with EHRs, this framework quantitatively assessed the effectiveness of adjusting personal lifestyles given personal genome baselines, demonstrating its utility as a personal health management tool. We showed that this new framework agnostically identified genetic components involved in AAA, which were subsequently validated in human aortic tissues and in murine models. Our study presents a new framework for disease genome analysis, which can be used for both health management and understanding the biological architecture of complex diseases. VIDEO ABSTRACT.",2018,10.1016/j.cell.2018.07.021,174,6,1361-1372.e10,eng,1097-4172 0092-8674,"machine learning and precision medicine and Humans and Machine Learning and Animals and electronic health record and Area Under Curve and ROC Curve and Polymorphism, Single Nucleotide and Gene Expression Regulation and Mice and Disease Models, Animal and Gene Regulatory Networks and Genome-Wide Association Study and cardiovascular diseases and *Genomics and lifestyle and abdominal aortic aneurysm and Aortic Aneurysm, Abdominal/genetics/*pathology and complex disease and HEAL and personal genome and personal health management and Protein Interaction Maps and Whole Genome Sequencing",NA,NA,2018/09/06/,Cell,NA,NA,NA,NA
Janssens_2019_Cellrepo,JOUR,Transcriptomics-Based Screening Identifies Pharmacological Inhibition of Hsp90 as a Means to Defer Aging,"Janssens, Georges E. and Lin, Xin-Xuan and Millan-Arino, Lluis and Kavsek, Alan and Sen, Ilke and Seinstra, Renee I. and Stroustrup, Nicholas and Nollen, Ellen A. A. and Riedel, Christian G.",Cell reports,"Aging strongly influences human morbidity and mortality. Thus, aging-preventive compounds could greatly improve our health and lifespan. Here we screened for such compounds, known as geroprotectors, employing the power of transcriptomics to predict biological age. Using age-stratified human tissue transcriptomes and machine learning, we generated age classifiers and applied these to transcriptomic changes induced by 1,309 different compounds in human cells, ranking these compounds by their ability to induce a ""youthful"" transcriptional state. Testing the top candidates in C. elegans, we identified two Hsp90 inhibitors, monorden and tanespimycin, which extended the animals' lifespan and improved their health. Hsp90 inhibition induces expression of heat shock proteins known to improve protein homeostasis. Consistently, monorden treatment improved the survival of C. elegans under proteotoxic stress, and its benefits depended on the cytosolic unfolded protein response-inducing transcription factor HSF-1. Taken together, our method represents an innovative geroprotector screening approach and was able to identify a class that acts by improving protein homeostasis.",2019,10.1016/j.celrep.2019.03.044,27,2,467-480.e6,eng,2211-1247,"machine learning and Animals and Transcriptome and aging and drug discovery and Aging/*drug effects/genetics and Benzoquinones/*pharmacology and Caenorhabditis elegans and Caenorhabditis elegans Proteins/antagonists & inhibitors/metabolism and Caenorhabditis elegans/drug effects/genetics and geroprotectors and healthspan and Heat Shock Transcription Factors/metabolism and Hsp90 and HSP90 Heat-Shock Proteins/*antagonists & inhibitors/metabolism and Lactams, Macrocyclic/*pharmacology and lifespan and Macrolides/*pharmacology and monorden and Signal Transduction/drug effects and tanespimycin and Transcription Factors/antagonists & inhibitors/metabolism",NA,NA,2019/04/09/,Cell Rep,NA,NA,NA,NA
Torkamani_2017_Cell,JOUR,High-Definition Medicine,"Torkamani, Ali and Andersen, Kristian G. and Steinhubl, Steven R. and Topol, Eric J.",Cell,"The foundation for a new era of data-driven medicine has been set by recent technological advances that enable the assessment and management of human health at an unprecedented level of resolution-what we refer to as high-definition medicine. Our ability to assess human health in high definition is enabled, in part, by advances in DNA sequencing, physiological and environmental monitoring, advanced imaging, and behavioral tracking. Our ability to understand and act upon these observations at equally high precision is driven by advances in genome editing, cellular reprogramming, tissue engineering, and information technologies, especially artificial intelligence. In this review, we will examine the core disciplines that enable high-definition medicine and project how these technologies will alter the future of medicine.",2017,10.1016/j.cell.2017.08.007,170,5,828-843,eng,1097-4172 0092-8674,"Humans and Health Surveys and Genetic Predisposition to Disease and Genome, Human and Nutrition Assessment and Datasets as Topic and Environmental Monitoring and Precision Medicine/*methods and Fitness Trackers and Disease/genetics and Genetic Engineering",NA,NA,2017/08/24/,Cell,NA,NA,NA,NA
Zeng_2020_Nuclacidrese,JOUR,RETRACTED: CGVD: a genomic variation database for Chinese populations,"Zeng, Jingyao and Yuan, Na and Zhu, Junwei and Pan, Mengyu and Zhang, Hao and Wang, Qi and Shi, Shuo and Du, Zhenglin and Xiao, Jingfa",Nucleic acids research,"Precision medicine calls upon deeper coverage of population-based sequencing and thorough gene-content and phenotype-based analysis, which lead to a population-associated genomic variation map or database. The Chinese Genomic Variation Database (CGVD; https://bigd.big.ac.cn/cgvd/) is such a database that has combined 48.30 million (M) SNVs and 5.77 M small indels, identified from 991 Chinese individuals of the Chinese Academy of Sciences Precision Medicine Initiative Project (CASPMI) and 301 Chinese individuals of the 1000 Genomes Project (1KGP). The CASPMI project includes whole-genome sequencing data (WGS, 25-30*) from <e2><88><bc>1000 healthy individuals of the CASPMI cohort. To facilitate the usage of such variations for pharmacogenomics studies, star-allele frequencies of the drug-related genes in the CASPMI and 1KGP populations are calculated and provided in CGVD. As one of the important database resources in BIG Data Center, CGVD will continue to collect more genomic variations and to curate structural and functional annotations to support population-based healthcare projects and studies in China and worldwide.",2020,10.1093/nar/gkz952,48,D1,D1174-D1180,eng,1362-4962 0305-1048,NA,NA,NA,2020/01/08/,Nucleic Acids Res,NA,NA,NA,NA
Hillier_2019_Cellrepo,JOUR,Landscape of the Plasmodium Interactome Reveals Both Conserved and Species-Specific Functionality,"Hillier, Charles and Pardo, Mercedes and Yu, Lu and Bushell, Ellen and Sanderson, Theo and Metcalf, Tom and Herd, Colin and Anar, Burcu and Rayner, Julian C. and Billker, Oliver and Choudhary, Jyoti S.",Cell reports,"Malaria represents a major global health issue, and the identification of new intervention targets remains an urgent priority. This search is hampered by more than one-third of the genes of malaria-causing Plasmodium parasites being uncharacterized. We report a large-scale protein interaction network in Plasmodium schizonts, generated by combining blue native-polyacrylamide electrophoresis with quantitative mass spectrometry and machine learning. This integrative approach, spanning 3 species, identifies >20,000 putative protein interactions, organized into 600 protein clusters. We validate selected interactions, assigning functions in chromatin regulation to previously unannotated proteins and suggesting a role for an EELM2 domain-containing protein and a putative microrchidia protein as mechanistic links between AP2-domain transcription factors and epigenetic regulation. Our interactome represents a high-confidence map of the native organization of core cellular processes in Plasmodium parasites. The network reveals putative functions for uncharacterized proteins, provides mechanistic and structural insight, and uncovers potential alternative therapeutic targets.",2019,10.1016/j.celrep.2019.07.019,28,6,1635-1647.e5,eng,2211-1247,"Female and Animals and Mice and Rats and Tandem Mass Spectrometry and protein-protein interactions and Species Specificity and Protein Interaction Maps and blue native-PAGE and Electrophoresis, Polyacrylamide Gel and interaction network and interactome and malaria and Plasmodium and Plasmodium berghei and Plasmodium falciparum and Plasmodium falciparum/genetics/metabolism and Plasmodium knowlesi and Plasmodium/genetics/*metabolism and Protozoan Proteins/*metabolism",NA,NA,2019/08/06/,Cell Rep,NA,NA,NA,NA
