label,type,title,author,journal,abstract,year,doi,volume,issue,pages,language,issn,keywords,url,institution,DA,j2,DP,l1,l2,ST
Xia_2017_Neur,JOUR,"Functional connectomics from a ""big data"" perspective","Xia, Mingrui and He, Yong",NeuroImage,"In the last decade, explosive growth regarding functional connectome studies has been observed. Accumulating knowledge has significantly contributed to our understanding of the brain's functional network architectures in health and disease. With the development of innovative neuroimaging techniques, the establishment of large brain datasets and the increasing accumulation of published findings, functional connectomic research has begun to move into the era of ""big data"", which generates unprecedented opportunities for discovery in brain science and simultaneously encounters various challenging issues, such as data acquisition, management and analyses. Big data on the functional connectome exhibits several critical features: high spatial and/or temporal precision, large sample sizes, long-term recording of brain activity, multidimensional biological variables (e.g., imaging, genetic, demographic, cognitive and clinic) and/or vast quantities of existing findings. We review studies regarding functional connectomics from a big data perspective, with a focus on recent methodological advances in state-of-the-art image acquisition (e.g., multiband imaging), analysis approaches and statistical strategies (e.g., graph theoretical analysis, dynamic network analysis, independent component analysis, multivariate pattern analysis and machine learning), as well as reliability and reproducibility validations. We highlight the novel findings in the application of functional connectomic big data to the exploration of the biological mechanisms of cognitive functions, normal development and aging and of neurological and psychiatric disorders. We advocate the urgent need to expand efforts directed at the methodological challenges and discuss the direction of applications in this field.",2017,10.1016/j.neuroimage.2017.02.031,160,NA,152-167,eng,1095-9572 1053-8119,Humans and Big data and Graph theory and Dynamics and Brain/*physiology and *Metadata and Brain networks and Connectome and Connectome/*methods and Fingerprint and Nerve Net/*physiology and Neural Pathways/*physiology,NA,NA,2017/10/15/,Neuroimage,NA,NA,NA,NA
Alfaro.Almagro_2021_Neur,JOUR,Confound modelling in UK Biobank brain imaging,"Alfaro-Almagro, Fidel and McCarthy, Paul and Afyouni, Soroosh and Andersson, Jesper L. R. and Bastiani, Matteo and Miller, Karla L. and Nichols, Thomas E. and Smith, Stephen M.",NeuroImage,"Dealing with confounds is an essential step in large cohort studies to address problems such as unexplained variance and spurious correlations. UK Biobank is a powerful resource for studying associations between imaging and non-imaging measures such as lifestyle factors and health outcomes, in part because of the large subject numbers. However, the resulting high statistical power also raises the sensitivity to confound effects, which therefore have to be carefully considered. In this work we describe a set of possible confounds (including non-linear effects and interactions that researchers may wish to consider for their studies using such data). We include descriptions of how we can estimate the confounds, and study the extent to which each of these confounds affects the data, and the spurious correlations that may arise if they are not controlled. Finally, we discuss several issues that future studies should consider when dealing with confounds.",2021,10.1016/j.neuroimage.2020.117002,224,NA,117002,eng,1095-9572 1053-8119,Machine learning and Humans and Time Factors and United Kingdom and Electronic Data Processing and *Biological Specimen Banks and *Brain and *Neuroimaging/methods and Big data imaging and Confounds and Data modelling and Epidemiological studies and Head and Image analysis and Multi-modal data integration and Statistica l modelling,NA,NA,2021/01/01/,Neuroimage,NA,NA,NA,NA
Cole_2017_Neur,JOUR,Predicting brain age with deep learning from raw imaging data results in a reliable and heritable biomarker,"Cole, James H. and Poudel, Rudra P. K. and Tsagkrasoulis, Dimosthenis and Caan, Matthan W. A. and Steves, Claire and Spector, Tim D. and Montana, Giovanni",NeuroImage,"Machine learning analysis of neuroimaging data can accurately predict chronological age in healthy people. Deviations from healthy brain ageing have been associated with cognitive impairment and disease. Here we sought to further establish the credentials of 'brain-predicted age' as a biomarker of individual differences in the brain ageing process, using a predictive modelling approach based on deep learning, and specifically convolutional neural networks (CNN), and applied to both pre-processed and raw T1-weighted MRI data. Firstly, we aimed to demonstrate the accuracy of CNN brain-predicted age using a large dataset of healthy adults (N = 2001). Next, we sought to establish the heritability of brain-predicted age using a sample of monozygotic and dizygotic female twins (N = 62). Thirdly, we examined the test-retest and multi-centre reliability of brain-predicted age using two samples (within-scanner N = 20; between-scanner N = 11). CNN brain-predicted ages were generated and compared to a Gaussian Process Regression (GPR) approach, on all datasets. Input data were grey matter (GM) or white matter (WM) volumetric maps generated by Statistical Parametric Mapping (SPM) or raw data. CNN accurately predicted chronological age using GM (correlation between brain-predicted age and chronological age r = 0.96, mean absolute error [MAE] = 4.16 years) and raw (r = 0.94, MAE = 4.65 years) data. This was comparable to GPR brain-predicted age using GM data (r = 0.95, MAE = 4.66 years). Brain-predicted age was a heritable phenotype for all models and input data (h(2) <e2><89><a5> 0.5). Brain-predicted age showed high test-retest reliability (intraclass correlation coefficient [ICC] = 0.90-0.99). Multi-centre reliability was more variable within high ICCs for GM (0.83-0.96) and poor-moderate levels for WM and raw data (0.51-0.77). Brain-predicted age represents an accurate, highly reliable and genetically-influenced phenotype, that has potential to be used as a biomarker of brain ageing. Moreover, age predictions can be accurately generated on raw T1-MRI data, substantially reducing computation time for novel data, bringing the process closer to giving real-time information on brain health in clinical settings.",2017,10.1016/j.neuroimage.2017.07.059,163,NA,115-124,eng,1095-9572 1053-8119,"Humans and Female and Male and Adolescent and Adult and Middle Aged and Young Adult and Aged and Deep learning and Gaussian processes and Reliability and Aged, 80 and over and Neuroimaging and Phenotype and *Machine Learning and *Neural Networks, Computer and Image Processing, Computer-Assisted/*methods and Biomarker and *Aging/pathology and Brain ageing and Brain/*diagnostic imaging/pathology and Convolutional neural networks and Heritability and Magnetic Resonance Imaging/methods",NA,NA,2017/12//undefined,Neuroimage,NA,NA,NA,NA
Vidaurre_2018_Neur,JOUR,Discovering dynamic brain networks from big data in rest and task,"Vidaurre, Diego and Abeysuriya, Romesh and Becker, Robert and Quinn, Andrew J. and Alfaro-Almagro, Fidel and Smith, Stephen M. and Woolrich, Mark W.",NeuroImage,"Brain activity is a dynamic combination of the responses to sensory inputs and its own spontaneous processing. Consequently, such brain activity is continuously changing whether or not one is focusing on an externally imposed task. Previously, we have introduced an analysis method that allows us, using Hidden Markov Models (HMM), to model task or rest brain activity as a dynamic sequence of distinct brain networks, overcoming many of the limitations posed by sliding window approaches. Here, we present an advance that enables the HMM to handle very large amounts of data, making possible the inference of very reproducible and interpretable dynamic brain networks in a range of different datasets, including task, rest, MEG and fMRI, with potentially thousands of subjects. We anticipate that the generation of large and publicly available datasets from initiatives such as the Human Connectome Project and UK Biobank, in combination with computational methods that can work at this scale, will bring a breakthrough in our understanding of brain function in both health and disease.",2018,10.1016/j.neuroimage.2017.06.077,180,Pt B,646-656,eng,1095-9572 1053-8119,Humans and Neural Pathways/physiology and *Big Data and Brain/*physiology and Brain Mapping/methods and *Markov Chains and Nerve Net/*physiology and Rest/physiology,NA,NA,2018/10/15/,Neuroimage,NA,NA,NA,NA
Fassbender_2020_TheLanNeu,JOUR,Prehospital stroke management in the thrombectomy era,"Fassbender, Klaus and Walter, Silke and Grunwald, Iris Q. and Merzou, Fatma and Mathur, Shrey and Lesmeister, Martin and Liu, Yang and Bertsch, Thomas and Grotta, James C.",The Lancet. Neurology,"Acute stroke management has been revolutionised by evidence of the effectiveness of thrombectomy. Because time is brain in stroke care, the speed with which a patient with large vessel occlusion is transferred to a thrombectomy-capable centre determines outcome. Therefore, each link in the stroke rescue chain, starting with symptom onset and ending with recanalisation, should be streamlined. However, in contrast to inhospital delays, prehospital delays are unchanged despite substantial efforts in quality improvement. Furthermore, thrombectomy is offered by only a few, usually distant, specialised centres and not by the many other, usually nearer, hospitals. To take maximum advantage of the first so-called golden hours after stroke, and because of the difficulty of on-scene triage decision making with respect to the target hospital offering the required level of care, the focus of stroke research has shifted to the prehospital setting. Current research focuses on the effects of public education, implementation of protocols for emergency medical services for streamlining clinical investigations and accurate triage, use of preclinical scales for stroke recognition, and deployment of novel technical solutions such as smartphone applications, telemedicine, and mobile stroke units.",2020,10.1016/S1474-4422(20)30102-2,19,7,601-610,eng,1474-4465 1474-4422,Humans and Emergency Medical Services/*methods and *Thrombectomy and Stroke/*surgery,NA,NA,2020/07//undefined,Lancet Neurol,NA,NA,NA,NA
Liu_2013_Neur,JOUR,Locally linear embedding (LLE) for MRI based Alzheimer's disease classification,"Liu, Xin and Tosun, Duygu and Weiner, Michael W. and Schuff, Norbert",NeuroImage,"Modern machine learning algorithms are increasingly being used in neuroimaging studies, such as the prediction of Alzheimer's disease (AD) from structural MRI. However, finding a good representation for multivariate brain MRI features in which their essential structure is revealed and easily extractable has been difficult. We report a successful application of a machine learning framework that significantly improved the use of brain MRI for predictions. Specifically, we used the unsupervised learning algorithm of local linear embedding (LLE) to transform multivariate MRI data of regional brain volume and cortical thickness to a locally linear space with fewer dimensions, while also utilizing the global nonlinear data structure. The embedded brain features were then used to train a classifier for predicting future conversion to AD based on a baseline MRI. We tested the approach on 413 individuals from the Alzheimer's Disease Neuroimaging Initiative (ADNI) who had baseline MRI scans and complete clinical follow-ups over 3 years with the following diagnoses: cognitive normal (CN; n=137), stable mild cognitive impairment (s-MCI; n=93), MCI converters to AD (c-MCI, n=97), and AD (n=86). We found that classifications using embedded MRI features generally outperformed (p<0.05) classifications using the original features directly. Moreover, the improvement from LLE was not limited to a particular classifier but worked equally well for regularized logistic regressions, support vector machines, and linear discriminant analysis. Most strikingly, using LLE significantly improved (p=0.007) predictions of MCI subjects who converted to AD and those who remained stable (accuracy/sensitivity/specificity: =0.68/0.80/0.56). In contrast, predictions using the original features performed not better than by chance (accuracy/sensitivity/specificity: =0.56/0.65/0.46). In conclusion, LLE is a very effective tool for classification studies of AD using multivariate MRI data. The improvement in predicting conversion to AD in MCI could have important implications for health management and for powering therapeutic trials by targeting non-demented subjects who later convert to AD.",2013,10.1016/j.neuroimage.2013.06.033,83,NA,148-157,eng,1095-9572 1053-8119,"Humans and Female and Male and Middle Aged and Aged and Sensitivity and Specificity and Reproducibility of Results and Computer Simulation and Alzheimer's disease and *Algorithms and Linear Models and *Artificial Intelligence and Pattern Recognition, Automated/*methods and Image Interpretation, Computer-Assisted/*methods and Brain/*pathology and Magnetic Resonance Imaging/*methods and Image Enhancement/methods and Alzheimer Disease/*pathology and Classification of AD and Locally linear embedding and MRI and Statistical learning",NA,NA,2013/12//undefined,Neuroimage,NA,NA,NA,NA
Jones_2020_Neur,JOUR,Implementing standardized provider documentation in a tertiary epilepsy clinic,"Jones, Felipe J. S. and Smith, Jason R. and Ayub, Neishay and Herman, Susan T. and Buchhalter, Jeffrey R. and Fureman, Brandy E. and Cash, Sydney S. and Hoch, Daniel B. and Moura, Lidia M. V. R.",Neurology,"OBJECTIVE: To incorporate standardized documentation into an epilepsy clinic and to use these standardized data to compare patients' perception of epilepsy diagnosis to provider documentation. METHODS: Using quality improvement methodology, we implemented interventions to increase documentation of epilepsy diagnosis, seizure frequency, and type from 49.8% to 70% of adult nonemployee patients seen by 6 providers over 5 months of routine clinical care. The main intervention consisted of an interactive SmartPhrase that mirrored a documentation template developed by the Epilepsy Learning Healthcare System. We assessed the weekly proportion of complete SmartPhrases among eligible patient encounters with a statistical process control chart. We used a subset of patients with established epilepsy care linked to existing patient-reported survey data to examine the proportion of patient-to-provider agreement on epilepsy diagnosis (yes vs no/unsure). We also examined sociodemographic and clinical characteristics of patients who disagreed vs agreed with provider's documentation of epilepsy diagnosis. RESULTS: The median SmartPhrase weekly completion rate was 78%. Established patients disagreed with providers with respect to epilepsy diagnosis in 18.5% of encounters (<ce><ba> = 0.13), indicating that they did not have or were unsure if they had epilepsy despite having a provider-documented epilepsy diagnosis. Patients who disagreed with providers were similar to those who agreed with respect to age, sex, ethnicity, marital status, seizure frequency, type, and other quality-of-life measures. CONCLUSION: This project supports the feasibility of implementing standardized documentation of data relevant to epilepsy care in a tertiary epilepsy clinic and highlights an opportunity for improvement in patient-provider communication.",2020,10.1212/WNL.0000000000009778,95,2,e213-e223,eng,1526-632X 0028-3878,Communication and Humans and Female and Male and Adult and Middle Aged and Quality Improvement and Surveys and Questionnaires and Machine Learning and Treatment Outcome and Socioeconomic Factors and Quality of Life and Health Personnel/*standards and Tertiary Care Centers/standards and Documentation/*standards and Epilepsy/psychology/*therapy and Seizures/classification/epidemiology,NA,NA,2020/07/14/,Neurology,NA,NA,NA,NA
Lai_2020_TheLanNeu,JOUR,"Evidence-based support for autistic people across the lifespan: maximising potential, minimising barriers, and optimising the person-environment fit","Lai, Meng-Chuan and Anagnostou, Evdokia and Wiznitzer, Max and Allison, Carrie and Baron-Cohen, Simon",The Lancet. Neurology,"Autism is both a medical condition that gives rise to disability and an example of human variation that is characterised by neurological and cognitive differences. The goal of evidence-based intervention and support is to alleviate distress, improve adaptation, and promote wellbeing. Support should be collaborative, with autistic individuals, families, and service providers taking a shared decision-making approach to maximise the individual's potential, minimise barriers, and optimise the person-environment fit. Comprehensive, naturalistic early intervention with active caregiver involvement can facilitate early social communication, adaptive functioning, and cognitive development; targeted intervention can help to enhance social skills and aspects of cognition. Augmentative and alternative communication interventions show preliminary evidence of benefit in minimising communication barriers. Co-occurring health issues, such as epilepsy and other neurodevelopmental disorders, sleep problems, and mental health challenges, should be treated in a timely fashion. The creation of autism-friendly contexts is best achieved by supporting families, reducing stigma, enhancing peer understanding, promoting inclusion in education, the community, and at work, and through advocacy.",2020,10.1016/S1474-4422(20)30034-X,19,5,434-451,eng,1474-4465 1474-4422,Humans and *Caregivers and *Evidence-Based Practice and *Disabled Persons and *Autistic Disorder,NA,NA,2020/05//undefined,Lancet Neurol,NA,NA,NA,NA
Jeong_2016_Neur,JOUR,Korea Brain Initiative: Integration and Control of Brain Functions,"Jeong, Sung-Jin and Lee, Haejin and Hur, Eun-Mi and Choe, Youngshik and Koo, Ja Wook and Rah, Jong-Cheol and Lee, Kea Joo and Lim, Hyun-Ho and Sun, Woong and Moon, Cheil and Kim, Kyungjin",Neuron,"This article introduces the history and the long-term goals of the Korea Brain Initiative, which is centered on deciphering the brain functions and mechanisms that mediate the integration and control of brain functions that underlie decision-making. The goal of this initiative is the mapping of a functional connectome with searchable, multi-dimensional, and information-integrated features. The project also includes the development of novel technologies and neuro-tools for integrated brain mapping. Beyond the scientific goals this grand endeavor will ultimately have socioeconomic ramifications that not only facilitate global collaboration in the neuroscience community, but also develop various brain science-related industrial and medical innovations.",2016,10.1016/j.neuron.2016.10.055,92,3,607-611,eng,1097-4199 0896-6273,Humans and International Cooperation and Public-Private Sector Partnerships and Decision Making/*physiology and Republic of Korea and Brain Mapping and Brain/*physiology and Connectome and Neurosciences/*organization & administration,NA,NA,2016/11/02/,Neuron,NA,NA,NA,NA
Scheitz_2018_TheLanNeu,JOUR,Stroke-heart syndrome: clinical presentation and underlying mechanisms,"Scheitz, Jan F. and Nolte, Christian H. and Doehner, Wolfram and Hachinski, Vladimir and Endres, Matthias",The Lancet. Neurology,"Cardiac complications are a frequent medical problem during the first few days after an ischaemic stroke, and patients present with a broad range of symptoms including myocardial injury, cardiac dysfunction, and arrhythmia, with varying overlap between these three conditions. Evidence from clinical and neuroimaging studies and animal research suggests that these cardiac disturbances share the same underlying mechanisms. Although the exact cascade of events has yet to be elucidated, stroke-induced functional and structural alterations in the central autonomic network, with subsequent dysregulation of normal neural cardiac control, are the assumed pathophysiology. This dysregulation can promote myocardial necrosis, microvascular dysfunction, coronary demand ischaemia, and arrhythmogenesis. These stroke-associated cardiac alterations can be summarised as a distinct so-called stroke-heart syndrome. Independent cohort studies have shown a strong association between this syndrome and unfavourable short-term prognosis; however, long-term consequences, including secondary cardiac events and death, are less well described and specific therapeutic targets are scarce. An integrated view of stroke-heart syndrome will offer opportunities to expedite research and inform clinical decision making.",2018,10.1016/S1474-4422(18)30336-3,17,12,1109-1120,eng,1474-4465 1474-4422,Humans and Risk Factors and Animals and Stroke/*complications and Heart Diseases/*complications,NA,NA,2018/12//undefined,Lancet Neurol,NA,NA,NA,NA
