label,type,title,author,journal,abstract,year,doi,volume,issue,pages,language,issn,keywords,url,institution,DA,j2,DP,l1,l2,ST
Panesar_2020_Neur,JOUR,Promises and Perils of Artificial Intelligence in Neurosurgery,"Panesar, Sandip S. and Kliot, Michel and Parrish, Rob and Fernandez-Miranda, Juan and Cagle, Yvonne and Britz, Gavin W.",Neurosurgery,"Artificial intelligence (AI)-facilitated clinical automation is expected to become increasingly prevalent in the near future. AI techniques may permit rapid and detailed analysis of the large quantities of clinical data generated in modern healthcare settings, at a level that is otherwise impossible by humans. Subsequently, AI may enhance clinical practice by pushing the limits of diagnostics, clinical decision making, and prognostication. Moreover, if combined with surgical robotics and other surgical adjuncts such as image guidance, AI may find its way into the operating room and permit more accurate interventions, with fewer errors. Despite the considerable hype surrounding the impending medical AI revolution, little has been written about potential downsides to increasing clinical automation. These may include both direct and indirect consequences. Directly, faulty, inadequately trained, or poorly understood algorithms may produce erroneous results, which may have wide-scale impact. Indirectly, increasing use of automation may exacerbate de-skilling of human physicians due to over-reliance, poor understanding, overconfidence, and lack of necessary vigilance of an automated clinical workflow. Many of these negative phenomena have already been witnessed in other industries that have already undergone, or are undergoing ""automation revolutions,"" namely commercial aviation and the automotive industry. This narrative review explores the potential benefits and consequences of the anticipated medical AI revolution from a neurosurgical perspective.",2020,10.1093/neuros/nyz471,87,1,33-44,eng,1524-4040 0148-396X,Machine learning and Artificial intelligence and Automation and Humans and Algorithms and Deep learning and Prognostication and *Artificial Intelligence/trends and Diagnostics and Neurosurgery/*methods/*trends and Neurosurgical Procedures/*methods/*trends and Surgical adjuncts,NA,NA,2020/07/01/,Neurosurgery,NA,NA,NA,NA
Bydon_2020_Worlneur,JOUR,Big Data Defined: A Practical Review for Neurosurgeons,"Bydon, Mohamad and Schirmer, Clemens M. and Oermann, Eric K. and Kitagawa, Ryan S. and Pouratian, Nader and Davies, Jason and Sharan, Ashwini and Chambless, Lola B.",World neurosurgery,"BACKGROUND: Modern science and healthcare generate vast amounts of data, and, coupled with the increasingly inexpensive and accessible computing, a tremendous opportunity exists to use these data to improve care. A better understanding of data science and its relationship to neurosurgical practice will be increasingly important as we transition into this modern ""big data"" era. METHODS: A review of the literature was performed for key articles referencing big data for neurosurgical care or related topics. RESULTS: In the present report, we first defined the nature and scope of data science from a technical perspective. We then discussed its relationship to the modern neurosurgical practice, highlighting key references, which might form a useful introductory reading list. CONCLUSIONS: Numerous challenges exist going forward; however, organized neurosurgery has an important role in fostering and facilitating these efforts to merge data science with neurosurgical practice.",2020,10.1016/j.wneu.2019.09.092,133,NA,e842-e849,eng,1878-8769 1878-8750,Machine learning and Data science and Humans and *Big Data and *Neurosurgical Procedures and *Neurosurgery and Clinical practice and Neurosurgeons and Registry,NA,NA,2020/01//undefined,World Neurosurg,NA,NA,NA,NA
Raju_2020_Joofne,JOUR,"Big data, machine learning, and artificial intelligence: a field guide for neurosurgeons","Raju, Bharath and Jumah, Fareed and Ashraf, Omar and Narayan, Vinayak and Gupta, Gaurav and Sun, Hai and Hilden, Patrick and Nanda, Anil",Journal of neurosurgery,"Big data has transformed into a trend phrase in healthcare and neurosurgery, becoming a pervasive and inescapable phrase in everyday life. The upsurge in big data applications is a direct consequence of the drastic boom in information technology as well as the growing number of internet-connected devices called the Internet of Things in healthcare. Compared with business, marketing, and other sectors, healthcare applications are lagging due to a lack of technical knowledge among healthcare workers, technological limitations in acquiring and analyzing the data, and improper governance of healthcare big data. Despite these limitations, the medical literature is flooded with big data-related articles, and most of these are filled with abstruse terminologies such as machine learning, artificial intelligence, artificial neural network, and algorithm. Many of the recent articles are restricted to neurosurgical registries, creating a false impression that big data is synonymous with registries. Others advocate that the utilization of big data will be the panacea to all healthcare problems and research in the future. Without a proper understanding of these principles, it becomes easy to get lost without the ability to differentiate hype from reality. To that end, the authors give a brief narrative of big data analysis in neurosurgery and review its applications, limitations, and the challenges it presents for neurosurgeons and healthcare professionals naive to this field. Awareness of these basic concepts will allow neurosurgeons to understand the literature regarding big data, enabling them to make better decisions and deliver personalized care.",2020,10.3171/2020.5.JNS201288,NA,NA,1-11,eng,1933-0693 0022-3085,deep learning and machine learning and artificial intelligence and algorithm and big data and robotics and AI = artificial intelligence and ANN = artificial neural network and artificial neural network and EHR = electronic health record and IoT = Internet of Things,NA,NA,2020/10/02/,J Neurosurg,NA,NA,NA,NA
Ghogawala_2019_JoofneSp,JOUR,Lumbar spondylolisthesis: modern registries and the development of artificial intelligence,"Ghogawala, Zoher and Dunbar, Melissa R. and Essa, Irfan",Journal of neurosurgery. Spine,"OBJECTIVEThere are a wide variety of comparative treatment options in neurosurgery that do not lend themselves to traditional randomized controlled trials. The object of this article was to examine how clinical registries might be used to generate new evidence to support a particular treatment option when comparable options exist. Lumbar spondylolisthesis is used as an example.METHODSThe authors reviewed the literature examining the comparative effectiveness of decompression alone versus decompression with fusion for lumbar stenosis with degenerative spondylolisthesis. Modern data acquisition for the creation of registries was also reviewed with an eye toward how artificial intelligence for the treatment of lumbar spondylolisthesis might be explored.RESULTSCurrent randomized controlled trials differ on the importance of adding fusion when performing decompression for lumbar spondylolisthesis. Standardized approaches to extracting data from the electronic medical record as well as the ability to capture radiographic imaging and incorporate patient-reported outcomes (PROs) will ultimately lead to the development of modern, structured, data-filled registries that will lay the foundation for machine learning.CONCLUSIONSThere is a growing realization that patient experience, satisfaction, and outcomes are essential to improving the overall quality of spine care. There is a need to use practical, validated PRO tools in the quest to optimize outcomes within spine care. Registries will be designed to contain robust clinical data in which predictive analytics can be generated to develop and guide data-driven personalized spine care.",2019,10.3171/2019.2.SPINE18751,30,6,729-735,eng,1547-5646,machine learning and artificial intelligence and Humans and predictive analytics and Artificial Intelligence and Registries and Lumbar Vertebrae and AI = artificial intelligence and EHR = electronic health record and lumbar spondylolisthesis and ML = machine learning and NIS = National Inpatient Sample and patient-reported outcomes and PRO = patient-reported outcome and PROMIS = Patient-Reported Outcomes Measurement Information System and RCT = randomized controlled trial and registry and SID = State Inpatient Databases and Spondylolisthesis/epidemiology/*therapy and SVM = support vector machine,NA,NA,2019/06/01/,J Neurosurg Spine,NA,NA,NA,NA
Khan_2020_Worlneur,JOUR,Use of Machine Learning and Artificial Intelligence to Drive Personalized Medicine Approaches for Spine Care,"Khan, Omar and Badhiwala, Jetan H. and Grasso, Giovanni and Fehlings, Michael G.",World neurosurgery,"Personalized medicine is a new paradigm of healthcare in which interventions are based on individual patient characteristics rather than on ""one-size-fits-all"" guidelines. As epidemiological datasets continue to burgeon in size and complexity, powerful methods such as statistical machine learning and artificial intelligence (AI) become necessary to interpret and develop prognostic models from underlying data. Through such analysis, machine learning can be used to facilitate personalized medicine via its precise predictions. Additionally, other AI tools, such as natural language processing and computer vision, can play an instrumental part in personalizing the care provided to patients with spine disease. In the present report, we discuss the current strides made in incorporating AI into research on spine disease, especially traumatic spinal cord injury and degenerative spine disease. We describe studies using AI to build accurate prognostic models, extract important information from medical reports via natural language processing, and evaluate functional status in a granular manner using computer vision. Through a case illustration, we have demonstrated how these breakthroughs can facilitate an increased role for more personalized medicine and, thus, change the landscape of spine care.",2020,10.1016/j.wneu.2020.04.022,140,NA,512-518,eng,1878-8769 1878-8750,Machine learning and Humans and Personalized medicine and Prognosis and Natural Language Processing and Artificial Intelligence and *Machine Learning and *Precision Medicine and Degenerative cervical myelopathy and Functional Status and Spinal Cord Compression/*therapy and Spinal Cord Injuries/*therapy and Spinal cord injury and Spinal Diseases/therapy and Spine care and Spondylosis/*therapy,NA,NA,2020/08//undefined,World Neurosurg,NA,NA,NA,NA
Hopkins_2019_JoofneSp,JOUR,"Using machine learning to predict 30-day readmissions after posterior lumbar fusion: an NSQIP study involving 23,264 patients","Hopkins, Benjamin S. and Yamaguchi, Jonathan T. and Garcia, Roxanna and Kesavabhotla, Kartik and Weiss, Hannah and Hsu, Wellington K. and Smith, Zachary A. and Dahdaleh, Nader S.",Journal of neurosurgery. Spine,"OBJECTIVE: Unplanned preventable hospital readmissions within 30 days are a great burden to patients and the healthcare system. With an estimated $41.3 billion spent yearly, reducing such readmission rates is of the utmost importance. With the widespread adoption of big data and machine learning, clinicians can use these analytical tools to understand these complex relationships and find predictive factors that can be generalized to future patients. The object of this study was to assess the efficacy of a machine learning algorithm in the prediction of 30-day hospital readmission after posterior spinal fusion surgery. METHODS: The authors analyzed the distribution of National Surgical Quality Improvement Program (NSQIP) posterior lumbar fusions from 2011 to 2016 by using machine learning techniques to create a model predictive of hospital readmissions. A deep neural network was trained using 177 unique input variables. The model was trained and tested using cross-validation, in which the data were randomly partitioned into training (n = 17,448 [75%]) and testing (n = 5816 [25%]) data sets. In training, the 17,448 training cases were fed through a series of 7 layers, each with varying degrees of forward and backward communicating nodes (neurons). RESULTS: Mean and median positive predictive values were 78.5% and 78.0%, respectively. Mean and median negative predictive values were both 97%, respectively. Mean and median areas under the curve for the model were 0.812 and 0.810, respectively. The five most heavily weighted inputs were (in order of importance) return to the operating room, septic shock, superficial surgical site infection, sepsis, and being on a ventilator for > 48 hours. CONCLUSIONS: Machine learning and artificial intelligence are powerful tools with the ability to improve understanding of predictive metrics in clinical spine surgery. The authors' model was able to predict those patients who would not require readmission. Similarly, the majority of predicted readmissions (up to 60%) were predicted by the model while retaining a 0% false-positive rate. Such findings suggest a possible need for reevaluation of the current Hospital Readmissions Reduction Program penalties in spine surgery.",2019,10.3171/2019.9.SPINE19860,NA,NA,1-8,eng,1547-5646,machine learning and artificial intelligence and 30-day hospital readmissions and AUC = area under the curve and CPT = Current Procedural Terminology and DNN = deep neural network and Hospital Readmissions Reduction Program and HRRP = Hospital Readmissions Reduction Program and INR = international normalized ratio and NPV = negative predictive value and NSQIP = National Surgical Quality Improvement Program and posterior lumbar fusions and PPV = positive predictive value and ROC = receiver operating characteristic,NA,NA,2019/11/29/,J Neurosurg Spine,NA,NA,NA,NA
West_2018_Neurfocu,JOUR,A review of Big Data analytics and potential for implementation in the delivery of global neurosurgery,"West, James L. and Fargen, Kyle M. and Hsu, Wesley and Branch, Charles L. and Couture, Daniel E.",Neurosurgical focus,"Global access to neurosurgical care is still a work in progress, with many patients in low-income countries not able to access potentially lifesaving neurosurgical procedures. ""Big Data"" is an increasingly popular data collection and analytical technique predicated on collecting large amounts of data across multiple data sources and types for future analysis. The potential applications of Big Data to global outreach neurosurgery are myriad: from assessing the overall burden of neurosurgical disease to planning cost-effective improvements in access to neurosurgical care, and collecting data on conditions which are rare in developed countries. Although some global neurosurgical outreach programs have intelligently implemented Big Data principles in their global neurosurgery initiatives already, there is still significant progress that remains to be made. Big Data has the potential to drive the efficient improvement of access to neurosurgical care across low- and medium-income countries.",2018,10.3171/2018.7.FOCUS18278,45,4,E16,eng,1092-0684,data science and epidemiology and Health Services Accessibility and Humans and Developing Countries and Big Data and public health and *Big Data and *Neurosurgical Procedures and *Global Health and global neurosurgery and global outreach neurosurgery and HIC = high-income country and LIC = low-income country and low-income country and Neurosurgery and TBI = traumatic brain injury,NA,NA,2018/10//undefined,Neurosurg Focus,NA,NA,NA,NA
Stopa_2019_Worlneur,JOUR,Variance Reduction in Neurosurgical Practice: The Case for Analytics-Driven Decision Support in the Era of Big Data,"Stopa, Brittany M. and Yan, Sandra C. and Dasenbrock, Hormuzdiyar H. and Kim, Dong H. and Gormley, William B.",World neurosurgery,"OBJECTIVE: Variance between providers in neurosurgery can lead to inefficiencies and poor patient outcomes. Evidence-based guidelines (EBGs) have been developed; however, they have not been well implemented into the clinician workflow. Therefore, clinicians have been left to make decisions with incomplete information. Equally underused are the electronic health records (EHRs), which house enormous amounts of health data, but the power of that ""big data"" has failed to be capitalized on. METHODS: Early attempts at EBGs were rigid and nonadaptive; however, with the current advances in data informatics and machine learning algorithms, it is now possible to integrate ""big data"" and rapid data processing into clinical decision support tools. We have presented an overview of the background of EHRs and EBGs in neurosurgery and explored the possibility of integrating them to reduce unwanted variance. RESULTS: As we strive toward variance reduction in healthcare, the integration of ""big data"" and EBGs for decision-making will be key. We have proposed that EHRs are an ideal platform for integrating EBGs into the clinician workflow and have presented as an example of a successful early generation model, Neurocore. With this approach, it will be possible to build EBGs into the EHR software, to continuously update and optimize EBGs according to the flow of patient data into the EHR, and to present data-driven clinical decision support at the point of care. CONCLUSIONS: Variance reduction in neurosurgery through the integration of evidence-based decision support in EHRs will lead to improved patient safety, a reduction in medical errors, maximization of the use of the available data, and enhanced decision-making power for clinicians.",2019,10.1016/j.wneu.2019.01.292,126,NA,e190-e195,eng,1878-8769 1878-8750,"Machine learning and Electronic health records and Artificial intelligence and Humans and Electronic Health Records and Evidence-Based Medicine and Algorithms and Big Data and Medical informatics and Guidelines as Topic and Workflow and *Decision Support Systems, Clinical and Clinical decision support and Neurosurgery and Neurosurgical Procedures/methods/*standards and Variance reduction",NA,NA,2019/06//undefined,World Neurosurg,NA,NA,NA,NA
Karhade_2018_Neurfocu,JOUR,Development of machine learning algorithms for prediction of discharge disposition after elective inpatient surgery for lumbar degenerative disc disorders,"Karhade, Aditya V. and Ogink, Paul and Thio, Quirina and Broekman, Marike and Cha, Thomas and Gormley, William B. and Hershman, Stuart and Peul, Wilco C. and Bono, Christopher M. and Schwab, Joseph H.",Neurosurgical focus,"OBJECTIVEIf not anticipated and prearranged, hospital stay can be prolonged while the patient awaits placement in a rehabilitation unit or skilled nursing facility following elective spine surgery. Preoperative prediction of the likelihood of postoperative discharge to any setting other than home (i.e., nonroutine discharge) after elective inpatient spine surgery would be helpful in terms of decreasing hospital length of stay. The purpose of this study was to use machine learning algorithms to develop an open-access web application for preoperative prediction of nonroutine discharges in surgery for elective inpatient lumbar degenerative disc disorders.METHODSThe American College of Surgeons National Surgical Quality Improvement Program was queried to identify patients who underwent elective inpatient spine surgery for lumbar disc herniation or lumbar disc degeneration between 2011 and 2016. Four machine learning algorithms were developed to predict nonroutine discharge and the best algorithm was incorporated into an open-access web application.RESULTSThe rate of nonroutine discharge for 26,364 patients who underwent elective inpatient surgery for lumbar degenerative disc disorders was 9.28%. Predictive factors selected by random forest algorithms were age, sex, body mass index, fusion, level, functional status, extent and severity of comorbid disease (American Society of Anesthesiologists classification), diabetes, and preoperative hematocrit level. On evaluation in the testing set (n = 5273), the neural network had a c-statistic of 0.823, calibration slope of 0.935, calibration intercept of 0.026, and Brier score of 0.0713. On decision curve analysis, the algorithm showed greater net benefit for changing management over all threshold probabilities than changing management on the basis of the American Society of Anesthesiologists classification alone or for all patients or for no patients. The model can be found here: https://sorg-apps.shinyapps.io/discdisposition/.CONCLUSIONSMachine learning algorithms show promising results on internal validation for preoperative prediction of nonroutine discharges. If found to be externally valid, widespread use of these algorithms via the open-access web application by healthcare professionals may help preoperative risk stratification of patients undergoing elective surgery for lumbar degenerative disc disorders.",2018,10.3171/2018.8.FOCUS18340,45,5,E6,eng,1092-0684,machine learning and Humans and Female and Male and Adult and Middle Aged and Aged and predictive analytics and value-based care and Predictive Value of Tests and *Algorithms and AUC = area under the curve and NSQIP = National Surgical Quality Improvement Program and *Machine Learning/trends and *Patient Discharge/trends and ASA = American Society of Anesthesiologists and BMI = body mass index and discharge disposition and Elective Surgical Procedures/*methods and Intervertebral Disc Degeneration/*surgery and Lumbar Vertebrae/*surgery and spine surgery,NA,NA,2018/11/01/,Neurosurg Focus,NA,NA,NA,NA
Wong_2015_Neurfocu,JOUR,Interrupted time-series analysis: studying trends in neurosurgery,"Wong, Ricky H. and Smieliauskas, Fabrice and Pan, I.-Wen and Lam, Sandi K.",Neurosurgical focus,"OBJECT Neurosurgery studies traditionally have evaluated the effects of interventions on health care outcomes by studying overall changes in measured outcomes over time. Yet, this type of linear analysis is limited due to lack of consideration of the trend's effects both pre- and postintervention and the potential for confounding influences. The aim of this study was to illustrate interrupted time-series analysis (ITSA) as applied to an example in the neurosurgical literature and highlight ITSA's potential for future applications. METHODS The methods used in previous neurosurgical studies were analyzed and then compared with the methodology of ITSA. RESULTS The ITSA method was identified in the neurosurgical literature as an important technique for isolating the effect of an intervention (such as a policy change or a quality and safety initiative) on a health outcome independent of other factors driving trends in the outcome. The authors determined that ITSA allows for analysis of the intervention's immediate impact on outcome level and on subsequent trends and enables a more careful measure of the causal effects of interventions on health care outcomes. CONCLUSIONS ITSA represents a significant improvement over traditional observational study designs in quantifying the impact of an intervention. ITSA is a useful statistical procedure to understand, consider, and implement as the field of neurosurgery evolves in sophistication in big-data analytics, economics, and health services research.",2015,10.3171/2015.9.FOCUS15374,39,6,E6,eng,1092-0684,"Humans and Quality Improvement and Time Factors and Randomized Controlled Trials as Topic and methodology and trends and Databases, Factual/statistics & numerical data and *Neurosurgical Procedures and *Neurosurgery/methods/standards/trends and AAOS = American Academy of Orthopaedic Surgeons and ACS NSQIP = American College of Surgeons National Surgical Quality Improvement Program and interrupted time series and ITSA = interrupted time-series analysis and kyphoplasty and N2QOD = National Neurosurgery Quality and Outcomes Database and segmented time series and Spinal Cord Compression/surgery and VAP = vertebral augmentation procedure and VCF = vertebral compression fracture",NA,NA,2015/12//undefined,Neurosurg Focus,NA,NA,NA,NA
