label,type,title,author,journal,abstract,year,doi,volume,issue,pages,language,issn,keywords,url,institution,DA,j2,DP,l1,l2,ST
Nensa_2019_Jonm.opSoNM,JOUR,Artificial Intelligence in Nuclear Medicine,"Nensa, Felix and Demircioglu, Aydin and Rischpler, Christoph","Journal of nuclear medicine : official publication, Society of Nuclear Medicine","Despite the great media attention for artificial intelligence (AI), for many health care professionals the term and the functioning of AI remain a ""black box,"" leading to exaggerated expectations on the one hand and unfounded fears on the other. In this review, we provide a conceptual classification and a brief summary of the technical fundamentals of AI. Possible applications are discussed on the basis of a typical work flow in medical imaging, grouped by planning, scanning, interpretation, and reporting. The main limitations of current AI techniques, such as issues with interpretability or the need for large amounts of annotated data, are briefly addressed. Finally, we highlight the possible impact of AI on the nuclear medicine profession, the associated challenges and, last but not least, the opportunities.",2019,10.2967/jnumed.118.220590,60,Suppl 2,29S-37S,eng,1535-5667 0161-5505,deep learning and machine learning and artificial intelligence and Humans and Machine Learning and Deep Learning and Diagnostic Imaging and Artificial Intelligence/*trends and medical imaging and nuclear medicine and Nuclear Medicine/methods/*trends and Radionuclide Imaging,NA,NA,2019/09//undefined,J Nucl Med,NA,NA,NA,NA
Chan_2020_Mediphys,JOUR,Computer-aided diagnosis in the era of deep learning,"Chan, Heang-Ping and Hadjiiski, Lubomir M. and Samala, Ravi K.",Medical physics,"Computer-aided diagnosis (CAD) has been a major field of research for the past few decades. CAD uses machine learning methods to analyze imaging and/or nonimaging patient data and makes assessment of the patient's condition, which can then be used to assist clinicians in their decision-making process. The recent success of the deep learning technology in machine learning spurs new research and development efforts to improve CAD performance and to develop CAD for many other complex clinical tasks. In this paper, we discuss the potential and challenges in developing CAD tools using deep learning technology or artificial intelligence (AI) in general, the pitfalls and lessons learned from CAD in screening mammography and considerations needed for future implementation of CAD or AI in clinical use. It is hoped that the past experiences and the deep learning technology will lead to successful advancement and lasting growth in this new era of CAD, thereby enabling CAD to deliver intelligent aids to improve health care.",2020,10.1002/mp.13764,47,5,e218-e227,eng,2473-4209 0094-2405,"deep learning and artificial intelligence and Humans and *Deep Learning and Diagnosis, Computer-Assisted/*methods and computer-aided diagnosis",NA,NA,2020/06//undefined,Med Phys,NA,NA,NA,NA
Mahadevaiah_2020_Mediphys,JOUR,"Artificial intelligence-based clinical decision support in modern medical physics: Selection, acceptance, commissioning, and quality assurance","Mahadevaiah, Geetha and Rv, Prasad and Bermejo, Inigo and Jaffray, David and Dekker, Andre and Wee, Leonard",Medical physics,"BACKGROUND: Recent advances in machine and deep learning based on an increased availability of clinical data have fueled renewed interest in computerized clinical decision support systems (CDSSs). CDSSs have shown great potential to improve healthcare, increase patient safety and reduce costs. However, the use of CDSSs is not without pitfalls, as an inadequate or faulty CDSS can potentially deteriorate the quality of healthcare and put patients at risk. In addition, the adoption of a CDSS might fail because its intended users ignore the output of the CDSS due to lack of trust, relevancy or actionability. AIM: In this article, we provide guidance based on literature for the different aspects involved in the adoption of a CDSS with a special focus on machine and deep learning based systems: selection, acceptance testing, commissioning, implementation and quality assurance. RESULTS: A rigorous selection process will help identify the CDSS that best fits the preferences and requirements of the local site. Acceptance testing will make sure that the selected CDSS fulfills the defined specifications and satisfies the safety requirements. The commissioning process will prepare the CDSS for safe clinical use at the local site. An effective implementation phase should result in an orderly roll out of the CDSS to the well-trained end-users whose expectations have been managed. And finally, quality assurance will make sure that the performance of the CDSS is maintained and that any issues are promptly identified and solved. CONCLUSION: We conclude that a systematic approach to the adoption of a CDSS will help avoid pitfalls, improve patient safety and increase the chances of success.",2020,10.1002/mp.13562,47,5,e228-e235,eng,2473-4209 0094-2405,"machine learning and artificial intelligence and clinical decision support and Humans and *Quality Assurance, Health Care and *Artificial Intelligence and *Decision Support Systems, Clinical and *Physics",NA,NA,2020/06//undefined,Med Phys,NA,NA,NA,NA
McNutt_2018_Mediphys,JOUR,Practical data collection and extraction for big data applications in radiotherapy,"McNutt, Todd R. and Bowers, Michael and Cheng, Zhi and Han, Peijin and Hui, Xuan and Moore, Joseph and Robertson, Scott and Mayo, Charles and Voong, Ranh and Quon, Harry",Medical physics,"The capture of high-quality treatment data and outcomes is necessary in order to learn from our clinical experiences with big data analytics. In radiotherapy, there are several practical challenges to overcome. Practical aspects of data collection are discussed pointing to a need for a culture change in clinical practice to one that captures structured patient-related data in routine care in a prospective manner. Radiation dosimetry and the contoured anatomy must also be captured routinely to represent the best estimate of delivered radiation. The quality and integrity present in the data are critical which poses opportunities to introduce electronic validity checking to improve them. Similarly, data completeness and methods and technology to improve the efficiency and sufficiency of data capture can be introduced. In the manuscript, the types of clinical data are discussed including patient reports, images, biospecimens, treatments, and symptom management. With a data-driven culture, the realization of a learning health system is possible unlocking the potential of big data and its influence on clinical decision-making and hypothesis generation.",2018,10.1002/mp.12817,45,10,e863-e869,eng,2473-4209 0094-2405,machine learning and decision support and Information Storage and Retrieval and big data and Medical Informatics/*methods and *Data Collection and learning health system and Neoplasms/diagnosis/therapy and Radiotherapy/*statistics & numerical data,NA,NA,2018/10//undefined,Med Phys,NA,NA,NA,NA
McNutt_2018_Injoofraonbiph,JOUR,Using Big Data Analytics to Advance Precision Radiation Oncology,"McNutt, Todd R. and Benedict, Stanley H. and Low, Daniel A. and Moore, Kevin and Shpitser, Ilya and Jiang, Wei and Lakshminarayanan, Pranav and Cheng, Zhi and Han, Peijin and Hui, Xuan and Nakatsugawa, Minoru and Lee, Junghoon and Moore, Joseph A. and Robertson, Scott P. and Shah, Veeraj and Taylor, Russ and Quon, Harry and Wong, John and DeWeese, Theodore","International journal of radiation oncology, biology, physics","Big clinical data analytics as a primary component of precision medicine is discussed, identifying where these emerging tools fit in the spectrum of genomics and radiomics research. A learning health system (LHS) is conceptualized that uses clinically acquired data with machine learning to advance the initiatives of precision medicine. The LHS is comprehensive and can be used for clinical decision support, discovery, and hypothesis derivation. These developing uses can positively impact the ultimate management and therapeutic course for patients. The conceptual model for each use of clinical data, however, is different, and an overview of the implications is discussed. With advancements in technologies and culture to improve the efficiency, accuracy, and breadth of measurements of the patient condition, the concept of an LHS may be realized in precision radiation therapy.",2018,10.1016/j.ijrobp.2018.02.028,101,2,285-291,eng,1879-355X 0360-3016,"Humans and Genomics and Models, Statistical and *Decision Support Systems, Clinical and *Machine Learning and *Big Data and Precision Medicine/*methods and Data Mining/methods and Radiotherapy/adverse effects and Neoplasms/pathology/radiotherapy and Radiation Oncology/*methods",NA,NA,2018/06/01/,Int J Radiat Oncol Biol Phys,NA,NA,NA,NA
Kalet_2020_Mediphys,JOUR,Radiation Therapy Quality Assurance Tasks and Tools: The Many Roles of Machine Learning,"Kalet, Alan M. and Luk, Samuel M. H. and Phillips, Mark H.",Medical physics,"The recent explosion in machine learning efforts in the quality assurance (QA) space has produced a variety of proofs-of-concept many with promising results. Expected outcomes of model implementation include improvements in planning time, plan quality, advanced dosimetric QA, predictive machine maintenance, increased safety checks, and developments key for new QA paradigms driven by adaptive planning. In this article, we outline several areas of research and discuss some of the unique challenges each area presents.",2020,10.1002/mp.13445,47,5,e168-e177,eng,2473-4209 0094-2405,"machine learning and artificial intelligence and Safety and Humans and Quality Assurance, Health Care/*methods and *Machine Learning and *Radiotherapy/adverse effects and quality assurance and radiotherapy",NA,NA,2020/06//undefined,Med Phys,NA,NA,NA,NA
Matuszak_2018_Mediphys,JOUR,Performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology,"Matuszak, Martha M. and Fuller, Clifton D. and Yock, Torunn I. and Hess, Clayton B. and McNutt, Todd and Jolly, Shruti and Gabriel, Peter and Mayo, Charles S. and Thor, Maria and Caissie, Amanda and Rao, Arvind and Owen, Dawn and Smith, Wade and Palta, Jatinder and Kapoor, Rishabh and Hayman, James and Waddle, Mark and Rosenstein, Barry and Miller, Robert and Choi, Seungtaek and Moreno, Amy and Herman, Joseph and Feng, Mary",Medical physics,"It is an exciting time for big data efforts in radiation oncology. The use of big data to help aid both outcomes and decision-making research is becoming a reality. However, there are true challenges that exist in the space of gathering and utilizing performance and outcomes data. Here, we summarize the current state of big data in radiation oncology with respect to outcomes and discuss some of the efforts and challenges in radiation oncology big data.",2018,10.1002/mp.13136,45,10,e811-e819,eng,2473-4209 0094-2405,"performance and Humans and Universities and big data and outcomes and Registries and *Databases, Factual and *Physicians and Medical Informatics/*methods and Radiation Oncology/*statistics & numerical data and *Outcome Assessment, Health Care and challenges and physician and radiation oncology",NA,NA,2018/10//undefined,Med Phys,NA,NA,NA,NA
Traverso_2018_Mediphys,JOUR,The radiation oncology ontology (ROO): Publishing linked data in radiation oncology using semantic web and ontology techniques,"Traverso, Alberto and van Soest, Johan and Wee, Leonard and Dekker, Andre",Medical physics,"PURPOSE: Personalized medicine is expected to yield improved health outcomes. Data mining over massive volumes of patients' clinical data is an appealing, low-cost and noninvasive approach toward personalization. Machine learning algorithms could be trained over clinical ""big data"" to build prediction models for personalized therapy. To reach this goal, a scalable ""big data"" architecture for the medical domain becomes essential, based on data standardization to transform clinical data into FAIR (Findable, Accessible, Interoperable and Reusable) data. Using Ontologies and Semantic Web technologies, we attempt to reach mentioned goal. METHODS: We developed an ontology to be used in the field of radiation oncology to map clinical data from relational databases. We combined ontology with semantic Web techniques to publish mapped data and easily query them using SPARQL. RESULTS: The Radiation Oncology Ontology (ROO) contains 1,183 classes and 211 properties between classes to represent clinical data (and their relationships) in the radiation oncology domain following FAIR principles. We combined the ontology with Semantic Web technologies showing how to efficiently and easily integrate and query data from different (relational database) sources without a priori knowledge of their structures. DISCUSSION: When clinical FAIR data sources are combined (linked data) using mentioned technologies, new relationships between entities are created and discovered, representing a dynamic body of knowledge that is continuously accessible and increasing.",2018,10.1002/mp.12879,45,10,e854-e862,eng,2473-4209 0094-2405,Humans and Clinical Trials as Topic and ontologies and *Biological Ontologies and radiation oncology and *Publications and *Radiation Oncology and *Semantic Web and Rectal Neoplasms/therapy and semantic web,NA,NA,2018/10//undefined,Med Phys,NA,NA,NA,NA
Zhang_2020_Eujoofnumeanmoim,JOUR,Automated detection and quantification of COVID-19 pneumonia: CT imaging analysis by a deep learning-based software,"Zhang, Hai-Tao and Zhang, Jin-Song and Zhang, Hai-Hua and Nan, Yan-Dong and Zhao, Ying and Fu, En-Qing and Xie, Yong-Hong and Liu, Wei and Li, Wang-Ping and Zhang, Hong-Jun and Jiang, Hua and Li, Chun-Mei and Li, Yan-Yan and Ma, Rui-Na and Dang, Shao-Kang and Gao, Bo-Bo and Zhang, Xi-Jing and Zhang, Tao",European journal of nuclear medicine and molecular imaging,"BACKGROUND: The novel coronavirus disease 2019 (COVID-19) is an emerging worldwide threat to public health. While chest computed tomography (CT) plays an indispensable role in its diagnosis, the quantification and localization of lesions cannot be accurately assessed manually. We employed deep learning-based software to aid in detection, localization and quantification of COVID-19 pneumonia. METHODS: A total of 2460 RT-PCR tested SARS-CoV-2-positive patients (1250 men and 1210 women; mean age, 57.7 <c2><b1> 14.0 years (age range, 11-93 years) were retrospectively identified from Huoshenshan Hospital in Wuhan from February 11 to March 16, 2020. Basic clinical characteristics were reviewed. The uAI Intelligent Assistant Analysis System was used to assess the CT scans. RESULTS: CT scans of 2215 patients (90%) showed multiple lesions of which 36 (1%) and 50 patients (2%) had left and right lung infections, respectively (> 50% of each affected lung's volume), while 27 (1%) had total lung infection (> 50% of the total volume of both lungs). Overall, 298 (12%), 778 (32%) and 1300 (53%) patients exhibited pure ground glass opacities (GGOs), GGOs with sub-solid lesions and GGOs with both sub-solid and solid lesions, respectively. Moreover, 2305 (94%) and 71 (3%) patients presented primarily with GGOs and sub-solid lesions, respectively. Elderly patients (<e2><89><a5> 60 years) were more likely to exhibit sub-solid lesions. The generalized linear mixed model showed that the dorsal segment of the right lower lobe was the favoured site of COVID-19 pneumonia. CONCLUSION: Chest CT combined with analysis by the uAI Intelligent Assistant Analysis System can accurately evaluate pneumonia in COVID-19 patients.",2020,10.1007/s00259-020-04953-1,47,11,2525-2532,eng,1619-7089 1619-7070,"Software and SARS-CoV-2 and COVID-19 and Humans and Female and Male and Adolescent and Adult and Middle Aged and Young Adult and Child and Retrospective Studies and Aged and Aged, 80 and over and Artificial intelligence (AI) and Linear Models and *Pandemics and *Deep Learning and Lung/*diagnostic imaging and Pneumonia, Viral/*diagnostic imaging and COVID-19 Testing and Reverse Transcriptase Polymerase Chain Reaction and Clinical Laboratory Techniques and 2019 novel coronavirus and *Betacoronavirus/isolation & purification and Computed tomography (CT) and Coronavirus Infections/diagnosis/*diagnostic imaging and Ground glass opacity (GGO) and Multidetector Computed Tomography/*methods and Viral pneumonia",NA,NA,2020/10//undefined,Eur J Nucl Med Mol Imaging,NA,NA,NA,NA
Huser_2016_Injoofraonbiph,JOUR,Impending Challenges for the Use of Big Data,"Huser, Vojtech and Cimino, James J.","International journal of radiation oncology, biology, physics","Big Data in healthcare promise to answer real world questions that can be difficult to address with randomized clinical trials. In this perspective article, we analyze five current Big Data informatics challenges of (1) data volume, (2) research oversight by Institutional Review Boards, (3) semantic data integration (4) data formats, and (5) access to knowledge bases from a biomedical informatics perspective. After briefly describing each challenge, we discuss examples of how are being addressed today. With the ever increasing number of Big Data healthcare repositories, the emphasis is shifting from mere data aggregation to advanced data transformation and analysis.",2016,10.1016/j.ijrobp.2015.10.060,95,3,890-894,eng,1879-355X 0360-3016,"Forecasting and *Databases, Factual and Information Storage and Retrieval/methods and Data Collection/methods/statistics & numerical data and Data Mining/methods/statistics & numerical data/*trends and Data Warehousing/methods and Databases, Genetic/statistics & numerical data and Ethics Committees, Research/organization & administration",NA,NA,2016/07/01/,Int J Radiat Oncol Biol Phys,NA,NA,NA,NA
