label,type,title,author,journal,abstract,year,doi,volume,issue,pages,language,issn,keywords,url,institution,DA,j2,DP,l1,l2,ST
Colmenarejo_2020_Nutr,JOUR,Machine Learning Models to Predict Childhood and Adolescent Obesity: A Review,"Colmenarejo, Gonzalo",Nutrients,"The prevalence of childhood and adolescence overweight an obesity is raising at an alarming rate in many countries. This poses a serious threat to the current and near-future health systems, given the association of these conditions with different comorbidities (cardiovascular diseases, type II diabetes, and metabolic syndrome) and even death. In order to design appropriate strategies for its prevention, as well as understand its origins, the development of predictive models for childhood/adolescent overweight/obesity and related outcomes is of extreme value. Obesity has a complex etiology, and in the case of childhood and adolescence obesity, this etiology includes also specific factors like (pre)-gestational ones; weaning; and the huge anthropometric, metabolic, and hormonal changes that during this period the body suffers. In this way, Machine Learning models are becoming extremely useful tools in this area, given their excellent predictive power; ability to model complex, nonlinear relationships between variables; and capacity to deal with high-dimensional data typical in this area. This is especially important given the recent appearance of large repositories of Electronic Health Records (EHR) that allow the development of models using datasets with many instances and predictor variables, from which Deep Learning variants can generate extremely accurate predictions. In the current work, the area of Machine Learning models to predict childhood and adolescent obesity and related outcomes is comprehensively and critically reviewed, including the latest ones using Deep Learning with EHR. These models are compared with the traditional statistical ones that used mainly logistic regression. The main features and applications appearing from these models are described, and the future opportunities are discussed.",2020,10.3390/nu12082466,12,8,NA,eng,2072-6643,"deep learning and machine learning and data science and Humans and Female and Male and Adolescent and Child and Forecasting and BMI and Comorbidity and Prevalence and obesity and Diabetes Mellitus, Type 2 and Cardiovascular Diseases and *Models, Statistical and *Deep Learning and Metabolic Syndrome and childhood obesity and overweight and Pediatric Obesity/*epidemiology/*prevention & control and statistical models",NA,NA,2020/08/16/,Nutrients,NA,NA,NA,NA
Qian_2022_Crreinfoscannu,JOUR,"Traceability in food processing: problems, methods, and performance evaluations-a review","Qian, Jianping and Dai, Bingye and Wang, Baogang and Zha, Yan and Song, Qian",Critical reviews in food science and nutrition,"Processed food has become an indispensable part of the human food chain. It provides rich nutrition for human health and satisfies various other requirements for food consumption. However, establishing traceability systems for processed food faces a different set of challenges compared to primary agro-food, because of the variety of raw materials, batch mixing, and resource transformation. In this paper, progress in the traceability of processed food is reviewed. Based on an analysis of the food supply chain and processing stage, the problem of traceability in food processing results from the transformations that the resources go through. Methods to implement traceability in food processing, including physical separation in different lots, defining and associating batches, isotope analysis and DNA tracking, statistical data models, internal traceability system development, artificial intelligence (AI), and blockchain-based approaches are summarized. Traceability is evaluated based on recall effects, TRUs (traceable resource units), and comprehensive granularity. Different methods have different advantages and disadvantages. The combined application of different methods should consider the specific application scenarios in food processing to improve granularity. On the other hand, novel technologies, including batch mixing optimization with AI, quality forecasting with big data, and credible traceability with blockchain, are presented in the context of improving traceability performance in food processing.",2022,10.1080/10408398.2020.1825925,62,3,679-692,eng,1549-7852 1040-8398,Humans and traceability and Artificial intelligence (AI) and Food Supply and *Artificial Intelligence and *Blockchain and batch mixing and Food Handling and food processing and resource transformation,NA,NA,2022///,Crit Rev Food Sci Nutr,NA,NA,NA,NA
Tragomalou_2020_Nutr,JOUR,Novel e-Health Applications for the Management of Cardiometabolic Risk Factors in Children and Adolescents in Greece,"Tragomalou, Athanasia and Moschonis, George and Manios, Yannis and Kassari, Penio and Ioakimidis, Ioannis and Diou, Christos and Stefanopoulos, Leandros and Lekka, Eirini and Maglaveras, Nicos and Delopoulos, Anastasios and Charmandari, Evangelia",Nutrients,"Obesity in childhood and adolescence represents a major health problem. Novel e-Health technologies have been developed in order to provide a comprehensive and personalized plan of action for the prevention and management of overweight and obesity in childhood and adolescence. We used information and communication technologies to develop a ""National Registry for the Prevention and Management of Overweight and Obesity"" in order to register online children and adolescents nationwide, and to guide pediatricians and general practitioners regarding the management of overweight or obese subjects. Furthermore, intelligent multi-level information systems and specialized artificial intelligence algorithms are being developed with a view to offering precision and personalized medical management to obese or overweight subjects. Moreover, the Big Data against Childhood Obesity platform records behavioral data objectively by using inertial sensors and Global Positioning System (GPS) and combines them with data of the environment, in order to assess the full contextual framework that is associated with increased body mass index (BMI). Finally, a computerized decision-support tool was developed to assist pediatric health care professionals in delivering personalized nutrition and lifestyle optimization advice to overweight or obese children and their families. These e-Health applications are expected to play an important role in the management of overweight and obesity in childhood and adolescence.",2020,10.3390/nu12051380,12,5,NA,eng,2072-6643,Humans and Female and Male and Adolescent and Child and algorithms and big data and Telemedicine/*methods and *Mobile Applications and *Decision Support Techniques and Greece and Precision Medicine/*methods and e-Health and Pediatrics/methods and cardiometabolic risk factors and childhood obesity and *Pediatric Obesity and Cardiometabolic Risk Factors and General Practice/methods and Pedobesity and registries,NA,NA,2020/05/12/,Nutrients,NA,NA,NA,NA
Shiao_2018_Nutr,JOUR,Predictors of the Healthy Eating Index and Glycemic Index in Multi-Ethnic Colorectal Cancer Families,"Shiao, S. Pamela K. and Grayson, James and Lie, Amanda and Yu, Chong Ho",Nutrients,"For personalized nutrition in preparation for precision healthcare, we examined the predictors of healthy eating, using the healthy eating index (HEI) and glycemic index (GI), in family-based multi-ethnic colorectal cancer (CRC) families. A total of 106 participants, 53 CRC cases and 53 family members from multi-ethnic families participated in the study. Machine learning validation procedures, including the ensemble method and generalized regression prediction, Elastic Net with Akaike's Information Criterion with correction and Leave-One-Out cross validation methods, were applied to validate the results for enhanced prediction and reproducibility. Models were compared based on HEI scales for the scores of 77 versus 80 as the status of healthy eating, predicted from individual dietary parameters and health outcomes. Gender and CRC status were interactive as additional predictors of HEI based on the HEI score of 77. Predictors of HEI 80 as the criterion score of a good diet included five significant dietary parameters (with intake amount): whole fruit (1 cup), milk or milk alternative such as soy drinks (6 oz), whole grain (1 oz), saturated fat (15 g), and oil and nuts (1 oz). Compared to the GI models, HEI models presented more accurate and fitted models. Milk or a milk alternative such as soy drink (6 oz) is the common significant parameter across HEI and GI predictive models. These results point to the importance of healthy eating, with the appropriate amount of healthy foods, as modifiable factors for cancer prevention.",2018,10.3390/nu10060674,10,6,NA,eng,2072-6643,"Risk and Humans and Female and Male and Adult and Middle Aged and Aged and Sex Factors and Machine Learning and Health Surveys and Reproducibility of Results and Statistics as Topic and Registries and Glycemic Index and glycemic index and *Models, Biological and *Patient Compliance and California/epidemiology and *Diet, Healthy and *Family Health and colorectal cancer and Colorectal Neoplasms/epidemiology/*prevention & control and diverse ethnic groups and generalized regression elastic net and healthy eating",NA,NA,2018/05/26/,Nutrients,NA,NA,NA,NA
O.Sullivan_2018_Crreinfoscannu,JOUR,21st century toolkit for optimizing population health through precision nutrition,"O'Sullivan, Aifric and Henrick, Bethany and Dixon, Bonnie and Barile, Daniela and Zivkovic, Angela and Smilowitz, Jennifer and Lemay, Danielle and Martin, William and German, J. Bruce and Schaefer, Sara Elizabeth",Critical reviews in food science and nutrition,"Scientific, technological, and economic progress over the last 100 years all but eradicated problems of widespread food shortage and nutrient deficiency in developed nations. But now society is faced with a new set of nutrition problems related to energy imbalance and metabolic disease, which require new kinds of solutions. Recent developments in the area of new analytical tools enable us to systematically study large quantities of detailed and multidimensional metabolic and health data, providing the opportunity to address current nutrition problems through an approach called Precision Nutrition. This approach integrates different kinds of ""big data"" to expand our understanding of the complexity and diversity of human metabolism in response to diet. With these tools, we can more fully elucidate each individual's unique phenotype, or the current state of health, as determined by the interactions among biology, environment, and behavior. The tools of precision nutrition include genomics, metabolomics, microbiomics, phenotyping, high-throughput analytical chemistry techniques, longitudinal tracking with body sensors, informatics, data science, and sophisticated educational and behavioral interventions. These tools are enabling the development of more personalized and predictive dietary guidance and interventions that have the potential to transform how the public makes food choices and greatly improve population health.",2018,10.1080/10408398.2017.1348335,58,17,3004-3015,eng,1549-7852 1040-8398,Humans and big data and phenotyping and *Health Promotion and Nutrition Therapy/*methods/trends and *Nutritional Status and Diet/trends and food science and technology and Nutritional Sciences/*trends and Precision nutrition,NA,NA,2018///,Crit Rev Food Sci Nutr,NA,NA,NA,NA
Kumar_2022_Crreinfoscannu,JOUR,Artificial intelligence and synthetic biology approaches for human gut microbiome,"Kumar, Prasoon and Sinha, Rajeshwari and Shukla, Pratyoosh",Critical reviews in food science and nutrition,"The gut microbiome comprises a variety of microorganisms whose genes encode proteins to carry out crucial metabolic functions that are responsible for the majority of health-related issues in human beings. The advent of the technological revolution in artificial intelligence (AI) assisted synthetic biology (SB) approaches will play a vital role in the modulating the therapeutic and nutritive potential of probiotics. This can turn human gut as a reservoir of beneficial bacterial colonies having an immense role in immunity, digestion, brain function, and other health benefits. Hence, in the present review, we have discussed the role of several gene editing tools and approaches in synthetic biology that have equipped us with novel tools like Clustered Regularly Interspaced Short Palindromic Repeats (CRISPR-Cas) systems to precisely engineer probiotics for diagnostic, therapeutic and nutritive value. A brief discussion over the AI techniques to understand the metagenomic data from the healthy and diseased gut microbiome is also presented. Further, the role of AI in potentially impacting the pace of developments in SB and its current challenges is also discussed. The review also describes the health benefits conferred by engineered microbes through the production of biochemicals, nutraceuticals, drugs or biotherapeutics molecules etc. Finally, the review concludes with the challenges and regulatory concerns in adopting synthetic biology engineered microbes for clinical applications. Thus, the review presents a synergistic approach of AI and SB toward human gut microbiome for better health which will provide interesting clues to researchers working in the area of rapidly evolving food and nutrition science.",2022,10.1080/10408398.2020.1850415,62,8,2103-2121,eng,1549-7852 1040-8398,Artificial intelligence and Humans and Artificial Intelligence and *Microbiota and *Gastrointestinal Microbiome/genetics and CRISPR-Cas and Gene Editing/methods and gut microbiome and nutraceutical and probiotics and synthetic biology and Synthetic Biology,NA,NA,2022///,Crit Rev Food Sci Nutr,NA,NA,NA,NA
Shiao_2018_Nutr_1,JOUR,"Personalized Nutrition-Genes, Diet, and Related Interactive Parameters as Predictors of Cancer in Multiethnic Colorectal Cancer Families","Shiao, S. Pamela K. and Grayson, James and Lie, Amanda and Yu, Chong Ho",Nutrients,"To personalize nutrition, the purpose of this study was to examine five key genes in the folate metabolism pathway, and dietary parameters and related interactive parameters as predictors of colorectal cancer (CRC) by measuring the healthy eating index (HEI) in multiethnic families. The five genes included methylenetetrahydrofolate reductase (MTHFR) 677 and 1298, methionine synthase (MTR) 2756, methionine synthase reductase (MTRR 66), and dihydrofolate reductase (DHFR) 19bp, and they were used to compute a total gene mutation score. We included 53 families, 53 CRC patients and 53 paired family friend members of diverse population groups in Southern California. We measured multidimensional data using the ensemble bootstrap forest method to identify variables of importance within domains of genetic, demographic, and dietary parameters to achieve dimension reduction. We then constructed predictive generalized regression (GR) modeling with a supervised machine learning validation procedure with the target variable (cancer status) being specified to validate the results to allow enhanced prediction and reproducibility. The results showed that the CRC group had increased total gene mutation scores compared to the family members (p < 0.05). Using the Akaike's information criterion and Leave-One-Out cross validation GR methods, the HEI was interactive with thiamine (vitamin B1), which is a new finding for the literature. The natural food sources for thiamine include whole grains, legumes, and some meats and fish which HEI scoring included as part of healthy portions (versus limiting portions on salt, saturated fat and empty calories). Additional predictors included age, as well as gender and the interaction of MTHFR 677 with overweight status (measured by body mass index) in predicting CRC, with the cancer group having more men and overweight cases. The HEI score was significant when split at the median score of 77 into greater or less scores, confirmed through the machine-learning recursive tree method and predictive modeling, although an HEI score of greater than 80 is the US national standard set value for a good diet. The HEI and healthy eating are modifiable factors for healthy living in relation to dietary parameters and cancer prevention, and they can be used for personalized nutrition in the precision-based healthcare era.",2018,10.3390/nu10060795,10,6,NA,eng,2072-6643,"Humans and Female and Male and Logistic Models and Health Surveys and Risk Factors and Nutritional Status and Models, Biological and Nutrition Assessment and *Genetic Predisposition to Disease and *Diet and Diet, Healthy and colorectal cancer and Colorectal Neoplasms/*ethnology/*prevention & control and gene-diet interaction and multiethnic groups and predictor",NA,NA,2018/06/20/,Nutrients,NA,NA,NA,NA
Liang_2022_Crreinfoscannu,JOUR,Advances in infrared spectroscopy combined with artificial neural network for the authentication and traceability of food,"Liang, Ning and Sun, Sashuang and Zhang, Chu and He, Yong and Qiu, Zhengjun",Critical reviews in food science and nutrition,"The authentication and traceability of food attract more attention due to the increasing consumer awareness regarding nutrition and health, being a new hotspot of food science. Infrared spectroscopy (IRS) combined with shallow neural network has been widely proven to be an effective food analysis technology. As an advanced deep learning technology, deep neural network has also been explored to analyze and solve food-related IRS problems in recent years. The present review begins with brief introductions to IRS and artificial neural network (ANN), including shallow neural network and deep neural network. More notably, it emphasizes the comprehensive overview of the advances of the technology combined IRS with ANN for the authentication and traceability of food, based on relevant literature from 2014 to early 2020. In detail, the types of IRS and ANN, modeling processes, experimental results, and model comparisons in related studies are described to set forth the usage and performance of the combined technology for food analysis. The combined technology shows excellent ability to authenticate food quality and safety, involving chemical components, freshness, microorganisms, damages, toxic substances, and adulteration. As well, it shows excellent performance in the traceability of food variety and origin. The advantages, current limitations, and future trends of the combined technology are further discussed to provide a thoughtful viewpoint on the challenges and expectations of online applications for the authentication and traceability of food.",2022,10.1080/10408398.2020.1862045,62,11,2963-2984,eng,1549-7852 1040-8398,"deep learning and Neural Networks, Computer and Spectrophotometry, Infrared and *Food and convolutional neural network and *Food Analysis/methods and food quality and Food Quality and food safety and Hyperspectral imaging",NA,NA,2022///,Crit Rev Food Sci Nutr,NA,NA,NA,NA
Kaegi.Braun_2020_Clinnutr.EdiScot,JOUR,"""Evidence-based medical nutrition - A difficult journey, but worth the effort!""","Kaegi-Braun, Nina and Baumgartner, Annic and Gomes, Filomena and Stanga, Zeno and Deutz, Nicolaas E. and Schuetz, Philipp","Clinical nutrition (Edinburgh, Scotland)","Evidence-based medicine is the art of combining ""best external evidence"", ""clinical judgement"" and ""patient values"" for improved daily clinical decision making and is the ultimate goal in modern medicine. Historically, in the field of medical nutrition, there had been a lack of strong evidence from large and high-quality trials resulting in often weak guideline recommendations and therefore insufficient implementation in clinical practice. Particularly in the field of malnutrition, the medical community has long struggled to find evidence-based approaches for effective management by means of screening, assessment and treatment of patients. With recent trials showing that individual medical nutrition therapy has strong effects on clinical outcomes, we should now aim to practice ""evidence-based medical nutrition"" (EBMN) by combining clinical judgement (e.g., thorough clinical assessment of the malnourished patient), patient preferences (e.g., integration of perspectives of patients and relatives, consideration of comorbidities to define specific energy/protein goals and appropriate route of medical nutrition therapy) and the most current scientific evidence (e.g., trial-supported use of nutritional interventions for individual patients). Such an approach may certainly be helpful to improve clinical outcomes of the vulnerable population of malnourished medical inpatients.",2020,10.1016/j.clnu.2020.01.023,39,10,3014-3018,eng,1532-1983 0261-5614,Evidence-based medicine and Humans and Prognosis and Nutritional Status and Patient Preference and Clinical Competence and Nutrition Assessment and Body Composition and Malnutrition and Clinical Decision-Making and *Evidence-Based Medicine/standards and *Nutrition Therapy/standards and *Practice Guidelines as Topic/standards and Malnutrition/diagnosis/physiopathology/*therapy and Medical nutrition and Nutrition therapy,NA,NA,2020/10//undefined,Clin Nutr,NA,NA,NA,NA
Tay_2020_Nutr,JOUR,Current Developments in Digital Quantitative Volume Estimation for the Optimisation of Dietary Assessment,"Tay, Wesley and Kaur, Bhupinder and Quek, Rina and Lim, Joseph and Henry, Christiani Jeyakumar",Nutrients,"Obesity is a global health problem with wide-reaching economic and social implications. Nutrition surveillance systems are essential to understanding and addressing poor dietary practices. However, diets are incredibly diverse across populations and an accurate diagnosis of individualized nutritional issues is challenging. Current tools used in dietary assessment are cumbersome for users, and are only able to provide approximations of dietary information. Given the need for technological innovation, this paper reviews various novel digital methods for food volume estimation and explores the potential for adopting such technology in the Southeast Asian context. We discuss the current approaches to dietary assessment, as well as the potential opportunities that digital health can offer to the field. Recent advances in optics, computer vision and deep learning show promise in advancing the field of quantitative dietary assessment. The ease of access to the internet and the availability of smartphones with integrated cameras have expanded the toolsets available, and there is potential for automated food volume estimation to be developed and integrated as part of a digital dietary assessment tool. Such a tool may enable public health institutions to be able to gather an effective nutritional insight and combat the rising rates of obesity in the region.",2020,10.3390/nu12041167,12,4,NA,eng,2072-6643,deep learning and Humans and public health and Diet and *Public Health and *Deep Learning and *Digital Technology and digital health and *Eating and *Nutrition Assessment and *Recommended Dietary Allowances and dietary assessment and food volume estimation and Obesity/*prevention & control and personalized nutrition,NA,NA,2020/04/22/,Nutrients,NA,NA,NA,NA
