label,type,title,author,journal,abstract,year,doi,volume,issue,pages,language,issn,keywords,url,institution,DA,j2,DP,l1,l2,ST
Myers_2020_ThJoofboanjosuAmvo,JOUR,Artificial Intelligence and Orthopaedics: An Introduction for Clinicians,"Myers, Thomas G. and Ramkumar, Prem N. and Ricciardi, Benjamin F. and Urish, Kenneth L. and Kipper, Jens and Ketonis, Constantinos",The Journal of bone and joint surgery. American volume,"<e2><9e><a4>. Artificial intelligence (AI) provides machines with the ability to perform tasks using algorithms governed by pattern recognition and self-correction on large amounts of data to narrow options in order to avoid errors. <e2><9e><a4>. The 4 things necessary for AI in medicine include big data sets, powerful computers, cloud computing, and open source algorithmic development. <e2><9e><a4>. The use of AI in health care continues to expand, and its impact on orthopaedic surgery can already be found in diverse areas such as image recognition, risk prediction, patient-specific payment models, and clinical decision-making. <e2><9e><a4>. Just as the business of medicine was once considered outside the domain of the orthopaedic surgeon, emerging technologies such as AI warrant ownership, leverage, and application by the orthopaedic surgeon to improve the care that we provide to the patients we serve. <e2><9e><a4>. AI could provide solutions to factors contributing to physician burnout and medical mistakes. However, challenges regarding the ethical deployment, regulation, and the clinical superiority of AI over traditional statistics and decision-making remain to be resolved.",2020,10.2106/JBJS.19.01128,102,9,830-840,eng,1535-1386 0021-9355,Humans and *Artificial Intelligence and *Orthopedics and *Orthopedic Procedures,NA,NA,2020/05/06/,J Bone Joint Surg Am,NA,NA,NA,NA
Bini_2018_ThJoofar,JOUR,"Artificial Intelligence, Machine Learning, Deep Learning, and Cognitive Computing: What Do These Terms Mean and How Will They Impact Health Care?","Bini, Stefano A.",The Journal of arthroplasty,"This article was presented at the 2017 annual meeting of the American Association of Hip and Knee Surgeons to introduce the members gathered as the audience to the concepts behind artificial intelligence (AI) and the applications that AI can have in the world of health care today. We discuss the origin of AI, progress to machine learning, and then discuss how the limits of machine learning lead data scientists to develop artificial neural networks and deep learning algorithms through biomimicry. We will place all these technologies in the context of practical clinical examples and show how AI can act as a tool to support and amplify human cognitive functions for physicians delivering care to increasingly complex patients. The aim of this article is to provide the reader with a basic understanding of the fundamentals of AI. Its purpose is to demystify this technology for practicing surgeons so they can better understand how and where to apply it.",2018,10.1016/j.arth.2018.02.067,33,8,2358-2361,eng,1532-8406 0883-5403,"deep learning and machine learning and artificial intelligence and Physicians and Humans and Algorithms and Machine Learning and Artificial Intelligence and Neural Networks, Computer and *Deep Learning and digital health and cognitive computing and digital orthopedics and Orthopedics/*trends",NA,NA,2018/08//undefined,J Arthroplasty,NA,NA,NA,NA
Haeberle_2019_ThJoofar,JOUR,Artificial Intelligence and Machine Learning in Lower Extremity Arthroplasty: A Review,"Haeberle, Heather S. and Helm, James M. and Navarro, Sergio M. and Karnuta, Jaret M. and Schaffer, Jonathan L. and Callaghan, John J. and Mont, Michael A. and Kamath, Atul F. and Krebs, Viktor E. and Ramkumar, Prem N.",The Journal of arthroplasty,"BACKGROUND: Driven by the rapid development of big data and processing power, artificial intelligence and machine learning (ML) applications are poised to expand orthopedic surgery frontiers. Lower extremity arthroplasty is uniquely positioned to most dramatically benefit from ML applications given its central role in alternative payment models and the value equation. METHODS: In this report, we discuss the origins and model specifics behind machine learning, consider its progression into healthcare, and present some of its most recent advances and applications in arthroplasty. RESULTS: A narrative review of artificial intelligence and ML developments is summarized with specific applications to lower extremity arthroplasty, with specific lessons learned from osteoarthritis gait models, joint-specific imaging analysis, and value-based payment models. CONCLUSION: The advancement and employment of ML provides an opportunity to provide data-driven, high performance medicine that can rapidly improve the science, economics, and delivery of lower extremity arthroplasty.",2019,10.1016/j.arth.2019.05.055,34,10,2201-2203,eng,1532-8406 0883-5403,"machine learning and Humans and Health Care Costs and remote monitoring and value and Treatment Outcome and big data and *Artificial Intelligence and *Machine Learning and Gait and arthroplasty and Arthroplasty, Replacement, Hip/economics/*methods and Arthroplasty, Replacement, Knee/economics/*methods and Lower Extremity/*physiology",NA,NA,2019/10//undefined,J Arthroplasty,NA,NA,NA,NA
Jacofsky_2017_Tb.jj,JOUR,The myths of 'big data' in health care,"Jacofsky, D. J.",The bone & joint journal,"'Big data' is a term for data sets that are so large or complex that traditional data processing applications are inadequate. Billions of dollars have been spent on attempts to build predictive tools from large sets of poorly controlled healthcare metadata. Companies often sell reports at a physician or facility level based on various flawed data sources, and comparative websites of 'publicly reported data' purport to educate the public. Physicians should be aware of concerns and pitfalls seen in such data definitions, data clarity, data relevance, data sources and data cleaning when evaluating analytic reports from metadata in health care. Cite this article: Bone Joint J 2017;99-B:1571-6.",2017,10.1302/0301-620X.99B12.BJJ-2017-0939,99-B,12,1571-1576,eng,2049-4408 2049-4394,Humans and Delivery of Health Care/*standards and Data Mining/*standards and Datasets as Topic/*standards and Healthcare data and Metadata/*standards,NA,NA,2017/12//undefined,Bone Joint J,NA,NA,NA,NA
Karnuta_2021_ThJoofar,JOUR,Artificial Intelligence to Identify Arthroplasty Implants From Radiographs of the Hip,"Karnuta, Jaret M. and Haeberle, Heather S. and Luu, Bryan C. and Roth, Alexander L. and Molloy, Robert M. and Nystrom, Lukas M. and Piuzzi, Nicolas S. and Schaffer, Jonathan L. and Chen, Antonia F. and Iorio, Richard and Krebs, Viktor E. and Ramkumar, Prem N.",The Journal of arthroplasty,"BACKGROUND: The surgical management of complications surrounding patients who have undergone hip arthroplasty necessitates accurate identification of the femoral implant manufacturer and model. Failure to do so risks delays in care, increased morbidity, and further economic burden. Because few arthroplasty experts can confidently classify implants using plain radiographs, automated image processing using deep learning for implant identification may offer an opportunity to improve the value of care rendered. METHODS: We trained, validated, and externally tested a deep-learning system to classify total hip arthroplasty and hip resurfacing arthroplasty femoral implants as one of 18 different manufacturer models from 1972 retrospectively collected anterior-posterior (AP) plain radiographs from 4 sites in one quaternary referral health system. From these radiographs, 1559 were used for training, 207 for validation, and 206 for external testing. Performance was evaluated by calculating the area under the receiver-operating characteristic curve, sensitivity, specificity, and accuracy, as compared with a reference standard of implant model from operative reports with implant serial numbers. RESULTS: The training and validation data sets from 1715 patients and 1766 AP radiographs included 18 different femoral components across four leading implant manufacturers and 10 fellowship-trained arthroplasty surgeons. After 1000 training epochs by the deep-learning system, the system discriminated 18 implant models with an area under the receiver-operating characteristic curve of 0.999, accuracy of 99.6%, sensitivity of 94.3%, and specificity of 99.8% in the external-testing data set of 206 AP radiographs. CONCLUSIONS: A deep-learning system using AP plain radiographs accurately differentiated among 18 hip arthroplasty models from four industry leading manufacturers.",2021,10.1016/j.arth.2020.11.015,36,7S,S290-S294.e1,eng,1532-8406 0883-5403,"machine learning and Radiography and artificial intelligence and Humans and Retrospective Studies and ROC Curve and *Artificial Intelligence and *Arthroplasty, Replacement, Hip/adverse effects and implant identification and revision arthroplasty and total hip arthroplasty",NA,NA,2021/07//undefined,J Arthroplasty,NA,NA,NA,NA
Karnuta_2021_ThJoofar_1,JOUR,Artificial Intelligence to Identify Arthroplasty Implants From Radiographs of the Knee,"Karnuta, Jaret M. and Luu, Bryan C. and Roth, Alexander L. and Haeberle, Heather S. and Chen, Antonia F. and Iorio, Richard and Schaffer, Jonathan L. and Mont, Michael A. and Patterson, Brendan M. and Krebs, Viktor E. and Ramkumar, Prem N.",The Journal of arthroplasty,"BACKGROUND: Revisions and reoperations for patients who have undergone total knee arthroplasty (TKA), unicompartmental knee arthroplasty (UKA), and distal femoral replacement (DFR) necessitates accurate identification of implant manufacturer and model. Failure risks delays in care, increased morbidity, and further financial burden. Deep learning permits automated image processing to mitigate the challenges behind expeditious, cost-effective preoperative planning. Our aim was to investigate whether a deep-learning algorithm could accurately identify the manufacturer and model of arthroplasty implants about the knee from plain radiographs. METHODS: We trained, validated, and externally tested a deep-learning algorithm to classify knee arthroplasty implants from one of 9 different implant models from retrospectively collected anterior-posterior (AP) plain radiographs from four sites in one quaternary referral health system. The performance was evaluated by calculating the area under the receiver-operating characteristic curve (AUC), sensitivity, specificity, and accuracy when compared with a reference standard of implant model from operative reports. RESULTS: The training and validation data sets were comprised of 682 radiographs across 424 patients and included a wide range of TKAs from the four leading implant manufacturers. After 1000 training epochs by the deep-learning algorithm, the model discriminated nine implant models with an AUC of 0.99, accuracy 99%, sensitivity of 95%, and specificity of 99% in the external-testing data set of 74 radiographs. CONCLUSIONS: A deep learning algorithm using plain radiographs differentiated between 9 unique knee arthroplasty implants from four manufacturers with near-perfect accuracy. The iterative capability of the algorithm allows for scalable expansion of implant discriminations and represents an opportunity in delivering cost-effective care for revision arthroplasty.",2021,10.1016/j.arth.2020.10.021,36,3,935-940,eng,1532-8406 0883-5403,"machine learning and artificial intelligence and Humans and Retrospective Studies and Artificial Intelligence and implant identification and revision arthroplasty and *Arthroplasty, Replacement, Knee/adverse effects and *Knee Prosthesis and Knee Joint/diagnostic imaging/surgery and total knee arthroplasty",NA,NA,2021/03//undefined,J Arthroplasty,NA,NA,NA,NA
Kunze_2020_ThJoofar,JOUR,Development of Machine Learning Algorithms to Predict Patient Dissatisfaction After Primary Total Knee Arthroplasty,"Kunze, Kyle N. and Polce, Evan M. and Sadauskas, Alexander J. and Levine, Brett R.",The Journal of arthroplasty,"BACKGROUND: Postoperative dissatisfaction after primary total knee arthroplasty (TKA) that requires additional care or readmission may impose a significant financial burden to healthcare systems. The purpose of the current study is to develop machine learning algorithms to predict dissatisfaction after TKA. METHODS: A retrospective review of consecutive TKA patients between 2014 and 2016 from 1 large academic and 2 community hospitals was performed. Preoperative variables considered for prediction included demographics, medical history, flexion contracture, knee flexion, and outcome scores (patient-reported health state, Knee Society Score [KSS], and KSS-Function [KSS-F]). Recursive feature elimination was used to select features that optimized algorithm performance. Five supervised machine learning algorithms were developed by training with 10-fold cross-validation 3 times. These algorithms were subsequently applied to an independent testing set of patients and assessed by discrimination, calibration, Brier score, and decision curve analysis. RESULTS: Of 430 patients, a total of 40 (9.0%) were dissatisfied with their outcome after primary TKA at a minimum of 2 years postoperatively. The random forest algorithm achieved the best performance in the independent testing set not used for algorithm development (c-statistic: 0.77, calibration intercept: 0.087, calibration slope: 0.74, Brier score: 0.082). The most important factors for predicting dissatisfaction were age, number of medical comorbidities, presence of one or more drug allergies, preoperative patient-reported health state score, and preoperative KSS. CONCLUSION: The current study developed machine learning algorithms based on partially modifiable risk factors for predicting dissatisfaction after TKA. This model demonstrates good discriminative capacity for identifying those at greatest risk for dissatisfaction and may allow for preoperative health optimization.",2020,10.1016/j.arth.2020.05.061,35,11,3117-3122,eng,1532-8406 0883-5403,"machine learning and Humans and Retrospective Studies and Algorithms and Machine Learning and predictive analytics and Treatment Outcome and Patient Satisfaction and satisfaction and Knee Joint and clinical outcomes and total knee arthroplasty and *Arthroplasty, Replacement, Knee and *Osteoarthritis, Knee/surgery",NA,NA,2020/11//undefined,J Arthroplasty,NA,NA,NA,NA
Bayliss_2019_Tb.jj,JOUR,The role of artificial intelligence and machine learning in predicting orthopaedic outcomes,"Bayliss, Lee and Jones, Luke D.",The bone & joint journal,"This annotation briefly reviews the history of artificial intelligence and machine learning in health care and orthopaedics, and considers the role it will have in the future, particularly with reference to statistical analyses involving large datasets. Cite this article: Bone Joint J 2019;101-B:1476-1478.",2019,10.1302/0301-620X.101B12.BJJ-2019-0850.R1,101-B,12,1476-1478,eng,2049-4408 2049-4394,"Machine learning and Artificial intelligence and United States and Humans and Statistical analysis and Forecasting and Prognosis and United Kingdom and Data Interpretation, Statistical and History, 20th Century and *Clinical Decision Rules and Artificial Intelligence/*history/trends and Machine Learning/history/trends and Orthopaedics and Orthopedic Procedures/*history/trends",NA,NA,2019/12//undefined,Bone Joint J,NA,NA,NA,NA
Nwachukwu_2020_ThAmjoofspme,JOUR,Application of Machine Learning for Predicting Clinically Meaningful Outcome After Arthroscopic Femoroacetabular Impingement Surgery,"Nwachukwu, Benedict U. and Beck, Edward C. and Lee, Elaine K. and Cancienne, Jourdan M. and Waterman, Brian R. and Paul, Katlynn and Nho, Shane J.",The American journal of sports medicine,"BACKGROUND: Hip arthroscopy has become an important tool for surgical treatment of intra-articular hip pathology. Predictive models for clinically meaningful outcomes in patients undergoing hip arthroscopy for femoroacetabular impingement syndrome (FAIS) are unknown. PURPOSE: To apply a machine learning model to determine preoperative variables predictive for achieving the minimal clinically important difference (MCID) at 2 years after hip arthroscopy for FAIS. STUDY DESIGN: Case-control study; Level of evidence, 3. METHODS: Data were analyzed for patients who underwent hip arthroscopy for FAIS by a high-volume fellowship-trained surgeon between January 2012 and July 2016. The MCID cutoffs for the Hip Outcome Score-Activities of Daily Living (HOS-ADL), HOS-Sport Specific (HOS-SS), and modified Harris Hip Score (mHHS) were 9.8, 14.4, and 9.14, respectively. Predictive models for achieving the MCID with respect to each were built with the LASSO algorithm (least absolute shrinkage and selection operator) for feature selection, followed by logistic regression on the selected features. Study data were analyzed with PatientIQ, a cloud-based research and analytics platform for health care. RESULTS: Of 1103 patients who met inclusion criteria, 898 (81.4%) had a minimum of 2-year reported outcomes and were entered into the modeling algorithm. A total of 74.0%, 73.5%, and 79.9% met the HOS-ADL, HOS-SS, and mHHS threshold scores for achieving the MCID. Predictors of not achieving the HOS-ADL MCID included anxiety/depression, symptom duration for >2 years before surgery, higher body mass index, high preoperative HOS-ADL score, and preoperative hip injection (all P < .05). Predictors of not achieving the HOS-SS MCID included anxiety/depression, preoperative symptom duration for >2 years, high preoperative HOS-SS score, and preoperative hip injection, while running at least at the recreational level was a predictor of achieving HOS-SS MCID (all P < .05). Predictors of not achieving the mHHS MCID included history of anxiety or depression, high preoperative mHHS score, and hip injections, while being female was predictive of achieving the MCID (all P < .05). CONCLUSION: This study identified predictive variables for achieving clinically meaningful outcome after hip arthroscopy for FAIS. Patient factors including anxiety/depression, symptom duration >2 years, preoperative intra-articular injection, and high preoperative outcome scores are most consistently predictive of inability to achieve clinically meaningful outcome. These findings have important implications for shared decision-making algorithms and management of preoperative expectations after hip arthroscopy for FAI.",2020,10.1177/0363546519892905,48,2,415-423,eng,1552-3365 0363-5465,predictive modeling and Humans and Female and Male and Adult and Middle Aged and Young Adult and Case-Control Studies and Treatment Outcome and Body Mass Index and Activities of Daily Living and *Machine Learning and Arthroscopy/*methods and Femoracetabular Impingement/*surgery and femoroacetabular impingement syndrome and Hip Joint/*surgery and Hip Outcome Score and MCID and Minimal Clinically Important Difference and modified Hip Harris Score and PatientIQ,NA,NA,2020/02//undefined,Am J Sports Med,NA,NA,NA,NA
Navarro_2018_ThJoofar,JOUR,Machine Learning and Primary Total Knee Arthroplasty: Patient Forecasting for a Patient-Specific Payment Model,"Navarro, Sergio M. and Wang, Eric Y. and Haeberle, Heather S. and Mont, Michael A. and Krebs, Viktor E. and Patterson, Brendan M. and Ramkumar, Prem N.",The Journal of arthroplasty,"BACKGROUND: Value-based and patient-specific care represent 2 critical areas of focus that have yet to be fully reconciled by today's bundled care model. Using a predictive naive Bayesian model, the objectives of this study were (1) to develop a machine-learning algorithm using preoperative big data to predict length of stay (LOS) and inpatient costs after primary total knee arthroplasty (TKA) and (2) to propose a tiered patient-specific payment model that reflects patient complexity for reimbursement. METHODS: Using 141,446 patients undergoing primary TKA from an administrative database from 2009 to 2016, a Bayesian model was created and trained to forecast LOS and cost. Algorithm performance was determined using the area under the receiver operating characteristic curve and the percent accuracy. A proposed risk-based patient-specific payment model was derived based on outputs. RESULTS: The machine-learning algorithm required age, race, gender, and comorbidity scores (""risk of illness"" and ""risk of morbidity"") to demonstrate a high degree of validity with an area under the receiver operating characteristic curve of 0.7822 and 0.7382 for LOS and cost. As patient complexity increased, cost add-ons increased in tiers of 3%, 10%, and 15% for moderate, major, and extreme mortality risks, respectively. CONCLUSION: Our machine-learning algorithm derived from an administrative database demonstrated excellent validity in predicting LOS and costs before primary TKA and has broad value-based applications, including a risk-based patient-specific payment model.",2018,10.1016/j.arth.2018.08.028,33,12,3617-3623,eng,1532-8406 0883-5403,"machine learning and artificial intelligence and predictive modeling and Humans and Health Expenditures and Algorithms and Databases, Factual and Comorbidity and ROC Curve and Inpatients and Bayes Theorem and Costs and Cost Analysis and *Machine Learning and *Models, Economic and *Length of Stay and total knee arthroplasty and *Patient-Specific Modeling and Arthroplasty, Replacement, Knee/*economics and Patient Care Bundles/economics and payment model",NA,NA,2018/12//undefined,J Arthroplasty,NA,NA,NA,NA
