label,type,title,author,journal,abstract,year,doi,volume,issue,pages,language,issn,keywords,url,institution,DA,j2,DP,l1,l2,ST
Sudore_2017_Joofpaansyma,JOUR,Defining Advance Care Planning for Adults: A Consensus Definition From a Multidisciplinary Delphi Panel,"Sudore, Rebecca L. and Lum, Hillary D. and You, John J. and Hanson, Laura C. and Meier, Diane E. and Pantilat, Steven Z. and Matlock, Daniel D. and Rietjens, Judith A. C. and Korfage, Ida J. and Ritchie, Christine S. and Kutner, Jean S. and Teno, Joan M. and Thomas, Judy and McMahan, Ryan D. and Heyland, Daren K.",Journal of pain and symptom management,"CONTEXT: Despite increasing interest in advance care planning (ACP) and previous ACP descriptions, a consensus definition does not yet exist to guide clinical, research, and policy initiatives. OBJECTIVE: The aim of this study was to develop a consensus definition of ACP for adults. METHODS: We convened a Delphi panel of multidisciplinary, international ACP experts consisting of 52 clinicians, researchers, and policy leaders from four countries and a patient/surrogate advisory committee. We conducted 10 rounds using a modified Delphi method and qualitatively analyzed panelists' input. Panelists identified several themes lacking consensus and iteratively discussed and developed a final consensus definition. RESULTS: Panelists identified several tensions concerning ACP concepts such as whether the definition should focus on conversations vs. written advance directives; patients' values vs. treatment preferences; current shared decision making vs. future medical decisions; and who should be included in the process. The panel achieved a final consensus one-sentence definition and accompanying goals statement: ""Advance care planning is a process that supports adults at any age or stage of health in understanding and sharing their personal values, life goals, and preferences regarding future medical care. The goal of advance care planning is to help ensure that people receive medical care that is consistent with their values, goals and preferences during serious and chronic illness."" The panel also described strategies to best support adults in ACP. CONCLUSIONS: A multidisciplinary Delphi panel developed a consensus definition for ACP for adults that can be used to inform implementation and measurement of ACP clinical, research, and policy initiatives.",2017,10.1016/j.jpainsymman.2016.12.331,53,5,821-832.e1,eng,1873-6513 0885-3924,Humans and Female and Male and Adult and Decision Making and Delphi technique and *Terminology as Topic and Internationality and *Practice Guidelines as Topic and *Delphi Technique and Advance care planning and Advance Care Planning/*classification/*standards and Chronic Disease/*classification/*therapy and consensus and Interdisciplinary Research/standards and policy making,NA,NA,2017/05//undefined,J Pain Symptom Manage,NA,NA,NA,NA
Hanson_2019_Joofpaansyma,JOUR,Triggered Palliative Care for Late-Stage Dementia: A Pilot Randomized Trial,"Hanson, Laura C. and Kistler, Christine E. and Lavin, Kyle and Gabriel, Stacey L. and Ernecoff, Natalie C. and Lin, Feng-Chang and Sachs, Greg A. and Mitchell, Susan L.",Journal of pain and symptom management,"CONTEXT: Persons with late-stage dementia have limited access to palliative care. OBJECTIVE: The objective of this study was to test dementia-specific specialty palliative care triggered by hospitalization. METHODS: This pilot randomized controlled trial enrolled 62 dyads of persons with late-stage dementia and family decision-makers on admission to hospital. Intervention dyads received dementia-specific specialty palliative care consultation plus postacute transitional care. Control dyads received usual care and educational information. The primary outcome was 60-day hospital or emergency department visits. Secondary patient- and family-centered outcomes were patient comfort, family distress, palliative care domains addressed in the treatment plan, and access to hospice or community-based palliative care. Secondary decision-making outcomes were discussion of prognosis, goals of care, completion of Medical Orders for Scope of Treatment (MOST), and treatment decisions. RESULTS: Of 137 eligible dyads, 62 (45%) were enrolled. The intervention proved feasible, with protocol completion ranging from 77% (family two-week call) to 93% (initial consultation). Hospital and emergency department visits did not differ (intervention vs. control, 0.68 vs. 0.53 transfers per 60 days, P = 0.415). Intervention patients had more palliative care domains addressed and were more likely to receive hospice (25% vs. 3%, P < 0.019). Intervention families were more likely to discuss prognosis (90% vs. 3%, P < 0.001) and goals of care (90% vs. 25%, P < 0.001) and to have a MOST at 60-day follow-up (79% vs. 30%, P < 0.001). More intervention families made decisions to avoid rehospitalization (13% vs. 0%, P = 0.033). CONCLUSION: Specialty palliative care consultation for hospitalized patients with late-stage dementia is feasible and promising to improve decision-making and some treatment outcomes.",2019,10.1016/j.jpainsymman.2018.10.494,57,1,10-19,eng,1873-6513 0885-3924,"Humans and Quality of Health Care and Patient-Centered Care and Female and Male and Dementia and Decision Making and Pilot Projects and Feasibility Studies and Treatment Outcome and Aged, 80 and over and Follow-Up Studies and *Hospitalization and Health Communication and Family/psychology and palliative care and *Palliative Care/methods and Acute Disease/therapy and Dementia/complications/*therapy and randomized trial",NA,NA,2019/01//undefined,J Pain Symptom Manage,NA,NA,NA,NA
Zhukovsky_2021_Joofpaansyma,JOUR,An Integrated Approach to Selecting a Prepared Medical Decision-Maker,"Zhukovsky, Donna S. and Haider, Ali and Williams, Janet L. and Naqvi, Syed and Joshi, Neeraj and Mills, Sarah and Soliman, Pamela T. and Mathew, Boby and Bodurka, Diane and Meyer, Larissa A. and Westin, Shannon and Frumovitz, Michael and Nowitz, Marisa B. and Archie, LaShan and Fenton, Shauna and Lang, Kai and Boving, Valentine and Bruera, Eduardo",Journal of pain and symptom management,"BACKGROUND: We implemented a systematic multidisciplinary process to engage new outpatients with cancer in selecting and preparing a medical decision-maker. MEASURES: Templated advance care planning notes and medical power of attorney documents were used in the electronic health record by the third office visit. INTERVENTION: Patients were coached to meet with social work from a ""culture of yes,"" viewed a video about the importance of selecting a prepared medical a decision-maker in English or in Spanish, and referenced cards containing simple explanations of advance directives when responding to advance directive questions. OUTCOMES: A total of 351 patients were evaluated. By visit 3, there was no increase in documented social work advance care planning notes in intervention or scanned medical power of attorney documents in the electronic health record. CONCLUSIONS/LESSONS LEARNED: This systematic multidisciplinary approach did not engage new outpatients with cancer in preparing a medical decision-maker. More active physician involvement and varied ways of engagement are needed.",2021,10.1016/j.jpainsymman.2020.12.006,61,6,1305-1310,eng,1873-6513 0885-3924,Humans and Electronic Health Records and Decision Making and Outpatients and cancer and Advance Directives and *Advance Care Planning and Advance care planning and advance directives and medical power of attorney and prognosis and surrogate medical decision-maker,NA,NA,2021/06//undefined,J Pain Symptom Manage,NA,NA,NA,NA
Gramling_2021_Joofpaansyma,JOUR,"Epidemiology of Fear, Sadness, and Anger Expression in Palliative Care Conversations","Gramling, Robert and Straton, Jack and Ingersoll, Lukas T. and Clarfeld, Laurence A. and Hirsch, Laura and Gramling, Cailin J. and Durieux, Brigitte N. and Rizzo, Donna M. and Eppstein, Margaret J. and Alexander, Stewart C.",Journal of pain and symptom management,"CONTEXT: Advancing the science of serious illness communication requires methods for measuring characteristics of conversations in large studies. Understanding which characteristics predict clinically important outcomes can help prioritize attention to scalable measure development. OBJECTIVES: To understand whether audibly recognizable expressions of distressing emotion during palliative care serious illness conversations are associated with ratings of patient experience or six-month enrollment in hospice. METHODS: We audiorecorded initial palliative care consultations involving 231 hospitalized people with advanced cancer at two large academic medical centers. We coded conversations for expressions of fear, anger, and sadness. We examined the distribution of these expressions and their association with pre/post ratings of feeling heard and understood and six-month hospice enrollment after the consultation. RESULTS: Nearly six in 10 conversations included at least one audible expression of distressing emotion (59%; 137 of 231). Among conversations with such an expression, fear was the most prevalent (72%; 98 of 137) followed by sadness (50%; 69 of 137) and anger (45%; 62 of 137). Anger expression was associated with more disease-focused end-of-life treatment preferences, pre/post consultation improvement in feeling heard and understood and lower six-month hospice enrollment. Fear was strongly associated with preconsultation patient ratings of shorter survival expectations. Sadness did not exhibit strong association with patient descriptors or outcomes. CONCLUSION: Fear, anger, and sadness are commonly expressed in hospital-based palliative care consultations with people who have advanced cancer. Anger is an epidemiologically useful predictor of important clinical outcomes.",2021,10.1016/j.jpainsymman.2020.08.017,61,2,246-253.e1,eng,1873-6513 0885-3924,Emotions and Communication and Humans and decision making and emotion and Fear and Anger and *Palliative Care and palliative care and *Sadness and fear and sadness and serious illness conversations,NA,NA,2021/02//undefined,J Pain Symptom Manage,NA,NA,NA,NA
Taghavi_2021_Joofpaansyma,JOUR,Workforce Planning for Community-Based Palliative Care Specialist Teams Using Operations Research,"Taghavi, Majid and Johnston, Grace and Urquhart, Robin and Henderson, David and Tschupruk, Cheryl and Tupala, Beth",Journal of pain and symptom management,"CONTEXT: Many countries have aging populations. Thus, the need for palliative care will increase. However, the methods to estimate optimal staffing for specialist palliative care teams are rudimentary as yet. OBJECTIVES: To develop a population-need workforce planning model for community-based palliative care specialist teams and to apply the model to forecast the staff needed to care for all patients with terminal illness, organ failure, and frailty during the next 20 years, with and without the expansion of primary palliative care. METHODS: We used operations research (linear programming) to model the problem. We used the framework of the Canadian Society of Palliative Care Physicians and the Nova Scotia palliative care strategy to apply the model. RESULTS: To meet the palliative care needs for persons dying across Nova Scotia in 2019, the model generated an estimate of 70.8 nurses, 23.6 physicians, and 11.9 social workers, a total of 106.3 staff. Thereby, the model indicated that a 64% increase in specialist palliative care staff was needed immediately, and a further 13.1% increase would be needed during the next 20 years. Trained primary palliative care providers currently meet 3.7% of need, and with their expansion are expected to meet 20.3% by 2038. CONCLUSION: Historical, current, and projected data can be used with operations research to forecast staffing levels for specialist palliative care teams under various scenarios. The forecast can be updated as new data emerge, applied to other populations, and used to test alternative delivery models.",2021,10.1016/j.jpainsymman.2020.09.009,61,5,1012-1022.e4,eng,1873-6513 0885-3924,Humans and Specialization and data analytics and Canada and primary care and Workforce and operations research and *Palliative Care and *Operations Research and health workforce and Palliative care specialist and population-based planning,NA,NA,2021/05//undefined,J Pain Symptom Manage,NA,NA,NA,NA
Waldrop_2020_Joofpaansyma,JOUR,Managing Death in the Field: Prehospital End-of-Life Care,"Waldrop, Deborah P. and Waldrop, Michael R. and McGinley, Jacqueline M. and Crowley, Charlotte R. and Clemency, Brian",Journal of pain and symptom management,"CONTEXT: Historically, the focus of prehospital care has been life-saving treatment. In the absence of a nonhospital do-not-resuscitate (DNR) order, prehospital providers have been compelled to begin and continue resuscitation unless or until it was certain that the situation was futile; they have faced conflict when caregivers objected. OBJECTIVES: The purpose of the study was to explore prehospital providers' perspectives on how legally binding documents (nonhospital DNR order/medical orders for life-sustaining treatment) informed end-of-life decision making and care. METHODS: This exploratory study used mixed methods in a sequential nondominant two-stage convergent quantitative and qualitative design. Phase I involved the collection of survey data. Phase II involved in-person semistructured interviews. RESULTS: Surveys were completed by 239 participants, and 50 follow-up interviews were conducted. Survey data suggested that 73.7% felt confident when there was a DNR order and they did not initiate resuscitation, and 58.2% felt confident working through family disagreement when cardiopulmonary resuscitation was requested but there was a DNR; 66.1% felt confident explaining the dying process when death was imminent, and 55.7% felt comfortable telling a family that a patient was dying. Four themes emerged: changing standards of care; eliminating false hope; transitioning care from patient to family; and transferring care after death. CONCLUSION: Prehospital providers provide support and care when they tell families that someone has died. Being able to comfort and be present with acute grief on scene is an important and evolving role for prehospital providers who manage death in the field.",2020,10.1016/j.jpainsymman.2020.05.004,60,4,709-716.e2,eng,1873-6513 0885-3924,Humans and Decision Making and decision making and *Emergency Medical Services and *Terminal Care and Resuscitation Orders and *Cardiopulmonary Resuscitation and Prehospital end-of-life care and termination of resuscitation,NA,NA,2020/10//undefined,J Pain Symptom Manage,NA,NA,NA,NA
Glass_2020_Joofpaansyma,JOUR,Global Palliative Care Education in the Time of COVID-19,"Glass, Marcia and Rana, Smriti and Coghlan, Rachel and Lerner, Zachary I. and Harrison, James D. and Stoltenberg, Mark and Namukwaya, Elizabeth and Humphreys, Jessi",Journal of pain and symptom management,"The coronavirus disease 2019 (COVID-19) pandemic has highlighted the need for health care providers skilled in rapid and flexible decision making, effective and anticipatory leadership, and in dealing with trauma and moral distress. Palliative care (PC) workers have been an essential part of the COVID-19 response in advising on goals of care, symptom management and difficult decision making, and in supporting distressed health care workers, patients, and families. We describe Global Palliative Education Collaborative (GPEC), a training partnership between Harvard, University of California San Francisco, and Tulane medical schools in the U.S.; and two international PC programs in Uganda and India. GPEC offers U.S.-based PC fellows participation in an international elective to learn about resource-limited PC provision, gain perspective on global challenges to caring for patients at the end of life, and cultivate resiliency. International PC colleagues have much to teach about practicing compassionate PC amidst resource constraints and humanitarian crisis. We also describe a novel educational project that our GPEC faculty and fellows are participating in-the Resilience Inspiration Storytelling Empathy Project-and discuss positive outcomes of the project.",2020,10.1016/j.jpainsymman.2020.07.018,60,4,e14-e19,eng,1873-6513 0885-3924,"SARS-CoV-2 and COVID-19 and Humans and Global health and Pandemics and coronavirus and pandemic and Coronavirus Infections/*epidemiology and Pneumonia, Viral/*epidemiology and *Betacoronavirus and *Curriculum and medical education and palliative care and *International Cooperation and humanitarian crisis and international health and Palliative Medicine/*education",NA,NA,2020/10//undefined,J Pain Symptom Manage,NA,NA,NA,NA
Bruinsma_2012_Joofpaansyma,JOUR,The experiences of relatives with the practice of palliative sedation: a systematic review,"Bruinsma, Sophie M. and Rietjens, Judith A. C. and Seymour, Jane E. and Anquinet, Livia and van der Heide, Agnes",Journal of pain and symptom management,"CONTEXT: Guidelines about palliative sedation typically include recommendations to protect the well-being of relatives. OBJECTIVES: The aim of this study was to systematically review evidence on the experiences of relatives with the practice of palliative sedation. METHODS: PubMed, Embase, Web of Science, PsycINFO, and CINAHL were searched for empirical studies on relatives' experiences with palliative sedation. We investigated relatives' involvement in the decision-making and sedation processes, whether they received adequate information and support, and relatives' emotions. RESULTS: Of the 564 studies identified, 39 were included. The studies (30 quantitative, six qualitative, and three mixed methods) were conducted in 16 countries; three studies were based on relatives' reports, 26 on physicians' and nurses' proxy reports, seven on medical records, and three combined different sources. The 39 studies yielded a combined total of 8791 respondents or studied cases. Caregivers involved relatives in the decision making in 69%-100% of all cases (19 quantitative studies), and in 60%-100% of all cases, relatives were reported to have received adequate information (five quantitative studies). Only two quantitative studies reported on relatives' involvement in the provision of sedation. Despite the fact that the majority of relatives were reported to be comfortable with the use of palliative sedation (seven quantitative studies, four qualitative studies), several studies found that relatives were distressed by the use of sedation (five quantitative studies, five qualitative studies). No studies reported specifically about the support provided to the relatives. CONCLUSION: Relatives' experiences with palliative sedation are mainly studied from the perspective of proxies, mostly professional caregivers. The majority of relatives seems to be comfortable with the use of palliative sedation; however, they may experience substantial distress by the use of sedation.",2012,10.1016/j.jpainsymman.2011.09.006,44,3,431-445,eng,1873-6513 0885-3924,"Humans and Patient Satisfaction and Data Interpretation, Statistical and Guidelines as Topic and Emotions/physiology and Research Design/standards and *Conscious Sedation/psychology and *Family/psychology and Palliative Care/*methods",NA,NA,2012/09//undefined,J Pain Symptom Manage,NA,NA,NA,NA
Bickel_2020_Joofpaansyma,JOUR,An Integrative Framework of Appraisal and Adaptation in Serious Medical Illness,"Bickel, Kathleen E. and Levy, Cari and MacPhee, Edward R. and Brenner, Keri and Temel, Jennifer S. and Arch, Joanna J. and Greer, Joseph A.",Journal of pain and symptom management,"Multiple randomized clinical trials have demonstrated that palliative care improves the quality of life of individuals with serious medical illness. Research also suggests that in patients with advanced cancer, palliative care's focus on symptom management, coping with illness, goals of care, and treatment decisions may be associated with improved patient quality of life in part by increasing patients' use of active (vs. passive) and approach-oriented (vs. avoidant) coping strategies. However, without a framework outlining the process that individuals with serious medical illness and their loved ones undergo, it is challenging to discern exactly where, how, and why palliative care may affect the serious medical illness experience. To address this gap, we propose a clinically applicable framework, derived from existing theory and research in the social and behavioral sciences. This framework, called the Integrative Framework of Appraisal and Adaptation in Serious Medical Illness, describes how patients and their loved ones cognitively and emotionally process the various events that may occur as they navigate serious medical illness and the end of life. The framework also describes how individuals and their loved ones use that event processing to determine next steps, while considering the impact of their surrounding external environment, their individual social roles, and their connections on this decision making. The framework presented in this article is intended to improve our ability to understand and care for individuals with serious medical illness and their loved ones, while stimulating further discussion and research to test and refine these ideas.",2020,10.1016/j.jpainsymman.2020.05.018,60,3,657-677.e6,eng,1873-6513 0885-3924,"Humans and Palliative care and rehabilitation and Adaptation, Psychological and Palliative Care and *Quality of Life and cognitive science and *Neoplasms/therapy and hospice and psychological adaptation and psychological theory",NA,NA,2020/09//undefined,J Pain Symptom Manage,NA,NA,NA,NA
Cleeland_2010_Joofpaansyma,JOUR,Assessing the Symptoms of Cancer Using Patient-Reported Outcomes (ASCPRO): searching for standards,"Cleeland, Charles S. and Sloan, Jeff A.",Journal of pain and symptom management,"The U.S. Food and Drug Administration (FDA) 2006 draft guidance on ""Patient-Reported Outcome Measures: Use in Medical Product Development to Support Labeling Claims"" has engendered wide discussion about patient-reported outcome (PRO) domains that should be endpoints in clinical trials. Reducing the severity and impact of symptoms is a natural intervention endpoint for cancer, a condition associated with considerable symptom burden. Because symptoms are best described by patients who have them, including PROs as measures of treatment effectiveness or the differences among treatments provides essential information about the efficacy and toxicity of a treatment and its effects on function. The FDA guidance provides a framework for addressing such issues as clinical significance, study design, and statistical methods as they relate to applications for labeling claims; however, no set of recommended approaches for assessing specific symptoms by patient report in clinical trials exists, other than for pain. Accordingly, an interdisciplinary workgroup, Assessing the Symptoms of Cancer using Patient-Reported Outcomes (ASCPRO), has been formed to generate evidence-based recommendations for the assessment of patient-reported cancer-related symptoms and the use of that information to facilitate clinical research and decision making. ASCPRO is among the first working groups to focus primarily on nonpain symptoms, including fatigue, sleep disturbance, appetite loss, depression, cognitive impairment, and shortness of breath. ASCPRO members are stakeholders in optimal symptom assessment, including patient advocates, academics, clinicians, those who pay for symptom control and monitor quality of care, and those who produce products that palliate cancer-related symptoms but that may also engender treatment-related symptoms.",2010,10.1016/j.jpainsymman.2009.05.025,39,6,1077-1085,eng,1873-6513 0885-3924,United States and Humans and Treatment Outcome and Terminology as Topic and Quality of Life and Cost of Illness and Guidelines as Topic and United States Food and Drug Administration and Endpoint Determination and *Patients and Clinical Trials as Topic/*standards and Neoplasms/*diagnosis/psychology,NA,NA,2010/06//undefined,J Pain Symptom Manage,NA,NA,NA,NA
