label,type,title,author,journal,abstract,year,doi,volume,issue,pages,language,issn,keywords,url,institution,DA,j2,DP,l1,l2,ST
Sutherland_2019_Frinpe,JOUR,Big Data and Pediatric Acute Kidney Injury: The Promise of Electronic Health Record Systems,"Sutherland, Scott M.",Frontiers in pediatrics,"Over the last decade, our understanding of acute kidney injury (AKI) has evolved considerably. The development of a consensus definition standardized the approach to identifying and investigating AKI in children. As a result, pediatric AKI epidemiology has been refined and the consequences of renal injury are better established. Similarly, ""big data"" methodologies experienced a dramatic evolution and maturation, leading the critical care community to explore potential AKI/big data synergies. One such concept with tremendous potential is electronic health record (EHR) enabled informatics. Much of the promise surrounding these approaches is due to the unique position of the EHR which sits at the intersection of data accumulation and care delivery. EHR data is generated simply via the provision of routine clinical care and should be considered ""big"" from the standpoint of volume, variety, and velocity as a myriad of diverse elements accumulate rapidly in real time, spontaneously generating an immense dataset. This massive dataset interfaces directly with providers which creates tremendous opportunity. AKI can be diagnosed more accurately, AKI-related care can be optimized, and subsequent outcomes can be improved. Although applying big data concepts to the EHR has proven more challenging than originally thought, we have seen much success and continue to explore its potential. In this review article, we will discuss the EHR in the context of big data concepts, describe approaches applied to date, examine the challenges surrounding optimal application, and explore future directions.",2019,10.3389/fped.2019.00536,7,NA,536,eng,2296-2360,pediatrics and outcomes and electronic health record (EHR) and acute kidney injury (AKI) and big data and analytics,NA,NA,2019///,Front Pediatr,NA,NA,NA,NA
Le_2019_Frinpe,JOUR,Pediatric Severe Sepsis Prediction Using Machine Learning,"Le, Sidney and Hoffman, Jana and Barton, Christopher and Fitzgerald, Julie C. and Allen, Angier and Pellegrini, Emily and Calvert, Jacob and Das, Ritankar",Frontiers in pediatrics,"Background: Early detection of pediatric severe sepsis is necessary in order to optimize effective treatment, and new methods are needed to facilitate this early detection. Objective: Can a machine-learning based prediction algorithm using electronic healthcare record (EHR) data predict severe sepsis onset in pediatric populations? Methods: EHR data were collected from a retrospective set of de-identified pediatric inpatient and emergency encounters for patients between 2-17 years of age, drawn from the University of California San Francisco (UCSF) Medical Center, with encounter dates between June 2011 and March 2016. Results: Pediatric patients (n = 9,486) were identified and 101 (1.06%) were labeled with severe sepsis following the pediatric severe sepsis definition of Goldstein et al. (1). In 4-fold cross-validation evaluations, the machine learning algorithm achieved an AUROC of 0.916 for discrimination between severe sepsis and control pediatric patients at the time of onset and AUROC of 0.718 at 4 h before onset. The prediction algorithm significantly outperformed the Pediatric Logistic Organ Dysfunction score (PELOD-2) (p < 0.05) and pediatric Systemic Inflammatory Response Syndrome (SIRS) (p < 0.05) in the prediction of severe sepsis 4 h before onset using cross-validation and pairwise t-tests. Conclusion: This machine learning algorithm has the potential to deliver high-performance severe sepsis detection and prediction through automated monitoring of EHR data for pediatric inpatients, which may enable earlier sepsis recognition and treatment initiation.",2019,10.3389/fped.2019.00413,7,NA,413,eng,2296-2360,machine learning and prediction and electronic health records and early detection and pediatric severe sepsis,NA,NA,2019///,Front Pediatr,NA,NA,NA,NA
Rider_2019_Frinpe,JOUR,"Calculation of a Primary Immunodeficiency ""Risk Vital Sign"" via Population-Wide Analysis of Claims Data to Aid in Clinical Decision Support","Rider, Nicholas L. and Miao, Di and Dodds, Margaret and Modell, Vicki and Modell, Fred and Quinn, Jessica and Schwarzwald, Heidi and Orange, Jordan S.",Frontiers in pediatrics,"Background: Early diagnosis of primary immunodeficiency disease leads to reductions in illness and decreased healthcare costs. Analysis of electronic health record data may allow for identification of persons at risk of host-defense impairments from within the general population. Our hypothesis was that coded infection history would inform individual risk of disease and ultimately lead to diagnosis. Methods: In this study we assessed individual risk for primary immunodeficiency by analyzing diagnostic codes and pharmacy records from members (n = 185,892) of a large pediatric health network. Relevant infection-associated diagnostic codes were weighted and enumerated for individual members allowing for risk score calculations (""Risk Vital Sign""). At-risk individuals underwent further assessment by chart review and re-analysis of diagnostic codes 12 months later. Results: Of the original cohort, 2188 (1.2%) individuals were identified as medium-high-risk for having a primary immunodeficiency. This group included 41 subjects who were ultimately diagnosed with primary immunodeficiency. An additional 57 medium-high risk patients had coded diagnoses worthy of referral. Conclusions: Population-wide informatics approaches can facilitate disease detection and improve outcomes. Early identification of the 98 patients with confirmed or suspected primary immunodeficiency described here could represent an annual cost savings of up to $7.7 million US Dollars.",2019,10.3389/fped.2019.00070,7,NA,70,eng,2296-2360,public health and biomedical informatics and big data and analytics and biomedical informatics and mathematics and primary immumunodeficiencies,NA,NA,2019///,Front Pediatr,NA,NA,NA,NA
Radovic_2020_Pedi,JOUR,Technology Use for Adolescent Health and Wellness,"Radovic, Ana and Badawy, Sherif M.",Pediatrics,"As avid users of technology, adolescents are a key demographic to engage when designing and developing technology applications for health. There are multiple opportunities for improving adolescent health, from promoting preventive behaviors to providing guidance for adolescents with chronic illness in supporting treatment adherence and transition to adult health care systems. This article will provide a brief overview of current technologies and then highlight new technologies being used specifically for adolescent health, such as artificial intelligence, virtual and augmented reality, and machine learning. Because there is paucity of evidence in this field, we will make recommendations for future research.",2020,10.1542/peds.2019-2056G,145,Suppl 2,S186-S194,eng,1098-4275 0031-4005,United States and Humans and Adolescent and Forecasting and Research/trends and Virtual Reality and Augmented Reality and Machine Learning/trends and *Adolescent Health/trends and *Industrial Development/trends and Adolescent Health Services/trends and Artificial Intelligence/trends and Delivery of Health Care/trends and Health Promotion/trends,NA,NA,2020/05//undefined,Pediatrics,NA,NA,NA,NA
Lu_2020_Frinpe,JOUR,Unsupervised Machine Learning Algorithms Examine Healthcare Providers' Perceptions and Longitudinal Performance in a Digital Neonatal Resuscitation Simulator,"Lu, Chang and Ghoman, Simran K. and Cutumisu, Maria and Schmolzer, Georg M.",Frontiers in pediatrics,"Background: Frequent simulation-based education is recommended to improve health outcomes during neonatal resuscitation but is often inaccessible due to time, resource, and personnel requirements. Digital simulation presents a potential alternative; however, its effectiveness and reception by healthcare professionals (HCPs) remains largely unexplored. Objectives: This study explores HCPs' attitudes toward a digital simulator, technology, and mindset to elucidate their effects on neonatal resuscitation performance in simulation-based assessments. Methods: The study was conducted from April to August 2019 with 2-month (June-October 2019) and 5-month (September 2019-January 2020) follow-up at a tertiary perinatal center in Edmonton, Canada. Of 300 available neonatal HCPs, 50 participated. Participants completed a demographic survey, a pretest, two practice scenarios using the RETAIN neonatal resuscitation digital simulation, a posttest, and an attitudinal survey (100% response rate). Participants repeated the posttest scenario in 2 months (86% response rate) and completed another posttest scenario using a low-fidelity, tabletop simulator (80% response rate) 5 months after the initial study intervention. Participants' survey responses were collected to measure attitudes toward digital simulation and technology. Knowledge was assessed at baseline (pretest), acquisition (posttest), retention (2-month posttest), and transfer (5-month posttest). Results: Fifty neonatal HCPs participated in this study (44 females and 6 males; 27 nurses, 3 nurse practitioners, 14 respiratory therapists, and 6 doctors). Most participants reported technology in medical education as useful and beneficial. Three attitudinal clusters were identified by a hierarchical clustering algorithm based on survey responses. Although participants exhibited diverse attitudinal paths, they all improved neonatal resuscitation performance after using the digital simulator and successfully transferred their knowledge to a new medium. Conclusions: Digital simulation improved HCPs' neonatal resuscitation performance. Medical education may benefit by incorporating technology during simulation training.",2020,10.3389/fped.2020.00544,8,NA,544,eng,2296-2360,education and simulation and serious games and training and medical education and resuscitation and digital simulator and table-top simulator,NA,NA,2020///,Front Pediatr,NA,NA,NA,NA
Hoodbhoy_2021_Pedi,JOUR,Machine Learning for Child and Adolescent Health: A Systematic Review,"Hoodbhoy, Zahra and Masroor Jeelani, Sarah and Aziz, Abeer and Habib, Muhammad Ibrahim and Iqbal, Bilal and Akmal, Waqaas and Siddiqui, Khan and Hasan, Babar and Leeflang, Mariska and Das, Jai K.",Pediatrics,"CONTEXT: In the last few decades, data acquisition and processing has seen tremendous amount of growth, thus sparking interest in machine learning (ML) within the health care system. OBJECTIVE: Our aim for this review is to provide an evidence map of the current available evidence on ML in pediatrics and adolescent medicine and provide insight for future research. DATA SOURCES: A literature search was conducted by using Medline, the Cochrane Library, the Cumulative Index to Nursing and Allied Health Literature Plus, Web of Science Library, and EBSCO Dentistry & Oral Science Source. STUDY SELECTION: Articles in which an ML model was assessed for the diagnosis, prediction, or management of any condition in children and adolescents (0-18 years) were included. DATA EXTRACTION: Data were extracted for year of publication, geographical location, age range, number of participants, disease or condition under investigation, study methodology, reference standard, type, category, and performance of ML algorithms. RESULTS: The review included 363 studies, with subspecialties such as psychiatry, neonatology, and neurology having the most literature. A majority of the studies were from high-income (82%; n = 296) and upper middle-income countries (15%; n = 56), whereas only 3% (n = 11) were from low middle-income countries. Neural networks and ensemble methods were most commonly tested in the 1990s, whereas deep learning and clustering emerged rapidly in the current decade. LIMITATIONS: Only studies conducted in the English language could be used in this review. CONCLUSIONS: The interest in ML has been growing across various subspecialties and countries, suggesting a potential role in health service delivery for children and adolescents in the years to come.",2021,10.1542/peds.2020-011833,147,1,e2020011833,eng,1098-4275 0031-4005,"Humans and Adolescent and Child and Child, Preschool and Infant and Infant, Newborn and *Machine Learning and *Child Health and *Adolescent Health",NA,NA,2021/01//undefined,Pediatrics,NA,NA,NA,NA
Elrod_2020_Frinpe,JOUR,Using Artificial Intelligence to Obtain More Evidence? Prediction of Length of Hospitalization in Pediatric Burn Patients,"Elrod, Julia and Mohr, Christoph and Wolff, Ruben and Boettcher, Michael and Reinshagen, Konrad and Bartels, Pia and Koenigs, Ingo",Frontiers in pediatrics,"Background: It is not only important for counseling purposes and for healthcare management. This study investigates the prediction accuracy of an artificial intelligence (AI)-based approach and a linear model. The heuristic expecting 1 day of stay per percentage of total body surface area (TBSA) serves as the performance benchmark. Methods: The study is based on pediatric burn patient's data sets from an international burn registry (N = 8,542). Mean absolute error and standard error are calculated for each prediction model (rule of thumb, linear regression, and random forest). Factors contributing to a prolonged stay and the relationship between TBSA and the residual error are analyzed. Results: The random forest-based approach and the linear model are statistically superior to the rule of thumb (p < 0.001, resp. p = 0.009). The residual error rises as TBSA increases for all methods. Factors associated with a prolonged LOS are particularly TBSA, depth of burn, and inhalation trauma. Conclusion: Applying AI-based algorithms to data from large international registries constitutes a promising tool for the purpose of prediction in medicine in the future; however, certain prerequisites concerning the underlying data sets and certain shortcomings must be considered.",2020,10.3389/fped.2020.613736,8,NA,613736,eng,2296-2360,artificial intelligence and prediction and accuracy and burns and length of hospitalization and paediatric,NA,NA,2020///,Front Pediatr,NA,NA,NA,NA
Weiss_2018_JAMApedi,JOUR,Characteristics Associated With Preferences for Parent-Centered Decision Making in Neonatal Intensive Care,"Weiss, Elliott Mark and Xie, Dawei and Cook, Noah and Coughlin, Katherine and Joffe, Steven",JAMA pediatrics,"IMPORTANCE: Little is known about how characteristics of particular clinical decisions influence decision-making preferences by patients or their surrogates. A better understanding of the factors underlying preferences is essential to improve the quality of shared decision making. OBJECTIVE: To identify the characteristics of particular decisions that are associated with parents' preferences for family- vs medical team-centered decision making across the spectrum of clinical decisions that arise in the neonatal intensive care unit (NICU). DESIGN, SETTING, AND PARTICIPANTS: This cross-sectional survey assessed parents' preferences for parent- vs medical team-centered decision making across 16 clinical decisions, along with parents' assessments of 7 characteristics of those decisions. Respondents included 136 parents of infants in 1 of 3 academically affiliated hospital NICUs in Philadelphia, Pennsylvania, from January 7 to July 8, 2016. Respondents represented a wide range of educational levels, employment status, and household income but were predominantly female (109 [80.1%]), white (68 [50.0%]) or African American (53 [39.0%]), and married (81 of 132 responding [61.4%]). MAIN OUTCOMES AND MEASURES: Preferences for parent-centered decision making. For each decision characteristic (eg, urgency), multivariable analyses tested whether middle and high levels of that characteristic (compared with low levels) were associated with a preference for parent-centered decision making, resulting in 2 odds ratios (ORs) per decision characteristic. RESULTS: Among the 136 respondents (109 women [80.1%] and 27 men [19.9%]; median age, 30 years [range, 18-43 years]), preferences for parent-centered decision making were positively associated with decisions that involved big-picture goals (middle OR, 2.01 [99% CI, 0.83-4.86]; high OR, 3.38 [99% CI, 1.48-7.75]) and that had the potential to harm the infant (middle OR, 1.32 [99% CI, 0.84-2.08]; high OR, 2.62 [99% CI, 1.67-4.11]). In contrast, preferences for parent-centered decision making were inversely associated with the following 4 decision characteristics: technical decisions (middle OR, 0.82 [99% CI, 0.45-1.52]; high OR, 0.48 [99% CI, 0.25-0.93]), the potential to benefit the infant (middle OR, 0.42 [99% CI, 0.16-1.05]; high OR, 0.21 [99% CI, 0.08-0.52]), requires medical expertise (middle OR, 0.48 [99% CI, 0.22-1.05]; high OR, 0.21 [99% CI, 0.10-0.48]), and a high level of urgency (middle OR, 0.47 [99% CI, 0.24-0.92]; high OR, 0.42 [99% CI, 0.22-0.83]). CONCLUSIONS AND RELEVANCE: Preferences for parent-centered vs medical team-centered decision making among parents of infants in the NICU may vary systematically by the characteristics of particular clinical decisions. Incorporating this variation into shared decision making and endorsing models that allow parents to cede control to physicians in appropriate clinical circumstances might improve the quality and outcomes of medical decisions.",2018,10.1001/jamapediatrics.2017.5776,172,5,461-468,eng,2168-6211 2168-6203,"Humans and Female and Male and Adolescent and Adult and Young Adult and Cross-Sectional Studies and Socioeconomic Factors and Pennsylvania and Infant, Newborn and Intensive Care Units, Neonatal and *Attitude to Health and *Clinical Decision-Making and *Professional-Family Relations and Parents/*psychology and Patient-Centered Care/methods and Intensive Care, Neonatal/*methods",NA,NA,2018/05/01/,JAMA Pediatr,NA,NA,NA,NA
Patel_2020_Joofpegaannu,JOUR,Artificial Intelligence Applied to Gastrointestinal Diagnostics: A Review,"Patel, Vatsal and Khan, Marium N. and Shrivastava, Aman and Sadiq, Kamran and Ali, S. Asad and Moore, Sean R. and Brown, Donald E. and Syed, Sana",Journal of pediatric gastroenterology and nutrition,"Artificial intelligence (AI), a discipline encompassed by data science, has seen recent rapid growth in its application to healthcare and beyond, and is now an integral part of daily life. Uses of AI in gastroenterology include the automated detection of disease and differentiation of pathology subtypes and disease severity. Although a majority of AI research in gastroenterology focuses on adult applications, there are a number of pediatric pathologies that could benefit from more research. As new and improved diagnostic tools become available and more information is retrieved from them, AI could provide physicians a method to distill enormous amounts of data into enhanced decision-making and cost saving for children with digestive disorders. This review provides a broad overview of AI and examples of its possible applications in pediatric gastroenterology.",2020,10.1097/MPG.0000000000002507,70,1,11-4,eng,1536-4801 0277-2116,"Humans and Child and *Artificial Intelligence and *Diagnostic Techniques, Digestive System and Gastroenterology/*methods and Pediatrics/*methods",NA,NA,2020/01//undefined,J Pediatr Gastroenterol Nutr,NA,NA,NA,NA
Albersheim_2020_Frinpe,JOUR,The Extremely Preterm Infant: Ethical Considerations in Life-and-Death Decision-Making,"Albersheim, Susan",Frontiers in pediatrics,"Care of the preterm infant has improved tremendously over the last 60 years, with attendant improvement in outcomes. For the extremely preterm infant, <28 weeks' gestation, concerns related to survival as well as neurodevelopmental impairment, have influenced decision-making to a much larger extent than seen in older children. Possible reasons for conferring a different status on extremely preterm infants include: (1) the belief that the brain is a privileged organ, (2) the degree of medical uncertainty in terms of outcomes, (3) the fact that the family will deal with the psychological, emotional, physical, and financial consequences of treatment decisions, (4) that the extremely preterm looks more like a fetus than a term newborn, (5) the initial lack of relational identity, (6) the fact that extremely preterm infants are technology-dependent, and (7) the timing of decision-making around delivery. Treating extremely preterm infants differently does not hold up to scrutiny. They are owed the same respect as other pediatric patients, in terms of personhood, and we have the same duties to care for them. However, the degree of medical uncertainty and the fact that parents will deal with the consequences of decision-making, highlights the importance of providing a wide band of discretion in parental decision-making authority. Ethical principles considered in decision-making include best interest (historically the sine qua non of pediatric decision-making), a reasonable person standard, the ""good enough"" parent, and the harm principle, the latter two being more pragmatic. To operationalize these principles, potential models for decision-making are the Zone of Parental Discretion, the Not Unreasonable Standard, and a Shared Decision-Making model. In the final analysis shared decision-making with a wide zone of parental discretion, which is based on the harm principle, would provide fair and equitable decision-making for the extremely preterm infant. However, in the rare circumstance where parents do not wish to embark upon intensive care, against medical recommendations, it would be most helpful to develop local guidelines both for support of health care practitioners and to provide consistency of care for extremely preterm infants.",2020,10.3389/fped.2020.00055,8,NA,55,eng,2296-2360,decision-making and shared decision-making and extremely preterm infant and harm principle and justice as fairness and neurodevelopmental impairment and parental discretion and personhood,NA,NA,2020///,Front Pediatr,NA,NA,NA,NA
