label,type,title,author,journal,abstract,year,doi,volume,issue,pages,language,issn,keywords,url,institution,DA,j2,DP,l1,l2,ST
Angehrn_2020_Frinph,JOUR,Artificial Intelligence and Machine Learning Applied at the Point of Care,"Angehrn, Zuzanna and Haldna, Liina and Zandvliet, Anthe S. and Gil Berglund, Eva and Zeeuw, Joost and Amzal, Billy and Cheung, S. Y. Amy and Polasek, Thomas M. and Pfister, Marc and Kerbusch, Thomas and Heckman, Niedre M.",Frontiers in pharmacology,"INTRODUCTION: The increasing availability of healthcare data and rapid development of big data analytic methods has opened new avenues for use of Artificial Intelligence (AI)- and Machine Learning (ML)-based technology in medical practice. However, applications at the point of care are still scarce. OBJECTIVE: Review and discuss case studies to understand current capabilities for applying AI/ML in the healthcare setting, and regulatory requirements in the US, Europe and China. METHODS: A targeted narrative literature review of AI/ML based digital tools was performed. Scientific publications (identified in PubMed) and grey literature (identified on the websites of regulatory agencies) were reviewed and analyzed. RESULTS: From the regulatory perspective, AI/ML-based solutions can be considered medical devices (i.e., Software as Medical Device, SaMD). A case series of SaMD is presented. First, tools for monitoring and remote management of chronic diseases are presented. Second, imaging applications for diagnostic support are discussed. Finally, clinical decision support tools to facilitate the choice of treatment and precision dosing are reviewed. While tested and validated algorithms for precision dosing exist, their implementation at the point of care is limited, and their regulatory and commercialization pathway is not clear. Regulatory requirements depend on the level of risk associated with the use of the device in medical practice, and can be classified into administrative (manufacturing and quality control), software-related (design, specification, hazard analysis, architecture, traceability, software risk analysis, cybersecurity, etc.), clinical evidence (including patient perspectives in some cases), non-clinical evidence (dosing validation and biocompatibility/toxicology) and other, such as e.g. benefit-to-risk determination, risk assessment and mitigation. There generally is an alignment between the US and Europe. China additionally requires that the clinical evidence is applicable to the Chinese population and recommends that a third-party central laboratory evaluates the clinical trial results. CONCLUSIONS: The number of promising AI/ML-based technologies is increasing, but few have been implemented widely at the point of care. The need for external validation, implementation logistics, and data exchange and privacy remain the main obstacles.",2020,10.3389/fphar.2020.00759,11,NA,759,eng,1663-9812,Artificial Intelligence and Machine Learning in medical practice and chronic disease management and clinical decision support tools and model-informed precision dosing and precision dosing and real-world evidence and software as a medical device,NA,NA,2020///,Front Pharmacol,NA,NA,NA,NA
Natsiavas_2019_Frinph,JOUR,Computational Advances in Drug Safety: Systematic and Mapping Review of Knowledge Engineering Based Approaches,"Natsiavas, Pantelis and Malousi, Andigoni and Bousquet, Cedric and Jaulent, Marie-Christine and Koutkias, Vassilis",Frontiers in pharmacology,"Drug Safety (DS) is a domain with significant public health and social impact. Knowledge Engineering (KE) is the Computer Science discipline elaborating on methods and tools for developing ""knowledge-intensive"" systems, depending on a conceptual ""knowledge"" schema and some kind of ""reasoning"" process. The present systematic and mapping review aims to investigate KE-based approaches employed for DS and highlight the introduced added value as well as trends and possible gaps in the domain. Journal articles published between 2006 and 2017 were retrieved from PubMed/MEDLINE and Web of Science(R) (873 in total) and filtered based on a comprehensive set of inclusion/exclusion criteria. The 80 finally selected articles were reviewed on full-text, while the mapping process relied on a set of concrete criteria (concerning specific KE and DS core activities, special DS topics, employed data sources, reference ontologies/terminologies, and computational methods, etc.). The analysis results are publicly available as online interactive analytics graphs. The review clearly depicted increased use of KE approaches for DS. The collected data illustrate the use of KE for various DS aspects, such as Adverse Drug Event (ADE) information collection, detection, and assessment. Moreover, the quantified analysis of using KE for the respective DS core activities highlighted room for intensifying research on KE for ADE monitoring, prevention and reporting. Finally, the assessed use of the various data sources for DS special topics demonstrated extensive use of dominant data sources for DS surveillance, i.e., Spontaneous Reporting Systems, but also increasing interest in the use of emerging data sources, e.g., observational healthcare databases, biochemical/genetic databases, and social media. Various exemplar applications were identified with promising results, e.g., improvement in Adverse Drug Reaction (ADR) prediction, detection of drug interactions, and novel ADE profiles related with specific mechanisms of action, etc. Nevertheless, since the reviewed studies mostly concerned proof-of-concept implementations, more intense research is required to increase the maturity level that is necessary for KE approaches to reach routine DS practice. In conclusion, we argue that efficiently addressing DS data analytics and management challenges requires the introduction of high-throughput KE-based methods for effective knowledge discovery and management, resulting ultimately, in the establishment of a continuous learning DS system.",2019,10.3389/fphar.2019.00415,10,NA,415,eng,1663-9812,ontologies and pharmacovigilance and knowledge representation and drug safety and knowledge discovery and knowledge engineering and semantic technologies and terminologies,NA,NA,2019///,Front Pharmacol,NA,NA,NA,NA
Abrusan_2019_Joofmech,JOUR,Ligands and Receptors with Broad Binding Capabilities Have Common Structural Characteristics: An Antibiotic Design Perspective,"Abrusan, Gyorgy and Marsh, Joseph A.",Journal of medicinal chemistry,"The spread of antibiotic resistance is one of the most serious global public-health problems. Here we show that a particular class of homomers with binding sites spanning multiple protein chains is particularly suitable for targeting by broad-spectrum antibacterial agents because due to the slow evolutionary change of such binding pockets, ligands of such homomers are much more likely to bind their homologs than ligands of monomers, or homomers with a single-chain binding site. Additionally, using de novo ligand design and deep learning, we show that the chemical compounds that can bind several different receptors have common structural characteristics and that halogens and fragments similar to the building blocks existing antimicrobials are overrepresented in them. Finally, we show that binding multiple receptors selects for flexible compounds, which are less likely to accumulate in Gram-negative bacteria; thus there is trade-off between reducing the emergence of resistance by multitargeting and broad-spectrum antibacterial activity.",2019,10.1021/acs.jmedchem.9b00220,62,21,9357-9374,eng,1520-4804 0022-2623,Protein Binding and *Drug Design and Anti-Bacterial Agents/*metabolism/*pharmacology and Gram-Negative Bacteria/drug effects/metabolism and Ligands and Protein Multimerization/drug effects,NA,NA,2019/11/14/,J Med Chem,NA,NA,NA,NA
Fjell_2009_Joofmech,JOUR,Identification of novel antibacterial peptides by chemoinformatics and machine learning,"Fjell, Christopher D. and Jenssen, Havard and Hilpert, Kai and Cheung, Warren A. and Pante, Nelly and Hancock, Robert E. W. and Cherkasov, Artem",Journal of medicinal chemistry,"The rise of antibiotic resistant pathogens is one of the most pressing global health issues. Discovery of new classes of antibiotics has not kept pace; new agents often suffer from cross-resistance to existing agents of similar structure. Short, cationic peptides with antimicrobial activity are essential to the host defenses of many organisms and represent a promising new class of antimicrobials. This paper reports the successful in silico screening for potent antibiotic peptides using a combination of QSAR and machine learning techniques. On the basis of initial high-throughput measurements of activity of over 1400 random peptides, artificial neural network models were built using QSAR descriptors and subsequently used to screen an in silico library of approximately 100,000 peptides. In vitro validation of the modeling showed 94% accuracy in identifying highly active peptides. The best peptides identified through screening were found to have activities comparable or superior to those of four conventional antibiotics and superior to the peptide most advanced in clinical development against a broad array of multiresistant human pathogens.",2009,10.1021/jm8015365,52,7,2006-2015,eng,1520-4804 0022-2623,"Artificial Intelligence and Models, Molecular and Neural Networks, Computer and Microbial Sensitivity Tests and *Quantitative Structure-Activity Relationship and Anti-Bacterial Agents/*chemistry/pharmacology and Antimicrobial Cationic Peptides/*chemistry/pharmacology and Drug Resistance, Multiple, Bacterial and Enterobacter cloacae/drug effects and Enterococcus/drug effects and Escherichia coli/drug effects and Klebsiella pneumoniae/drug effects and Methicillin-Resistant Staphylococcus aureus/drug effects and Pseudomonas/drug effects",NA,NA,2009/04/09/,J Med Chem,NA,NA,NA,NA
Wang_2018_Frinph,JOUR,Current Strategies and Applications for Precision Drug Design,"Wang, Chen and Xu, Pan and Zhang, Luyu and Huang, Jing and Zhu, Kongkai and Luo, Cheng",Frontiers in pharmacology,"Since Human Genome Project (HGP) revealed the heterogeneity of individuals, precision medicine that proposes the customized healthcare has become an intractable and hot research. Meanwhile, as the Precision Medicine Initiative launched, precision drug design which aims at maximizing therapeutic effects while minimizing undesired side effects for an individual patient has entered a new stage. One of the key strategies of precision drug design is target based drug design. Once a key pathogenic target is identified, rational drug design which constitutes the major part of precision drug design can be performed. Examples of rational drug design on novel druggable targets and protein-protein interaction surfaces are summarized in this review. Besides, various kinds of computational modeling and simulation approaches increasingly benefit for the drug discovery progress. Molecular dynamic simulation, drug target prediction and in silico clinical trials are discussed. Moreover, due to the powerful ability in handling high-dimensional data and complex system, deep learning has efficiently promoted the applications of artificial intelligence in drug discovery and design. In this review, deep learning methods that tailor to precision drug design are carefully discussed. When a drug molecule is discovered, the development of specific targeted drug delivery system becomes another key aspect of precision drug design. Therefore, state-of-the-art techniques of drug delivery system including antibody-drug conjugates (ADCs), and ligand-targeted conjugates are also included in this review.",2018,10.3389/fphar.2018.00787,9,NA,787,eng,1663-9812,deep learning and precision medicine and antibody-drug conjugates and computational modeling and ligand-targeted conjugates and precision drug design,NA,NA,2018///,Front Pharmacol,NA,NA,NA,NA
Lambin_2017_Advadrugdelirevi,JOUR,Decision support systems for personalized and participative radiation oncology,"Lambin, Philippe and Zindler, Jaap and Vanneste, Ben G. L. and De Voorde, Lien Van and Eekers, Danielle and Compter, Inge and Panth, Kranthi Marella and Peerlings, Jurgen and Larue, Ruben T. H. M. and Deist, Timo M. and Jochems, Arthur and Lustberg, Tim and van Soest, Johan and de Jong, Evelyn E. C. and Even, Aniek J. G. and Reymen, Bart and Rekers, Nicolle and van Gisbergen, Marike and Roelofs, Erik and Carvalho, Sara and Leijenaar, Ralph T. H. and Zegers, Catharina M. L. and Jacobs, Maria and van Timmeren, Janita and Brouwers, Patricia and Lal, Jonathan A. and Dubois, Ludwig and Yaromina, Ala and Van Limbergen, Evert Jan and Berbee, Maaike and van Elmpt, Wouter and Oberije, Cary and Ramaekers, Bram and Dekker, Andre and Boersma, Liesbeth J. and Hoebers, Frank and Smits, Kim M. and Berlanga, Adriana J. and Walsh, Sean",Advanced drug delivery reviews,"A paradigm shift from current population based medicine to personalized and participative medicine is underway. This transition is being supported by the development of clinical decision support systems based on prediction models of treatment outcome. In radiation oncology, these models 'learn' using advanced and innovative information technologies (ideally in a distributed fashion - please watch the animation: http://youtu.be/ZDJFOxpwqEA) from all available/appropriate medical data (clinical, treatment, imaging, biological/genetic, etc.) to achieve the highest possible accuracy with respect to prediction of tumor response and normal tissue toxicity. In this position paper, we deliver an overview of the factors that are associated with outcome in radiation oncology and discuss the methodology behind the development of accurate prediction models, which is a multi-faceted process. Subsequent to initial development/validation and clinical introduction, decision support systems should be constantly re-evaluated (through quality assurance procedures) in different patient datasets in order to refine and re-optimize the models, ensuring the continuous utility of the models. In the reasonably near future, decision support systems will be fully integrated within the clinic, with data and knowledge being shared in a standardized, dynamic, and potentially global manner enabling truly personalized and participative medicine.",2017,10.1016/j.addr.2016.01.006,109,NA,131-153,eng,1872-8294 0169-409X,"Shared decision making and Prediction models and Humans and Decision support systems and Treatment Outcome and Radiotherapy and *Decision Support Systems, Clinical and Precision Medicine/*methods and Radiation Oncology/*methods and Neoplasms/diagnosis/*radiotherapy",NA,NA,2017/01/15/,Adv Drug Deliv Rev,NA,NA,NA,NA
van.Tongeren_2020_Frinph,JOUR,The Development of Practice Recommendations for Drug-Disease Interactions by Literature Review and Expert Opinion,"van Tongeren, Justine M. Z. and Harkes-Idzinga, S. Froukje and van der Sijs, Heleen and Atiqi, Roya and van den Bemt, Bart J. F. and Draijer, L. Willem and Hiel, Deline and Kerremans, Adrian and Kremers, Bart and de Leeuw, Marc and Olthoff, Marleen V. and Pham, T. Kim-Loan and Valentijn-Robertz, Ricky and Tsoi, Kayan and Wichers, Iris and de Wit, Maaike and Borgsteede, Sander D.",Frontiers in pharmacology,"BACKGROUND: Drug-disease interactions negatively affect the benefit/risk ratio of drugs for specific populations. In these conditions drugs should be avoided, adjusted, or accompanied by extra monitoring. The motivation for many drug-disease interactions in the Summary of Product Characteristics (SmPC) is sometimes insufficiently supported by (accessible) evidence. As a consequence the translation of SmPC to clinical practice may lead to non-specific recommendations. For the translation of this information to the real world, it is necessary to evaluate the available knowledge about drug-disease interactions, and to formulate specific recommendations for prescribers and pharmacists. The aim of this paper is to describe a standardized method how to develop practice recommendations for drug-disease interactions by literature review and expert opinion. METHODS: The development of recommendations for drug-disease interactions will follow a six-step plan involving a multidisciplinary expert panel (1). The scope of the drug-disease interaction will be specified by defining the disease and by describing relevant effects of this drug-disease interaction. Drugs possibly involved in this drug-disease interaction are selected by checking the official product information, literature, and expert opinion (2). Evidence will be collected from the official product information, guidelines, handbooks, and primary literature (3). Study characteristics and outcomes will be evaluated and presented in standardized reports, including preliminary conclusions on the clinical relevance and practice recommendations (4). The multidisciplinary expert panel will discuss the reports and will either adopt or adjust the conclusions (5). Practice recommendations will be integrated in clinical decision support systems and published (6). The results of the evaluated drug-disease interactions will remain up-to-date by screening new risk information, periodic literature review, and (re)assessments initiated by health care providers. ACTIONABLE RECOMMENDATIONS: The practice recommendations will result in advices for specific DDSI. The content and considerations of these DDSIs will be published and implemented in all Clinical Decision Support Systems in the Netherlands. DISCUSSION: The recommendations result in professional guidance in the context of individual patient care. The professional will be supported in the decision making in concerning pharmacotherapy for the treatment of a medical problem, and the clinical risks of the proposed medication in combination with specific diseases.",2020,10.3389/fphar.2020.00707,11,NA,707,eng,1663-9812,clinical decision support and literature review and drug-disease interactions and expert opinion and practice recommendations and study protocol,NA,NA,2020///,Front Pharmacol,NA,NA,NA,NA
Yoo_2020_Frinph,JOUR,A Deep Learning-Based Approach for Identifying the Medicinal Uses of Plant-Derived Natural Compounds,"Yoo, Sunyong and Yang, Hyung Chae and Lee, Seongyeong and Shin, Jaewook and Min, Seyoung and Lee, Eunjoo and Song, Minkeun and Lee, Doheon",Frontiers in pharmacology,"Medicinal plants and their extracts have been used as important sources for drug discovery. In particular, plant-derived natural compounds, including phytochemicals, antioxidants, vitamins, and minerals, are gaining attention as they promote health and prevent disease. Although several in vitro methods have been developed to confirm the biological activities of natural compounds, there is still considerable room to reduce time and cost. To overcome these limitations, several in silico methods have been proposed for conducting large-scale analysis, but they are still limited in terms of dealing with incomplete and heterogeneous natural compound data. Here, we propose a deep learning-based approach to identify the medicinal uses of natural compounds by exploiting massive and heterogeneous drug and natural compound data. The rationale behind this approach is that deep learning can effectively utilize heterogeneous features to alleviate incomplete information. Based on latent knowledge, molecular interactions, and chemical property features, we generated 686 dimensional features for 4,507 natural compounds and 2,882 approved and investigational drugs. The deep learning model was trained using the generated features and verified drug indication information. When the features of natural compounds were applied as input to the trained model, potential efficacies were successfully predicted with high accuracy, sensitivity, and specificity.",2020,10.3389/fphar.2020.584875,11,NA,584875,eng,1663-9812,deep learning and text mining and network analysis and chemical property and medicinal use and molecular interaction and natural compound and natural product,NA,NA,2020///,Front Pharmacol,NA,NA,NA,NA
van.Overbeeke_2019_Frinph,JOUR,"Design, Conduct, and Use of Patient Preference Studies in the Medical Product Life Cycle: A Multi-Method Study","van Overbeeke, Eline and Janssens, Rosanne and Whichello, Chiara and Scholin Bywall, Karin and Sharpe, Jenny and Nikolenko, Nikoletta and Phillips, Berkeley S. and Guiddi, Paolo and Pravettoni, Gabriella and Vergani, Laura and Marton, Giulia and Cleemput, Irina and Simoens, Steven and Kubler, Jurgen and Juhaeri, Juhaeri and Levitan, Bennett and de Bekker-Grob, Esther W. and Veldwijk, Jorien and Huys, Isabelle",Frontiers in pharmacology,"Objectives: To investigate stakeholder perspectives on how patient preference studies (PPS) should be designed and conducted to allow for inclusion of patient preferences in decision-making along the medical product life cycle (MPLC), and how patient preferences can be used in such decision-making. Methods: Two literature reviews and semi-structured interviews (n = 143) with healthcare stakeholders in Europe and the US were conducted; results of these informed the design of focus group guides. Eight focus groups were conducted with European patients, industry representatives and regulators, and with US regulators and European/Canadian health technology assessment (HTA) representatives. Focus groups were analyzed thematically using NVivo. Results: Stakeholder perspectives on how PPS should be designed and conducted were as follows: 1) study design should be informed by the research questions and patient population; 2) preferred treatment attributes and levels, as well as trade-offs among attributes and levels should be investigated; 3) the patient sample and method should match the MPLC phase; 4) different stakeholders should collaborate; and 5) results from PPS should be shared with relevant stakeholders. The value of patient preferences in decision-making was found to increase with the level of patient preference sensitivity of decisions on medical products. Stakeholders mentioned that patient preferences are hardly used in current decision-making. Potential applications for patient preferences across industry, regulatory and HTA processes were identified. Four applications seemed most promising for systematic integration of patient preferences: 1) benefit-risk assessment by industry and regulators at the marketing-authorization phase; 2) assessment of major contribution to patient care by European regulators; 3) cost-effectiveness analysis; and 4) multi criteria decision analysis in HTA. Conclusions: The value of patient preferences for decision-making depends on the level of collaboration across stakeholders; the match between the research question, MPLC phase, sample, and preference method used in PPS; and the sensitivity of the decision regarding a medical product to patient preferences. Promising applications for patient preferences should be further explored with stakeholders to optimize their inclusion in decision-making.",2019,10.3389/fphar.2019.01395,10,NA,1395,eng,1663-9812,decision-making and health technology assessment and patient preferences and marketing authorization and medical products,NA,NA,2019///,Front Pharmacol,NA,NA,NA,NA
Shen_2020_Frinph,JOUR,Network Pharmacology-Based Analysis of Xiao-Xu-Ming Decoction on the Treatment of Alzheimer's Disease,"Shen, Yanjia and Zhang, Baoyue and Pang, Xiaocong and Yang, Ran and Chen, Miao and Zhao, Jiaying and Wang, Jinhua and Wang, Zhe and Yu, Ziru and Wang, Yuehua and Li, Li and Liu, Ailin and Du, Guanhua",Frontiers in pharmacology,"Alzheimer's disease (AD) has become a worldwide disease that is harmful to human health and brings a heavy economic burden to healthcare system. Xiao-Xu-Ming Decoction (XXMD) has been widely used to treat stroke and other neurological diseases for more than 1000 years in China. However, the synergistic mechanism of the constituents in XXMD for the potential treatment of AD is still unclear. Therefore, the present study aimed to predict the potential targets and uncover the material basis of XXMD for the potential treatment of AD. A network pharmacology-based method, which combined data collection, drug-likeness filtering and absorption, distribution, metabolism, excretion and toxicity (ADME/T) properties filtering, target prediction and network analysis, was used to decipher the effect and potential targets of XXMD for the treatment of AD. Then, the acetylcholinesterase (AChE) inhibitory assay was used to screen the potential active constituents in XXMD for the treatment of AD, and the molecular docking was furtherly used to identify the binding ability of active constituents with AD-related target of AChE. Finally, three in vitro cell models were applied to evaluate the neuroprotective effects of potential lead compounds in XXMD. Through the China Natural Products Database, Traditional Chinese Medicine Systems Pharmacology (TCMSP) Database, Traditional Chinese Medicine (TCM)-Database @Taiwan and literature, a total of 1481 compounds in XXMD were finally collected. After ADME/T properties filtering, 908 compounds were used for the further study. Based on the prediction data, the constituents in XXMD formula could interact with 41 AD-related targets. Among them, cyclooxygenase-2 (COX-2), estrogen receptor <ce><b1> (ER<ce><b1>) and AChE were the major targets. The constituents in XXMD were found to have the potential to treat AD through multiple AD-related targets. 62 constituents in it were found to interact with more than or equal to 10 AD-related targets. The prediction results were further validated by in vitro biology experiment, resulting in several potential anti-AD multitarget-directed ligands (MTDLs), including two AChE inhibitors with the IC(50) values ranging from 4.83 to 10.22 <ce><bc>M. Moreover, fanchinoline was furtherly found to prevent SH-SY5Y cells from the cytotoxicities induced by sodium nitroprusside, sodium dithionate and potassium chloride. In conclusion, XXMD was found to have the potential to treat AD by targeting multiple AD-related targets and canonical pathways. Fangchinoline and dauricine might be the potential lead compounds in XXMD for the treatment of AD.",2020,10.3389/fphar.2020.595254,11,NA,595254,eng,1663-9812,machine learning and Alzheimer's disease and molecular docking and network pharmacology and Xiao-Xu-Ming decoction,NA,NA,2020///,Front Pharmacol,NA,NA,NA,NA
