label,type,title,author,journal,abstract,year,doi,volume,issue,pages,language,issn,keywords,url,institution,DA,j2,DP,l1,l2,ST
Nwachukwu_2020_ThAmjoofspme,JOUR,Application of Machine Learning for Predicting Clinically Meaningful Outcome After Arthroscopic Femoroacetabular Impingement Surgery,"Nwachukwu, Benedict U. and Beck, Edward C. and Lee, Elaine K. and Cancienne, Jourdan M. and Waterman, Brian R. and Paul, Katlynn and Nho, Shane J.",The American journal of sports medicine,"BACKGROUND: Hip arthroscopy has become an important tool for surgical treatment of intra-articular hip pathology. Predictive models for clinically meaningful outcomes in patients undergoing hip arthroscopy for femoroacetabular impingement syndrome (FAIS) are unknown. PURPOSE: To apply a machine learning model to determine preoperative variables predictive for achieving the minimal clinically important difference (MCID) at 2 years after hip arthroscopy for FAIS. STUDY DESIGN: Case-control study; Level of evidence, 3. METHODS: Data were analyzed for patients who underwent hip arthroscopy for FAIS by a high-volume fellowship-trained surgeon between January 2012 and July 2016. The MCID cutoffs for the Hip Outcome Score-Activities of Daily Living (HOS-ADL), HOS-Sport Specific (HOS-SS), and modified Harris Hip Score (mHHS) were 9.8, 14.4, and 9.14, respectively. Predictive models for achieving the MCID with respect to each were built with the LASSO algorithm (least absolute shrinkage and selection operator) for feature selection, followed by logistic regression on the selected features. Study data were analyzed with PatientIQ, a cloud-based research and analytics platform for health care. RESULTS: Of 1103 patients who met inclusion criteria, 898 (81.4%) had a minimum of 2-year reported outcomes and were entered into the modeling algorithm. A total of 74.0%, 73.5%, and 79.9% met the HOS-ADL, HOS-SS, and mHHS threshold scores for achieving the MCID. Predictors of not achieving the HOS-ADL MCID included anxiety/depression, symptom duration for >2 years before surgery, higher body mass index, high preoperative HOS-ADL score, and preoperative hip injection (all P < .05). Predictors of not achieving the HOS-SS MCID included anxiety/depression, preoperative symptom duration for >2 years, high preoperative HOS-SS score, and preoperative hip injection, while running at least at the recreational level was a predictor of achieving HOS-SS MCID (all P < .05). Predictors of not achieving the mHHS MCID included history of anxiety or depression, high preoperative mHHS score, and hip injections, while being female was predictive of achieving the MCID (all P < .05). CONCLUSION: This study identified predictive variables for achieving clinically meaningful outcome after hip arthroscopy for FAIS. Patient factors including anxiety/depression, symptom duration >2 years, preoperative intra-articular injection, and high preoperative outcome scores are most consistently predictive of inability to achieve clinically meaningful outcome. These findings have important implications for shared decision-making algorithms and management of preoperative expectations after hip arthroscopy for FAI.",2020,10.1177/0363546519892905,48,2,415-423,eng,1552-3365 0363-5465,predictive modeling and Humans and Female and Male and Adult and Middle Aged and Young Adult and Case-Control Studies and Treatment Outcome and Body Mass Index and Activities of Daily Living and *Machine Learning and Arthroscopy/*methods and Femoracetabular Impingement/*surgery and femoroacetabular impingement syndrome and Hip Joint/*surgery and Hip Outcome Score and MCID and Minimal Clinically Important Difference and modified Hip Harris Score and PatientIQ,NA,NA,2020/02//undefined,Am J Sports Med,NA,NA,NA,NA
Ekas_2019_ThAmjoofspme,JOUR,Coping With Anterior Cruciate Ligament Injury From Childhood to Maturation: A Prospective Case Series of 44 Patients With Mean 8 Years' Follow-up,"Ekas, Guri Ranum and Moksnes, Havard and Grindem, Hege and Risberg, May Arna and Engebretsen, Lars",The American journal of sports medicine,"BACKGROUND: There is no consensus regarding the best treatment approach for skeletally immature children with anterior cruciate ligament (ACL) injuries. High-quality studies with long-term follow-up are lacking, and evidence to support decision making is limited. PURPOSE: To evaluate functional and patient-reported outcome, surgical history, and complications among young adults who sustained an ACL injury before the age of 13 years and were treated with active rehabilitation and the option of delayed ACL reconstruction if needed. STUDY DESIGN: Case series; Level of evidence, 4. METHODS: Forty-six children aged <13 years with a total intrasubstance ACL injury were included. None of these patients had additional injuries that warranted early surgery. At final follow-up at a mean 8 years after the time of injury, 44 patients remained in the study. The same test battery was conducted at baseline, 1 and 2 years, and final follow-up at approximately 18 years of age. The test battery included functional tests (hop tests and isokinetic muscle strength tests of quadriceps and hamstrings), patient-reported outcome measures (including the Knee injury and Osteoarthritis Outcome Score and the International Knee Documentation Committee Subjective Knee Form), and clinical examination. Medical records were reviewed to assess surgical history and complications. RESULTS: At a mean 8 years of follow-up, 24 patients (55%) had undergone ACL reconstruction, and 16 (36%) had undergone meniscal surgery. Quadriceps muscle strength symmetry was >90% for 30 patients (68%). Mean leg symmetry indexes for hop and strength tests were consistently >90%, except for the single-hop test and hamstrings muscle strength for ACL-reconstructed knees. Mean <c2><b1> SD International Knee Documentation Committee scores were 86.3 <c2><b1> 13.7 for the ACL-reconstructed knees and 90.6 <c2><b1> 11.8 for the nonreconstructed knees. At final follow-up, forty patients (91%) remained active in sports, but 29 (66%) restricted their activity level to nonpivoting sports. CONCLUSION: Active rehabilitation may have a role in treatment of children with ACL injury. Approximately 50% of children may cope well, even to adulthood, without a surgical intervention. The other half may develop instability that warrants ACL reconstruction, and one-third may require meniscal surgery.",2019,10.1177/0363546518810750,47,1,22-30,eng,1552-3365 0363-5465,"Humans and Female and Male and Adolescent and Young Adult and Child and children and Exercise and Prospective Studies and Follow-Up Studies and Postoperative Complications and Patient Reported Outcome Measures and *Adaptation, Psychological and *Muscle Strength and ACL and ACL reconstruction and active rehabilitation and Anterior Cruciate Ligament Injuries/*rehabilitation/*surgery and Anterior Cruciate Ligament Reconstruction/adverse effects and Athletic Injuries/rehabilitation/surgery and Knee Injuries/rehabilitation/surgery and Knee Joint/surgery and Quadriceps Muscle/physiology",NA,NA,2019/01//undefined,Am J Sports Med,NA,NA,NA,NA
Myer_2012_ThAmjoofspme,JOUR,No association of time from surgery with functional deficits in athletes after anterior cruciate ligament reconstruction: evidence for objective return-to-sport criteria,"Myer, Gregory D. and Martin, Larry Jr and Ford, Kevin R. and Paterno, Mark V. and Schmitt, Laura C. and Heidt, Robert S. Jr and Colosimo, Angelo and Hewett, Timothy E.",The American journal of sports medicine,"BACKGROUND: Release for full activity and return to sport after anterior cruciate ligament reconstruction (ACLR) is often dictated by time from surgery and subjective opinion by the medical team. Temporal guidelines for return to sport may not accurately identify impaired strength and neuromuscular control, which are associated with increased risk for second injury (contralateral and/or ipsilateral limb) after ACLR in athletes. HYPOTHESES: Athletes undergoing ACLR and returning to sport would demonstrate functional deficits that would not be associated with time from surgery. STUDY DESIGN: Controlled laboratory study. METHODS: Thirty-three male (n = 10) and female (n = 23) athletes with unilateral ACLR, who were cleared by a physician to return to their sport after surgery and rehabilitation, performed the single-legged vertical hop test for 10 seconds on a portable force plate. Matched teammates of each patient were recruited to serve as sex-, sport-, and age-matched controls (CTRL; n = 67). Maximum vertical ground-reaction force (VGRF) was measured during each single-limb landing. Single-limb symmetry index (LSI) was calculated as the ratio of the involved divided by uninvolved limb, expressed as a percentage. RESULTS: The single-limb vertical jump height LSI was reduced in the ACLR group, 89% (95% confidence interval [CI], 83%-95%), compared with the matched CTRL group, 101% (95% CI, 96%-105%; P < .01). The LSI for VGRF normalized to potential energy achieved during flight of the hop was increased in ACLR at 112% (95% CI, 106%-117%) relative to the CTRL group at 102% (95% CI, 98%-106%; P < .01). Linear regression analysis indicated that time from surgery was not associated with limb symmetry deficits in the ACLR group (P > .05; R (2) = .002-.01). CONCLUSION: Deficits in unilateral force development (vertical jump height) and absorption (normalized VGRF) persist in an athlete's single-limb performance after ACLR and full return to sports. These symmetry deficits appear to be independent of time after reconstruction. CLINICAL RELEVANCE: On the basis of these results, clinicians should consider assessment of single-limb power performance in the decision-making process for return-to-sport release. Persistent side-to-side asymmetries may increase the risk of contralateral and/or ipsilateral injury.",2012,10.1177/0363546512454656,40,10,2256-2263,eng,1552-3365 0363-5465,Humans and Female and Male and Adolescent and Young Adult and Time Factors and Recovery of Function and *Anterior Cruciate Ligament Reconstruction and *Athletic Performance and Anterior Cruciate Ligament Injuries and Anterior Cruciate Ligament/*surgery and Athletic Injuries/*rehabilitation/surgery and Knee Injuries/*rehabilitation/surgery,NA,NA,2012/10//undefined,Am J Sports Med,NA,NA,NA,NA
Matheson_2013_Brjoofspme,JOUR,"Prevention and management of non-communicable disease: the IOC consensus statement, Lausanne 2013","Matheson, Gordon O. and Klugl, Martin and Engebretsen, Lars and Bendiksen, Fredrik and Blair, Steven N. and Borjesson, Mats and Budgett, Richard and Derman, Wayne and Erdener, Ugur and Ioannidis, John P. A. and Khan, Karim M. and Martinez, Rodrigo and Van Mechelen, Willem and Mountjoy, Margo and Sallis, Robert E. and Schwellnus, Martin and Shultz, Rebecca and Soligard, Torbjorn and Steffen, Kathrin and Sundberg, Carl Johan and Weiler, Richard and Ljungqvist, Arne",British journal of sports medicine,"Morbidity and mortality from preventable, non-communicable chronic disease (NCD) threatens the health of our populations and our economies. The accumulation of vast amounts of scientific knowledge has done little to change this. New and innovative thinking is essential to foster new creative approaches that leverage and integrate evidence through the support of big data, technology and design thinking. The purpose of this paper is to summarise the results of a consensus meeting on NCD prevention sponsored by the IOC in April 2013. Within the context of advocacy for multifaceted systems change, the IOC's focus is to create solutions that gain traction within healthcare systems. The group of participants attending the meeting achieved consensus on a strategy for the prevention and management of chronic disease that includes the following: (1) Focus on behavioural change as the core component of all clinical programmes for the prevention and management of chronic disease. (2) Establish actual centres to design, implement, study and improve preventive programmes for chronic disease. (3) Use human-centred design in the creation of prevention programmes with an inclination to action, rapid prototyping and multiple iterations. (4) Extend the knowledge and skills of Sports and Exercise Medicine (SEM) professionals to build new programmes for the prevention and treatment of chronic disease focused on physical activity, diet and lifestyle. (5) Mobilise resources and leverage networks to scale and distribute programmes of prevention. True innovation lies in the ability to align thinking around these core strategies to ensure successful implementation of NCD prevention and management programmes within healthcare. The IOC and SEM community are in an ideal position to lead this disruptive change. The outcome of the consensus meeting was the creation of the IOC Non-Communicable Diseases ad hoc Working Group charged with the responsibility of moving this agenda forward.",2013,10.1136/bjsports-2013-093034,47,16,1003-1011,eng,1473-0480 0306-3674,Humans and Health Promotion and Risk Reduction Behavior and Chronic Disease/*prevention & control and Exercise/physiology and Patient-Centered Care/methods and Achilles Tendon and Ambulatory Care Facilities/supply & distribution and Preventive Medicine/education/*methods and Sports Medicine/education/methods,NA,NA,2013/11//undefined,Br J Sports Med,NA,NA,NA,NA
Tanisawa_2020_Brjoofspme,JOUR,Sport and exercise genomics: the FIMS 2019 consensus statement update,"Tanisawa, Kumpei and Wang, Guan and Seto, Jane and Verdouka, Ioanna and Twycross-Lewis, Richard and Karanikolou, Antonia and Tanaka, Masashi and Borjesson, Mats and Di Luigi, Luigi and Dohi, Michiko and Wolfarth, Bernd and Swart, Jeroen and Bilzon, James Lee John and Badtieva, Victoriya and Papadopoulou, Theodora and Casasco, Maurizio and Geistlinger, Michael and Bachl, Norbert and Pigozzi, Fabio and Pitsiladis, Yannis",British journal of sports medicine,"Rapid advances in technologies in the field of genomics such as high throughput DNA sequencing, big data processing by machine learning algorithms and gene-editing techniques are expected to make precision medicine and gene-therapy a greater reality. However, this development will raise many important new issues, including ethical, moral, social and privacy issues. The field of exercise genomics has also advanced by incorporating these innovative technologies. There is therefore an urgent need for guiding references for sport and exercise genomics to allow the necessary advancements in this field of sport and exercise medicine, while protecting athletes from any invasion of privacy and misuse of their genomic information. Here, we update a previous consensus and develop a guiding reference for sport and exercise genomics based on a SWOT (Strengths, Weaknesses, Opportunities and Threats) analysis. This SWOT analysis and the developed guiding reference highlight the need for scientists/clinicians to be well-versed in ethics and data protection policy to advance sport and exercise genomics without compromising the privacy of athletes and the efforts of international sports federations. Conducting research based on the present guiding reference will mitigate to a great extent the risks brought about by inappropriate use of genomic information and allow further development of sport and exercise genomics in accordance with best ethical standards and international data protection principles and policies. This guiding reference should regularly be updated on the basis of new information emerging from the area of sport and exercise medicine as well as from the developments and challenges in genomics of health and disease in general in order to best protect the athletes, patients and all other relevant stakeholders.",2020,10.1136/bjsports-2019-101532,54,16,969-975,eng,1473-0480 0306-3674,Humans and Health Policy and genetics and *Genomics and Exercise/*physiology and *Genetic Privacy and genes and genetic testing and Sports/*ethics/*physiology,NA,NA,2020/08//undefined,Br J Sports Med,NA,NA,NA,NA
Pyne_2007_Spormedi.AucN.Z.,JOUR,Intravenous fluids post marathon : when and why?,"Pyne, Scott","Sports medicine (Auckland, N.Z.)","The medical management of marathon casualties involves several potential treatment pathways. It is helpful to develop defined treatment protocols for commonly experienced conditions addressing intervention selection criteria and monitoring response to therapy. Providing intravenous (IV) fluids for runners post marathon should be scrutinised based upon the effectiveness and safety of the intervention. Commonly agreed upon indications for IV fluids are replacement for clinical dehydration and support for unconscious, hypoglycaemic or persistently hypotensive athletes. Most clinicians recommend serum sodium evaluation prior to IV initiation. IV fluid use in athletes with persistent nausea, generalised muscle cramping and to augment whole-body cooling is commonly deployed despite the paucity of supporting scientific evidence and remains an area for further study. Marathon medical support leaders should develop and disseminate guidelines to direct the administration of IV fluids at their medical aid stations.",2007,10.2165/00007256-200737040-00042,37,4-5,434-436,eng,0112-1642,"United States and Humans and Decision Making and Sports and Infusions, Intravenous and *Running and Dehydration/therapy and Fluid Therapy/*methods and Physical Exertion/*physiology",NA,NA,2007///,Sports Med,NA,NA,NA,NA
Roberts_2007_Spormedi.AucN.Z.,JOUR,Exercise-associated collapse care matrix in the marathon,"Roberts, William O.","Sports medicine (Auckland, N.Z.)","Exercise-associated collapse (EAC) was developed as a marathon collapse classification matrix to speed clinical decision making and improve care. The definition was simply stated as the need for assistance during or immediately after endurance activity that specifically excluded cardiac arrest, insulin shock, anaphylaxis, trauma, skin conditions and orthopedic injuries. The presenting symptoms were neither specific nor sensitive and the initial classification, based on presenting rectal temperature, neurological status and ability to walk, was intended to shape the on-site medical intervention. The treatment of EAC centres on fluid redistribution and replacement to improve cerebral and core organ circulation and body temperature correction if needed. Most runners are discharged from the medical area in the company of another person.",2007,10.2165/00007256-200737040-00041,37,4-5,431-433,eng,0112-1642,United States and Humans and Female and Male and *Running and *Sports Medicine and Heat Exhaustion/*classification/*therapy,NA,NA,2007///,Sports Med,NA,NA,NA,NA
Procter_2018_Thinjoofbenuanphac,JOUR,"An open-source tool to identify active travel from hip-worn accelerometer, GPS and GIS data","Procter, Duncan S. and Page, Angie S. and Cooper, Ashley R. and Nightingale, Claire M. and Ram, Bina and Rudnicka, Alicja R. and Whincup, Peter H. and Clary, Christelle and Lewis, Daniel and Cummins, Steven and Ellaway, Anne and Giles-Corti, Billie and Cook, Derek G. and Owen, Christopher G.",The international journal of behavioral nutrition and physical activity,"BACKGROUND: Increases in physical activity through active travel have the potential to have large beneficial effects on populations, through both better health outcomes and reduced motorized traffic. However accurately identifying travel mode in large datasets is problematic. Here we provide an open source tool to quantify time spent stationary and in four travel modes(walking, cycling, train, motorised vehicle) from accelerometer measured physical activity data, combined with GPS and GIS data. METHODS: The Examining Neighbourhood Activities in Built Living Environments in London study evaluates the effect of the built environment on health behaviours, including physical activity. Participants wore accelerometers and GPS receivers on the hip for 7 days. We time-matched accelerometer and GPS, and then extracted data from the commutes of 326 adult participants, using stated commute times and modes, which were manually checked to confirm stated travel mode. This yielded examples of five travel modes: walking, cycling, motorised vehicle, train and stationary. We used this example data to train a gradient boosted tree, a form of supervised machine learning algorithm, on each data point (131,537 points), rather than on journeys. Accuracy during training was assessed using five-fold cross-validation. We also manually identified the travel behaviour of both 21 participants from ENABLE London (402,749 points), and 10 participants from a separate study (STAMP-2, 210,936 points), who were not included in the training data. We compared our predictions against this manual identification to further test accuracy and test generalisability. RESULTS: Applying the algorithm, we correctly identified travel mode 97.3% of the time in cross-validation (mean sensitivity 96.3%, mean active travel sensitivity 94.6%). We showed 96.0% agreement between manual identification and prediction of 21 individuals' travel modes (mean sensitivity 92.3%, mean active travel sensitivity 84.9%) and 96.5% agreement between the STAMP-2 study and predictions (mean sensitivity 85.5%, mean active travel sensitivity 78.9%). CONCLUSION: We present a generalizable tool that identifies time spent stationary and time spent walking with very high precision, time spent in trains or vehicles with good precision, and time spent cycling with moderate precisionIn studies where both accelerometer and GPS data are available this tool complements analyses of physical activity, showing whether differences in PA may be explained by differences in travel mode. All code necessary to replicate, fit and predict to other datasets is provided to facilitate use by other researchers.",2018,10.1186/s12966-018-0724-y,15,1,91,eng,1479-5868,"Machine learning and Accelerometer and Humans and Female and Male and Algorithms and Exercise and Physical activity and Health Behavior and Reproducibility of Results and Gradient boosting and London and Travel and *Models, Biological and *Geographic Information Systems and Motor Vehicles and *Residence Characteristics and Wearable Electronic Devices and *Accelerometry and GPS and Environment Design and *Bicycling and *Walking and Active travel and Railroads and Transportation/*methods and Travel mode and Xgboost",NA,NA,2018/09/21/,Int J Behav Nutr Phys Act,NA,NA,NA,NA
van.der.Horst_2017_Brjoofspme,JOUR,"Return to play after hamstring injuries in football (soccer): a worldwide Delphi procedure regarding definition, medical criteria and decision-making","van der Horst, Nick and Backx, Fjg and Goedhart, Edwin A. and Huisstede, Bionka Ma",British journal of sports medicine,"There are three major questions about return to play (RTP) after hamstring injuries: How should RTP be defined? Which medical criteria should support the RTP decision? And who should make the RTP decision? The study aimed to provide a clear RTP definition and medical criteria for RTP and to clarify RTP consultation and responsibilities after hamstring injury. The study used the Delphi procedure. The results of a systematic review were used as a starting point for the Delphi procedure. Fifty-eight experts in the field of hamstring injury management selected by 28 FIFA Medical Centres of Excellence worldwide participated. Each Delphi round consisted of a questionnaire, an analysis and an anonymised feedback report. After four Delphi rounds, with more than 83% response for each round, consensus was achieved that RTP should be defined as 'the moment a player has received criteria-based medical clearance and is mentally ready for full availability for match selection and/or full training'. The experts reached consensus on the following criteria to support the RTP decision: medical staff clearance, absence of pain on palpation, absence of pain during strength and flexibility testing, absence of pain during/after functional testing, similar hamstring flexibility, performance on field testing, and psychological readiness. It was also agreed that RTP decisions should be based on shared decision-making, primarily via consultation with the athlete, sports physician, physiotherapist, fitness trainer and team coach. The consensus regarding aspects of RTP should provide clarity and facilitate the assessment of when RTP is appropriate after hamstring injury, so as to avoid or reduce the risk of injury recurrence because of a premature RTP.",2017,10.1136/bjsports-2016-097206,51,22,1583-1591,eng,1473-0480 0306-3674,Humans and prevention and Delphi Technique and Consensus and Recovery of Function and *Decision Making and *Return to Sport and Athletic Injuries/*physiopathology and football and Hamstring injury and Hamstring Muscles/*injuries and return to play and soccer and Soccer/*injuries,NA,NA,2017/11//undefined,Br J Sports Med,NA,NA,NA,NA
Matheson_2013_Spormedi.AucN.Z.,JOUR,"Prevention and management of non-communicable disease: the IOC consensus statement, Lausanne 2013","Matheson, Gordon O. and Klugl, Martin and Engebretsen, Lars and Bendiksen, Fredrik and Blair, Steven N. and Borjesson, Mats and Budgett, Richard and Derman, Wayne and Erdener, Ugur and Ioannidis, John P. A. and Khan, Karim M. and Martinez, Rodrigo and van Mechelen, Willem and Mountjoy, Margo and Sallis, Robert E. and Schwellnus, Martin and Shultz, Rebecca and Soligard, Torbjorn and Steffen, Kathrin and Sundberg, Carl Johan and Weiler, Richard and Ljungqvist, Arne","Sports medicine (Auckland, N.Z.)","Morbidity and mortality from preventable, non-communicable chronic disease (NCD) threatens the health of our populations and our economies. The accumulation of vast amounts of scientific knowledge has done little to change this. New and innovative thinking is essential to foster new creative approaches that leverage and integrate evidence through the support of big data, technology, and design thinking. The purpose of this paper is to summarize the results of a consensus meeting on NCD prevention sponsored by the International Olympic Committee (IOC) in April, 2013. Within the context of advocacy for multifaceted systems change, the IOC's focus is to create solutions that gain traction within health care systems. The group of participants attending the meeting achieved consensus on a strategy for the prevention and management of chronic disease that includes the following: 1. Focus on behavioural change as the core component of all clinical programs for the prevention and management of chronic disease. 2. Establish actual centres to design, implement, study, and improve preventive programs for chronic disease. 3. Use human-centered design in the creation of prevention programs with an inclination to action, rapid prototyping and multiple iterations. 4. Extend the knowledge and skills of Sports and Exercise Medicine (SEM) professionals to build new programs for the prevention and treatment of chronic disease focused on physical activity, diet and lifestyle. 5. Mobilize resources and leverage networks to scale and distribute programs of prevention. True innovation lies in the ability to align thinking around these core strategies to ensure successful implementation of NCD prevention and management programs within health care. The IOC and SEM community are in an ideal position to lead this disruptive change. The outcome of the consensus meeting was the creation of the IOC Non-Communicable Diseases ad-hoc Working Group charged with the responsibility of moving this agenda forward.",2013,10.1007/s40279-013-0104-3,43,11,1075-1088,eng,1179-2035 0112-1642,Humans and Consumer Behavior and Life Style and Chronic Disease/*prevention & control and International Agencies and *Health Promotion and Preventive Health Services/*organization & administration and *Risk Reduction Behavior and Sports Medicine/education/methods,NA,NA,2013/11//undefined,Sports Med,NA,NA,NA,NA
