label,type,title,author,journal,abstract,year,doi,volume,issue,pages,language,issn,keywords,url,institution,DA,j2,DP,l1,l2,ST
Jarvis_2020_PlaandrecsurGloope,JOUR,"Artificial Intelligence in Plastic Surgery: Current Applications, Future Directions, and Ethical Implications","Jarvis, Tyler and Thornburg, Danielle and Rebecca, Alanna M. and Teven, Chad M.",Plastic and reconstructive surgery. Global open,"BACKGROUND: Artificial intelligence (AI) in healthcare delivery has become an important area of research due to the rapid progression of technology, which has allowed the growth of many processes historically reliant upon human input. AI has become particularly important in plastic surgery in a variety of settings. This article highlights current applications of AI in plastic surgery and discusses future implications. We further detail ethical issues that may arise in the implementation of AI in plastic surgery. METHODS: We conducted a systematic literature review of all electronically available publications in the PubMed, Scopus, and Web of Science databases as of February 5, 2020. All returned publications regarding the application of AI in plastic surgery were considered for inclusion. RESULTS: Of the 89 novel articles returned, 14 satisfied inclusion and exclusion criteria. Articles procured from the references of those of the database search and those pertaining to historical and ethical implications were summarized when relevant. CONCLUSIONS: Numerous applications of AI exist in plastic surgery. Big data, machine learning, deep learning, natural language processing, and facial recognition are examples of AI-based technology that plastic surgeons may utilize to advance their surgical practice. Like any evolving technology, however, the use of AI in healthcare raises important ethical issues, including patient autonomy and informed consent, confidentiality, and appropriate data use. Such considerations are significant, as high ethical standards are key to appropriate and longstanding implementation of AI.",2020,10.1097/GOX.0000000000003200,8,10,e3200,eng,2169-7574,NA,NA,NA,2020/10//undefined,Plast Reconstr Surg Glob Open,NA,NA,NA,NA
Kanevsky_2016_Plaandrecsur,JOUR,Big Data and Machine Learning in Plastic Surgery: A New Frontier in Surgical Innovation,"Kanevsky, Jonathan and Corban, Jason and Gaster, Richard and Kanevsky, Ari and Lin, Samuel and Gilardino, Mirko",Plastic and reconstructive surgery,"Medical decision-making is increasingly based on quantifiable data. From the moment patients come into contact with the health care system, their entire medical history is recorded electronically. Whether a patient is in the operating room or on the hospital ward, technological advancement has facilitated the expedient and reliable measurement of clinically relevant health metrics, all in an effort to guide care and ensure the best possible clinical outcomes. However, as the volume and complexity of biomedical data grow, it becomes challenging to effectively process ""big data"" using conventional techniques. Physicians and scientists must be prepared to look beyond classic methods of data processing to extract clinically relevant information. The purpose of this article is to introduce the modern plastic surgeon to machine learning and computational interpretation of large data sets. What is machine learning? Machine learning, a subfield of artificial intelligence, can address clinically relevant problems in several domains of plastic surgery, including burn surgery; microsurgery; and craniofacial, peripheral nerve, and aesthetic surgery. This article provides a brief introduction to current research and suggests future projects that will allow plastic surgeons to explore this new frontier of surgical science.",2016,10.1097/PRS.0000000000002088,137,5,890e-897e,eng,1529-4242 0032-1052,"Teaching and Humans and Datasets as Topic and *Machine Learning and *Clinical Decision-Making and *Motor Skills and Burns/surgery and Clinical Competence/standards and Craniosynostoses/diagnosis/surgery and Hand/surgery and Internship and Residency/standards and Microsurgery/methods and Peripheral Nerves/surgery and Reconstructive Surgical Procedures/education/*methods and Surgery, Plastic/education/*methods",NA,NA,2016/05//undefined,Plast Reconstr Surg,NA,NA,NA,NA
Morselli_2019_Jopr.as.J,JOUR,"Informed consent in plastic surgery, evaluation of its effectiveness for mutual satisfaction of patient and doctor: Comparison of methods","Morselli, Paolo G. and Lippi, Andrea and Giorgini, Federico A. and Fabbri, Erich and Pinto, Valentina","Journal of plastic, reconstructive & aesthetic surgery : JPRAS","BACKGROUND: The acquisition of signed informed consent is not always enough to ensure adequate medical protection. Particularly, in plastic surgery, improving the doctor-patient relationship by understanding the patient's emotions and expectations becomes a determining factor when choosing the best therapeutic strategy for the subject in question, which may also include nonsurgical eligibility. METHODS: Ninety patients with various plastic surgery disabilities were recruited and randomly divided into three groups: Patients in the first group underwent the ``traditional'' clinical interview, those in the second underwent the clinical approach called Shared Decision Making (SDM), and those in the third group received both the SDM and a questionnaire evaluating patient expectations (Expectation Questionnaire-Pgm). At the end of each interview, a specialist physician in Plastic, Reconstructive and Aesthetic Surgery was asked to fill in a questionnaire regarding his/her satisfaction with the method used. Likewise, the patient filled in a questionnaire on his/her satisfaction with the interview. RESULTS: For the doctors, the third method was superior in investigating patient expectations, emotions, and personal preferences. For the patients, the third method scored significantly higher than the first one for overall satisfaction and ability to evaluate personal preferences and needs and higher than the first and second methods in assessing expectations. CONCLUSIONS: For doctors, the SDM coupled with the Expectation Questionnaire-Pgm proved to be the most useful tool to understand patient expectations and emotions and thus improve the medical-patient relationship through shared decision-making. The third method therefore aims for better patient coverage and improved informed consent, thereby reducing the likelihood of litigation and better assessing nonfitness for operation.",2019,10.1016/j.bjps.2019.05.037,72,11,1847-1855,eng,1878-0539 1748-6815,"Emotions and Humans and Female and Male and Adult and Middle Aged and Aged and *Informed Consent and *Patient Satisfaction and *Physician-Patient Relations and Informed consent and Decision Making, Shared and *Reconstructive Surgical Procedures and Emotionality - medical satisfaction and Medical litigation and Medical-patient relationship and Patient's expectations and Plastic surgery",NA,NA,2019/11//undefined,J Plast Reconstr Aesthet Surg,NA,NA,NA,NA
Agrawal_2020_PlaandrecsurGloope,JOUR,Use of Simulation in Plastic Surgery Training,"Agrawal, Nikhil and Turner, Acara and Grome, Luke and Abu-Ghname, Amjed and Davis, Matthew J. and Reece, Edward M. and Buchanan, Edward P. and Winocour, Sebastian",Plastic and reconstructive surgery. Global open,"The nationwide focus on patient safety and the health of residents has increased the demand for educational tools outside the operating room. Simulation is a valuable tool for assessing and developing surgical skills in a controlled and safe environment. The use of simulation as a formal component of training has been increasing in various surgical subspecialties. In general surgery, simulation examinations such as the Fundamentals of Laparoscopic Surgery and Fundamentals of Endoscopic Surgery have become a prerequisite to board certification. Although formal simulation examinations in plastic surgery are not universal, there has been an increase in the use of simulation to increase resident competency in the operating room. For now, we will review the current state of simulation in craniofacial, hand, microvascular, and esthetic surgery and discuss applications for the future. We will also discuss the evolving role of artificial intelligence, virtual reality, and augmented reality in plastic surgery training and testing.",2020,10.1097/GOX.0000000000002896,8,7,e2896,eng,2169-7574,NA,NA,NA,2020/07//undefined,Plast Reconstr Surg Glob Open,NA,NA,NA,NA
Wood_2019_PlaandrecsurGloope,JOUR,Writing an Evidence-based Article in Plastic Surgery: Translating Research into High-quality Care,"Wood, Shannon M. and Kim, You J. and Chung, Kevin C.",Plastic and reconstructive surgery. Global open,"Evidence-based medicine (EBM) is a triad that integrates the physician's medical expertise and the patient's individual characteristics with the best available scientific evidence. As patients become more active in the clinical decision-making process, the application of evidence-based practice in the field of plastic surgery is more critical now than ever. As a field that is recognized by its innovation, plastic surgeons must understand the various aspects of EBM to enhance and keep the field at the top of medical discovery. Many initiatives have been implemented to guide researchers in the collection, analysis, and distribution of high-quality evidence. In particular, Plastic and Reconstructive Surgery introduced a new EBM series to provide plastic surgeons with the appropriate resources to generate and integrate high-quality evidence into their practices. As a part of this initiative, this article will assist researchers in producing an evidence-based article that is well-written, relevant, and impactful to incorporate evidence-based practice into the specialty.",2019,10.1097/GOX.0000000000002544,7,12,e2544,eng,2169-7574,NA,NA,NA,2019/12//undefined,Plast Reconstr Surg Glob Open,NA,NA,NA,NA
Ammari_2019_Aestsurgjour,JOUR,Female-to-Male Gender-Affirming Chest Reconstruction Surgery,"Ammari, Tareq and Sluiter, Emily C. and Gast, Katherine and Kuzon, William M. Jr",Aesthetic surgery journal,"There is an increased demand for gender affirmation surgery. Chest contouring, or ""top"" surgery, is especially important in the female-to-male (FtM) transgender population. This Continuing Medical Education (CME) article critically appraises the available literature on top surgery to allow plastic surgeons to understand current practices and determine the best surgical technique using a decision algorithm and the patient's preoperative anatomy and characteristics. Because a single best surgical approach does not exist due to significant variance in preoperative patient anatomy, and in order to provide a useful framework for decision making, surgical approaches described are categorized as: approach 1-remote incision procedures without skin excision; approach 2-procedures with periareolar skin excision; and approach 3-mastectomy procedures with skin excision other than periareolar skin excision. Decision algorithms that help determine the most suitable surgical technique for individual patients are reviewed. Data on complication rates and patient satisfaction will improve informed consent discussions and create realistic patient expectations.",2019,10.1093/asj/sjy098,39,2,150-163,eng,1527-330X 1090-820X,Humans and Female and Male and Patient Satisfaction and Informed Consent and Clinical Decision-Making and *Transgender Persons and Gender Dysphoria/*surgery and Mammaplasty/legislation & jurisprudence/*methods and Mastectomy/legislation & jurisprudence/*methods and Sex Reassignment Surgery/legislation & jurisprudence/*methods,NA,NA,2019/01/17/,Aesthet Surg J,NA,NA,NA,NA
Park_2020_PlaandrecsurGloope,JOUR,Navigating Women's BIA-ALCL Information Needs: Group Seminars May Offer an Opportunity to Empower the Patient-Surgeon Team,"Park, Jade O. and Webb, Carmen E. and Temple-Oberle, Claire F.",Plastic and reconstructive surgery. Global open,"BACKGROUND: Breast Implant Associated Anaplastic Large Cell Lymphoma (BIA-ALCL) is a T-cell non-Hodgkin's lymphoma that has been linked to textured breast implants, and is an emerging concern within the plastic and reconstructive surgery community. Many surgeons are struggling with how best to inform their patients and manage BIA-ALCL care without overwhelming their standard clinical practice. METHODS: Five educational group seminars were held for 53 patients. A thematic analysis of the field notes taken at each seminar was conducted to identify recurring patient and surgeon behaviors. RESULTS: The thematic analysis identified 5 key themes: seeking, amplifying, framing, trusting, and empowering. Seeking describes the knowledge sought by patients and their varying engagement in their care. Amplifying underlines how the emotionally charged topic of BIA-ALCL impacted patient and surgeon behaviors. Framing presents surgeon efforts to help patients understand the risk level of BIA-ALCL. Trusting addresses the ways BIA-ALCL has impacted patient trust in the medical community and the mechanisms to rebuild this trust. Empowering outlines surgeon efforts to engage patients in shared decision-making. CONCLUSIONS: Herein is presented a possible framework for efficient BIA-ALCL patient education that can be adapted to different surgical practices. Lessons learned are: (1) patients want information on BIA-ALCL's clinical features and prophylactic implant removal; (2) BIA-ALCL discussions are emotionally charged and surgeons must remain cognizant of group dynamics and that the physician-patient power differential may impact patient decision-making; (3) patient trust has been strained but can be restored; and (4) patient responses to BIA-ALCL are variable and subjective; thus, surgeons should emphasize patient-centered care.",2020,10.1097/GOX.0000000000003142,8,9,e3142,eng,2169-7574,NA,NA,NA,2020/09//undefined,Plast Reconstr Surg Glob Open,NA,NA,NA,NA
Nelson_2012_Jopr.as.J,JOUR,Breast reconstruction in bilateral prophylactic mastectomy patients: factors that influence decision making,"Nelson, Jonas A. and Tchou, Julia and Domchek, Susan and Sonnad, Seema S. and Serletti, Joseph M. and Wu, Liza C.","Journal of plastic, reconstructive & aesthetic surgery : JPRAS","BACKGROUND: Utilization of bilateral prophylactic mastectomy (BPM) and reconstruction has increased secondary to numerous medical advances. The purpose of this study was to examine decision making in women electing this therapy to further understand what influences and drives this decision. METHODS: The authors conducted a survey study, enrolling patients who elected BPM and reconstruction. Participants were mailed structured questionnaires utilizing validated and study specific tools addressing: demographics, treatment decisions, autonomy, decision making and information seeking preferences, and breast cancer treatment knowledge. Analysis was performed overall and by reconstruction. RESULTS: 40 patients responded (20 autologous, 19 implant and 1 combination, 66% response rate). The cohort was well educated and wealthy. Reconstructive options played a large role in the consideration of BPM. Patients were influenced by their physicians and less so by non-traditional means (media, internet, etc). Autologous reconstructions had a stronger desire to utilize their own tissue (p < 0.001) and were less concerned with the amount of surgery (0.02) and resulting scars (p = 0.01). Implant reconstructions more often stated that they did not have enough tissue for autologous reconstruction (p < 0.001) and did have a lower BMI, 24.2 vs. 27.5 (p = 0.03). Additionally, they were more influenced by non-traditional means (p < 0.001) and by other patients (p = 0.02). CONCLUSIONS: Multiple factors influence decision making in BPM and reconstruction, with the ultimate choice in reconstruction involving tissue availability, appearance of implant reconstructions, total amount of surgery required, and extent of visible scars. Patients were strongly influenced by their physicians, and less so by non-traditional means.",2012,10.1016/j.bjps.2012.05.001,65,11,1481-1489,eng,1878-0539 1748-6815,"Humans and Female and Adult and Middle Aged and Aged and Demography and Physician-Patient Relations and Surveys and Questionnaires and Pennsylvania and Patient Satisfaction and Chi-Square Distribution and *Decision Making and *Mastectomy and Breast Implants and Mammaplasty/*psychology and Surgical Flaps and Transplantation, Autologous",NA,NA,2012/11//undefined,J Plast Reconstr Aesthet Surg,NA,NA,NA,NA
Silvestre_2015_Aestsurgjour,JOUR,Analysis of Cosmetic Topics on the Plastic Surgery In-Service Training Exam,"Silvestre, Jason and Taglienti, Anthony J. and Serletti, Joseph M. and Chang, Benjamin",Aesthetic surgery journal,"BACKGROUND: The Plastic Surgery In-Service Training Exam (PSITE) is a multiple-choice examination taken by plastic surgery trainees to provide an assessment of plastic surgery knowledge. OBJECTIVE: The purpose of this study was to evaluate cosmetic questions and determine overlap with national procedural data. METHODS: Digital syllabi of six consecutive PSITE administrations (2008-2013) were analyzed for cosmetic surgery topics. Questions were classified by taxonomy, focus, anatomy, and procedure. Answer references were tabulated by source. Relationships between tested material and national procedural volume were assessed via Pearson correlation. RESULTS: 301 questions addressed cosmetic topics (26% of all questions) and 20 required image interpretations (7%). Question-stem taxonomy favored decision-making (40%) and recall (37%) skills over interpretation (23%, P < .001). Answers focused on treatments/outcomes (67%) over pathology/anatomy (20%) and diagnoses (13%, P < .001). Tested procedures were largely surgical (85%) and focused on the breast (25%), body (18%), nose (13%), and eye (10%). The most common surgeries were breast augmentation (12%), rhinoplasty (11%), blepharoplasty (10%), and body contouring (6%). Minimally invasive procedures were lasers (5%), neuromodulators (4%), and fillers (3%). Plastic and Reconstructive Surgery (58%), Clinics in Plastic Surgery (7%), and Aesthetic Surgery Journal (6%) were the most cited journals, with a median 5-year publication lag. There was poor correlation between PSITE content and procedural volume data (r(2) = 0.138, P = .539). CONCLUSIONS: Plastic surgeons receive routine evaluation of cosmetic surgery knowledge. These data may help optimize clinical and didactic experiences for training in cosmetic surgery.",2015,10.1093/asj/sju151,35,6,739-745,eng,1527-330X 1090-820X,"Curriculum and Humans and Educational Measurement/*methods and Clinical Competence and *Surveys and Questionnaires and *Internship and Residency and Education, Medical, Graduate/*methods and Reconstructive Surgical Procedures/*education and Surgery, Plastic/*education",NA,NA,2015/08//undefined,Aesthet Surg J,NA,NA,NA,NA
Dumont_2017_Jopr.as.J,JOUR,Bilateral hand transplantation: Supporting the patient's choice,"Dumont, M. and Sann, L. and Gazarian, A.","Journal of plastic, reconstructive & aesthetic surgery : JPRAS","Bilateral hand transplantation, as a fairly new reconstructive option for amputees, raises major ethical questions. This article, which is based on the reflections arising from the rich experience of Lyon's team in this field, addresses the topic of supporting the patient in his choice for or against this procedure. How should autonomy be understood in this particular setting? The developing field of composite tissue allotransplantation needs to establish a common thinking on this subject. The article emphasises that, even if it is their right to decide, patients have to be carefully supported to help them make the most consolidated choice possible in this challenging procedure. We deal with the question of the choice between the uncertainty in this innovative procedure and a life-threatening treatment to alleviate a handicap. We outline that the entire process of hand allograft is a unique opportunity for the patients to strengthen and exercise their autonomy in interaction with the medical team.",2017,10.1016/j.bjps.2016.11.010,70,2,147-151,eng,1878-0539 1748-6815,Decision-making and Ethics and Humans and *Decision Making and *Informed Consent and *Personal Autonomy and Informed consent and Physician-Patient Relations/*ethics and Autonomy and Patient Selection/*ethics and Hand transplantation and Hand Transplantation/*ethics,NA,NA,2017/02//undefined,J Plast Reconstr Aesthet Surg,NA,NA,NA,NA
