label,type,title,author,journal,abstract,year,doi,volume,issue,pages,language,issn,keywords,url,institution,DA,j2,DP,l1,l2,ST
Dimitri_2019_Arofdiinch,JOUR,Child health technology: shaping the future of paediatrics and child health and improving NHS productivity,"Dimitri, Paul",Archives of disease in childhood,"In the last decade, technology has revolutionised the way we deliver healthcare. Smartphones, tablets, personal computers and bespoke devices have provided patients with the means to access health information, manage their healthcare and communicate with health professionals remotely. Advances in technology have the potential to change how acute and long-term conditions are diagnosed and managed and how illness is prevented using technological advances in artificial intelligence, virtual and augmented reality, robotics, 3D printing, new materials, biosensor technologies and data analytics. In the future, predictive analytics will help with earlier disease diagnosis in at-risk populations.Historically, development of child health innovation and technology has taken place in a relatively emergent manner with little formal coordination. The aim is to move away from the traditional approach of repurposing adult technologies to provide a large-scale and coordinated approach for the development of bespoke health technology for children that is anatomically, physiologically and developmentally appropriate, versatile and that has been designed with children and young people. The challenge for the National Health Service alongside healthcare systems across the world is to deliver increasingly complex healthcare at lower cost and with better quality of life and greater efficiency.",2019,10.1136/archdischild-2017-314309,104,2,184-188,eng,1468-2044 0003-9888,"innovation and Pediatrics and Humans and Child and Health Priorities and Patient Participation and technology and United Kingdom and Smartphone and digital and *Child Health Services and Wearable Electronic Devices and Delivery of Health Care/*organization & administration and *Efficiency, Organizational and *Biomedical Technology and Virtual Reality and child health and device and Printing, Three-Dimensional and State Medicine/*organization & administration",NA,NA,2019/02//undefined,Arch Dis Child,NA,NA,NA,NA
Coates_2020_Wab.jotACoM,JOUR,Induction of labour: Experiences of care and decision-making of women and clinicians,"Coates, Dominiek and Goodfellow, Alison and Sinclair, Lynn",Women and birth : journal of the Australian College of Midwives,"BACKGROUND: There has been a rise in induction of labour over recent decades. There is some tension in the literature in relation to when induction is warranted and when not, with variability between guidelines and practice. Given these tensions, the importance of shared decision-making between clinicians and women is increasingly highlighted as paramount, but it remains unclear to what extent this occurs in routine care. METHOD: Using a scoping review methodology, quantitative and qualitative evidence were considered to answer the research question ""What are the views, preferences and experiences of women and clinicians in relation to induction of labour more broadly, and practices of decision-making specifically?"" To identify studies, the databases PubMed, Maternity and Infant Care, CINAHL and EMBASE were searched from 2008 to 2018, and reference lists of included studies were examined. FINDINGS: 20 papers met inclusion criteria, in relation to (a) women's preferences, experiences and satisfaction with IOL; (b) women's experience of shared-decision making in relation to induction; (c) interventions that improve shared decision-making and (d) factors that influence decision-making from the perspective of clinicians. Synthesis of the included studies indicates that decision-making in relation to induction of labour is largely informed by medical considerations. Women are not routinely engaged in the decision making process with expectations and preferences largely unmet. CONCLUSION: There is a need to develop strategies such as decision aids, the redesign of antenatal classes, and clinician communication training to improve the quality of information available to women and their capacity for informed decision-making.",2020,10.1016/j.wombi.2019.06.002,33,1,e1-e14,eng,1878-1799 1871-5192,"Humans and Female and Satisfaction and Pregnancy and *Physician-Patient Relations and *Clinical Decision-Making and *Decision Making, Shared and *Labor, Induced and Experience of care and Factors that inform decision-making and Induction of labour and Shared decision-making",NA,NA,2020/02//undefined,Women Birth,NA,NA,NA,NA
Johansson_2014_Wab.jotACoM,JOUR,'As long as they are safe--birth mode does not matter' Swedish fathers' experiences of decision-making around caesarean section,"Johansson, Margareta and Hildingsson, Ingegerd and Fenwick, Jennifer",Women and birth : journal of the Australian College of Midwives,"BACKGROUND: Decision-making in childbirth involves considerations about both the mother and her unborn baby's wellbeing. For men the safety of both is paramount. AIM: To explore and describe Swedish fathers' beliefs and attitudes around the decision for a caesarean section. METHODS: Qualitative descriptive study. Twenty one Swedish men whose partners had experienced elective or emergency caesarean participated in a telephone interview. Thematic data analysis was used. FINDINGS: The theme, 'Childbirth is Risky', included ""Caesarean birth has lots of advantages"" and ""Birth mode does not matter"". In the context of having experienced a caesarean section male partners considered birth mode to be irrelevant. The majority considered caesarean to be a quick and efficient way of giving birth which equated to being safer. Most men could articulate some risks associated with caesarean but these were mainly minimised. The second theme, 'Simply a matter of trust: Birth mode is not my decision', reflected men's belief that they had little to contribute to the decisions made around birth mode. The decision for a caesarean section was considered to lie with the medical practitioner. CONCLUSION: Mode of birth was regarded as unimportant. The recommendation for a caesarean section was readily accepted and appreciated, and shifted responsibility for birth to the medical practitioner. Involving men in the decision-making process by means of giving them information was valued. Men's limited knowledge about the risks of a caesarean may contribute to birth mode decisions. Professionals need to provide balanced and correct information within the context of individual circumstances.",2014,10.1016/j.wombi.2014.03.003,27,3,208-213,eng,1878-1799 1871-5192,"Humans and Female and Male and Adult and Pregnancy and Interviews as Topic and Qualitative Research and Fear and Sweden and *Decision Making and *Health Knowledge, Attitudes, Practice and Fathers and *Cesarean Section and Caesarean section and Decision-making process and Experiences and Fathers/*psychology and Paternal Behavior and Pregnant Women/psychology and Qualitative study",NA,NA,2014/09//undefined,Women Birth,NA,NA,NA,NA
Rattray_2011_Wab.jotACoM,JOUR,Foetal monitoring: a woman-centred decision-making pathway,"Rattray, Janene and Flowers, Karen and Miles, Sandra and Clarke, Jillian",Women and birth : journal of the Australian College of Midwives,"PROBLEM: Many midwives continue to use continuous foetal monitoring on low risk women in labour, despite evidence based clinical guidelines to the contrary. Continuous foetal monitoring has been linked to increased rates of medical intervention during labour and birth with no improvement in long term neonatal outcomes. PARTICIPANTS: Midwives who used continuous foetal monitoring on low risk women in labour at two regional Queensland hospitals. METHODS: This Grounded Theory study explored midwives' decision-making processes related to the use of continuous electronic foetal monitoring on low risk labouring women. Primary data were gathered in semi-structured interviews with five purposively selected midwives and concurrently analysed using Grounded Theory techniques of theoretical sampling and constant comparison. FINDINGS: The midwives made the decision that led to continuous electronic foetal monitoring on low risk women at two key decision points during labour care; the first during the midwives' initial assessment of the woman and foetus, and the second when the midwives categorised the women as high or low risk. However, various factors impacted on these decisions including trust and staff workloads within a context of risk management and medical dominance. There was limited opportunity for women to be involved in the decision-making process about foetal monitoring and only partial information was provided prior to cardiotocography. CONCLUSIONS: Consistent with current clinical guidelines which recommend open, consultative discussion with the woman about foetal monitoring and a partnership approach towards decision-making following informed choice, a woman-centred foetal monitoring decision-making pathway is proposed. This pathway is applicable in midwifery education, research and clinical practice to promote both evidence based practice and woman-centred decision-making.",2011,10.1016/j.wombi.2010.08.003,24,2,65-71,eng,1878-1799 1871-5192,"Humans and Female and Pregnancy and Interviews as Topic and *Decision Making and *Patient Participation and *Labor, Obstetric and *Fetal Monitoring/adverse effects/methods and Midwifery/*methods",NA,NA,2011/06//undefined,Women Birth,NA,NA,NA,NA
Jefford_2010_Wab.jotACoM,JOUR,A review of the literature: midwifery decision-making and birth,"Jefford, Elaine and Fahy, Kathleen and Sundin, Deborah",Women and birth : journal of the Australian College of Midwives,"BACKGROUND: Clinical decision-making was initially studied in medicine where hypothetico-deductive reasoning is the model for decision-making. The nursing perspective on clinical decision-making has largely been shaped by Patricia Benner's ground breaking work. Benner claimed expert nurses use humanistic-intuitive ways of making clinical decisions rather than the 'rational reasoning' as claimed by medicine. Clinical decision-making in midwifery is not the same as either nursing or medical decision-making because of the woman-midwife partnership where the woman is the ultimate decision-maker. METHOD: CINHAL, Medline and Cochrane databases were systematically searched using key words derived from the guiding question. A review of the decision-making research literature in midwifery was undertaken where studies were published in English. The selection criteria for papers were: only research papers of direct relevance to the guiding research question were included in the review. FINDINGS: Decision-making is under-researched in midwifery and more specifically birth, as only 4 research articles met the inclusion criteria in this review. Three of the studies involved qualified midwives, and one involved student midwives. Two studies were undertaken in England, one in Scotland and one in Sweden. The major findings synthesised from this review, are that; (1) midwifery decision-making during birth is socially negotiated involving hierarchies of surveillance and control; (2) the role of the woman in shared decision-making during birth has not been explored by midwifery research; (3) clinical decision-making encompasses clinical reasoning as essential but not sufficient for midwives to actually implement their preferred decision. CONCLUSION: We argue that existing research does not inform the discipline of the complexity of midwifery clinical decision-making during birth. A well-designed study would involve investigating the clinical reasoning skills of the midwife, her relationship with the woman, the context of the particular birthing unit and the employment status of the midwife. The role of the woman as decision-maker in her own care during birth also needs careful research attention.",2010,10.1016/j.wombi.2010.02.001,23,4,127-134,eng,1878-1799 1871-5192,"England and Humans and Female and Pregnancy and Sweden and Scotland and *Decision Making and Parturition and *Delivery, Obstetric and *Nurse Midwives",NA,NA,2010/12//undefined,Women Birth,NA,NA,NA,NA
Rattray_2020_Wab.jotACoM,JOUR,Attitudes towards breech management among a team of maternity clinicians in Australia undertaking breech training,"Rattray, Janene and Rigg, Elizabeth and Partridge, Bradley and Taylor, Melissa",Women and birth : journal of the Australian College of Midwives,"BACKGROUND: Australian women seeking a vaginal breech birth report limited access to this option due to resistance from clinicians and strict medical criteria. Limited evidence exists to determine the attitudes, knowledge, experience and perceived confidence of Australian maternity clinicians towards the management of a breech presentation at term. AIM: The aim of this study is to identify experience, knowledge and attitudes of birth suite clinicians' before and after training, toward term breech presentation and management practices. METHODS: A mixed methods research design was used that included a survey tool. A survey of 29 midwives and 11 medical professionals who attended an educational course in breech management (""BABE - Becoming a Breech Expert"") was undertaken pre and post BABE training. RESULTS: While participants were experienced in providing maternity services, the results indicated most were inexperienced in facilitating a vaginal breech birth. Prior to training, most participants believed vaginal breech birth had a higher risk of neonatal morbidity and mortality compared to caesarean birth. The prospect of a woman choosing a breech birth outside of medical recommendations made many participants ""nervous"". Despite this, support to ensure there was informed decision-making and respect for a woman's choice was high. Following training, clinician knowledge of assessment of risks for breech birth and intention to discuss breech management options with women increased. CONCLUSIONS: Participation in breech management training is beneficial to increasing clinician knowledge and assessment of risk and confidence towards discussing vaginal breech birth management, respect for women's choice and informed decision-making.",2020,10.1016/j.wombi.2019.08.002,33,4,e348-e356,eng,1878-1799 1871-5192,"Humans and Female and Adult and Decision Making and Surveys and Questionnaires and Australia and Pregnancy and Delivery, Obstetric and *Attitude of Health Personnel and *Health Knowledge, Attitudes, Practice and Parturition/*psychology and Caesarean section and *Breech Presentation/psychology and Breech and External cephalic version and Midwifery/*education and Vaginal breech birth",NA,NA,2020/07//undefined,Women Birth,NA,NA,NA,NA
Hall_2017_Wab.jotACoM,JOUR,Educating student midwives around dignity and respect,"Hall, Jenny S. and Mitchell, Mary",Women and birth : journal of the Australian College of Midwives,"FOCUS: There is currently limited information available on how midwifery students learn to provide care that promotes dignity and respect. BACKGROUND: In recent years the importance of dignity in healthcare and treating people with respect has received considerable emphasis in both a national and international context. AIM: The aim of this discussion paper is to describe an educational workshop that enables learning to promote dignity and respect in maternity care. DISCUSSION: An interactive workshop, using different creative methods as triggers for learning will be described. Provision of learning opportunities for students around dignity and respect is important to ensure appropriate care is provided in practice. The use of creative methods to inspire has contributed to deep learning within participants. An evaluation of the workshop illustrated how learning impacted on participants practice. Data to support this is presented in this paper. CONCLUSION: The use of creative teaching approaches in a workshop setting appears to provide an effective learning opportunity around dignified and respectful care. These workshops have evoked a deep emotional response for some participants, and facilitators must be prepared for this outcome to ensure a safe space for learning.",2017,10.1016/j.wombi.2017.04.007,30,3,214-219,eng,1878-1799 1871-5192,"Humans and Female and Adult and Pregnancy and *Curriculum and Midwifery and Midwifery/*education and *Personhood and *Value of Life and Creative teaching approaches and Dignity and Education, Nursing, Baccalaureate/*organization & administration and Midwifery education and Nurse Midwives/*education and Respectful care",NA,NA,2017/06//undefined,Women Birth,NA,NA,NA,NA
Sanders_2019_Wab.jotACoM,JOUR,Sharing special birth stories. An explorative study of online childbirth narratives,"Sanders, Jose",Women and birth : journal of the Australian College of Midwives,"BACKGROUND: Increasingly, pregnant women, as active online media users, incorporate media driven values on childbirth that may not agree with professional midwifery values. In Dutch midwifery practice, online searching for other women's stories is often discouraged. However, online birth stories attract women as a means to learn from one another's experiences of childbirth. AIM: This study aims to explore Dutch women's use of an online social media platform (Instagram) to represent childbirth by analyzing their narrative strategies. METHOD: A collection of 110 Instagram-linked childbirth narratives (2015-2017) were analyzed applying an approach of interpretative repertoires. FINDINGS: The Dutch women in this study linked birth stories on their Instagram accounts that represented impactful experiences of childbirth. In their narratives, three interconnected repertoires are played out: sharing your story, going into details, and doing it yourself. This study highlights that narrative details of the online birth stories illustrate the physical and procedural obstacles that women overcame in giving birth. DISCUSSION: Reporting their emotional experiences in detail, women's online sharing of birth stories puts a focus on their personal preferences and decision making, and may ease the way for medical interventions. Without giving explicit advice, personal online birth stories could be instrumental in reformulating the standards of what childbirth is, or should be, like. CONCLUSION: Social media networks allow women to exchange stories that structure narrating women's childbirth experiences and offer a structure for the lived or future experiences of others. This may have an impact on women's decision-making during pregnancy and childbirth.",2019,10.1016/j.wombi.2018.12.009,32,6,e560-e566,eng,1878-1799 1871-5192,Decision making and Humans and Female and Social media and Pregnancy and Netherlands and *Social Media and *Social Support and Preferences and *Narration and *Parturition/ethnology/physiology/psychology and Childbirth stories and Health communication,NA,NA,2019/12//undefined,Women Birth,NA,NA,NA,NA
Parizkova_2019_Wab.jotACoM,JOUR,Women on the move: A search for preferred birth services,"Parizkova, Alena and Clausen, Jette Aaroe",Women and birth : journal of the Australian College of Midwives,"BACKGROUND: Women and midwives travel long distances, or abroad, to receive or provide birth services. Travel for birth services is not represented in the existing literature, despite the wide scale research available on medical travel. AIM: We explored the perspectives of women who were seeking better services outside their places of residence and midwives who travel to provide these services. METHOD: We followed a qualitative descriptive approach. We conducted 13 qualitative interviews with women from various European countries, four travelling midwives and one activist. Principles of thematic analysis were used. FINDINGS: Deciding whether to travel is the result of a long-term process, influenced by various push and pull factors. Travelling women and midwives share values; they trust the capacity of women to give birth; they value respect and equality in communication; they search for trusting relationships and friendly environments without unnecessary treatments. Trust and distrust on interpersonal and institutional levels influence women's decisions and frame narratives about their experiences. CONCLUSION: To a great extent, travelling women and midwives share the values embedded in the midwifery model of care. Women and midwives are willing to take matters into their own hands to achieve their expected birth experiences.",2019,10.1016/j.wombi.2018.10.003,32,4,e483-e491,eng,1878-1799 1871-5192,Communication and Humans and Female and Adult and Decision Making and Europe and Trust and Pregnancy and Qualitative Research and Parturition/*psychology and Respect and Midwifery/*methods and Birth and Medical Tourism/*psychology and Medical travel and Models of care and Travel/*psychology,NA,NA,2019/08//undefined,Women Birth,NA,NA,NA,NA
Kissler_2020_Wab.jotACoM,JOUR,A qualitative meta-synthesis of women's experiences of labor dystocia,"Kissler, Katherine and Jones, Jacqueline and McFarland, A. Kristienne and Luchsinger, Jacalyn",Women and birth : journal of the Australian College of Midwives,"PROBLEM: Researchers have prioritized understanding and differentiating the pathophysiologic mechanisms to improve precision in diagnosis and individualization of care, however the experiences of women with labor dystocia have been underexamined. BACKGROUND: Management of labor dystocia has been identified as an opportunity for reducing the rate of unnecessary cesarean births and the associated risks to women and their infants. This meta-synthesis explores women's experiences of labor dystocia to enrich the discussion of care practices and contextualize discussions of shared decision making in what is most meaningful to women. QUESTIONS: How does prolonged labor influence women's experience of birth and motherhood? What are women's experiences with decision-making about labor augmentation during prolonged labor? METHODS: Sandelowski and Barroso's meta-synthesis approach was used to analyze primary qualitative studies of women's experiences of labor dystocia. Through inductive thematic synthesis and reciprocal translation, themes identified in qualitative research, quotations, and coded meaning units were aggregated and interpreted into derived categories and themes. FINDINGS: Fourteen qualitative studies were analyzed. Women experienced labor dystocia as a transition from healthy labor to abnormal labor requiring medical support consistent with Transition Theory by Meleis. Six new categories and thirty themes were identified. Each category and theme reflects a distinct component of the experience of labor dystocia. DISCUSSION/CONCLUSION: There is wide variation in the way women experience labor dystocia. Facilitation of the transition from healthy labor to labor dystocia can be supported by a fluid, adaptable method of caring for women in the face of uncertainty and loss of choice.",2020,10.1016/j.wombi.2019.08.001,33,4,e332-e338,eng,1878-1799 1871-5192,"Humans and Female and Adult and Decision Making and Pregnancy and Qualitative methods and Childbirth and Qualitative Research and Cesarean Section and Parturition/*psychology and Augmentation and Dystocia/*psychology and Labor dystocia and Labor, Obstetric/*psychology and Meta-synthesis and Mothers/*psychology",NA,NA,2020/07//undefined,Women Birth,NA,NA,NA,NA
