label,type,title,author,journal,abstract,year,doi,volume,issue,pages,language,issn,keywords,url,institution,DA,j2,DP,l1,l2,ST
Kueper_2020_Anoffame,JOUR,Artificial Intelligence and Primary Care Research: A Scoping Review,"Kueper, Jacqueline K. and Terry, Amanda L. and Zwarenstein, Merrick and Lizotte, Daniel J.",Annals of family medicine,"PURPOSE: Rapid increases in technology and data motivate the application of artificial intelligence (AI) to primary care, but no comprehensive review exists to guide these efforts. Our objective was to assess the nature and extent of the body of research on AI for primary care. METHODS: We performed a scoping review, searching 11 published or gray literature databases with terms pertaining to AI (eg, machine learning, bayes* network) and primary care (eg, general pract*, nurse). We performed title and abstract and then full-text screening using Covidence. Studies had to involve research, include both AI and primary care, and be published in Eng-lish. We extracted data and summarized studies by 7 attributes: purpose(s); author appointment(s); primary care function(s); intended end user(s); health condition(s); geographic location of data source; and AI subfield(s). RESULTS: Of 5,515 unique documents, 405 met eligibility criteria. The body of research focused on developing or modifying AI methods (66.7%) to support physician diagnostic or treatment recommendations (36.5% and 13.8%), for chronic conditions, using data from higher-income countries. Few studies (14.1%) had even a single author with a primary care appointment. The predominant AI subfields were supervised machine learning (40.0%) and expert systems (22.2%). CONCLUSIONS: Research on AI for primary care is at an early stage of maturity. For the field to progress, more interdisciplinary research teams with end-user engagement and evaluation studies are needed.",2020,10.1370/afm.2518,18,3,250-258,eng,1544-1717 1544-1709,artificial intelligence and Humans and decision support and electronic health records and data mining and big data and treatment and diagnosis and primary care and health informatics and health information technology and *Artificial Intelligence and *Primary Health Care and scoping review and family medicine and Interdisciplinary Research/*statistics & numerical data,NA,NA,2020/05//undefined,Ann Fam Med,NA,NA,NA,NA
Matulis_2021_Joofgeinme,JOUR,"Patient-Centered Appointment Scheduling: a Call for Autonomy, Continuity, and Creativity","Matulis, John C. and McCoy, Rozalina",Journal of general internal medicine,"When making an appointment, patients are generally unaware of how much clinician time is available to address their concerns. Similarly, the primary care clinician is often unaware of what the patient expects to accomplish during the visit, leading to uncertainty about how much time they can allot to each sequentially appearing concern, and whether they can reasonably expect to address necessary preventive services and chronic disease management. Neither patient nor clinician expectations can be adequately managed through standardized scheduling templates, which assign a fixed appointment length based on a single stated reason for the visit. As such, standardized appointment scheduling may contribute to inefficient use of valuable face-to-face time, patient and clinician dissatisfaction, and low-value care. Herein, we suggest several potential mechanisms for improving the scheduling process, including (1) entrusting scheduling to the primary care team; (2) advance visit planning; (3) pro-active engagement of ancillary team members including behavioral health, nursing, social work, and pharmacy; and (4) application of innovative, technologically advanced solutions such as telehealth and artificial intelligence to the scheduling process. These changes have the potential to improve efficiency, patient and clinician satisfaction, and health outcomes, while decreasing low-value testing and return visits for unaddressed concerns.",2021,10.1007/s11606-020-06058-9,36,2,511-514,eng,1525-1497 0884-8734,Humans and Patient-Centered Care and Primary Health Care and Chronic Disease and *Artificial Intelligence and *Appointments and Schedules and call center and primary healthcare and appointments and schedules and healthcare quality and professional autonomy,NA,NA,2021/02//undefined,J Gen Intern Med,NA,NA,NA,NA
Wilfling_2020_BMCfampra,JOUR,Big data analysis techniques to address polypharmacy in patients - a scoping review,"Wilfling, D. and Hinz, A. and Steinhauser, J.",BMC family practice,"BACKGROUND: Polypharmacy is a key challenge in healthcare especially in older and multimorbid patients. The use of multiple medications increases the potential for drug interactions and for prescription of potentially inappropriate medications. eHealth solutions are increasingly recommended in healthcare, with big data analysis techniques as a major component. In the following we use the term analysis of big data as referring to the computational analysis of large data sets to find patterns, trends, and associations in large data sets collected from a wide range of sources in contrast to using classical statistics programs. It is hypothesized that big data analysis is able to reveal patterns in patient data that would not be identifiable using conventional methods of data analysis. The aim of this review was to evaluate whether there are existing big data analysis techniques that can help to identify patients consuming multiple drugs and to assist in the reduction of polypharmacy in patients. METHODS: A computerized search was conducted in February 2019 and updated in May 2020, using the PubMed, Web of Science and Cochrane Library databases. The search strategy was defined by the principles of a systematic search, using the PICO scheme. All studies evaluating big data analytics about patients consuming multiple drugs were considered. Two researchers assessed all search results independently to identify eligible studies. The data was then extracted into standardized tables. RESULTS: A total of 327 studies were identified through the database search. After title and abstract screening, 302 items were removed. Only three studies were identified as addressing big data analysis techniques in patients with polypharmacy. One study extracted antipsychotic polypharmacy data, the second introduced a decision support system to evaluate side-effects in patients with polypharmacy and the third evaluated a decision support system to identify polypharmacy-related problems in individuals. CONCLUSIONS: There are few studies to date which have used big data analysis techniques for identification and management of polypharmacy. There may be a need to further explore interdisciplinary collaboration between computer scientists and healthcare professionals, to develop and evaluate big data analysis techniques that can be implemented to manage polypharmacy.",2020,10.1186/s12875-020-01247-1,21,1,180,eng,1471-2296,Humans and Aged and Big Data and Big data and Polypharmacy and eHealth and Potentially Inappropriate Medication List and *Data Analysis and *Polypharmacy and Multimorbidity,NA,NA,2020/09/03/,BMC Fam Pract,NA,NA,NA,NA
Lin_2019_Joofgeinme,JOUR,Ten Ways Artificial Intelligence Will Transform Primary Care,"Lin, Steven Y. and Mahoney, Megan R. and Sinsky, Christine A.",Journal of general internal medicine,"Artificial intelligence (AI) is poised as a transformational force in healthcare. This paper presents a current environmental scan, through the eyes of primary care physicians, of the top ten ways AI will impact primary care and its key stakeholders. We discuss ten distinct problem spaces and the most promising AI innovations in each, estimating potential market sizes and the Quadruple Aims that are most likely to be affected. Primary care is where the power, opportunity, and future of AI are most likely to be realized in the broadest and most ambitious scale. We propose how these AI-powered innovations must augment, not subvert, the patient-physician relationship for physicians and patients to accept them. AI implemented poorly risks pushing humanity to the margins; done wisely, AI can free up physicians' cognitive and emotional space for patients, and shift the focus away from transactional tasks to personalized care. The challenge will be for humans to have the wisdom and willingness to discern AI's optimal role in twenty-first century healthcare, and to determine when it strengthens and when it undermines human healing. Ongoing research will determine the impact of AI technologies in achieving better care, better health, lower costs, and improved well-being of the workforce.",2019,10.1007/s11606-019-05035-1,34,8,1626-1630,eng,1525-1497 0884-8734,artificial intelligence and Humans and primary care and Risk Assessment/methods and Artificial Intelligence/*trends and patient-physician relationship and Primary Health Care/economics/organization & administration/*trends and Quadruple Aim,NA,NA,2019/08//undefined,J Gen Intern Med,NA,NA,NA,NA
Chawla_2013_Joofgeinme,JOUR,Bringing big data to personalized healthcare: a patient-centered framework,"Chawla, Nitesh V. and Davis, Darcy A.",Journal of general internal medicine,"Faced with unsustainable costs and enormous amounts of under-utilized data, health care needs more efficient practices, research, and tools to harness the full benefits of personal health and healthcare-related data. Imagine visiting your physician's office with a list of concerns and questions. What if you could walk out the office with a personalized assessment of your health? What if you could have personalized disease management and wellness plan? These are the goals and vision of the work discussed in this paper. The timing is right for such a research direction--given the changes in health care, reimbursement, reform, meaningful use of electronic health care data, and patient-centered outcome mandate. We present the foundations of work that takes a Big Data driven approach towards personalized healthcare, and demonstrate its applicability to patient-centered outcomes, meaningful use, and reducing re-admission rates.",2013,10.1007/s11606-013-2455-8,28 Suppl 3,Suppl 3,665-S660,eng,1525-1497 0884-8734,Humans and Medical Informatics Applications and Disease Management and Data Mining/*methods and Precision Medicine/*methods and Patient-Centered Care/*organization & administration and Delivery of Health Care/organization & administration,NA,NA,2013/09//undefined,J Gen Intern Med,NA,NA,NA,NA
Wong_2018_Joofgeinme,JOUR,Identifying Latent Subgroups of High-Risk Patients Using Risk Score Trajectories,"Wong, Edwin S. and Yoon, Jean and Piegari, Rebecca I. and Rosland, Ann-Marie M. and Fihn, Stephan D. and Chang, Evelyn T.",Journal of general internal medicine,"OBJECTIVE: Many healthcare systems employ population-based risk scores to prospectively identify patients at high risk of poor outcomes, but it is unclear whether single point-in-time scores adequately represent future risk. We sought to identify and characterize latent subgroups of high-risk patients based on risk score trajectories. STUDY DESIGN: Observational study of 7289 patients discharged from Veterans Health Administration (VA) hospitals during a 1-week period in November 2012 and categorized in the top 5th percentile of risk for hospitalization. METHODS: Using VA administrative data, we calculated weekly risk scores using the validated Care Assessment Needs model, reflecting the predicted probability of hospitalization. We applied the non-parametric k-means algorithm to identify latent subgroups of patients based on the trajectory of patients' hospitalization probability over a 2-year period. We then compared baseline sociodemographic characteristics, comorbidities, health service use, and social instability markers between identified latent subgroups. RESULTS: The best-fitting model identified two subgroups: moderately high and persistently high risk. The moderately high subgroup included 65% of patients and was characterized by moderate subgroup-level hospitalization probability decreasing from 0.22 to 0.10 between weeks 1 and 66, then remaining constant through the study end. The persistently high subgroup, comprising the remaining 35% of patients, had a subgroup-level probability increasing from 0.38 to 0.41 between weeks 1 and 52, and declining to 0.30 at study end. Persistently high-risk patients were older, had higher prevalence of social instability and comorbidities, and used more health services. CONCLUSIONS: On average, one third of patients initially identified as high risk stayed at very high risk over a 2-year follow-up period, while risk for the other two thirds decreased to a moderately high level. This suggests that multiple approaches may be needed to address high-risk patient needs longitudinally or intermittently.",2018,10.1007/s11606-018-4653-x,33,12,2120-2126,eng,1525-1497 0884-8734,"machine learning and Humans and Female and Male and Middle Aged and Aged and Prospective Studies and Risk Factors and patient-centered medical home and risk stratification and Follow-Up Studies and United States/epidemiology and Hospitalization/*trends and high risk and Hospitals, Veterans/standards/*trends and latent subgroups and Machine Learning/standards/*trends and trajectory and United States Department of Veterans Affairs/standards/*trends",NA,NA,2018/12//undefined,J Gen Intern Med,NA,NA,NA,NA
Khanna_2019_Anoffame,JOUR,Practice Transformation Analytics Dashboard for Clinician Engagement,"Khanna, Niharika and Gritzer, Lauren and Klyushnenkova, Elena and Montgomery, Russ and Dark, Michael and Shah, Savyasachi and Shaya, Fadia",Annals of family medicine,"PURPOSE: Practice transformation in primary care is a movement toward data-driven redesign of care, patient-centered care delivery, and practitioner activation. A critical requirement for achieving practice transformation is availability of tools to engage practices. METHODS: A total of 48 practices with 109 practice sites participate in the Garden Practice Transformation Network in Maryland (GPTN-Maryland) to work together toward practice transformation and readiness for the Quality Payment Program implemented by the Centers for Medicare & Medicaid Services. Practice-specific data are collected in GPTN-Maryland by practices themselves and by practice transformation coaches, and are provided by the Centers for Medicare & Medicaid Services. These data are overwhelming to practices when presented piecemeal or together, a barrier to practices taking action to ensure progress on the transformation spectrum. The GPTN-Maryland team therefore created a practice transformation analytics dashboard as a tool to present data that are actionable in care redesign. RESULTS: When practices reviewed their data provided by the Centers for Medicare & Medicaid Services using the dashboard, they were often seeing, for the first time, cost data on their patients, trends in their key performance indicator data, and their practice transformation phase. Overall, 72% of practices found the dashboard engaging, and 48% found the data as presented to be actionable. CONCLUSIONS: The practice transformation analytics dashboard encourages practices to advance in practice transformation and improvement of patient care delivery. This tool engaged practices in discussions about data, care redesign, and costs of care, and about how to develop sustainable change within their practices. Research is needed to study the impact of the dashboard on costs and quality of care delivery.",2019,10.1370/afm.2382,17,Suppl 1,S73-S76,eng,1544-1717 1544-1709,"United States and Humans and Quality Indicators, Health Care and primary care and value-based care and Maryland and health information technology and Patient Acceptance of Health Care/*statistics & numerical data and Patient Care Management/organization & administration and quality indicators, health care and analytics data dashboard and Medicare/statistics & numerical data and Patient-Centered Care/economics/*organization & administration/standards and practice transformation and practice-based research and Quality of Health Care/economics/*organization & administration",NA,NA,2019/08/12/,Ann Fam Med,NA,NA,NA,NA
Molokhia_2017_BMCfampra,JOUR,Current and future perspectives on the management of polypharmacy,"Molokhia, Mariam and Majeed, Azeem",BMC family practice,"BACKGROUND: Because of ageing populations, the growth in the number of people with multi-morbidity and greater compliance with disease-specific guidelines, polypharmacy is becoming increasingly common. Although the correct drug treatment in patients with complex medical problems can improve clinical outcomes, quality of life and life expectancy, polypharmacy is also associated with an increased risk of adverse drug events, some severe enough to result in hospital admission and even death. Hence, having systems in place to ensure that medications are started only when there is a suitable indication, ensuring patients are fully aware of the benefits and complications that may arise from their treatment, and reviewing patients regularly to ensure their medication regime remains appropriate, are essential. DISCUSSION: The development and rapid uptake of electronic patient records - particularly in primary care settings where the majority of prescribing takes place - makes monitoring of patients more straightforward than in the past; and allows identification of sub-groups of patients at particularly high risk of adverse drug events and complications. It also facilitates 'deprescribing' the process by which medications are reviewed and stopped if not clinically beneficial. In recent years, we have also seen the development of smartphone 'apps' to improve communication between patients and healthcare professionals, improve people's understanding of their conditions and their treatment, and maintain a record of changes made to patient's medication. In the longer term, developments such as the introduction of artificial intelligence and clinical decision support systems also have the potential to improve prescribing and minimise the risks from polypharmacy. Finally, there is considerable scope to improve the quality of prescribing and reduce risks from poly-pharmacy using non-medical groups such as pharmacists, specialist nurses and physician assistants. Polypharmacy has increased in recent decades and will continue to increase as populations age and the number of people with multiple long-term conditions increases. As with all areas of medicine, the evidence-base in this area continues to evolve. Further trials on the impact on patients with polypharmacy of new interventions such as technology-based solutions and the use of different professional groups are needed to improve the evidence-base in this area.",2017,10.1186/s12875-017-0642-0,18,1,70,eng,1471-2296,Patient safety and Humans and Risk Assessment and Aged and Forecasting and Patient Participation and Risk Factors and Polypharmacy and Medication Reconciliation and Multimorbidity/trends and *Polypharmacy and Multimorbidity and Drug-Related Side Effects and Adverse Reactions/etiology/prevention & control,NA,NA,2017/06/06/,BMC Fam Pract,NA,NA,NA,NA
Hojat_2020_Joofgeinme,JOUR,Doubling Hepatitis C Virus Screening in Primary Care Using Advanced Electronic Health Record Tools-A Non-Randomized Controlled Trial,"Hojat, Leila and Avery, Ann and Greco, Peter J. and Kaelber, David C.",Journal of general internal medicine,"BACKGROUND: Hepatitis C virus (HCV) infection is a major public health burden, affecting over 4 million people. The Centers for Disease Control and Prevention and the US Preventive Services Task Force guidelines recommend screening everyone born between 1945 and 1965, but screening rates remain low. OBJECTIVE: To determine whether bulk ordering and electronic messaging to patients improves guideline-based HCV screening rates. DESIGN: A non-randomized controlled trial of 1024 adults from November 2016 to March 2017. PARTICIPANTS: Patients due for HCV screening with at least one primary care office visit in one of three primary care clinics and enrolled in the healthcare system's tethered personal health record (tPHR). INTERVENTIONS: Control patients received normal care for HCV screening, consisting of passive HCV reminders to providers during face-to-face visits and passive HCV screening notification through the patient's tPHR. Intervention patients received normal care and also had HCV antibody tests ordered for them and customized messages sent through their tPHR inviting them to go directly to the lab for HCV screening over a 12-week period. MAIN MEASURES: Percentage/number of patients receiving HCV antibody tests during the intervention period. Percentage/number of intervention group patients receiving HCV screening with other blood work. KEY RESULTS: In the intervention group, 33% (168 of 514) completed HCV testing, compared with 19% (97 of 510) of controls (OR 1.7, 95% CI 1.2-2.1). Bulk lab ordering appeared to have a large impact while bulk messaging appeared to have a less significant role. CONCLUSIONS: Leveraging population analytics and bulk ordering in an electronic health record with bulk messaging to a tPHR directly engages patients in blood screening tests and can significantly improve completion. This methodology has a broad range of applications including many recommended screening or disease-specific testing. This bulk ordering and direct-to-patient messaging approach improves patient screening while decreasing provider/staff work. TRIAL REGISTRATION: MetroHealth IRB16-00776 (ClinicalTrials.gov).",2020,10.1007/s11606-019-05536-z,35,2,498-504,eng,1525-1497 0884-8734,Humans and Electronic Health Records and Adult and Primary Health Care and electronic health records and personal health records and screening and population health management and Mass Screening and *Hepacivirus and *Hepatitis C/diagnosis/epidemiology and hepatitis C virus,NA,NA,2020/02//undefined,J Gen Intern Med,NA,NA,NA,NA
Krishnakumar_2019_BMCfampra,JOUR,What rationale do GPs use to choose a particular antibiotic for a specific clinical situation?,"Krishnakumar, Jegatha and Tsopra, Rosy",BMC family practice,"BACKGROUND: Many studies have investigated the ways in which physicians decide whether to prescribe antibiotics, but very few studies have focused on the reasons for which general practitioners (GPs) choose to prescribe a particular antibiotic in a specific clinical situation. Improvements in our understanding of the rationale behind GPs' decisions would provide insight into the reasons for which GPs do not always prescribe the antibiotic recommended in clinical practice guidelines and facilitate the development of appropriate interventions to improve antibiotic prescription. The objective of the study was to understand the rationale used by GPs to decide which antibiotic to prescribe in a specific clinical situation, and to propose a model representing this rationale. METHODS: We used a three-step process. First, data were collected from interviews with 20 GPs, and analysed according to the grounded theory approach. Second, data were collected from publications exploring the factors used by GPs to choose an antibiotic. Third, data were used to develop a comprehensive model of the rationale used by GPs to decide which antibiotic to prescribe. RESULTS: The GPs considered various factors when choosing antibiotics: factors relating to microbiology (bacterial resistance), pharmacology (adverse effects, efficacy, practicality of the administration protocol, antibiotic class, drug cost), clinical conditions (patient profile and comorbid conditions, symptoms, progression of infection, history of antibiotic treatment, preference), and personal factors (GP's experience, knowledge, emotion, preference). CONCLUSIONS: Various interventions, targeting all the factors underlying antibiotic choice, are required to improve antibiotic prescription. GP-related factors could be improved through interventions aiming to improve the GPs' knowledge of antibiotics (e.g. continuing medical education). Factors relating to microbiology, pharmacology and clinical conditions could be targeted through the use of clinical decision support systems in everyday clinical practice.",2019,10.1186/s12875-019-1068-7,20,1,178,eng,1471-2296,"General practice and Primary care and Humans and Female and Male and Adult and Middle Aged and Aged and Interviews as Topic and General Practitioners/*psychology and *Choice Behavior and *Practice Patterns, Physicians' and Anti-Bacterial Agents/*therapeutic use and Clinical decision-making and Antibacterial agents",NA,NA,2019/12/20/,BMC Fam Pract,NA,NA,NA,NA
