label,type,title,author,journal,abstract,year,doi,volume,issue,pages,language,issn,keywords,url,institution,DA,j2,DP,l1,l2,ST
Oh_2019_Joofafdi,JOUR,Identifying depression in the National Health and Nutrition Examination Survey data using a deep learning algorithm,"Oh, Jihoon and Yun, Kyongsik and Maoz, Uri and Kim, Tae-Suk and Chae, Jeong-Ho",Journal of affective disorders,"BACKGROUND: As depression is the leading cause of disability worldwide, large-scale surveys have been conducted to establish the occurrence and risk factors of depression. However, accurately estimating epidemiological factors leading up to depression has remained challenging. Deep-learning algorithms can be applied to assess the factors leading up to prevalence and clinical manifestations of depression. METHODS: Customized deep-neural-network and machine-learning classifiers were assessed using survey data from 19,725 participants from the NHANES database (from 1999 through 2014) and 4949 from the South Korea NHANES (K-NHANES) database in 2014. RESULTS: A deep-learning algorithm showed area under the receiver operating characteristic curve (AUCs) of 0.91 and 0.89 for detecting depression in NHANES and K-NHANES, respectively. The deep-learning algorithm trained with serial datasets (NHANES, from 1999 to 2012), predicted the prevalence of depression in the following two years of data (NHANES, 2013 and 2014) with an AUC of 0.92. Machine learning classifiers trained with NHANES could further predict depression in K-NHANES. There, logistic regression had the highest performance (AUC, 0.77) followed by deep learning algorithm (AUC, 0.74). CONCLUSIONS: Deep neural-networks managed to identify depression well from other health and demographic factors in both the NHANES and K-NHANES datasets. The deep-learning algorithm was also able to predict depression relatively well on new data set-cross temporally and cross nationally. Further research can delineate the clinical implications of machine learning and deep learning in detecting disease prevalence and progress as well as other risk factors for depression and other mental illnesses.",2019,10.1016/j.jad.2019.06.034,257,NA,623-631,eng,1573-2517 0165-0327,"Machine learning and Depression and Humans and Female and Male and Adult and Middle Aged and Machine Learning and Deep learning and Databases, Factual and Risk Factors and Nutrition Surveys and ROC Curve and *Algorithms and Neural Networks, Computer and *Deep Learning and Depression/*epidemiology and Republic of Korea and National Health and Nutrition Examination Survey",NA,NA,2019/10/01/,J Affect Disord,NA,NA,NA,NA
Hatton_2019_Joofafdi,JOUR,Predicting persistent depressive symptoms in older adults: A machine learning approach to personalised mental healthcare,"Hatton, Christopher M. and Paton, Lewis W. and McMillan, Dean and Cussens, James and Gilbody, Simon and Tiffin, Paul A.",Journal of affective disorders,"BACKGROUND: Depression causes significant physical and psychosocial morbidity. Predicting persistence of depressive symptoms could permit targeted prevention, and lessen the burden of depression. Machine learning is a rapidly expanding field, and such approaches offer powerful predictive abilities. We investigated the utility of a machine learning approach to predict the persistence of depressive symptoms in older adults. METHOD: Baseline demographic and psychometric data from 284 patients were used to predict the likelihood of older adults having persistent depressive symptoms after 12 months, using a machine learning approach ('extreme gradient boosting'). Predictive performance was compared to a conventional statistical approach (logistic regression). Data were drawn from the 'treatment-as-usual' arm of the CASPER (CollAborative care and active surveillance for Screen-Positive EldeRs with subthreshold depression) trial. RESULTS: Predictive performance was superior using machine learning compared to logistic regression (mean AUC 0.72 vs. 0.67, p<e2><80><af><<e2><80><af>0.0001). Using machine learning, an average of 89% of those predicted to have PHQ-9 scores above threshold at 12 months actually did, compared to 78% using logistic regression. However, mean negative predictive values were somewhat lower for the machine learning approach (45% vs. 35%). LIMITATIONS: A relatively small sample size potentially limited the predictive power of the algorithm. In addition, PHQ-9 scores were used as an indicator of persistent depressive symptoms, and whilst well validated, a clinical interview would have been preferable. CONCLUSIONS: Overall, our findings support the potential application of machine learning in personalised mental healthcare.",2019,10.1016/j.jad.2018.12.095,246,NA,857-860,eng,1573-2517 0165-0327,"Machine learning and Depression and Humans and Female and Male and Risk Assessment and Aged and Logistic Models and Delivery of Health Care and Algorithms and Aged, 80 and over and Predictive Value of Tests and Age Factors and Follow-Up Studies and Psychiatric Status Rating Scales and *Decision Support Techniques and *Machine Learning and Depression/*diagnosis/etiology and Old age psychiatry",NA,NA,2019/03/01/,J Affect Disord,NA,NA,NA,NA
Weissman_2020_JAMApsyc,JOUR,Big Data Begin in Psychiatry,"Weissman, Myrna M.",JAMA psychiatry,"The last 40 years of JAMA Psychiatry are reviewed as a celebration of its achievements. The focus of this article is on the evolution of big data as reflected in key journal articles. The review begins in 1984 with the introduction of the Epidemiology Catchment Area (ECA) study and Freedman's editorial ""Psychiatric Epidemiology Counts."" The ECA study (N = 17<e2><80><af>000), for the first time in a survey, used clinical diagnosis in 5 urban communities, thus linking research and care to population rates of psychiatric diagnosis. The review then traces the subsequent evolution of big data to 5 overlapping phases, other population surveys in the US and globally, cohort studies, administrative claims, large genetic data sets, and electronic health records. Each of these topics are illustrated in articles in JAMA Psychiatry. The many caveats to these choices, the historical roots before 1984, as well as the controversy around the choice of topics and the term big data are acknowledged. The foundation for big data in psychiatry was built on the development of defined and reliable diagnosis, assessment tools that could be used in large samples, the computational evolution for handling large data sets, hypothesis generated by smaller studies of humans and animals with carefully crafted phenotypes, the welcoming of investigators from all over the world with calls for broader diversity, open access and the sharing of data, and introduction of electronic health records more recently. Future directions as well as the opportunities for the complementary roles of big and little data are described. JAMA Psychiatry will continue to be a rich resource of these publications.",2020,10.1001/jamapsychiatry.2020.0954,77,9,967-973,eng,2168-6238 2168-622X,"Humans and History, 21st Century and History, 20th Century and *Big Data and *Biomedical Research/history/statistics & numerical data and *Mental Disorders/epidemiology/genetics and *Psychiatry/history/statistics & numerical data",NA,NA,2020/09/01/,JAMA Psychiatry,NA,NA,NA,NA
Reilly.Harrington_2016_Joofafdi,JOUR,Tracking medication changes to assess outcomes in comparative effectiveness research: A bipolar CHOICE study,"Reilly-Harrington, Noreen A. and Sylvia, Louisa G. and Rabideau, Dustin J. and Gold, Alexandra K. and Deckersbach, Thilo and Bowden, Charles L. and Bobo, William V. and Singh, Vivek and Calabrese, Joseph R. and Shelton, Richard C. and Friedman, Edward S. and Thase, Michael E. and Kamali, Masoud and Tohen, Mauricio and McInnis, Melvin G. and McElroy, Susan L. and Ketter, Terence A. and Kocsis, James H. and Kinrys, Gustavo and Nierenberg, Andrew A.",Journal of affective disorders,"BACKGROUND: Comparative effectiveness research uses multiple tools, but lacks outcome measures to assess large electronic medical records and claims data. Aggregate changes in medications in response to clinical need may serve as a surrogate outcome measure. We developed the Medication Recommendation Tracking Form (MRTF) to record the frequency, types, and reasons for medication adjustments in order to calculate Necessary Clinical Adjustments (NCAs), medication adjustments to reduce symptoms, maximize treatment response, or address problematic side effects. METHODS: The MRTF was completed at every visit for 482 adult patients in Bipolar CHOICE, a 6-month randomized comparative effectiveness trial. RESULTS: Responders had significantly fewer NCAs compared to non-responders. NCAs predicted subsequent response status such that every additional NCA during the previous visit decreased a patient's odds of response by approximately 30%. Patients with more severe symptoms had a greater number of NCAs at the subsequent visit. Patients with a comorbid anxiety disorder demonstrated a significantly higher rate of NCAs per month than those without a comorbid anxiety disorder. Patients with greater frequency, intensity, and interference of side effects had higher rates of NCAs. Participants with fewer NCAs reported a higher quality of life and decreased functional impairment. LIMITATIONS: The MRTF has not been examined in community clinic settings and did not predict response more efficiently than the Clinical Global Impression-Bipolar Version (CGI-BP). CONCLUSIONS: The MRTF is a feasible proxy of clinical outcome, with implications for clinical training and decision-making. Analyses of big data could use changes in medications as a surrogate outcome measure.",2016,10.1016/j.jad.2016.07.007,205,NA,159-164,eng,1573-2517 0165-0327,"Humans and Female and Male and Adult and Middle Aged and Young Adult and Aged and Decision Making and Quality of Life and Choice Behavior and Antipsychotic Agents/*therapeutic use and Outcome Assessment, Health Care/*methods and *Big data and *Bipolar disorder and *Comparative effectiveness and *Comparative Effectiveness Research and *Electronic medical record and *Medication and Antimanic Agents/*therapeutic use and Bipolar Disorder/diagnosis/*diet therapy",NA,NA,2016/11/15/,J Affect Disord,NA,NA,NA,NA
Hahn_2017_Molepsyc,JOUR,"Predictive analytics in mental health: applications, guidelines, challenges and perspectives","Hahn, T. and Nierenberg, A. A. and Whitfield-Gabrieli, S.",Molecular psychiatry,"The emerging field of 'predictive analytics in mental health' has recently generated tremendous interest with the bold promise to revolutionize clinical practice in psychiatry paralleling similar developments in personalized and precision medicine. Here, we provide an overview of the key questions and challenges in the field, aiming to (1) propose general guidelines for predictive analytics projects in psychiatry, (2) provide a conceptual introduction to core aspects of predictive modeling technology, and (3) foster a broad and informed discussion involving all stakeholders including researchers, clinicians, patients, funding bodies and policymakers.",2017,10.1038/mp.2016.201,22,1,37-43,eng,1476-5578 1359-4184,Humans and Mental Health and Forecasting/*methods and Psychiatry/*methods/statistics & numerical data and Precision Medicine/*psychology/statistics & numerical data/trends,NA,NA,2017/01//undefined,Mol Psychiatry,NA,NA,NA,NA
Taquet_2021_ThelanPsy,JOUR,Bidirectional associations between COVID-19 and psychiatric disorder: retrospective cohort studies of 62 354 COVID-19 cases in the USA,"Taquet, Maxime and Luciano, Sierra and Geddes, John R. and Harrison, Paul J.",The lancet. Psychiatry,"BACKGROUND: Adverse mental health consequences of COVID-19, including anxiety and depression, have been widely predicted but not yet accurately measured. There are a range of physical health risk factors for COVID-19, but it is not known if there are also psychiatric risk factors. In this electronic health record network cohort study using data from 69 million individuals, 62 354 of whom had a diagnosis of COVID-19, we assessed whether a diagnosis of COVID-19 (compared with other health events) was associated with increased rates of subsequent psychiatric diagnoses, and whether patients with a history of psychiatric illness are at a higher risk of being diagnosed with COVID-19. METHODS: We used the TriNetX Analytics Network, a global federated network that captures anonymised data from electronic health records in 54 health-care organisations in the USA, totalling 69<c2><b7>8 million patients. TriNetX included 62 354 patients diagnosed with COVID-19 between Jan 20, and Aug 1, 2020. We created cohorts of patients who had been diagnosed with COVID-19 or a range of other health events. We used propensity score matching to control for confounding by risk factors for COVID-19 and for severity of illness. We measured the incidence of and hazard ratios (HRs) for psychiatric disorders, dementia, and insomnia, during the first 14 to 90 days after a diagnosis of COVID-19. FINDINGS: In patients with no previous psychiatric history, a diagnosis of COVID-19 was associated with increased incidence of a first psychiatric diagnosis in the following 14 to 90 days compared with six other health events (HR 2<c2><b7>1, 95% CI 1<c2><b7>8-2<c2><b7>5 vs influenza; 1<c2><b7>7, 1<c2><b7>5-1<c2><b7>9 vs other respiratory tract infections; 1<c2><b7>6, 1<c2><b7>4-1<c2><b7>9 vs skin infection; 1<c2><b7>6, 1<c2><b7>3-1<c2><b7>9 vs cholelithiasis; 2<c2><b7>2, 1<c2><b7>9-2<c2><b7>6 vs urolithiasis, and 2<c2><b7>1, 1<c2><b7>9-2<c2><b7>5 vs fracture of a large bone; all p<0<c2><b7>0001). The HR was greatest for anxiety disorders, insomnia, and dementia. We observed similar findings, although with smaller HRs, when relapses and new diagnoses were measured. The incidence of any psychiatric diagnosis in the 14 to 90 days after COVID-19 diagnosis was 18<c2><b7>1% (95% CI 17<c2><b7>6-18<c2><b7>6), including 5<c2><b7>8% (5<c2><b7>2-6<c2><b7>4) that were a first diagnosis. The incidence of a first diagnosis of dementia in the 14 to 90 days after COVID-19 diagnosis was 1<c2><b7>6% (95% CI 1<c2><b7>2-2<c2><b7>1) in people older than 65 years. A psychiatric diagnosis in the previous year was associated with a higher incidence of COVID-19 diagnosis (relative risk 1<c2><b7>65, 95% CI 1<c2><b7>59-1<c2><b7>71; p<0<c2><b7>0001). This risk was independent of known physical health risk factors for COVID-19, but we cannot exclude possible residual confounding by socioeconomic factors. INTERPRETATION: Survivors of COVID-19 appear to be at increased risk of psychiatric sequelae, and a psychiatric diagnosis might be an independent risk factor for COVID-19. Although preliminary, our findings have implications for clinical services, and prospective cohort studies are warranted. FUNDING: National Institute for Health Research.",2021,10.1016/S2215-0366(20)30462-4,8,2,130-140,eng,2215-0374 2215-0366,Humans and Electronic Health Records and Female and Male and Adult and Middle Aged and Retrospective Studies and Aged and Risk Factors and Comorbidity and Incidence and United States/epidemiology and COVID-19/*complications/*epidemiology and Mental Disorders/*epidemiology/*etiology,NA,NA,2021/02//undefined,Lancet Psychiatry,NA,NA,NA,NA
Sanderson_2020_Joofafdi,JOUR,"Predicting death by suicide using administrative health care system data: Can recurrent neural network, one-dimensional convolutional neural network, and gradient boosted trees models improve prediction performance?","Sanderson, Michael and Bulloch, Andrew Gm and Wang, JianLi and Williamson, Tyler and Patten, Scott B.",Journal of affective disorders,"BACKGROUND: Suicide is a leading cause of death, particularly in younger persons, and this results in tremendous years of life lost. OBJECTIVE: To compare the performance of recurrent neural networks, one-dimensional convolutional neural networks, and gradient boosted trees, with logistic regression and feedforward neural networks. METHODS: The modeling dataset contained 3548 persons that died by suicide and 35,480 persons that did not die by suicide between 2000 and 2016. 101 predictors were selected, and these were assembled for each of the 40 quarters (10 years) prior to the quarter of death, resulting in 4040 predictors in total for each person. Model configurations were evaluated using 10-fold cross-validation. RESULTS: The optimal recurrent neural network model configuration (AUC: 0.8407), one-dimensional convolutional neural network configuration (AUC: 0.8419), and XGB model configuration (AUC: 0.8493) all outperformed logistic regression (AUC: 0.8179). In addition to superior discrimination, the optimal XGB model configuration also achieved superior calibration. CONCLUSIONS: Although the models developed in this study showed promise, further research is needed to determine the performance limits of statistical and machine learning models that quantify suicide risk, and to develop prediction models optimized for implementation in clinical settings. It appears that the XGB model class is the most promising in terms of discrimination, calibration, and computational expense. LIMITATIONS: Many important predictors are not available in administrative data and this likely places a limit on how well prediction models developed with administrative data can perform.",2020,10.1016/j.jad.2019.12.024,264,NA,107-114,eng,1573-2517 0165-0327,"machine learning and artificial intelligence and prediction and Humans and Delivery of Health Care and Machine Learning and suicide and Neural Networks, Computer and *Suicide and administrative data and *Trees",NA,NA,2020/03/01/,J Affect Disord,NA,NA,NA,NA
Na_2021_Joofafdi,JOUR,Machine learning-based discrimination of panic disorder from other anxiety disorders,"Na, Kyoung-Sae and Cho, Seo-Eun and Cho, Seong-Jin",Journal of affective disorders,"BACKGROUNDS: Panic disorder is a highly prevalent psychiatric disorder that substantially impairs quality of life and psychosocial function. Panic disorder arises from neurobiological substrates and developmental factors that distinguish it from other anxiety disorders. Differential diagnosis between panic disorder and other anxiety disorders has only been conducted in terms of a phenomenological spectrum. METHODS: Through a machine learning-based approach with heart rate variability (HRV) as input, we aimed to build algorithms that can differentiate panic disorder from other anxiety disorders. Five algorithms were used: random forest (RF), gradient boosting machine (GBM), support vector machine (SVM), artificial neural network (ANN), and regularized logistic regression (LR). 10-fold cross-validation with five repeats was used to build the final models. RESULTS: A total of 60 patients with panic disorder and 61 patients with other anxiety disorders (aged between 20 and 65 years) were recruited. The L1-regularized LR showed the best accuracy (0.784), followed by ANN (0.730), SVM (0.730), GBM (0.676), and finally RF (0.649). LR also had good performance in other measures, such as F(1)-score (0.790), specificity (0.737), sensitivity (0.833), and Matthews correlation coefficient (0.572). LIMITATIONS: Cross-sectional design and limited sample size is limitations. CONCLUSION: This study demonstrated that HRV can be used to differentiate panic disorder from other anxiety disorders. Future studies with larger sample sizes and longitudinal design are required to replicate the diagnostic utility of HRV in a machine learning approach.",2021,10.1016/j.jad.2020.09.027,278,NA,1-4,eng,1573-2517 0165-0327,Machine learning and Artificial intelligence and Humans and Adult and Middle Aged and Young Adult and Cross-Sectional Studies and Aged and Machine Learning and Mental health and Quality of Life and Support Vector Machine and *Panic Disorder/diagnosis and Anxiety disorder and Anxiety Disorders/diagnosis and Panic disorder,NA,NA,2021/01/01/,J Affect Disord,NA,NA,NA,NA
Choi_2018_Joofafdi,JOUR,Ten-year prediction of suicide death using Cox regression and machine learning in a nationwide retrospective cohort study in South Korea,"Choi, Soo Beom and Lee, Wanhyung and Yoon, Jin-Ha and Won, Jong-Uk and Kim, Deok Won",Journal of affective disorders,"BACKGROUND: Death by suicide is a preventable public health concern worldwide. The aim of this study is to investigate the probability of suicide death using baseline characteristics and simple medical facility visit history data using Cox regression, support vector machines (SVMs), and deep neural networks (DNNs). METHOD: This study included 819,951 subjects in the National Health Insurance Service (NHIS)-Cohort Sample Database from 2004 to 2013. The dataset was divided randomly into two independent training and validation groups. To improve the performance of predicting suicide death, we applied SVM and DNN to the same training set as the Cox regression model. RESULTS: Among the study population, 2546 people died by intentional self-harm during the follow-up time. Sex, age, type of insurance, household income, disability, and medical records of eight ICD-10 codes (including mental and behavioural disorders) were selected by a Cox regression model with backward stepwise elimination. The area of under the curve (AUC) of Cox regression (0.688), SVM (0.687), and DNN (0.683) were approximately the same. The group with top .5% of predicted probability had hazard ratio of 26.21 compared to that with the lowest 10% of predicted probability. LIMITATIONS: This study is limited by the lack of information on suicidal ideation and attempts, other potential covariates such as information of medication and subcategory ICD-10 codes. Moreover, predictors from the prior 12-24 months of the date of death could be expected to show better performances than predictors from up to 10 years ago. CONCLUSIONS: We suggest a 10-year probability prediction model for suicide death using general characteristics and simple insurance data, which are annually conducted by the Korean government. Suicide death prevention might be enhanced by our prediction model.",2018,10.1016/j.jad.2018.01.019,231,NA,14-8,eng,1573-2517 0165-0327,"Humans and Female and Male and Adult and Middle Aged and Young Adult and Retrospective Studies and Machine Learning and Deep learning and Databases, Factual and Risk Factors and Area Under Curve and Proportional Hazards Models and Support vector machine and Neural Networks, Computer and Republic of Korea/epidemiology and Cox regression and Insurance, Health/*statistics & numerical data and Mental Disorders/epidemiology and Suicide prediction and Suicide/prevention & control/*statistics & numerical data",NA,NA,2018/04/15/,J Affect Disord,NA,NA,NA,NA
Ewbank_2020_JAMApsyc,JOUR,Quantifying the Association Between Psychotherapy Content and Clinical Outcomes Using Deep Learning,"Ewbank, Michael P. and Cummins, Ronan and Tablan, Valentin and Bateup, Sarah and Catarino, Ana and Martin, Alan J. and Blackwell, Andrew D.",JAMA psychiatry,"IMPORTANCE: Compared with the treatment of physical conditions, the quality of care of mental health disorders remains poor and the rate of improvement in treatment is slow, a primary reason being the lack of objective and systematic methods for measuring the delivery of psychotherapy. OBJECTIVE: To use a deep learning model applied to a large-scale clinical data set of cognitive behavioral therapy (CBT) session transcripts to generate a quantifiable measure of treatment delivered and to determine the association between the quantity of each aspect of therapy delivered and clinical outcomes. DESIGN, SETTING, AND PARTICIPANTS: All data were obtained from patients receiving internet-enabled CBT for the treatment of a mental health disorder between June 2012 and March 2018 in England. Cognitive behavioral therapy was delivered in a secure online therapy room via instant synchronous messaging. The initial sample comprised a total of 17<e2><80><af>572 patients (90<e2><80><af>934 therapy session transcripts). Patients self-referred or were referred by a primary health care worker directly to the service. EXPOSURES: All patients received National Institute for Heath and Care Excellence-approved disorder-specific CBT treatment protocols delivered by a qualified CBT therapist. MAIN OUTCOMES AND MEASURES: Clinical outcomes were measured in terms of reliable improvement in patient symptoms and treatment engagement. Reliable improvement was calculated based on 2 severity measures: Patient Health Questionnaire (PHQ-9) and Generalized Anxiety Disorder 7-item scale (GAD-7), corresponding to depressive and anxiety symptoms respectively, completed by the patient at initial assessment and before every therapy session (see eMethods in the Supplement for details). RESULTS: Treatment sessions from a total of 14<e2><80><af>899 patients (10<e2><80><af>882 women) aged between 18 and 94 years (median age, 34.8 years) were included in the final analysis. We trained a deep learning model to automatically categorize therapist utterances into 1 or more of 24 feature categories. The trained model was applied to our data set to obtain quantifiable measures of each feature of treatment delivered. A logistic regression revealed that increased quantities of a number of session features, including change methods (cognitive and behavioral techniques used in CBT), were associated with greater odds of reliable improvement in patient symptoms (odds ratio, 1.11; 95% CI, 1.06-1.17) and patient engagement (odds ratio, 1.20, 95% CI, 1.12-1.27). The quantity of nontherapy-related content was associated with reduced odds of symptom improvement (odds ratio, 0.89; 95% CI, 0.85-0.92) and patient engagement (odds ratio, 0.88, 95% CI, 0.84-0.92). CONCLUSIONS AND RELEVANCE: This work demonstrates an association between clinical outcomes in psychotherapy and the content of therapist utterances. These findings support the principle that CBT change methods help produce improvements in patients' presenting symptoms. The application of deep learning to large clinical data sets can provide valuable insights into psychotherapy, informing the development of new treatments and helping standardize clinical practice.",2020,10.1001/jamapsychiatry.2019.2664,77,1,35-43,eng,2168-6238 2168-622X,Language and Humans and Female and Male and Adolescent and Adult and Middle Aged and Young Adult and Aged and Surveys and Questionnaires and Treatment Outcome and Psychiatric Status Rating Scales and *Deep Learning and Mental Disorders/therapy and Cognitive Behavioral Therapy/*methods/statistics & numerical data,NA,NA,2020/01/01/,JAMA Psychiatry,NA,NA,NA,NA
