label,type,title,author,journal,abstract,year,doi,volume,issue,pages,language,issn,keywords,url,institution,DA,j2,DP,l1,l2,ST
Al.Mosaiwi_2018_Perandinddif,JOUR,Linguistic markers of moderate and absolute natural language,"Al-Mosaiwi, Mohammed and Johnstone, Tom",Personality and individual differences,"In social, personality and mental health research, the tendency to select absolute end-points on Likert scales has been linked to certain cultures, lower intelligence, lower income and personality/mental health disorders. It is unclear whether this response style reflects an absolutist cognitive style or is merely an experimental artefact. In this study, we introduce an alternative, more informative, flexible and ecologically valid approach for estimating absolute responding, that uses natural language markers. We focussed on 'function words' (e.g. particles, conjunctions, prepositions) as they are more generalizable because they do not depend on any specific context. To identify such linguistic markers and test their generalizability, we conducted a text analysis of online reviews for films, tourist attractions and consumer products. All written reviews were accompanied by a rating scale (akin to Likert scale), which allowed us to label text samples as absolute/moderate. The data was split into independent 'training' and 'test' sets. Using the training set we identified a rank order of linguistic markers for absolute and moderate text, which were evaluated in a classifier on the test set. The top three markers alone (""but"", ""!"" and ""seem"") produced 88% classification accuracy, which increased to 91% using 31 linguistic markers.",2018,10.1016/j.paid.2018.06.004,134,NA,119-124,eng,0191-8869,Machine learning and Text analysis and Natural language and Absolutism and Extreme responding,NA,NA,2018/11/01/,Pers Individ Dif,NA,NA,NA,NA
Vie_2013_Frinps,JOUR,The Person-Event Data Environment: leveraging big data for studies of psychological strengths in soldiers,"Vie, Loryana L. and Griffith, Kevin N. and Scheier, Lawrence M. and Lester, Paul B. and Seligman, Martin E. P.",Frontiers in psychology,"The Department of Defense (DoD) strives to efficiently manage the large volumes of administrative data collected and repurpose this information for research and analyses with policy implications. This need is especially present in the United States Army, which maintains numerous electronic databases with information on more than one million Active-Duty, Reserve, and National Guard soldiers, their family members, and Army civilian employees. The accumulation of vast amounts of digitized health, military service, and demographic data thus approaches, and may even exceed, traditional benchmarks for Big Data. Given the challenges of disseminating sensitive personal and health information, the Person-Event Data Environment (PDE) was created to unify disparate Army and DoD databases in a secure cloud-based enclave. This electronic repository serves the ultimate goal of achieving cost efficiencies in psychological and healthcare studies and provides a platform for collaboration among diverse scientists. This paper provides an overview of the uses of the PDE to perform command surveillance and policy analysis for Army leadership. The paper highlights the confluence of both economic and behavioral science perspectives elucidating empirically-based studies examining relations between psychological assets, health, and healthcare utilization. Specific examples explore the role of psychological assets in major cost drivers such as medical expenditures both during deployment and stateside, drug use, attrition from basic training, and low reenlistment rates. Through creation of the PDE, the Army and scientific community can now capitalize on the vast amounts of personnel, financial, medical, training and education, deployment, and security systems that influence Army-wide policies and procedures.",2013,10.3389/fpsyg.2013.00934,4,NA,934,eng,1664-1078,big data and cost analysis and healthcare utilization and personnel data and psychological strengths,NA,NA,2013///,Front Psychol,NA,NA,NA,NA
Prout_2020_Frinps,JOUR,Identifying Predictors of Psychological Distress During COVID-19: A Machine Learning Approach,"Prout, Tracy A. and Zilcha-Mano, Sigal and Aafjes-van Doorn, Katie and Bekes, Vera and Christman-Cohen, Isabelle and Whistler, Kathryn and Kui, Thomas and Di Giuseppe, Mariagrazia",Frontiers in psychology,"Scientific understanding about the psychological impact of the COVID-19 global pandemic is in its nascent stage. Prior research suggests that demographic factors, such as gender and age, are associated with greater distress during a global health crisis. Less is known about how emotion regulation impacts levels of distress during a pandemic. The present study aimed to identify predictors of psychological distress during the COVID-19 pandemic. Participants (N = 2,787) provided demographics, history of adverse childhood experiences, current coping strategies (use of implicit and explicit emotion regulation), and current psychological distress. The overall prevalence of clinical levels of anxiety, depression, and post-traumatic stress was higher than the prevalence outside a pandemic and was higher than rates reported among healthcare workers and survivors of severe acute respiratory syndrome. Younger participants (<45 years), women, and non-binary individuals reported higher prevalence of symptoms across all measures of distress. A random forest machine learning algorithm was used to identify the strongest predictors of distress. Regression trees were developed to identify individuals at greater risk for anxiety, depression, and post-traumatic stress. Somatization and less reliance on adaptive defense mechanisms were associated with greater distress. These findings highlight the importance of assessing individuals' physical experiences of psychological distress and emotion regulation strategies to help mental health providers tailor assessments and treatment during a global health crisis.",2020,10.3389/fpsyg.2020.586202,11,NA,586202,eng,1664-1078,machine learning and depression and emotion regulation and anxiety and COVID-19 pandemic and defense mechanisms and post-traumatic stress and somatization,NA,NA,2020///,Front Psychol,NA,NA,NA,NA
Boman_2020_Frinps,JOUR,Toward Learning Machines at a Mother and Baby Unit,"Boman, Magnus and Downs, Johnny and Karali, Abubakrelsedik and Pawlby, Susan",Frontiers in psychology,"Agnostic analyses of unique video material from a Mother and Baby Unit were carried out to investigate the usefulness of such analyses to the unit. The goal was to improve outcomes: the health of mothers and their babies. The method was to implement a learning machine that becomes more useful over time and over task. A feasible set-up is here described, with the purpose of producing intelligible and useful results to healthcare professionals at the unit by means of a vision processing pipeline, grouped together with multi-modal capabilities of handling annotations and audio. Algorithmic bias turned out to be an obstacle that could only partly be handled by modern pipelines for automated feature analysis. The professional use of complex quantitative scoring for various mental health-related assessments further complicated the automation of laborious tasks. Activities during the MBU stay had previously been shown to decrease psychiatric symptoms across diagnostic groups. The implementation and first set of experiments on a learning machine for the unit produced the first steps toward explaining why this is so, in turn enabling decision support to staff about what to do more and what to do less of.",2020,10.3389/fpsyg.2020.567310,11,NA,567310,eng,1664-1078,machine learning and mental health and learning machine and maternal unresponsiveness and mind-mindedness and multi-modal learning,NA,NA,2020///,Front Psychol,NA,NA,NA,NA
Reyna_2009_Psycbull,JOUR,How numeracy influences risk comprehension and medical decision making,"Reyna, Valerie F. and Nelson, Wendy L. and Han, Paul K. and Dieckmann, Nathan F.",Psychological bulletin,"We review the growing literature on health numeracy, the ability to understand and use numerical information, and its relation to cognition, health behaviors, and medical outcomes. Despite the surfeit of health information from commercial and noncommercial sources, national and international surveys show that many people lack basic numerical skills that are essential to maintain their health and make informed medical decisions. Low numeracy distorts perceptions of risks and benefits of screening, reduces medication compliance, impedes access to treatments, impairs risk communication (limiting prevention efforts among the most vulnerable), and, based on the scant research conducted on outcomes, appears to adversely affect medical outcomes. Low numeracy is also associated with greater susceptibility to extraneous factors (i.e., factors that do not change the objective numerical information). That is, low numeracy increases susceptibility to effects of mood or how information is presented (e.g., as frequencies vs. percentages) and to biases in judgment and decision making (e.g., framing and ratio bias effects). Much of this research is not grounded in empirically supported theories of numeracy or mathematical cognition, which are crucial for designing evidence-based policies and interventions that are effective in reducing risk and improving medical decision making. To address this gap, we outline four theoretical approaches (psychophysical, computational, standard dual-process, and fuzzy trace theory), review their implications for numeracy, and point to avenues for future research.",2009,10.1037/a0017327,135,6,943-973,eng,1939-1455 0033-2909,"Humans and Judgment and Fuzzy Logic and Vulnerable Populations and Individuality and *Decision Making and *Health Behavior and *Models, Theoretical and *Risk-Taking and *Comprehension and *Probability Learning and *Problem Solving",NA,NA,2009/11//undefined,Psychol Bull,NA,NA,NA,NA
MacLachlan_2014_TheAmepsy,JOUR,"Macropsychology, policy, and global health","MacLachlan, Malcolm",The American psychologist,"In this article I argue for the development of a macro perspective within psychology, akin to that found in macroeconomics. Macropsychology is the application of psychology to factors that influence the settings and conditions of our lives. As policy concerns the strategic allocation of resources-who gets what and why?-it should be an area of particular interest for macropsychology. I review ways in which psychology may make a contribution to policy within the field of global health. Global health emphasizes human rights, equity, social inclusion, and empowerment; psychology has much to contribute to these areas, both at the level of policy and practice. I review the sorts of evidence and other factors that influence policymakers, along with the content, process, and context of policymaking, with a particular focus on the rights of people with disabilities in the low- and middle-income countries of Africa and Asia. These insights are drawn from collaborations with a broad range of practitioners, governments, United Nations agencies, civil society organizations, the private sector and researchers. Humanitarian work psychology is highlighted as an example of a new area of psychology that embraces some of the concerns of macropsychology. The advent of ""big data"" presents psychology with an opportunity to ask new types of questions, and these should include ""understanding up,"" or how psychological factors can contribute to human well-being, nationally and globally.",2014,10.1037/a0037852,69,8,851-863,eng,1935-990X 0003-066X,Humans and Socioeconomic Factors and Human Rights and *Health Policy and *Global Health and *Psychology,NA,NA,2014/11//undefined,Am Psychol,NA,NA,NA,NA
Notredame_2018_Frinps,JOUR,Leveraging the Web and Social Media to Promote Access to Care Among Suicidal Individuals,"Notredame, Charles-Edouard and Grandgenevre, Pierre and Pauwels, Nathalie and Morgieve, Margot and Wathelet, Marielle and Vaiva, Guillaume and Seguin, Monique",Frontiers in psychology,"After two decades of exponential development, the Internet has become an inseparable component of suicide prevention matters. More specifically, social media has turned out to be a privileged space for suicidal individuals to express their distress and seek support. Although this tendency carries with it specific risks and challenges, it creates unprecedented opportunities to face the challenges of help seeking and access to care. In this paper, we present the empirical, technological, and theoretical evidence supporting the implementation of a digitally augmented prevention policy that would increase its reach. Congruent to the clinical observations and theories on the help-seeking process, we argue that social media can help undertake three main functions of increasing proactivity to bring suffering Web users to care. The gateway function relates to the properties of social media interactions to leverage help-seeking barriers and enable ambivalent individuals to access the mental healthcare system. The communication outreach function aims to broadcast pro-help-seeking messages, while drawing on the functional structure of the social media network to increase its audience. The intervention outreach function consists in using machine learning algorithms to detect social media users with the highest risk of suicidal behaviors and give them a chance to overcome their dysfunctional reluctance to access help. We propose to combine these three functions into a single coherent operational model. This would involve the joint actions of a communication and intervention team on social networks, working in close collaboration with conventional mental health professionals, emergency service, and community resources.",2018,10.3389/fpsyg.2018.01338,9,NA,1338,eng,1664-1078,social media and Internet and prevention and suicide and access to care and online systems and help seeking,NA,NA,2018///,Front Psychol,NA,NA,NA,NA
Feczko_2019_Trincosc,JOUR,The Heterogeneity Problem: Approaches to Identify Psychiatric Subtypes,"Feczko, Eric and Miranda-Dominguez, Oscar and Marr, Mollie and Graham, Alice M. and Nigg, Joel T. and Fair, Damien A.",Trends in cognitive sciences,"The imprecise nature of psychiatric nosology restricts progress towards characterizing and treating mental health disorders. One issue is the 'heterogeneity problem': different causal mechanisms may relate to the same disorder, and multiple outcomes of interest can occur within one individual. Our review tackles this heterogeneity problem, providing considerations, concepts, and approaches for investigators examining human cognition and mental health. We highlight the difficulty of pure dimensional approaches due to 'the curse of dimensionality'. Computationally, we consider supervised and unsupervised statistical approaches to identify putative subtypes within a population. However, we emphasize that subtype identification should be linked to a particular outcome or question. We conclude with novel hybrid approaches that can identify subtypes tied to outcomes, and may help advance precision diagnostic and treatment tools.",2019,10.1016/j.tics.2019.03.009,23,7,584-601,eng,1879-307X 1364-6613,"machine learning and mental health and Humans and Cognition and Models, Statistical and Individuality and heterogeneity and Brain/physiopathology and functional random forest and Mental Disorders/*classification/diagnosis/physiopathology/psychology and surrogate variable analysis",NA,NA,2019/07//undefined,Trends Cogn Sci,NA,NA,NA,NA
Qin_2019_Frinps,JOUR,Stock Market Exposure and Anxiety in a Turbulent Market: Evidence From China,"Qin, Xin and Liao, Hui and Zheng, Xiaoming and Liu, Xin",Frontiers in psychology,"The stock market in China has experienced significant turbulence since July 2014, including a bull market. In this paper, we propose that exposure to stock (defined as the condition of being exposed to both stock and stock-related information) can induce anxiety disorder when the market is in a turbulent period. To examine this prediction, we designed two studies in which we operationalized exposure to stock in two different ways. In Study 1, a panel analysis of a longitudinal data set for the Chinese stock market from January 2014 to July 2015 demonstrated that exposure to stock had a significant positive impact on individuals' anxiety disorder, even in a bull market. Study 2, employing priming experiments, further supported that a temporarily primed ""stock mindset"" subconsciously increased participants' anxiety. In addition, Study 2 revealed that physical exercise helped attenuate the detrimental impact of exposure to stock on mental well-being. This research demonstrates the detrimental impact of exposure to a turbulent stock market - even a rising market - on individuals' mental health. Furthermore, it identifies an effective way to buffer such impact, and suggests ways for social scientists to employ search engines and the related data sets to obtain psychological or behavioral information (especially emotions and emotion disorders) by examining longitudinal ""Big Data.""",2019,10.3389/fpsyg.2019.00328,10,NA,328,eng,1664-1078,mental health and big data and anxiety disorder and health psychology and stock,NA,NA,2019///,Front Psychol,NA,NA,NA,NA
Andrews_2021_TheAmepsy,JOUR,No body is expendable: Medical rationing and disability justice during the COVID-19 pandemic,"Andrews, Erin E. and Ayers, Kara B. and Brown, Kathleen S. and Dunn, Dana S. and Pilarski, Carrie R.",The American psychologist,"The health threat posed by the novel coronavirus that caused the COVID-19 pandemic has particular implications for people with disabilities, including vulnerability to exposure and complications, and concerns about the role of ableism in access to treatment and medical rationing decisions. Shortages of necessary medical equipment to treat COVID-19 have prompted triage guidelines outlining the ways in which lifesaving equipment, such as mechanical ventilators and intensive care unit beds, may need to be rationed among affected individuals. In this article, we explore the realities of medical rationing, and various approaches to triage and prioritization. We discuss the psychology of ableism, perceptions about quality of life, social determinants of health, and how attitudes toward disability can affect rationing decisions and access to care. In addition to the grassroots advocacy and activism undertaken by the disability community, psychology is rich in its contributions to the role of attitudes, prejudice, and discriminatory behavior on the social fabric of society. We call on psychologists to advocate for social justice in pandemic preparedness, promote disability justice in health care settings, call for transparency and accountability in rationing approaches, and support policy changes for macro- and microallocation strategies to proactively reduce the need for rationing. (PsycInfo Database Record (c) 2021 APA, all rights reserved).",2021,10.1037/amp0000709,76,3,451-461,eng,1935-990X 0003-066X,"Humans and *Health Knowledge, Attitudes, Practice and COVID-19/*therapy and *Disabled Persons and *Clinical Decision-Making/ethics and *Health Care Rationing/ethics/standards and *Social Determinants of Health/ethics/standards and *Social Justice/ethics/standards and *Triage/ethics/standards",NA,NA,2021/04//undefined,Am Psychol,NA,NA,NA,NA
Kazak_2015_TheAmepsy,JOUR,The integration of psychology in pediatric oncology research and practice: collaboration to improve care and outcomes for children and families,"Kazak, Anne E. and Noll, Robert B.",The American psychologist,"Childhood cancers are life-threatening diseases that are universally distressing and potentially traumatic for children and their families at diagnosis, during treatment, and beyond. Dramatic improvements in survival have occurred as a result of increasingly aggressive multimodal therapies delivered in the context of clinical research trials. Nonetheless, cancers remain a leading cause of death in children, and their treatments have short- and long-term impacts on health and well-being. For over 35 years, pediatric psychologists have partnered with pediatric oncology teams to make many contributions to our understanding of the impact of cancer and its treatment on children and families and have played prominent roles in providing an understanding of treatment-related late effects and in improving quality of life. After discussing the incidence of cancer in children, its causes, and the treatment approaches to it in pediatric oncology, we present seven key contributions of psychologists to collaborative and integrated care in pediatric cancer: managing procedural pain, nausea, and other symptoms; understanding and reducing neuropsychological effects; treating children in the context of their families and other systems (social ecology); applying a developmental perspective; identifying competence and vulnerability; integrating psychological knowledge into decision making and other clinical care issues; and facilitating the transition to palliative care and bereavement. We conclude with a discussion of the current status of integrating knowledge from psychological research into practice in pediatric cancer.",2015,10.1037/a0035695,70,2,146-158,eng,1935-990X 0003-066X,Humans and Decision Making and Quality of Life and Biomedical Research and Palliative Care and *Pediatrics and *Cooperative Behavior and *Medical Oncology and Family/*psychology and Neoplasms/*psychology/therapy and *Psychology,NA,NA,2015/03//Feb undefined,Am Psychol,NA,NA,NA,NA
Wardle_2015_TheAmepsy,JOUR,Screening for prevention and early diagnosis of cancer,"Wardle, Jane and Robb, Kathryn and Vernon, Sally and Waller, Jo",The American psychologist,"The poor outcomes for cancers diagnosed at an advanced stage have been the driver behind research into techniques to detect disease before symptoms are manifest. For cervical and colorectal cancer, detection and treatment of ""precancers"" can prevent the development of cancer, a form of primary prevention. For other cancers-breast, prostate, lung, and ovarian-screening is a form of secondary prevention, aiming to improve outcomes through earlier diagnosis. International and national expert organizations regularly assess the balance of benefits and harms of screening technologies, issuing clinical guidelines for population-wide implementation. Psychological research has made important contributions to this process, assessing the psychological costs and benefits of possible screening outcomes (e.g., the impact of false positive results) and public tolerance of overdiagnosis. Cervical, colorectal, and breast screening are currently recommended, and prostate, lung, and ovarian screening are under active review. Once technologies and guidelines are in place, delivery of screening is implemented according to the health care system of the country, with invitation systems and provider recommendations playing a key role. Behavioral scientists can then investigate how individuals make screening decisions, assessing the impact of knowledge, perceived cancer risk, worry, and normative beliefs about screening, and this information can be used to develop strategies to promote screening uptake. This article describes current cancer screening options, discusses behavioral research designed to reduce underscreening and minimize inequalities, and considers the issues that are being raised by informed decision making and the development of risk-stratified approaches to screening.",2015,10.1037/a0037357,70,2,119-133,eng,1935-990X 0003-066X,Humans and Female and Male and Risk Assessment and *Decision Making and *Patient Participation and Medical Overuse and Early Detection of Cancer/*methods/psychology and Neoplasms/diagnosis/*prevention & control and Precancerous Conditions/*diagnosis/therapy,NA,NA,2015/03//Feb undefined,Am Psychol,NA,NA,NA,NA
Chen_2020_Frinps,JOUR,Where You Are Is Who You Are? The Geographical Account of Psychological Phenomena,"Chen, Hao and Lai, Kaisheng and He, Lingnan and Yu, Rongjun",Frontiers in psychology,"Geographical psychology aims to study the spatial distribution of psychological phenomenon at different levels of geographical analysis and their relations to macro-level important societal outcomes. The geographical perspective provides a new way of understanding interactions between humankind psychological processes and distal macro-environments. Studies have identified the spatial organizations of a wide range of psychological constructs, including (but not limited among) personality, individualism/collectivism, cultural tightness-looseness, and well-being; these variations have been plotted over a range of geographical units (e.g., neighborhoods, cities, states, and countries) and have been linked to a broad array of political, economic, social, public health, and other social consequences. Future research should employ multi-level analysis, taking advantage of more deliberated causality test methods and big data techniques, to further examine the emerging and evolving mechanisms of geographical differences in psychological phenomena.",2020,10.3389/fpsyg.2020.00536,11,NA,536,eng,1664-1078,big data and personality and well-being and cultural values and geographical psychology,NA,NA,2020///,Front Psychol,NA,NA,NA,NA
Ditton_2020_Frinps,JOUR,Improving Patient Outcomes Following Total Knee Arthroplasty: Identifying Rehabilitation Pathways Based on Modifiable Psychological Risk and Resilience Factors,"Ditton, Elizabeth and Johnson, Sarah and Hodyl, Nicolette and Flynn, Traci and Pollack, Michael and Ribbons, Karen and Walker, Frederick Rohan and Nilsson, Michael",Frontiers in psychology,"Total knee arthroplasty (TKA) is a commonly implemented elective surgical treatment for end-stage osteoarthritis of the knee, demonstrating high success rates when assessed by objective medical outcomes. However, a considerable proportion of TKA patients report significant dissatisfaction postoperatively, related to enduring pain, functional limitations, and diminished quality of life. In this conceptual analysis, we highlight the importance of assessing patient-centered outcomes routinely in clinical practice, as these measures provide important information regarding whether surgery and postoperative rehabilitation interventions have effectively remediated patients' real-world ""quality of life"" experiences. We propose a novel precision medicine approach to improving patient-centered TKA outcomes through the development of a multivariate machine-learning model. The primary aim of this model is to predict individual postoperative recovery trajectories. Uniquely, this model will be developed using an interdisciplinary methodology involving non-linear analysis of the unique contributions of a range of preoperative risk and resilience factors to patient-centered TKA outcomes. Of particular importance to the model's predictive power is the inclusion of a comprehensive assessment of modifiable psychological risk and resilience factors that have demonstrated relationships with TKA and other conditions in some studies. Despite the potential for patient psychological factors to limit recovery, they are typically not routinely assessed preoperatively in this patient group, and thus can be overlooked in rehabilitative referral and intervention decision-making. This represents a research-to-practice gap that may contribute to adverse patient-centered outcomes. Incorporating psychological risk and resilience factors into a multivariate prediction model could improve the detection of patients at risk of sub-optimal outcomes following TKA. This could provide surgeons and rehabilitation providers with a simplified tool to inform postoperative referral and intervention decision-making related to a range of interdisciplinary domains outside their usual purview. The proposed approach could facilitate the development and provision of more targeted rehabilitative interventions on the basis of identified individual needs. The roles of several modifiable psychological risk and resilience factors in recovery are summarized, and intervention options are briefly presented. While focusing on rehabilitation following TKA, we advocate for the broader utilization of multivariate prediction models to inform individually tailored interventions targeting a range of health conditions.",2020,10.3389/fpsyg.2020.01061,11,NA,1061,eng,1664-1078,depression and rehabilitation and anxiety and arthroplasty and resilience and precision and knee and recovery,NA,NA,2020///,Front Psychol,NA,NA,NA,NA
Larrabee_2015_TheAmepsy,JOUR,The multiple validities of neuropsychological assessment,"Larrabee, Glenn J.",The American psychologist,"This article discusses construct and criterion validity of neuropsychological tests, as well as assessment validity, which allows determination of whether an individual examinee is producing valid test results. Factor analyses identify 6 domains of abilities. Tests of learning and memory and processing speed are most sensitive to presence of brain dysfunction in both traumatic brain injury (TBI) and Alzheimer's disease (AD). Tests of processing speed, working memory, verbal symbolic functions, and visuoperceptual and visuospatial judgment and problem solving are sensitive to the severity of TBI and AD, as well as to the functional consequences of these disorders, including ability to work, financial and medical decision-making capacities, and driving ability. Unilateral hemisphere stroke allows study of impairment in sensorimotor skills and lateralized neuropsychological abilities, as well as the moderating effects of aphasia and neglect on test performance. Assessment validity is determined by performance validity tests, measuring whether an examinee is providing an accurate measure of their actual level of ability, and symptom validity tests, measuring whether an examinee is providing an accurate report of their actual symptom experience. A core neuropsychological battery is described that includes tests with established construct and criterion validity, and assessment validity, for comprehensive evidence-based evaluation.",2015,10.1037/a0039835,70,8,779-788,eng,1935-990X 0003-066X,Humans and Cognition/physiology and Memory/physiology and *Neuropsychological Tests and Cognition Disorders/*diagnosis and Problem Solving/physiology,NA,NA,2015/11//undefined,Am Psychol,NA,NA,NA,NA
Franklin_2017_Psycbull,JOUR,Risk factors for suicidal thoughts and behaviors: A meta-analysis of 50 years of research,"Franklin, Joseph C. and Ribeiro, Jessica D. and Fox, Kathryn R. and Bentley, Kate H. and Kleiman, Evan M. and Huang, Xieyining and Musacchio, Katherine M. and Jaroszewski, Adam C. and Chang, Bernard P. and Nock, Matthew K.",Psychological bulletin,"Suicidal thoughts and behaviors (STBs) are major public health problems that have not declined appreciably in several decades. One of the first steps to improving the prevention and treatment of STBs is to establish risk factors (i.e., longitudinal predictors). To provide a summary of current knowledge about risk factors, we conducted a meta-analysis of studies that have attempted to longitudinally predict a specific STB-related outcome. This included 365 studies (3,428 total risk factor effect sizes) from the past 50 years. The present random-effects meta-analysis produced several unexpected findings: across odds ratio, hazard ratio, and diagnostic accuracy analyses, prediction was only slightly better than chance for all outcomes; no broad category or subcategory accurately predicted far above chance levels; predictive ability has not improved across 50 years of research; studies rarely examined the combined effect of multiple risk factors; risk factors have been homogenous over time, with 5 broad categories accounting for nearly 80% of all risk factor tests; and the average study was nearly 10 years long, but longer studies did not produce better prediction. The homogeneity of existing research means that the present meta-analysis could only speak to STB risk factor associations within very narrow methodological limits-limits that have not allowed for tests that approximate most STB theories. The present meta-analysis accordingly highlights several fundamental changes needed in future studies. In particular, these findings suggest the need for a shift in focus from risk factors to machine learning-based risk algorithms. (PsycINFO Database Record",2017,10.1037/bul0000084,143,2,187-232,eng,1939-1455 0033-2909,"Humans and Age Factors and Social Environment and *Cognition and *Personality and *Suicidal Ideation and Suicide, Attempted/psychology/*statistics & numerical data and Mental Disorders/*epidemiology/psychology and Stress, Psychological/epidemiology/psychology and Suicide/psychology/statistics & numerical data",NA,NA,2017/02//undefined,Psychol Bull,NA,NA,NA,NA
Hermann_2016_Frinps,JOUR,Emotion and Value in the Evaluation of Medical Decision-Making Capacity: A Narrative Review of Arguments,"Hermann, Helena and Trachsel, Manuel and Elger, Bernice S. and Biller-Andorno, Nikola",Frontiers in psychology,"Ever since the traditional criteria for medical decision-making capacity (understanding, appreciation, reasoning, evidencing a choice) were formulated, they have been criticized for not taking sufficient account of emotions or values that seem, according to the critics and in line with clinical experiences, essential to decision-making capacity. The aim of this paper is to provide a nuanced and structured overview of the arguments provided in the literature emphasizing the importance of these factors and arguing for their inclusion in competence evaluations. Moreover, a broader reflection on the findings of the literature is provided. Specific difficulties of formulating and measuring emotional and valuational factors are discussed inviting reflection on the possibility of handling relevant factors in a more flexible, case-specific, and context-specific way rather than adhering to a rigid set of operationalized criteria.",2016,10.3389/fpsyg.2016.00765,7,NA,765,eng,1664-1078,review and value and emotion and self-determination and competence and decision-making capacity and informed consent,NA,NA,2016///,Front Psychol,NA,NA,NA,NA
Vadillo_2015_Frinps,JOUR,A critical review and meta-analysis of the unconscious thought effect in medical decision making,"Vadillo, Miguel A. and Kostopoulou, Olga and Shanks, David R.",Frontiers in psychology,"Based on research on the increasingly popular unconscious thought effect (UTE), it has been suggested that physicians might make better diagnostic decisions after a period of distraction than after an equivalent amount of time of conscious deliberation. However, published attempts to demonstrate the UTE in medical decision making have yielded inconsistent results. In the present study, we report the results of a meta-analysis of all the available evidence on the UTE in medical decisions made by expert and novice clinicians. The meta-analysis failed to find a significant contribution of unconscious thought (UT) to the accuracy of medical decisions. This result cannot be easily attributed to any of the potential moderators of the UTE that have been discussed in the literature. Furthermore, a Bayes factor analysis shows that most experimental conditions provide positive support for the null hypothesis, suggesting that these null results do not reflect a simple lack of statistical power. We suggest ways in which new studies could usefully provide further evidence on the UTE. Unless future research shows otherwise, the recommendation of using UT to improve medical decisions lacks empirical support.",2015,10.3389/fpsyg.2015.00636,6,NA,636,eng,1664-1078,meta-analysis and medical decision making and Bayes factors and deliberation without attention and unconscious thought effect,NA,NA,2015///,Front Psychol,NA,NA,NA,NA
D.Alfonso_2017_Frinps,JOUR,Artificial Intelligence-Assisted Online Social Therapy for Youth Mental Health,"D'Alfonso, Simon and Santesteban-Echarri, Olga and Rice, Simon and Wadley, Greg and Lederman, Reeva and Miles, Christopher and Gleeson, John and Alvarez-Jimenez, Mario",Frontiers in psychology,"Introduction: Benefits from mental health early interventions may not be sustained over time, and longer-term intervention programs may be required to maintain early clinical gains. However, due to the high intensity of face-to-face early intervention treatments, this may not be feasible. Adjunctive internet-based interventions specifically designed for youth may provide a cost-effective and engaging alternative to prevent loss of intervention benefits. However, until now online interventions have relied on human moderators to deliver therapeutic content. More sophisticated models responsive to user data are critical to inform tailored online therapy. Thus, integration of user experience with a sophisticated and cutting-edge technology to deliver content is necessary to redefine online interventions in youth mental health. This paper discusses the development of the moderated online social therapy (MOST) web application, which provides an interactive social media-based platform for recovery in mental health. We provide an overview of the system's main features and discus our current work regarding the incorporation of advanced computational and artificial intelligence methods to enhance user engagement and improve the discovery and delivery of therapy content. Methods: Our case study is the ongoing Horyzons site (5-year randomized controlled trial for youth recovering from early psychosis), which is powered by MOST. We outline the motivation underlying the project and the web application's foundational features and interface. We discuss system innovations, including the incorporation of pertinent usage patterns as well as identifying certain limitations of the system. This leads to our current motivations and focus on using computational and artificial intelligence methods to enhance user engagement, and to further improve the system with novel mechanisms for the delivery of therapy content to users. In particular, we cover our usage of natural language analysis and chatbot technologies as strategies to tailor interventions and scale up the system. Conclusions: To date, the innovative MOST system has demonstrated viability in a series of clinical research trials. Given the data-driven opportunities afforded by the software system, observed usage patterns, and the aim to deploy it on a greater scale, an important next step in its evolution is the incorporation of advanced and automated content delivery mechanisms.",2017,10.3389/fpsyg.2017.00796,8,NA,796,eng,1664-1078,chatbots and sentiment analysis and depression and youth mental health and computational health and psychosis,NA,NA,2017///,Front Psychol,NA,NA,NA,NA
Batteux_2019_Frinps,JOUR,Exploring How Accountability Affects the Medical Decisions We Make for Other People,"Batteux, Eleonore and Ferguson, Eamonn and Tunney, Richard J.",Frontiers in psychology,"In the event that a patient has lost their decision-making capacity due to illness or injury, a surrogate is often appointed to do so on their behalf. Research has shown that people take less risk when making treatment decisions for other people than they do for themselves. This has been discussed as surrogates employing greater caution for others given the accountability they are faced with. We tested the prediction that making accountability salient reduces risk-taking for others relative to the self by manipulating the information shown to participants while they made treatment choices. One group was asked to focus on the consequences for the recipient's family, another on the legal implications of their decisions, and another was not given additional information. Participants reduced their risk-taking for others compared to themselves, irrespective of the condition they were in. Although participants in each condition reported thinking about these factors to different extents, there were no clear differences in risk-taking between groups. However, we did find that, across all participants, thinking about legal consequences reduces risk-taking. We suggest that future research investigates how the effect of thinking about accountability on surrogate choices is mediated by feelings of accountability, in order to further examine the explanations suggested in the literature.",2019,10.3389/fpsyg.2019.00079,10,NA,79,eng,1664-1078,accountability and medical decision-making and surrogate decision-making and DMfO and self-other differences,NA,NA,2019///,Front Psychol,NA,NA,NA,NA
