label,type,title,author,journal,abstract,year,doi,volume,issue,pages,language,issn,keywords,url,institution,DA,j2,DP,l1,l2,ST
Benke_2018_Injoofenreanpuhe,JOUR,Artificial Intelligence and Big Data in Public Health,"Benke, Kurt and Benke, Geza",International journal of environmental research and public health,"Artificial intelligence and automation are topics dominating global discussions on the future of professional employment, societal change, and economic performance. In this paper, we describe fundamental concepts underlying AI and Big Data and their significance to public health. We highlight issues involved and describe the potential impacts and challenges to medical professionals and diagnosticians. The possible benefits of advanced data analytics and machine learning are described in the context of recently reported research. Problems are identified and discussed with respect to ethical issues and the future roles of professionals and specialists in the age of artificial intelligence.",2018,10.3390/ijerph15122796,15,12,NA,eng,1660-4601 1661-7827,deep learning and machine learning and precision medicine and epidemiology and visualization and data mining and Big Data and predictive analytics and algorithms and vision and Artificial Intelligence/*statistics & numerical data and *Big Data and Public Health/instrumentation/*methods and wearable AI,NA,NA,2018/12/10/,Int J Environ Res Public Health,NA,NA,NA,NA
Bragazzi_2020_Injoofenreanpuhe,JOUR,How Big Data and Artificial Intelligence Can Help Better Manage the COVID-19 Pandemic,"Bragazzi, Nicola Luigi and Dai, Haijiang and Damiani, Giovanni and Behzadifar, Masoud and Martini, Mariano and Wu, Jianhong",International journal of environmental research and public health,"SARS-CoV2 is a novel coronavirus, responsible for the COVID-19 pandemic declared by the World Health Organization. Thanks to the latest advancements in the field of molecular and computational techniques and information and communication technologies (ICTs), artificial intelligence (AI) and Big Data can help in handling the huge, unprecedented amount of data derived from public health surveillance, real-time epidemic outbreaks monitoring, trend now-casting/forecasting, regular situation briefing and updating from governmental institutions and organisms, and health facility utilization information. The present review is aimed at overviewing the potential applications of AI and Big Data in the global effort to manage the pandemic.",2020,10.3390/ijerph17093176,17,9,NA,eng,1660-4601 1661-7827,"artificial intelligence and COVID-19 and epidemiology and Humans and Big Data and Randomized Controlled Trials as Topic and public health and *Artificial Intelligence and *Big Data and Pandemics/*prevention & control and Coronavirus Infections/*epidemiology/*prevention & control and Pneumonia, Viral/*epidemiology/*prevention & control and viral outbreak",NA,NA,2020/05/02/,Int J Environ Res Public Health,NA,NA,NA,NA
Cheong_2019_Injoofenreanpuhe,JOUR,Acute Health Impacts of the Southeast Asian Transboundary Haze Problem-A Review,"Cheong, Kang Hao and Ngiam, Nicholas Jinghao and Morgan, Geoffrey G. and Pek, Pin Pin and Tan, Benjamin Yong-Qiang and Lai, Joel Weijia and Koh, Jin Ming and Ong, Marcus Eng Hock and Ho, Andrew Fu Wah",International journal of environmental research and public health,"Air pollution has emerged as one of the world's largest environmental health threats, with various studies demonstrating associations between exposure to air pollution and respiratory and cardiovascular diseases. Regional air quality in Southeast Asia has been seasonally affected by the transboundary haze problem, which has often been the result of forest fires from ""slash-and-burn"" farming methods. In light of growing public health concerns, recent studies have begun to examine the health effects of this seasonal haze problem in Southeast Asia. This review paper aims to synthesize current research efforts on the impact of the Southeast Asian transboundary haze on acute aspects of public health. Existing studies conducted in countries affected by transboundary haze indicate consistent links between haze exposure and acute psychological, respiratory, cardiovascular, and neurological morbidity and mortality. Future prospective and longitudinal studies are warranted to quantify the long-term health effects of recurrent, but intermittent, exposure to high levels of seasonal haze. The mechanism, toxicology and pathophysiology by which these toxic particles contribute to disease and mortality should be further investigated. Epidemiological studies on the disease burden and socioeconomic cost of haze exposure would also be useful to guide policy-making and international strategy in minimizing the impact of seasonal haze in Southeast Asia.",2019,10.3390/ijerph16183286,16,18,NA,eng,1660-4601 1661-7827,"Humans and data analytics and Big Data and Big data and public health and healthcare and Cardiovascular Diseases and *Public Health and Air Pollution/*adverse effects and air pollution and *Acute Disease and Air Pollutants/analysis and Asia, Southeastern and environmental epidemiology and fire and haze and Respiratory Insufficiency/etiology and transboundary",NA,NA,2019/09/06/,Int J Environ Res Public Health,NA,NA,NA,NA
Chan_2020_Injoofenreanpuhe,JOUR,"Big Data, Decision Models, and Public Health","Chan, Chien-Lung and Chang, Chi-Chang",International journal of environmental research and public health,"Unlike most daily decisions, medical decision making often has substantial consequences and trade-offs. Recently, big data analytics techniques such as statistical analysis, data mining, machine learning and deep learning can be applied to construct innovative decision models. With complex decision making, it can be difficult to comprehend and compare the benefits and risks of all available options to make a decision. For these reasons, this Special Issue focuses on the use of big data analytics and forms of public health decision making based on the decision model, spanning from theory to practice. A total of 64 submissions were carefully blind peer reviewed by at least two referees and, finally, 23 papers were selected for this Special Issue.",2020,10.3390/ijerph17186723,17,18,NA,eng,1660-4601 1661-7827,Machine Learning and public health and big data and *Public Health and *Clinical Decision-Making and *Big Data and *Data Mining and decision models,NA,NA,2020/09/15/,Int J Environ Res Public Health,NA,NA,NA,NA
Besimo_2020_Injoofenreanpuhe,JOUR,Digital Oral Medicine for the Elderly,"Besimo, Christian E. and Zitzmann, Nicola U. and Joda, Tim",International journal of environmental research and public health,"Sustainable oral care of the elderly requires a holistic view of aging, which must extend far beyond the narrow field of dental expertise to help reduce the effects of sociobiological changes on oral health in good time. Digital technologies now extend into all aspects of daily life. This review summarizes the diverse digital opportunities that may help address the complex challenges in Gerodontology. Systemic patient management is at the center of these descriptions, while the application of digital tools for purely dental treatment protocols is deliberately avoided.",2020,10.3390/ijerph17072171,17,7,NA,eng,1660-4601 1661-7827,Humans and Aged and big data and digital transformation and *Telemedicine and *Dental Care and *Oral Health and dentistry and elderly patient and gerodontology and oral healthcare and oral medicine and patient-centered outcomes,NA,NA,2020/03/25/,Int J Environ Res Public Health,NA,NA,NA,NA
Joda_2018_Injoofenreanpuhe,JOUR,Population-Based Linkage of Big Data in Dental Research,"Joda, Tim and Waltimo, Tuomas and Pauli-Magnus, Christiane and Probst-Hensch, Nicole and Zitzmann, Nicola U.",International journal of environmental research and public health,"Population-based linkage of patient-level information opens new strategies for dental research to identify unknown correlations of diseases, prognostic factors, novel treatment concepts and evaluate healthcare systems. As clinical trials have become more complex and inefficient, register-based controlled (clinical) trials (RC(C)T) are a promising approach in dental research. RC(C)Ts provide comprehensive information on hard-to-reach populations, allow observations with minimal loss to follow-up, but require large sample sizes with generating high level of external validity. Collecting data is only valuable if this is done systematically according to harmonized and inter-linkable standards involving a universally accepted general patient consent. Secure data anonymization is crucial, but potential re-identification of individuals poses several challenges. Population-based linkage of big data is a game changer for epidemiological surveys in Public Health and will play a predominant role in future dental research by influencing healthcare services, research, education, biotechnology, insurance, social policy and governmental affairs.",2018,10.3390/ijerph15112357,15,11,NA,eng,1660-4601 1661-7827,Humans and public health and big data and *Big Data and Dental Research/*methods and epidemiological research and patient-generated health data (PGHD) and register-based controlled (clinical) trials [RC(C)T],NA,NA,2018/10/25/,Int J Environ Res Public Health,NA,NA,NA,NA
Hulsen_2020_Injoofenreanpuhe,JOUR,Sharing Is Caring-Data Sharing Initiatives in Healthcare,"Hulsen, Tim",International journal of environmental research and public health,"In recent years, more and more health data are being generated. These data come not only from professional health systems, but also from wearable devices. All these 'big data' put together can be utilized to optimize treatments for each unique patient ('precision medicine'). For this to be possible, it is necessary that hospitals, academia and industry work together to bridge the 'valley of death' of translational medicine. However, hospitals and academia often are reluctant to share their data with other parties, even though the patient is actually the owner of his/her own health data. Academic hospitals usually invest a lot of time in setting up clinical trials and collecting data, and want to be the first ones to publish papers on this data. There are some publicly available datasets, but these are usually only shared after study (and publication) completion, which means a severe delay of months or even years before others can analyse the data. One solution is to incentivize the hospitals to share their data with (other) academic institutes and the industry. Here, we show an analysis of the current literature around data sharing, and we discuss five aspects of data sharing in the medical domain: publisher requirements, data ownership, growing support for data sharing, data sharing initiatives and how the use of federated data might be a solution. We also discuss some potential future developments around data sharing, such as medical crowdsourcing and data generalists.",2020,10.3390/ijerph17093046,17,9,NA,eng,1660-4601 1661-7827,data sharing and data science and Hospitals and Humans and Female and Male and big data and Ownership and healthcare and Publishing and *Information Dissemination and *Delivery of Health Care and data management,NA,NA,2020/04/27/,Int J Environ Res Public Health,NA,NA,NA,NA
Faust_2020_Injoofenreanpuhe,JOUR,A Smart Service Platform for Cost Efficient Cardiac Health Monitoring,"Faust, Oliver and Lei, Ningrong and Chew, Eng and Ciaccio, Edward J. and Acharya, U. Rajendra",International journal of environmental research and public health,"AIM: In this study we have investigated the problem of cost effective wireless heart health monitoring from a service design perspective. SUBJECT AND METHODS: There is a great medical and economic need to support the diagnosis of a wide range of debilitating and indeed fatal non-communicable diseases, like Cardiovascular Disease (CVD), Atrial Fibrillation (AF), diabetes, and sleep disorders. To address this need, we put forward the idea that the combination of Heart Rate (HR) measurements, Internet of Things (IoT), and advanced Artificial Intelligence (AI), forms a Heart Health Monitoring Service Platform (HHMSP). This service platform can be used for multi-disease monitoring, where a distinct service meets the needs of patients having a specific disease. The service functionality is realized by combining common and distinct modules. This forms the technological basis which facilitates a hybrid diagnosis process where machines and practitioners work cooperatively to improve outcomes for patients. RESULTS: Human checks and balances on independent machine decisions maintain safety and reliability of the diagnosis. Cost efficiency comes from efficient signal processing and replacing manual analysis with AI based machine classification. To show the practicality of the proposed service platform, we have implemented an AF monitoring service. CONCLUSION: Having common modules allows us to harvest the economies of scale. That is an advantage, because the fixed cost for the infrastructure is shared among a large group of customers. Distinct modules define which AI models are used and how the communication with practitioners, caregivers and patients is handled. That makes the proposed HHMSP agile enough to address safety, reliability and functionality needs from healthcare providers.",2020,10.3390/ijerph17176313,17,17,NA,eng,1660-4601 1661-7827,"deep learning and Humans and Information Systems and Reproducibility of Results and heart rate and e-health and Signal Processing, Computer-Assisted and *Artificial Intelligence and *Heart Rate and *Computer Communication Networks and *Atrial Fibrillation/complications/diagnosis/economics/physiopathology and *Monitoring, Ambulatory/economics/methods and Efficiency, Organizational/economics and internet of things and Monitoring, Physiologic/*economics/methods and service platform",NA,NA,2020/08/30/,Int J Environ Res Public Health,NA,NA,NA,NA
Fusco_2020_Injoofenreanpuhe,JOUR,Blockchain in Healthcare: Insights on COVID-19,"Fusco, Antonio and Dicuonzo, Grazia and Dell'Atti, Vittorio and Tatullo, Marco",International journal of environmental research and public health,"The SARS-CoV2 pandemic has impacted risk management globally. Blockchain has been increasingly applied to healthcare management, as a strategic tool to strengthen operative protocols and to create the proper basis for an efficient and effective evidence-based decisional process. We aim to validate blockchain in healthcare, and to suggest a trace-route for a COVID19-safe clinical practice. The use of blockchain in combination with artificial intelligence systems allows the creation of a generalizable predictive system that could contribute to the containment of pandemic risk on national territory. A SWOT analysis of the adoption of a blockchain-based prediction model in healthcare and SARS-CoV-2 infection has been carried out to underline opportunities and limits to its adoption. Blockchain could play a strategic role in future digital healthcare: specifically, it may work to improve COVID19-safe clinical practice. The main concepts, and particularly those related to clinical workflow, obtainable from different blockchain-based models have been reported here and critically discussed.",2020,10.3390/ijerph17197167,17,19,NA,eng,1660-4601 1661-7827,"SARS-CoV-2 and artificial intelligence and COVID-19 and Humans and blockchain and Workflow and *Artificial Intelligence and *Pandemics and Betacoronavirus and healthcare management and global health and Delivery of Health Care/*organization & administration and *Coronavirus Infections and *Pneumonia, Viral and *Blockchain",NA,NA,2020/09/30/,Int J Environ Res Public Health,NA,NA,NA,NA
Joda_2020_Injoofenreanpuhe,JOUR,Recent Trends and Future Direction of Dental Research in the Digital Era,"Joda, Tim and Bornstein, Michael M. and Jung, Ronald E. and Ferrari, Marco and Waltimo, Tuomas and Zitzmann, Nicola U.",International journal of environmental research and public health,"The digital transformation in dental medicine, based on electronic health data information, is recognized as one of the major game-changers of the 21st century to tackle present and upcoming challenges in dental and oral healthcare. This opinion letter focuses on the estimated top five trends and innovations of this new digital era, with potential to decisively influence the direction of dental research: (1) rapid prototyping (RP), (2) augmented and virtual reality (AR/VR), (3) artificial intelligence (AI) and machine learning (ML), (4) personalized (dental) medicine, and (5) tele-healthcare. Digital dentistry requires managing expectations pragmatically and ensuring transparency for all stakeholders: patients, healthcare providers, university and research institutions, the medtech industry, insurance, public media, and state policy. It should not be claimed or implied that digital smart data technologies will replace humans providing dental expertise and the capacity for patient empathy. The dental team that controls digital applications remains the key and will continue to play the central role in treating patients. In this context, the latest trend word is created: augmented intelligence, e.g., the meaningful combination of digital applications paired with human qualities and abilities in order to achieve improved dental and oral healthcare, ensuring quality of life.",2020,10.3390/ijerph17061987,17,6,NA,eng,1660-4601 1661-7827,Humans and Forecasting and digital transformation and Quality of Life and *Artificial Intelligence and *Virtual Reality and patient-centered outcomes and *Dental Research/trends and artificial intelligence (AI) and augmented and virtual reality (AR/VR) and machine learning (ML) and personalized dental medicine and rapid prototyping and tele-health,NA,NA,2020/03/18/,Int J Environ Res Public Health,NA,NA,NA,NA
