label,type,title,author,journal,abstract,year,doi,volume,issue,pages,language,issn,keywords,url,institution,DA,j2,DP,l1,l2,ST
Sanchez.Pinto_2018_Ches,JOUR,Big Data and Data Science in Critical Care,"Sanchez-Pinto, L. Nelson and Luo, Yuan and Churpek, Matthew M.",Chest,"The digitalization of the health-care system has resulted in a deluge of clinical big data and has prompted the rapid growth of data science in medicine. Data science, which is the field of study dedicated to the principled extraction of knowledge from complex data, is particularly relevant in the critical care setting. The availability of large amounts of data in the ICU, the need for better evidence-based care, and the complexity of critical illness makes the use of data science techniques and data-driven research particularly appealing to intensivists. Despite the increasing number of studies and publications in the field, thus far there have been few examples of data science projects that have resulted in successful implementations of data-driven systems in the ICU. However, given the expected growth in the field, intensivists should be familiar with the opportunities and challenges of big data and data science. The present article reviews the definitions, types of algorithms, applications, challenges, and future of big data and data science in critical care.",2018,10.1016/j.chest.2018.04.037,154,5,1239-1248,eng,1931-3543 0012-3692,machine learning and data science and Humans and Forecasting and big data and *Big Data and Data Science/*methods and critical care and prediction models and *Critical Care/methods/organization & administration and *Delivery of Health Care/methods/trends,NA,NA,2018/11//undefined,Chest,NA,NA,NA,NA
Meyer_2018_TheLanResmed,JOUR,Machine learning for real-time prediction of complications in critical care: a retrospective study,"Meyer, Alexander and Zverinski, Dina and Pfahringer, Boris and Kempfert, Jorg and Kuehne, Titus and Sundermann, Simon H. and Stamm, Christof and Hofmann, Thomas and Falk, Volkmar and Eickhoff, Carsten",The Lancet. Respiratory medicine,"BACKGROUND: The large amount of clinical signals in intensive care units can easily overwhelm health-care personnel and can lead to treatment delays, suboptimal care, or clinical errors. The aim of this study was to apply deep machine learning methods to predict severe complications during critical care in real time after cardiothoracic surgery. METHODS: We used deep learning methods (recurrent neural networks) to predict several severe complications (mortality, renal failure with a need for renal replacement therapy, and postoperative bleeding leading to operative revision) in post cardiosurgical care in real time. Adult patients who underwent major open heart surgery from Jan 1, 2000, to Dec 31, 2016, in a German tertiary care centre for cardiovascular diseases formed the main derivation dataset. We measured the accuracy and timeliness of the deep learning model's forecasts and compared predictive quality to that of established standard-of-care clinical reference tools (clinical rule for postoperative bleeding, Simplified Acute Physiology Score II for mortality, and the Kidney Disease: Improving Global Outcomes staging criteria for acute renal failure) using positive predictive value (PPV), negative predictive value, sensitivity, specificity, area under the curve (AUC), and the F(1) measure (which computes a harmonic mean of sensitivity and PPV). Results were externally retrospectively validated with 5898 cases from the published MIMIC-III dataset. FINDINGS: Of 47 559 intensive care admissions (corresponding to 42 007 patients), we included 11 492 (corresponding to 9269 patients). The deep learning models yielded accurate predictions with the following PPV and sensitivity scores: PPV 0<c2><b7>90 and sensitivity 0<c2><b7>85 for mortality, 0<c2><b7>87 and 0<c2><b7>94 for renal failure, and 0<c2><b7>84 and 0<c2><b7>74 for bleeding. The predictions significantly outperformed the standard clinical reference tools, improving the absolute complication prediction AUC by 0<c2><b7>29 (95% CI 0<c2><b7>23-0<c2><b7>35) for bleeding, by 0<c2><b7>24 (0<c2><b7>19-0<c2><b7>29) for mortality, and by 0<c2><b7>24 (0<c2><b7>13-0<c2><b7>35) for renal failure (p<0<c2><b7>0001 for all three analyses). The deep learning methods showed accurate predictions immediately after patient admission to the intensive care unit. We also observed an increase in performance in our validation cohort when the machine learning approach was tested against clinical reference tools, with absolute improvements in AUC of 0<c2><b7>09 (95% CI 0<c2><b7>03-0<c2><b7>15; p=0<c2><b7>0026) for bleeding, of 0<c2><b7>18 (0<c2><b7>07-0<c2><b7>29; p=0<c2><b7>0013) for mortality, and of 0<c2><b7>25 (0<c2><b7>18-0<c2><b7>32; p<0<c2><b7>0001) for renal failure. INTERPRETATION: The observed improvements in prediction for all three investigated clinical outcomes have the potential to improve critical care. These findings are noteworthy in that they use routinely collected clinical data exclusively, without the need for any manual processing. The deep machine learning method showed AUC scores that significantly surpass those of clinical reference tools, especially soon after admission. Taken together, these properties are encouraging for prospective deployment in critical care settings to direct the staff's attention towards patients who are most at risk. FUNDING: No specific funding.",2018,10.1016/S2213-2600(18)30300-X,6,12,905-914,eng,2213-2619 2213-2600,"Humans and Female and Male and Middle Aged and Retrospective Studies and Aged and Predictive Value of Tests and ROC Curve and Outcome Assessment, Health Care and Intensive Care Units/statistics & numerical data and *Deep Learning and Cardiac Surgical Procedures/*adverse effects/mortality and Postoperative Hemorrhage/*diagnosis/epidemiology and Renal Insufficiency/*diagnosis/epidemiology",NA,NA,2018/12//undefined,Lancet Respir Med,NA,NA,NA,NA
Walsh_2020_TheLanResmed,JOUR,Imaging research in fibrotic lung disease; applying deep learning to unsolved problems,"Walsh, Simon L. F. and Humphries, Stephen M. and Wells, Athol U. and Brown, Kevin K.",The Lancet. Respiratory medicine,"Over the past decade, there has been a groundswell of research interest in computer-based methods for objectively quantifying fibrotic lung disease on high resolution CT of the chest. In the past 5 years, the arrival of deep learning-based image analysis has created exciting new opportunities for enhancing the understanding of, and the ability to interpret, fibrotic lung disease on CT. Specific unsolved problems for which computer-based imaging analysis might provide solutions include the development of reliable methods for assisting with diagnosis, detecting early disease, and predicting disease behaviour using baseline imaging data. However, to harness this technology, technical and societal challenges must be overcome. Large CT datasets will be needed to power the training of deep learning algorithms. Open science research and collaboration between academia and industry must be encouraged. Prospective clinical utility studies will be needed to test computer algorithm performance in real-world clinical settings and demonstrate patient benefit over current best practice. Finally, ethical standards, which ensure patient confidentiality and mitigate against biases in training datasets, that can be encoded in machine-learning systems will be needed as well as bespoke data governance and accountability frameworks to encourage buy-in from health-care professionals, patients, and the public.",2020,10.1016/S2213-2600(20)30003-5,8,11,1144-1153,eng,2213-2619 2213-2600,"Humans and Female and Male and Retrospective Studies and Forecasting and Machine Learning and Databases, Factual and Cohort Studies and Tomography, X-Ray Computed/*methods and Deep Learning/*trends and *Image Interpretation, Computer-Assisted and Pulmonary Fibrosis/*diagnostic imaging/pathology and Radiography, Thoracic/methods/*trends",NA,NA,2020/11//undefined,Lancet Respir Med,NA,NA,NA,NA
Saglani_2019_Amjoofreancrcame,JOUR,Childhood Asthma: Advances Using Machine Learning and Mechanistic Studies,"Saglani, Sejal and Custovic, Adnan",American journal of respiratory and critical care medicine,"A paradigm shift brought by the recognition that childhood asthma is an aggregated diagnosis that comprises several different endotypes underpinned by different pathophysiology, coupled with advances in understanding potentially important causal mechanisms, offers a real opportunity for a step change to reduce the burden of the disease on individual children, families, and society. Data-driven methodologies facilitate the discovery of ""hidden"" structures within ""big healthcare data"" to help generate new hypotheses. These findings can be translated into clinical practice by linking discovered ""phenotypes"" to specific mechanisms and clinical presentations. Epidemiological studies have provided important clues about mechanistic avenues that should be pursued to identify interventions to prevent the development or alter the natural history of asthma-related diseases. Findings from cohort studies followed by mechanistic studies in humans and in neonatal mouse models provided evidence that environments such as traditional farming may offer protection by modulating innate immune responses and that impaired innate immunity may increase susceptibility. The key question of which component of these exposures can be translated into interventions requires confirmation. Increasing mechanistic evidence is demonstrating that shaping the microbiome in early life may modulate immune function to confer protection. Iterative dialogue and continuous interaction between experts with different but complementary skill sets, including data scientists who generate information about the hidden structures within ""big data"" assets, and medical professionals, epidemiologists, basic scientists, and geneticists who provide critical clinical and mechanistic insights about the mechanisms underpinning the architecture of the heterogeneity, are keys to delivering mechanism-based stratified treatments and prevention.",2019,10.1164/rccm.201810-1956CI,199,4,414-422,eng,1535-4970 1073-449X,"machine learning and Humans and Child and Big Data and children and Models, Biological and *Machine Learning and asthma mechanism and Asthma/*diagnosis/etiology/prevention & control and Immunity, Innate",NA,NA,2019/02/15/,Am J Respir Crit Care Med,NA,NA,NA,NA
Almaaitah_2020_Ches,JOUR,Variation in Patient Smoking Cessation Rates Among Health-Care Providers: An Observational Study,"Almaaitah, Saja and Ciemins, Elizabeth L. and Joshi, Vaishali and Arora, Anupama and Meskow, Christopher and Rothberg, Michael B.",Chest,"BACKGROUND: Physicians play a crucial role in providing smoking cessation counseling and medications. However, it is unknown whether individual physicians' approaches affect whether patients quit. RESEARCH QUESTION: This study assessed patient quit rates within a national quality-improvement learning collaborative to document variation in quit rates at the physician, practice, and health system levels. STUDY DESIGN AND METHODS: A retrospective cohort study was conducted of primary care patients identified from the Optum analytics database containing longitudinal ambulatory data for patients from 22 health-care organizations between January 2012 and December 2018. The study included smokers aged <e2><89><a5> 18 years who attended at least three ambulatory visits, with two visits at least 1 year apart. The primary study outcome was abstinence for <e2><89><a5> 1 year. A mixed effects logistic regression model was used to predict the probability of quitting as a function of patient variables. Quit rates were then adjusted by patient factors and calculated at the level of clinician, clinic/practice, and health system. RESULTS: Across all systems, 56% of patients had a documented smoking status in 2017. Among nearly 1 million smokers, 24% quit smoking. In the regression model, patient characteristics associated with quitting included older age, Hispanic ethnicity, being married, urban residence, commercial insurance, pregnancy, and a diagnosis of pneumonia, myocardial infarction, ischemic heart disease, cataract, or asthma. Medicaid insurance, low income, high BMI, peripheral vascular disease, alcohol-related diagnosis, and COPD were negatively associated with smoking cessation. Adjusted quit rates ranged from 14.3% to 34.5% across 20 health systems, 5% to 66% among 1,399 practice sites, and 4% to 87% among 3,803 health-care providers. Of smokers, 10.2% were prescribed smoking deterrents, and 3.9% were referred for counseling. INTERPRETATION: Smoking cessation rates varied substantially at the practitioner, practice site, and health system levels. It is likely that individual physician approaches to smoking cessation influence patients' likelihood of quitting.",2020,10.1016/j.chest.2020.05.599,158,5,2038-2046,eng,1931-3543 0012-3692,Humans and Female and Male and Middle Aged and Retrospective Studies and Incidence and United States/epidemiology and smoking cessation and Health Personnel/*statistics & numerical data and Counseling/*methods and health-care providers and Smoking Cessation/*statistics & numerical data and Smoking/*adverse effects/epidemiology and variation,NA,NA,2020/11//undefined,Chest,NA,NA,NA,NA
Shashikumar_2021_Ches,JOUR,Development and Prospective Validation of a Deep Learning Algorithm for Predicting Need for Mechanical Ventilation,"Shashikumar, Supreeth P. and Wardi, Gabriel and Paul, Paulina and Carlile, Morgan and Brenner, Laura N. and Hibbert, Kathryn A. and North, Crystal M. and Mukerji, Shibani S. and Robbins, Gregory K. and Shao, Yu-Ping and Westover, M. Brandon and Nemati, Shamim and Malhotra, Atul",Chest,"BACKGROUND: Objective and early identification of hospitalized patients, and particularly those with novel coronavirus disease 2019 (COVID-19), who may require mechanical ventilation (MV) may aid in delivering timely treatment. RESEARCH QUESTION: Can a transparent deep learning (DL) model predict the need for MV in hospitalized patients and those with COVID-19 up to 24 h in advance? STUDY DESIGN AND METHODS: We trained and externally validated a transparent DL algorithm to predict the future need for MV in hospitalized patients, including those with COVID-19, using commonly available data in electronic health records. Additionally, commonly used clinical criteria (heart rate, oxygen saturation, respiratory rate, Fio(2), and pH) were used to assess future need for MV. Performance of the algorithm was evaluated using the area under receiver operating characteristic curve (AUC), sensitivity, specificity, and positive predictive value. RESULTS: We obtained data from more than 30,000 ICU patients (including more than 700 patients with COVID-19) from two academic medical centers. The performance of the model with a 24-h prediction horizon at the development and validation sites was comparable (AUC, 0.895 vs 0.882, respectively), providing significant improvement over traditional clinical criteria (P < .001). Prospective validation of the algorithm among patients with COVID-19 yielded AUCs in the range of 0.918 to 0.943. INTERPRETATION: A transparent deep learning algorithm improves on traditional clinical criteria to predict the need for MV in hospitalized patients, including in those with COVID-19. Such an algorithm may help clinicians to optimize timing of tracheal intubation, to allocate resources and staff better, and to improve patient care.",2021,10.1016/j.chest.2020.12.009,159,6,2264-2273,eng,1931-3543 0012-3692,"deep learning and artificial intelligence and Hospitalization and Humans and Female and Male and Middle Aged and Aged and Prospective Studies and Predictive Value of Tests and ROC Curve and Critical Care and coronavirus and *Respiration, Artificial and *Deep Learning and *Health Services Needs and Demand and artificial respiration and COVID-19/*complications/*therapy and Intubation, Intratracheal and lung",NA,NA,2021/06//undefined,Chest,NA,NA,NA,NA
Pifferi_2011_Ches,JOUR,Monitoring asthma control in children with allergies by soft computing of lung function and exhaled nitric oxide,"Pifferi, Massimo and Bush, Andrew and Pioggia, Giovanni and Di Cicco, Maria and Chinellato, Iolanda and Bodini, Alessandro and Macchia, Pierantonio and Boner, Attilio L.",Chest,"BACKGROUND: Asthma control is emphasized by new guidelines but remains poor in many children. Evaluation of control relies on subjective patient recall and may be overestimated by health-care professionals. This study assessed the value of spirometry and fractional exhaled nitric oxide (FeNO) measurements, used alone or in combination, in models developed by a machine learning approach in the objective classification of asthma control according to Global Initiative for Asthma guidelines and tested the model in a second group of children with asthma. METHODS: Fifty-three children with persistent atopic asthma underwent two to six evaluations of asthma control, including spirometry and FeNO. Soft computing evaluation was performed by means of artificial neural networks and principal component analysis. The model was then tested in a cross-sectional study in an additional 77 children with allergic asthma. RESULTS: The machine learning method was not able to distinguish different levels of control using either spirometry or FeNO values alone. However, their use in combination modeled by soft computing was able to discriminate levels of asthma control. In particular, the model is able to recognize all children with uncontrolled asthma and correctly identify 99.0% of children with totally controlled asthma. In the cross-sectional study, the model prospectively identified correctly all the uncontrolled children and 79.6% of the controlled children. CONCLUSIONS: Soft computing analysis of spirometry and FeNO allows objective categorization of asthma control status.",2011,10.1378/chest.10-0992,139,2,319-327,eng,1931-3543 0012-3692,"Humans and Female and Male and Adolescent and Child and Cross-Sectional Studies and Longitudinal Studies and Prospective Studies and Predictive Value of Tests and Severity of Illness Index and Statistics, Nonparametric and *Neural Networks, Computer and Asthma/drug therapy/*physiopathology and Breath Tests/*methods and Exhalation and Nitric Oxide/*metabolism and Spirometry",NA,NA,2011/02//undefined,Chest,NA,NA,NA,NA
Carroll_2017_Ches,JOUR,"Building Community Through a #pulmcc Twitter Chat to Advocate for Pulmonary, Critical Care, and Sleep","Carroll, Christopher L. and Bruno, Kristi and Ramachandran, Pradeep",Chest,"BACKGROUND: Social media sites such as Twitter can significantly enhance education and advocacy efforts. In 2013, the American College of Chest Physicians (CHEST) launched a Twitter chat series using the hashtag #pulmcc to educate and advocate for topics related to pulmonary, critical care, and sleep medicine. METHODS: To assess the reach of these chats, we analyzed the metrics using Symplur analytics, and compared data from each chat, as well as participant data. RESULTS: Since December 19, 2013, there have been 12 Twitter chats: six have been on critical care-related topics, four have been on pulmonary-/sleep-related topics, and two have been conducted during the CHEST annual meeting on more general topics. During these 1-h Twitter chats, there were a total of 4,212 tweets by 418 participants, resulting in 9,361,519 impressions (ie, views). There were similar numbers of participants and tweets in the three categories of Twitter chats, but there was a significantly greater reach during the more general Twitter chats conducted at the CHEST annual meeting, with 1,596,013 <c2><b1> 126,472 impressions per chat session at these chats, compared with 739,203 <c2><b1> 73,109 impressions per chat session during the critical care Twitter chats and 621,965 <c2><b1> 123,933 impressions per chat session in the pulmonary/sleep chats. Seventy-five participants participated in two or more #pulmcc Twitter chats, and the average percent of return participants in each chat was 30% <c2><b1> 7%. Most of the return participants were health-care providers. CONCLUSIONS: Twitter chats can be a powerful tool for the widespread engagement of a medical audience.",2017,10.1016/j.chest.2017.03.003,152,2,402-409,eng,1931-3543 0012-3692,medical informatics and education and Humans and Social Media/*statistics & numerical data and critical care and Critical Care/*statistics & numerical data and *Sleep and Medical Informatics/statistics & numerical data and pulmonary and Pulmonary Medicine/education/*statistics & numerical data and sleep medicine,NA,NA,2017/08//undefined,Chest,NA,NA,NA,NA
Murphy_2016_Ches,JOUR,Computerized Triggers of Big Data to Detect Delays in Follow-up of Chest Imaging Results,"Murphy, Daniel R. and Meyer, Ashley N. D. and Bhise, Viraj and Russo, Elise and Sittig, Dean F. and Wei, Li and Wu, Louis and Singh, Hardeep",Chest,"BACKGROUND: A ""trigger"" algorithm was used to identify delays in follow-up of abnormal chest imaging results in a large national clinical data warehouse of electronic health record (EHR) data. METHODS: We applied a trigger in a repository hosting EHR data from all Department of Veterans Affairs health-care facilities and analyzed data from seven facilities. Using literature reviews and expert input, we refined previously developed trigger criteria designed to identify patients potentially experiencing delays in diagnostic evaluation of chest imaging flagged as ""suspicious for malignancy."" The trigger then excluded patients in whom further evaluation was unnecessary (eg, those with terminal illnesses or with already completed biopsies). The criteria were programmed into a computerized algorithm. Reviewers examined a random sample of trigger-positive (ie, patients with trigger-identified delay) and trigger-negative (ie, patients with an abnormal imaging result but no delay) records and confirmed the presence or absence of delay or need for additional tracking (eg, repeat imaging in 6 months). Analysis included calculating the trigger's diagnostic performance (ie, positive predictive value, negative predictive value, sensitivity, specificity). RESULTS: On application to 208,633 patients seen between January 1, 2012, and December 31, 2012, a total of 40,218 chest imaging tests were performed; 1,847 of the results were suspicious for malignancy, and 655 (35%) were trigger-positive. Review of 400 randomly selected trigger-positive patients found 158 (40%) with confirmed delays and 84 (21%) requiring additional tracking (positive predictive value, 61% [95% CI, 55.5-65.3]). Review of 100 trigger-negative patients identified 97 without delay (negative predictive value, 97%; [95% CI, 90.8-99.2]). Sensitivity and specificity were 99% (95% CI, 96.2-99.7) and 38% (95% CI, 32.1-44.3), respectively. CONCLUSIONS: Application of triggers on ""big"" EHR data may aid in identifying patients experiencing delays in diagnostic evaluation of chest imaging results suspicious for malignancy.",2016,10.1016/j.chest.2016.05.001,150,3,613-620,eng,1931-3543 0012-3692,"medical informatics and United States and Humans and Medical Informatics and United States Department of Veterans Affairs and Female and Male and Adult and electronic health records and primary care and health information technology and *Algorithms and lung cancer and Tomography, X-Ray Computed and Radiography, Thoracic and *Electronic Health Records and Delayed Diagnosis/*prevention & control and Lung Neoplasms/diagnosis/*diagnostic imaging and radiology and triggers",NA,NA,2016/09//undefined,Chest,NA,NA,NA,NA
Sinha_2020_TheLanResmed,JOUR,Development and validation of parsimonious algorithms to classify acute respiratory distress syndrome phenotypes: a secondary analysis of randomised controlled trials,"Sinha, Pratik and Delucchi, Kevin L. and McAuley, Daniel F. and O'Kane, Cecilia M. and Matthay, Michael A. and Calfee, Carolyn S.",The Lancet. Respiratory medicine,"BACKGROUND: Using latent class analysis (LCA) in five randomised controlled trial (RCT) cohorts, two distinct phenotypes of acute respiratory distress syndrome (ARDS) have been identified: hypoinflammatory and hyperinflammatory. The phenotypes are associated with differential outcomes and treatment response. The objective of this study was to develop parsimonious models for phenotype identification that could be accurate and feasible to use in the clinical setting. METHODS: In this retrospective study, three RCT cohorts from the National Lung, Heart, and Blood Institute ARDS Network (ARMA, ALVEOLI, and FACTT) were used as the derivation dataset (n=2022), from which the machine learning and logistic regression classifer models were derived, and a fourth (SAILS; n=715) from the same network was used as the validation test set. LCA-derived phenotypes in all of these cohorts served as the reference standard. Machine-learning algorithms (random forest, bootstrapped aggregating, and least absolute shrinkage and selection operator) were used to select a maximum of six important classifier variables, which were then used to develop nested logistic regression models. Only cases with complete biomarker data in the derivation dataset were used for variable selection. The best logistic regression models based on parsimony and predictive accuracy were then evaluated in the validation test set. Finally, the models' prognostic validity was tested in two external ARDS clinical trial datasets (START and HARP-2) by assessing mortality at days 28, 60, and 90 and ventilator-free days to day 28. FINDINGS: The six most important classifier variables were interleukin (IL)-8, IL-6, protein C, soluble tumour necrosis factor receptor 1, bicarbonate, and vasopressor use. From the nested models, three-variable (IL-8, bicarbonate, and protein C) and four-variable (3-variable plus vasopressor use) models were adjudicated to be the best performing. In the validation test set, both models showed good accuracy (AUC 0<c2><b7>94 [95% CI 0<c2><b7>92-0<c2><b7>95] for the three-variable model and 0<c2><b7>95 [95% CI 0<c2><b7>93-0<c2><b7>96] for the four-variable model) against LCA classifications. As with LCA-derived phenotypes, the hyperinflammatory phenotype as identified by the classifier model was associated with higher mortality at day 90 (87 [39%] of 223 patients vs 112 [23%] of 492 patients; p<0<c2><b7>0001) and fewer ventilator-free days (median 14 days [IQR 0-22] vs 22 days [0-25]; p<0<c2><b7>0001). In the external validation datasets, three-variable models developed in the derivation dataset identified two phenotypes with distinct clinical features and outcomes consistent with previous findings, including differential survival with simvastatin versus placebo in HARP-2 (p=0<c2><b7>023 for survival at 28 days). INTERPRETATION: ARDS phenotypes can be accurately identified with parsimonious classifier models using three or four variables. Pending the development of real-time testing for key biomarkers and prospective validation, these models could facilitate identification of ARDS phenotypes to enable their application in clinical trials and practice. FUNDING: National Institutes of Health.",2020,10.1016/S2213-2600(19)30369-8,8,3,247-257,eng,2213-2619 2213-2600,Humans and Female and Male and Adult and Middle Aged and Retrospective Studies and Aged and Machine Learning and Randomized Controlled Trials as Topic and Predictive Value of Tests and Phenotype and Biomarkers/blood and Inflammation Mediators/*blood and Respiratory Distress Syndrome/blood/*classification/therapy,NA,NA,2020/03//undefined,Lancet Respir Med,NA,NA,NA,NA
