label,type,title,author,journal,abstract,year,doi,volume,issue,pages,language,issn,keywords,url,institution,DA,j2,DP,l1,l2,ST
Brink_2017_Euroradi,JOUR,Bits and bytes: the future of radiology lies in informatics and information technology,"Brink, James A. and Arenson, Ronald L. and Grist, Thomas M. and Lewin, Jonathan S. and Enzmann, Dieter",European radiology,Advances in informatics and information technology are sure to alter the practice of medical imaging and image-guided therapies substantially over the next decade. Each element of the imaging continuum will be affected by substantial increases in computing capacity coincident with the seamless integration of digital technology into our society at large. This article focuses primarily on areas where this IT transformation is likely to have a profound effect on the practice of radiology. KEY POINTS: <e2><80><a2> Clinical decision support ensures consistent and appropriate resource utilization. <e2><80><a2> Big data enables correlation of health information across multiple domains. <e2><80><a2> Data mining advances the quality of medical decision-making. <e2><80><a2> Business analytics allow radiologists to maximize the benefits of imaging resources.,2017,10.1007/s00330-016-4688-5,27,9,3647-3651,eng,1432-1084 0938-7994,"Information technology and Artificial intelligence and Humans and Data mining and Medical informatics and Clinical decision support and Clinical Decision-Making/methods and Data Mining/methods/trends and Decision Support Systems, Clinical/trends and Information Technology/trends and Internet/trends and Medical Informatics/trends and Radiology Information Systems/*trends and Radiology/*trends",NA,NA,2017/09//undefined,Eur Radiol,NA,NA,NA,NA
Recht_2020_Euroradi,JOUR,Integrating artificial intelligence into the clinical practice of radiology: challenges and recommendations,"Recht, Michael P. and Dewey, Marc and Dreyer, Keith and Langlotz, Curtis and Niessen, Wiro and Prainsack, Barbara and Smith, John J.",European radiology,"Artificial intelligence (AI) has the potential to significantly disrupt the way radiology will be practiced in the near future, but several issues need to be resolved before AI can be widely implemented in daily practice. These include the role of the different stakeholders in the development of AI for imaging, the ethical development and use of AI in healthcare, the appropriate validation of each developed AI algorithm, the development of effective data sharing mechanisms, regulatory hurdles for the clearance of AI algorithms, and the development of AI educational resources for both practicing radiologists and radiology trainees. This paper details these issues and presents possible solutions based on discussions held at the 2019 meeting of the International Society for Strategic Studies in Radiology. KEY POINTS: <e2><80><a2> Radiologists should be aware of the different types of bias commonly encountered in AI studies, and understand their possible effects. <e2><80><a2> Methods for effective data sharing to train, validate, and test AI algorithms need to be developed. <e2><80><a2> It is essential for all radiologists to gain an understanding of the basic principles, potentials, and limits of AI.",2020,10.1007/s00330-020-06672-5,30,6,3576-3584,eng,1432-1084 0938-7994,Artificial intelligence and Education and Humans and Forecasting and Algorithms and Machine Learning and Data and Regulation and Reproducibility of Results and Deep Learning and Information Dissemination and Validation Studies as Topic and *Artificial Intelligence and *Radiology and Radiologists and Bioethics,NA,NA,2020/06//undefined,Eur Radiol,NA,NA,NA,NA
Dreyer_2017_Radi,JOUR,When Machines Think: Radiology's Next Frontier,"Dreyer, Keith J. and Geis, J. Raymond",Radiology,"Artificial intelligence (AI), machine learning, and deep learning are terms now seen frequently, all of which refer to computer algorithms that change as they are exposed to more data. Many of these algorithms are surprisingly good at recognizing objects in images. The combination of large amounts of machine-consumable digital data, increased and cheaper computing power, and increasingly sophisticated statistical models combine to enable machines to find patterns in data in ways that are not only cost-effective but also potentially beyond humans' abilities. Building an AI algorithm can be surprisingly easy. Understanding the associated data structures and statistics, on the other hand, is often difficult and obscure. Converting the algorithm into a sophisticated product that works consistently in broad, general clinical use is complex and incompletely understood. To show how these AI products reduce costs and improve outcomes will require clinical translation and industrial-grade integration into routine workflow. Radiology has the chance to leverage AI to become a center of intelligently aggregated, quantitative, diagnostic information. Centaur radiologists, formed as a synergy of human plus computer, will provide interpretations using data extracted from images by humans and image-analysis computer algorithms, as well as the electronic health record, genomics, and other disparate sources. These interpretations will form the foundation of precision health care, or care customized to an individual patient. ((C)) RSNA, 2017.",2017,10.1148/radiol.2017171183,285,3,713-718,eng,1527-1315 0033-8419,"Software and Humans and Algorithms and Image Interpretation, Computer-Assisted/*methods and Machine Learning/*trends and *Forecasting and Radiology/*trends and Decision Support Systems, Clinical/*trends and Diagnostic Imaging/*trends and Pattern Recognition, Automated/trends",NA,NA,2017/12//undefined,Radiology,NA,NA,NA,NA
Sengupta_2013_JACCCardimag,JOUR,Intelligent platforms for disease assessment: novel approaches in functional echocardiography,"Sengupta, Partho P.",JACC. Cardiovascular imaging,"Accelerating trends in the dynamic digital era (from 2004 onward) has resulted in the emergence of novel parametric imaging tools that allow easy and accurate extraction of quantitative information from cardiac images. This review principally attempts to heighten the awareness of newer emerging paradigms that may advance acquisition, visualization and interpretation of the large functional data sets obtained during cardiac ultrasound imaging. Incorporation of innovative cognitive software that allow advanced pattern recognition and disease forecasting will likely transform the human-machine interface and interpretation process to achieve a more efficient and effective work environment. Novel technologies for automation and big data analytics that are already active in other fields need to be rapidly adapted to the health care environment with new academic-industry collaborations to enrich and accelerate the delivery of newer decision making tools for enhancing patient care.",2013,10.1016/j.jcmg.2013.09.003,6,11,1206-1211,eng,1876-7591,"Software and Humans and Diffusion of Innovation and Forecasting and Information Storage and Retrieval and big data and Prognosis and robotics and Predictive Value of Tests and Pattern Recognition, Automated and Severity of Illness Index and *Image Interpretation, Computer-Assisted and cognitive computing and *Artificial Intelligence/trends and echocardiography and Automation, Laboratory and Echocardiography/*methods/trends and Heart Diseases/*diagnostic imaging and parametric imaging",NA,NA,2013/11//undefined,JACC Cardiovasc Imaging,NA,NA,NA,NA
Sengupta_2020_JACCCardimag,JOUR,Proposed Requirements for Cardiovascular Imaging-Related Machine Learning Evaluation (PRIME): A Checklist: Reviewed by the American College of Cardiology Healthcare Innovation Council,"Sengupta, Partho P. and Shrestha, Sirish and Berthon, Beatrice and Messas, Emmanuel and Donal, Erwan and Tison, Geoffrey H. and Min, James K. and D'hooge, Jan and Voigt, Jens-Uwe and Dudley, Joel and Verjans, Johan W. and Shameer, Khader and Johnson, Kipp and Lovstakken, Lasse and Tabassian, Mahdi and Piccirilli, Marco and Pernot, Mathieu and Yanamala, Naveena and Duchateau, Nicolas and Kagiyama, Nobuyuki and Bernard, Olivier and Slomka, Piotr and Deo, Rahul and Arnaout, Rima",JACC. Cardiovascular imaging,"Machine learning (ML) has been increasingly used within cardiology, particularly in the domain of cardiovascular imaging. Due to the inherent complexity and flexibility of ML algorithms, inconsistencies in the model performance and interpretation may occur. Several review articles have been recently published that introduce the fundamental principles and clinical application of ML for cardiologists. This paper builds on these introductory principles and outlines a more comprehensive list of crucial responsibilities that need to be completed when developing ML models. This paper aims to serve as a scientific foundation to aid investigators, data scientists, authors, editors, and reviewers involved in machine learning research with the intent of uniform reporting of ML investigations. An independent multidisciplinary panel of ML experts, clinicians, and statisticians worked together to review the theoretical rationale underlying 7 sets of requirements that may reduce algorithmic errors and biases. Finally, the paper summarizes a list of reporting items as an itemized checklist that highlights steps for ensuring correct application of ML models and the consistent reporting of model specifications and results. It is expected that the rapid pace of research and development and the increased availability of real-world evidence may require periodic updates to the checklist.",2020,10.1016/j.jcmg.2020.07.015,13,9,2017-2035,eng,1876-7591 1936-878X,machine learning and artificial intelligence and United States and reproducible research and Humans and Delivery of Health Care and Machine Learning and Predictive Value of Tests and *Cardiology and digital health and *Checklist and cardiovascular imaging and checklist and reporting guidelines,NA,NA,2020/09//undefined,JACC Cardiovasc Imaging,NA,NA,NA,NA
Bukowski_2020_Euroradi,JOUR,Implementation of eHealth and AI integrated diagnostics with multidisciplinary digitized data: are we ready from an international perspective?,"Bukowski, Mark and Farkas, Robert and Beyan, Oya and Moll, Lorna and Hahn, Horst and Kiessling, Fabian and Schmitz-Rode, Thomas",European radiology,"Digitization of medicine requires systematic handling of the increasing amount of health data to improve medical diagnosis. In this context, the integration of the versatile diagnostic information, e.g., from anamnesis, imaging, histopathology, and clinical chemistry, and its comprehensive analysis by artificial intelligence (AI)-based tools is expected to improve diagnostic precision and the therapeutic conduct. However, the complex medical environment poses a major obstacle to the translation of integrated diagnostics into clinical research and routine. There is a high need to address aspects like data privacy, data integration, interoperability standards, appropriate IT infrastructure, and education of staff. Besides this, a plethora of technical, political, and ethical challenges exists. This is complicated by the high diversity of approaches across Europe. Thus, we here provide insights into current international activities on the way to digital comprehensive diagnostics. This includes a technical view on challenges and solutions for comprehensive diagnostics in terms of data integration and analysis. Current data communications standards and common IT solutions that are in place in hospitals are reported. Furthermore, the international hospital digitalization scoring and the European funding situation were analyzed. In addition, the regional activities in radiomics and the related publication trends are discussed. Our findings show that prerequisites for comprehensive diagnostics have not yet been sufficiently established throughout Europe. The manifold activities are characterized by a heterogeneous digitization progress and they are driven by national efforts. This emphasizes the importance of clear governance, concerted investments, and cooperation at various levels in the health systems.Key Points<e2><80><a2> Europe is characterized by heterogeneity in its digitization progress with predominantly national efforts. Infrastructural prerequisites for comprehensive diagnostics are not given and not sufficiently funded throughout Europe, which is particularly true for data integration.<e2><80><a2> The clinical establishment of comprehensive diagnostics demands for a clear governance, significant investments, and cooperation at various levels in the healthcare systems.<e2><80><a2> While comprehensive diagnostics is on its way, concerted efforts should be taken in Europe to get consensus concerning interoperability and standards, security, and privacy as well as ethical and legal concerns.",2020,10.1007/s00330-020-06874-x,30,10,5510-5524,eng,1432-1084 0938-7994,Diagnosis and Software and Electronic health records and Artificial intelligence and Humans and Europe and Privacy and Data Mining and Computer Systems and Internationality and Information storage and retrieval and Artificial Intelligence/*trends and Radiology/*trends and Interdisciplinary Research and Medical Informatics/*trends and Publishing/trends and Telemedicine/*trends,NA,NA,2020/10//undefined,Eur Radiol,NA,NA,NA,NA
Zhang_2019_Micaci.M.ICoMICaCI,JOUR,"Deep white matter analysis: fast, consistent tractography segmentation across populations and dMRI acquisitions","Zhang, Fan and Hoffmann, Nico and Karayumak, Suheyla Cetin and Rathi, Yogesh and Golby, Alexandra J. and O'Donnell, Lauren J.",Medical image computing and computer-assisted intervention : MICCAI ... International Conference on Medical Image Computing and Computer-Assisted Intervention,"We present a deep learning tractography segmentation method that allows fast and consistent white matter fiber tract identification across healthy and disease populations and across multiple diffusion MRI (dMRI) acquisitions. We create a large-scale training tractography dataset of 1 million labeled fiber samples (54 anatomical tracts are included). To discriminate between fibers from different tracts, we propose a novel 2D multi-channel feature descriptor (FiberMap) that encodes spatial coordinates of points along each fiber. We learn a CNN tract classification model based on FiberMap and obtain a high tract classification accuracy of 90.99%. The method is evaluated on a test dataset of 374 dMRI scans from three independently acquired populations across health conditions (healthy control, neuropsychiatric disorders, and brain tumor patients). We perform comparisons with two state-of-the-art white matter tract segmentation methods. Experimental results show that our method obtains a highly consistent segmentation result, where over 99% of the fiber tracts are successfully detected across all subjects under study, most importantly, including patients with space occupying brain tumors. The proposed method leverages deep learning techniques and provides a much faster and more efficient tool for large data analysis than methods using traditional machine learning techniques.",2019,10.1007/978-3-030-32248-9_67,11766,NA,599-608,eng,NA,NA,NA,NA,2019/10//undefined,Med Image Comput Comput Assist Interv,NA,NA,NA,NA
Pianykh_2020_Radi,JOUR,Continuous Learning AI in Radiology: Implementation Principles and Early Applications,"Pianykh, Oleg S. and Langs, Georg and Dewey, Marc and Enzmann, Dieter R. and Herold, Christian J. and Schoenberg, Stefan O. and Brink, James A.",Radiology,"Artificial intelligence (AI) is becoming increasingly present in radiology and health care. This expansion is driven by the principal AI strengths: automation, accuracy, and objectivity. However, as radiology AI matures to become fully integrated into the daily radiology routine, it needs to go beyond replicating static models, toward discovering new knowledge from the data and environments around it. Continuous learning AI presents the next substantial step in this direction and brings a new set of opportunities and challenges. Herein, the authors discuss the main concepts and requirements for implementing continuous AI in radiology and illustrate them with examples from emerging applications.",2020,10.1148/radiol.2020200038,297,1,14-6,eng,1527-1315 0033-8419,Humans and Big Data and *Artificial Intelligence and Radiology/*trends,NA,NA,2020/10//undefined,Radiology,NA,NA,NA,NA
Langlotz_2019_Radi,JOUR,A Roadmap for Foundational Research on Artificial Intelligence in Medical Imaging: From the 2018 NIH/RSNA/ACR/The Academy Workshop,"Langlotz, Curtis P. and Allen, Bibb and Erickson, Bradley J. and Kalpathy-Cramer, Jayashree and Bigelow, Keith and Cook, Tessa S. and Flanders, Adam E. and Lungren, Matthew P. and Mendelson, David S. and Rudie, Jeffrey D. and Wang, Ge and Kandarpa, Krishna",Radiology,"Imaging research laboratories are rapidly creating machine learning systems that achieve expert human performance using open-source methods and tools. These artificial intelligence systems are being developed to improve medical image reconstruction, noise reduction, quality assurance, triage, segmentation, computer-aided detection, computer-aided classification, and radiogenomics. In August 2018, a meeting was held in Bethesda, Maryland, at the National Institutes of Health to discuss the current state of the art and knowledge gaps and to develop a roadmap for future research initiatives. Key research priorities include: 1, new image reconstruction methods that efficiently produce images suitable for human interpretation from source data; 2, automated image labeling and annotation methods, including information extraction from the imaging report, electronic phenotyping, and prospective structured image reporting; 3, new machine learning methods for clinical imaging data, such as tailored, pretrained model architectures, and federated machine learning methods; 4, machine learning methods that can explain the advice they provide to human users (so-called explainable artificial intelligence); and 5, validated methods for image de-identification and data sharing to facilitate wide availability of clinical imaging data sets. This research roadmap is intended to identify and prioritize these needs for academic research laboratories, funding agencies, professional societies, and industry.",2019,10.1148/radiol.2019190613,291,3,781-791,eng,1527-1315 0033-8419,"Humans and Algorithms and Machine Learning and *Artificial Intelligence and *Biomedical Research and *Diagnostic Imaging and *Image Interpretation, Computer-Assisted",NA,NA,2019/06//undefined,Radiology,NA,NA,NA,NA
Mollura_2020_Radi,JOUR,Artificial Intelligence in Low- and Middle-Income Countries: Innovating Global Health Radiology,"Mollura, Daniel J. and Culp, Melissa P. and Pollack, Erica and Battino, Gillian and Scheel, John R. and Mango, Victoria L. and Elahi, Ameena and Schweitzer, Alan and Dako, Farouk",Radiology,"Scarce or absent radiology resources impede adoption of artificial intelligence (AI) for medical imaging by resource-poor health institutions. They face limitations in local equipment, personnel expertise, infrastructure, data-rights frameworks, and public policies. The trustworthiness of AI for medical decision making in global health and low-resource settings is hampered by insufficient data diversity, nontransparent AI algorithms, and resource-poor health institutions' limited participation in AI production and validation. RAD-AID's three-pronged integrated strategy for AI adoption in resource-poor health institutions is presented, which includes clinical radiology education, infrastructure implementation, and phased AI introduction. This strategy derives from RAD-AID's more-than-a-decade experience as a nonprofit organization developing radiology in resource-poor health institutions, both in the United States and in low- and middle-income countries. The three components synergistically provide the foundation to address health care disparities. Local radiology personnel expertise is augmented through comprehensive education. Software, hardware, and radiologic and networking infrastructure enables radiology workflows incorporating AI. These educational and infrastructure developments occur while RAD-AID delivers phased introduction, testing, and scaling of AI via global health collaborations.",2020,10.1148/radiol.2020201434,297,3,513-520,eng,1527-1315 0033-8419,Humans and Diffusion of Innovation and *Artificial Intelligence and *Developing Countries and *Diagnostic Imaging and *Global Health,NA,NA,2020/12//undefined,Radiology,NA,NA,NA,NA
