label,type,title,author,journal,abstract,year,doi,volume,issue,pages,language,issn,keywords,url,institution,DA,j2,DP,l1,l2,ST
Koerner_2014_Clinreha,JOUR,A multicentre cluster-randomized controlled study to evaluate a train-the-trainer programme for implementing internal and external participation in medical rehabilitation,"Koerner, Mirjam and Wirtz, Markus and Michaelis, Martina and Ehrhardt, Heike and Steger, Anne-Kathrin and Zerpies, Eva and Bengel, Jurgen",Clinical rehabilitation,"OBJECTIVE: Evaluation of the effect of the train-the-trainer programme 'Fit for Shared Decision-Making' on internal (team) and external (patient) participation in medical rehabilitation from a patient and staff perspective. DESIGN: A multicentre, cluster-randomized controlled study. SETTING: Eleven medical rehabilitation clinics, divided into intervention and control groups. SUBJECTS: A staff and a patient survey were conducted pre- and post-intervention, plus a further patient survey six months later. INTERVENTION: Train-the-trainer programme 'Fit for Shared Decision-Making' for interprofessional settings. MAIN MEASURES: Each survey measured internal participation with a self-compiled six-item scale (Internal Participation Scale, IPS), and external participation by means of a nine-item Shared Decision-Making Questionnaire (SDM-Q-9) for the patients and for healthcare professionals. RESULTS: Patient samples numbered 402 for the pre-, 463 for the post-intervention data collection period and 461 six months after the intervention. Patients' appraisal of external participation (Fperiod x group (2) = 0.256, p=0.774, <ce><b7>(2)=0.000) showed no change, whereas internal participation (Fperiod x group (2) = 3.785, p=0.023, <ce><b7>(2)=0.007) showed a significant increase. A total of 195 healthcare professionals participated in the pre- and 168 in the post-intervention staff survey. Here external participation was significantly enhanced in the intervention group (F(period x group) (1) = 4.893, p=0.028, <ce><b7>(2)=0.014). CONCLUSIONS: The train-the-trainer approach can be recommended for implementing internal and external participation in interprofessional settings such as medical rehabilitation clinics. However, there is a need for more intensive staff training for internal participation and an additional intervention for patients to achieve success in all aspects.",2014,10.1177/0269215513494874,28,1,20-35,eng,1477-0873 0269-2155,Humans and Female and Male and Middle Aged and Decision Making and patient-centred care and *Patient Participation and *Patient Care Team and Shared decision-making and cluster-randomized controlled study and interprofessional team and Rehabilitation/*education and Teaching/*methods and train-the-trainer programme,NA,NA,2014/01//undefined,Clin Rehabil,NA,NA,NA,NA
Dubois_2019_Joofneanre,JOUR,Fast and automatic assessment of fall risk by coupling machine learning algorithms with a depth camera to monitor simple balance tasks,"Dubois, Amandine and Mouthon, Audrey and Sivagnanaselvam, Ranjith Steve and Bresciani, Jean-Pierre",Journal of neuroengineering and rehabilitation,"BACKGROUND: Falls in the elderly constitute a major health issue associated to population ageing. Current clinical tests evaluating fall risk mostly consist in assessing balance abilities. The devices used for these tests can be expensive or inconvenient to set up. We investigated whether, how and to which extent fall risk could be assessed using a low cost ambient sensor to monitor balance tasks. METHOD: Eighty four participants, forty of which were 65 or older, performed eight simple balance tasks in front of a Microsoft Kinect sensor. Custom-made algorithms coupled to the Kinect sensor were used to automatically extract body configuration parameters such as body centroid and dispersion. Participants were then classified in two groups using a clustering method. The clusters were formed based on the parameters measured by the sensor for each balance task. For each participant, fall risk was independently assessed using known risk factors as age and average physical activity, as well as the participant's performance on the Timed Up and Go clinical test. RESULTS: Standing with a normal stance and the eyes closed on a foam pad, and standing with a narrow stance and the eyes closed on regular ground were the two balance tasks for which the classification's outcome best matched fall risk as assessed by the three known risk factors. Standing on a foam pad with eyes closed was the task driving to the most robust results. CONCLUSION: Our method constitutes a simple, fast, and reliable way to assess fall risk more often with elderly people. Importantly, this method requires very little space, time and equipment, so that it could be easily and frequently used by a large number of health professionals, and in particular by family physicians. Therefore, we believe that the use of this method would substantially contribute to improve fall prevention. TRIAL REGISTRATION: CER-VD 2015-00035. Registered 7 December 2015.",2019,10.1186/s12984-019-0532-x,16,1,71,eng,1743-0003,"Elderly people and Humans and Female and Male and Adult and Aged and Aged, 80 and over and *Machine Learning and *Wearable Electronic Devices and Accidental Falls/*prevention & control and Balance analysis and Depth camera and Exercise Therapy/methods and Fall prevention and Postural Balance/*physiology",NA,NA,2019/06/11/,J Neuroeng Rehabil,NA,NA,NA,NA
Wade_2019_Clinreha,JOUR,Making healthcare decisions in a person's best interests when they lack capacity: clinical guidance based on a review of evidence,"Wade, Derick T. and Kitzinger, Celia",Clinical rehabilitation,"OBJECTIVE: To clarify the concept of best interests, setting out how they should be ascertained and used to make healthcare decisions for patients who lack the mental capacity to make decisions. CONTEXT: The legal framework is the Mental Capacity Act (MCA) 2005, which applies to England and Wales. THEORY: Unless there is a valid and applicable Advance Decision, an appointed decision-maker needs to decide for those without capacity. This may be someone appointed by the patient through a Lasting Power of Attorney, or a Deputy appointed by the court. Otherwise the decision-maker is usually the responsible clinician. Different approaches exist to surrogate decision-making cross-nationally. In England and Wales, decision-making is governed by the MCA 2005, which uses a person-centred, flexible best interests (substituted interests) approach. OBSERVATIONS: The MCA is often not followed in healthcare settings, despite widespread mandatory training. The possible reasons include its focus on single decisions, when multiple decisions are made daily, the potential time involved and lack of clarity about who is the responsible decision-maker. SOLUTION: One solution is to decide a strategic policy to cover more significant (usually health-related) decisions and to separate these from day-to-day relational decisions covering care and activities. Once persistent lack of capacity is confirmed, an early meeting should be arranged with family and friends, to start a process of sharing information about the patient's medical condition and their values, wishes, feelings and beliefs with a view to making timely treatment decisions in the patient's best interests.",2019,10.1177/0269215519852987,33,10,1571-1585,eng,1477-0873 0269-2155,decision-making and Humans and Advance Directives and *Decision Making and Clinical Decision-Making and *Mental Competency and Professional-Family Relations and *Proxy and best interests and Mental capacity,NA,NA,2019/10//undefined,Clin Rehabil,NA,NA,NA,NA
Harari_2020_Joofneanre,JOUR,Inpatient stroke rehabilitation: prediction of clinical outcomes using a machine-learning approach,"Harari, Yaar and O'Brien, Megan K. and Lieber, Richard L. and Jayaraman, Arun",Journal of neuroengineering and rehabilitation,"BACKGROUND: In clinical practice, therapists often rely on clinical outcome measures to quantify a patient's impairment and function. Predicting a patient's discharge outcome using baseline clinical information may help clinicians design more targeted treatment strategies and better anticipate the patient's assistive needs and discharge care plan. The objective of this study was to develop predictive models for four standardized clinical outcome measures (Functional Independence Measure, Ten-Meter Walk Test, Six-Minute Walk Test, Berg Balance Scale) during inpatient rehabilitation. METHODS: Fifty stroke survivors admitted to a United States inpatient rehabilitation hospital participated in this study. Predictors chosen for the clinical discharge scores included demographics, stroke characteristics, and scores of clinical tests at admission. We used the Pearson product-moment and Spearman's rank correlation coefficients to calculate correlations among clinical outcome measures and predictors, a cross-validated Lasso regression to develop predictive equations for discharge scores of each clinical outcome measure, and a Random Forest based permutation analysis to compare the relative importance of the predictors. RESULTS: The predictive equations explained 70-77% of the variance in discharge scores and resulted in a normalized error of 13-15% for predicting the outcomes of new patients. The most important predictors were clinical test scores at admission. Additional variables that affected the discharge score of at least one clinical outcome were time from stroke onset to rehabilitation admission, age, sex, body mass index, race, and diagnosis of dysphasia or speech impairment. CONCLUSIONS: The models presented in this study could help clinicians and researchers to predict the discharge scores of clinical outcomes for individuals enrolled in an inpatient stroke rehabilitation program that adheres to U.S. Medicare standards.",2020,10.1186/s12984-020-00704-3,17,1,71,eng,1743-0003,"United States and Humans and Female and Male and Adult and Middle Aged and Young Adult and Aged and Aged, 80 and over and Inpatients and *Machine Learning and *Treatment Outcome and Gait and Stroke Rehabilitation/*methods and *Outcome Assessment, Health Care and Balance and Functional Independence measure and Lasso regression and Physical therapy and Stroke/physiopathology",NA,NA,2020/06/10/,J Neuroeng Rehabil,NA,NA,NA,NA
Ahmadi_2018_Joofneanre,JOUR,Machine learning algorithms for activity recognition in ambulant children and adolescents with cerebral palsy,"Ahmadi, Matthew and O'Neil, Margaret and Fragala-Pinkham, Maria and Lennon, Nancy and Trost, Stewart",Journal of neuroengineering and rehabilitation,"BACKGROUND: Cerebral palsy (CP) is the most common physical disability among children (2.5 to 3.6 cases per 1000 live births). Inadequate physical activity (PA) is a major problem effecting the health and well-being of children with CP. Practical, yet accurate measures of PA are needed to evaluate the effectiveness of surgical and therapy-based interventions to increase PA. Accelerometer-based motion sensors have become the standard for objectively measuring PA in children and adolescents; however, current methods for estimating physical activity intensity in children with CP are associated with significant error and may dramatically underestimate HPA in children with more severe mobility limitations. Machine learning (ML) models that first classify the PA type and then predict PA intensity or energy expenditure using activity specific regression equations may be more accurate than standalone regression models. However, the feasibility and validity of ML methods has not been explored in youth with CP. Therefore, the purpose of this study was to develop and test ML models for the automatic identification of PA type in ambulant children with CP. METHODS: Twenty two children and adolescents (mean age: 12.8 <c2><b1> 2.9 y) with CP classified at GMFCS Levels I to III completed 7 activity trials while wearing an ActiGraph GT3X+ accelerometer on the hip and wrist. Trials were categorised as sedentary (SED), standing utilitarian movements (SUM), comfortable walking (CW), and brisk walking (BW). Random forest (RF), support vector machine (SVM), and binary decision tree (BDT) classifiers were trained with features extracted from the vector magnitude (VM) of the raw acceleration signal using 10 s non-overlapping windows. Performance was evaluated using leave-one-subject out cross validation. RESULTS: SVM (82.0-89.0%) and RF (82.6-88.8%) provided significantly better classification accuracy than BDT (76.1-86.2%). Hip (82.7-85.5%) and wrist (76.1-82.6%) classifiers exhibited comparable prediction accuracy, while the combined hip and wrist (86.2-89.0%) classifiers achieved the best overall performance. For all classifiers, recognition accuracy was excellent for SED (94.1-97.9%), good to excellent for SUM (74.0-96.6%) and brisk walking (71.5-86.0%), and modest for comfortable walking (47.6-70.4%). When comfortable and brisk walking were combined into a single walking class, recognition accuracy ranged from 90.3 to 96.5%. CONCLUSIONS: ML methods provided acceptable classification accuracy for detection of a range of activities commonly performed by ambulatory children with CP. The resultant models can help clinicians more effectively monitor bouts of brisk walking in the community. The results indicate that 2-step models that first classify PA type and then predict energy expenditure using activity specific regression equations are worthy of exploration in this patient group.",2018,10.1186/s12984-018-0456-x,15,1,105,eng,1743-0003,Wearable sensors and Humans and Female and Male and Adolescent and Child and *Algorithms and *Machine Learning and *Exercise and Accelerometers and Accelerometry/*methods and Cerebral Palsy/physiopathology/*radiotherapy and CP and Feature fusion and GMFCS level and Habitual physical activity and Placement,NA,NA,2018/11/15/,J Neuroeng Rehabil,NA,NA,NA,NA
Keshner_2019_Joofneanre,JOUR,Tracking the evolution of virtual reality applications to rehabilitation as a field of study,"Keshner, Emily A. and Weiss, Patrice Tamar and Geifman, Dorit and Raban, Daphne",Journal of neuroengineering and rehabilitation,"BACKGROUND: Application of virtual reality (VR) to rehabilitation is relatively recent with clinical implementation very rapidly following technological advancement and scientific discovery. Implementation is often so rapid that demonstrating intervention efficacy and establishing research priorities is more reactive than proactive. This study used analytical tools from information science to examine whether application of VR to rehabilitation has evolved as a distinct field of research or is primarily a methodology in core disciplines such as biomedical engineering, medicine and psychology. METHODS: The analysis was performed in three-stages: 1) a bibliographic search in the ISI Web of Science database created an initial corpus of publications, 2) the corpus was refined through topic modeling, and 3) themes dominating the corpus from the refined search results were identified by topic modeling and network analytics. This was applied separately to each of three time periods: 1996 to 2005 (418 publications), 2006 to 2014 (1454 publications), and 2015 to mid-2018 (1269 publications). RESULTS: Publication rates have continuously increased across time periods with principal topics shifting from an emphasis on computer science and psychology to rehabilitation and public health. No terminology specific to the field of VR-based rehabilitation emerged; rather a range of central concepts including ""virtual reality"", ""virtual gaming"", ""virtual environments"", ""simulated environments"" continue to be used. Communities engaged in research or clinical application of VR form assemblages distinguished by a focus on physical or psychological rehabilitation; these appear to be weakly linked through tele-rehabilitation. CONCLUSIONS: Varying terms exemplify the main corpus of VR-based rehabilitation and terms are not consistent across the many scientific domains. Numerous distinguishable areas of research and clinical foci (e.g., Tele-rehabilitation, Gait & Balance, Cognitive Rehabilitation, Gaming) define the agenda. We conclude that VR-based rehabilitation consists of a network of scientific communities with a shared interest in the methodology rather than a directed and focused research field. An interlinked team approach is important to maintain scientific rigor and technological validity within this diverse group. Future studies should examine how these interdisciplinary communities individually define themselves with the goals of gathering knowledge and working collectively toward disseminating information essential to associated research communities.",2019,10.1186/s12984-019-0552-6,16,1,76,eng,1743-0003,Humans and Terminology as Topic and Interdisciplinary and Topic modeling and *Virtual Reality and Rehabilitation/*methods/standards and Scientific communities and Virtual rehabilitation,NA,NA,2019/06/21/,J Neuroeng Rehabil,NA,NA,NA,NA
Young_2016_Joofneanre,JOUR,Exploratory analysis of real personal emergency response call conversations: considerations for personal emergency response spoken dialogue systems,"Young, Victoria and Rochon, Elizabeth and Mihailidis, Alex",Journal of neuroengineering and rehabilitation,"BACKGROUND: The purpose of this study was to derive data from real, recorded, personal emergency response call conversations to help improve the artificial intelligence and decision making capability of a spoken dialogue system in a smart personal emergency response system. The main study objectives were to: develop a model of personal emergency response; determine categories for the model's features; identify and calculate measures from call conversations (verbal ability, conversational structure, timing); and examine conversational patterns and relationships between measures and model features applicable for improving the system's ability to automatically identify call model categories and predict a target response. METHODS: This study was exploratory and used mixed methods. Personal emergency response calls were pre-classified according to call model categories identified qualitatively from response call transcripts. The relationships between six verbal ability measures, three conversational structure measures, two timing measures and three independent factors: caller type, risk level, and speaker type, were examined statistically. RESULTS: Emergency medical response services were the preferred response for the majority of medium and high risk calls for both caller types. Older adult callers mainly requested non-emergency medical service responders during medium risk situations. By measuring the number of spoken words-per-minute and turn-length-in-words for the first spoken utterance of a call, older adult and care provider callers could be identified with moderate accuracy. Average call taker response time was calculated using the number-of-speaker-turns and time-in-seconds measures. Care providers and older adults used different conversational strategies when responding to call takers. The words 'ambulance' and 'paramedic' may hold different latent connotations for different callers. CONCLUSIONS: The data derived from the real personal emergency response recordings may help a spoken dialogue system classify incoming calls by caller type with moderate probability shortly after the initial caller utterance. Knowing the caller type, the target response for the call may be predicted with some degree of probability and the output dialogue could be tailored to this caller type. The average call taker response time measured from real calls may be used to limit the conversation length in a spoken dialogue system before defaulting to a live call taker.",2016,10.1186/s12984-016-0207-9,13,1,97,eng,1743-0003,"Artificial intelligence and Human-computer interaction and Communication and Humans and Female and Male and Adult and Aged and Pattern Recognition, Automated/*methods and *Language and Emergency Medical Services/*methods and Aging-in-place and Conversation analysis and Dialogue planning and Personal emergency response system",NA,NA,2016/11/14/,J Neuroeng Rehabil,NA,NA,NA,NA
Paynter_2022_Disandreh,JOUR,How people living with motor neurone disease and their carers experience healthcare decision making: a qualitative exploration,"Paynter, C. and Mathers, S. and Gregory, H. and Vogel, A. P. and Cruice, M.",Disability and rehabilitation,"PURPOSE: Healthcare decision making in motor neurone disease (MND) focuses on symptom management and quality of life. Decision making may be affected by personal approach to receiving information, decision making style, and disease symptoms. This study explored decision making from the perspectives of people living with motor neurone disease (plwMND). The issues impacting engagement and involvement in healthcare decisions were investigated. METHODS: Semi-structured interviews were conducted with 19 plwMND and 15 carers. Interview data was inductively analysed to identify and describe patterns and themes. RESULTS: Data analysis identified six overarching themes: Dimensions of decision making; Window of opportunity for choice; Intrinsic influences on decision making; Extrinsic influences impacting decision making; Planning in uncertainty; and, Communication is core. Many participants did not identify a process of ""decision-making"" except if considering early gastrostomy placement. Information provision requires a balance between ensuring patients are informed but not overwhelmed. Communication impairment impacts involvement. Healthcare professionals' communication style influences engagement in decision making. CONCLUSION: PlwMND perceive a lack of clinical decisions to make because disease symptoms and clinical phenotypes dictate necessary interventions. PlwMND describe communication impairment as a barrier to involvement in decision making and extra support is required to ensure they maintain engagement.IMPLICATIONS FOR REHABILITATIONPeople living with MND (plwMND) perceive they have few clinical decisions to make and viewed this process as ""accepting a recommendation"", rather than ""making a decision"" although early gastrostomy placement is the exception with considerable deliberation evident.Specialist multidisciplinary clinic advice is especially helpful for plwMND without dysphagia (swallowing problems) when considering early gastrostomy placement.Communication impairment may be a barrier to involvement in healthcare decisions and extra support to remain engaged is required.Some plwMND choose not to involve others in their decisions, and patients/families with medical or scientific backgrounds are more likely to collaborate with each other outside the context of clinic appointments.",2022,10.1080/09638288.2020.1855261,44,13,3095-3103,eng,1464-5165 0963-8288,Uncertainty and Humans and Delivery of Health Care and Decision Making and qualitative research and shared decision making and Caregivers and Qualitative Research and Quality of Life and *Deglutition Disorders/etiology and *Motor Neuron Disease/complications and Amyotrophic lateral sclerosis and dysarthria and gastrostomy and motor neurone disease,NA,NA,2022/06//undefined,Disabil Rehabil,NA,NA,NA,NA
Douglas_2020_Disandreh,JOUR,Development of an evidence-based practice framework to guide decision making support for people with cognitive impairment due to acquired brain injury or intellectual disability,"Douglas, Jacinta and Bigby, Christine",Disability and rehabilitation,"Purpose: At least 5% of people in Australia and the USA have cognitive impairment and require support for decision-making. This paper details a research program whereby an evidence-based Support for Decision Making Practice Framework has been developed for those who support people with cognitive disabilities to make their own decisions across life domains.Methods: The La Trobe framework was derived from a research program modeled on the Medical Research Council four-phase approach to development and evaluation of complex interventions. We completed phase one (development) by: (1) systematically reviewing peer-reviewed literature; and (2) undertaking qualitative exploration of the experience of support for decision-making from the perspectives of people with cognitive disabilities and their supporters through seven grounded theory studies. Results of phase two (feasibility and piloting) involving direct support workers and health professionals supported phase three (evaluation) and four (implementation), currently underway.Results: The framework outlines the steps, principles, and strategies involved in support for decision-making. It focuses on understanding the will and preferences of people with cognitive disabilities and guides those who provide support including families, support workers, guardians, and health professionals.Conclusions: This framework applies across diverse contemporary contexts and is the first evidence-based guide to support for decision-making.Implications for RehabilitationSupport for decision-making is essential to maximise the participation of people with cognitive disability in decisions about their lives.Research has shown that support for decision making is a complex multifaceted process comprising multiple overlapping steps, delivered through individually tailored strategies and informed by practice principles.The La Trobe practice framework provides an evidence-based guide for engaging in effective support for decision-making with people with cognitive disability.",2020,10.1080/09638288.2018.1498546,42,3,434-441,eng,1464-5165 0963-8288,Humans and Patient Participation and Grounded Theory and Health Personnel and Professional Role and *Decision Making and Australia/epidemiology and *Cognitive Dysfunction/etiology/psychology/rehabilitation and *Evidence-Based Practice/methods/organization & administration and *Intellectual Disability/etiology/psychology/rehabilitation and *Psychosocial Support Systems and acquired brain injury and Brain Injuries/*complications and cognitive disabilities and intellectual disability and practice framework and Support for decision-making and supported decision making,NA,NA,2020/02//undefined,Disabil Rehabil,NA,NA,NA,NA
Van.der.Cruyssen_2015_Disandreh,JOUR,Prognostic factors for discharge destination after acute stroke: a comprehensive literature review,"Van der Cruyssen, Kelly and Vereeck, Luc and Saeys, Wim and Remmen, Roy",Disability and rehabilitation,"PURPOSE: In the future, budget constraints will make efficient care for stroke patients more important. The cost of hospitalization for stroke is high. It is desirable to consider a patient's discharge destination soon after onset and thereby screen patients for further care. This study aims to review the evidence of factors that determine discharge destinations after acute phase of stroke in adult patients. METHODS: The systematic literature search was performed in seven databases. This systematic review was conducted by the preferred reporting items for systematic reviews and meta-analyses (PRISMA statement). Full-text articles were included and assessed for methodological quality by two independent researchers. RESULTS: Eighteen articles were selected that demonstrate factors defining discharge destination. Younger age, good post-stroke admission to a teaching hospital, and a number of medical factors are determinants to a favorable discharge destination. Determinants for unfavorable discharge destinations were a severe stroke, high body mass index, alcohol abuse, statin withdrawal during hospitalization, the presence of comorbidities like respiratory failure and dementia or having a Medicaid insurance. CONCLUSION: Patient initial medical care, age and sex, neurological and medical complications and environmental/socio-economic factors should be considered in the decision-making process for discharge destination.",2015,10.3109/09638288.2014.961655,37,14,1214-1227,eng,1464-5165 0963-8288,"stroke and Humans and Female and Male and Middle Aged and Aged and Decision Making and Sex Factors and Prognosis and Economics and Aged, 80 and over and Odds Ratio and Age Factors and *Patient Discharge and *Hospitalization and *Comorbidity and Stroke Rehabilitation and Cerebrovascular disorders and discharge destination and Stroke/*complications/ethnology",NA,NA,2015///,Disabil Rehabil,NA,NA,NA,NA
