label,type,title,author,journal,abstract,year,doi,volume,issue,pages,language,issn,keywords,url,institution,DA,j2,DP,l1,l2,ST
Solomon_2020_NatureviRheu,JOUR,Digital health technologies: opportunities and challenges in rheumatology,"Solomon, Daniel H. and Rudin, Robert S.",Nature reviews. Rheumatology,"The past decade in rheumatology has seen tremendous innovation in digital health technologies, including the electronic health record, virtual visits, mobile health, wearable technology, digital therapeutics, artificial intelligence and machine learning. The increased availability of these technologies offers opportunities for improving important aspects of rheumatology, including access, outcomes, adherence and research. However, despite its growth in some areas, particularly with non-health-care consumers, digital health technology has not substantially changed the delivery of rheumatology care. This Review discusses key barriers and opportunities to improve application of digital health technologies in rheumatology. Key topics include smart design, voice enablement and the integration of electronic patient-reported outcomes. Smart design involves active engagement with the end users of the technologies, including patients and clinicians through focus groups, user testing sessions and prototype review. Voice enablement using voice assistants could be critical for enabling patients with hand arthritis to effectively use smartphone apps and might facilitate patient engagement with many technologies. Tracking many rheumatic diseases requires frequent monitoring of patient-reported outcomes. Current practice only collects this information sporadically, and rarely between visits. Digital health technology could enable patient-reported outcomes to inform appropriate timing of face-to-face visits and enable improved application of treat-to-target strategies. However, best practice standards for digital health technologies do not yet exist. To achieve the potential of digital health technology in rheumatology, rheumatology professionals will need to be more engaged upstream in the technology design process and provide leadership to effectively incorporate the new tools into clinical care.",2020,10.1038/s41584-020-0461-x,16,9,525-535,eng,1759-4804 1759-4790,Humans and Practice Guidelines as Topic and Focus Groups and Patient Reported Outcome Measures and Patient Participation/*psychology and Telemedicine/methods and Artificial Intelligence/*statistics & numerical data and Machine Learning/statistics & numerical data and Biomedical Technology/*instrumentation and Rheumatic Diseases/diagnosis/epidemiology and Rheumatology/*instrumentation and Speech Recognition Software/trends,NA,NA,2020/09//undefined,Nat Rev Rheumatol,NA,NA,NA,NA
Gossec_2020_Anofthrhdi,JOUR,EULAR points to consider for the use of big data in rheumatic and musculoskeletal diseases,"Gossec, Laure and Kedra, Joanna and Servy, Herve and Pandit, Aridaman and Stones, Simon and Berenbaum, Francis and Finckh, Axel and Baraliakos, Xenofon and Stamm, Tanja A. and Gomez-Cabrero, David and Pristipino, Christian and Choquet, Remy and Burmester, Gerd R. and Radstake, Timothy R. D. J.",Annals of the rheumatic diseases,"BACKGROUND: Tremendous opportunities for health research have been unlocked by the recent expansion of big data and artificial intelligence. However, this is an emergent area where recommendations for optimal use and implementation are needed. The objective of these European League Against Rheumatism (EULAR) points to consider is to guide the collection, analysis and use of big data in rheumatic and musculoskeletal disorders (RMDs). METHODS: A multidisciplinary task force of 14 international experts was assembled with expertise from a range of disciplines including computer science and artificial intelligence. Based on a literature review of the current status of big data in RMDs and in other fields of medicine, points to consider were formulated. Levels of evidence and strengths of recommendations were allocated and mean levels of agreement of the task force members were calculated. RESULTS: Three overarching principles and 10 points to consider were formulated. The overarching principles address ethical and general principles for dealing with big data in RMDs. The points to consider cover aspects of data sources and data collection, privacy by design, data platforms, data sharing and data analyses, in particular through artificial intelligence and machine learning. Furthermore, the points to consider state that big data is a moving field in need of adequate reporting of methods and benchmarking, careful data interpretation and implementation in clinical practice. CONCLUSION: These EULAR points to consider discuss essential issues and provide a framework for the use of big data in RMDs.",2020,10.1136/annrheumdis-2019-215694,79,1,69-76,eng,1468-2060 0003-4967,epidemiology and Humans and Data Collection and Evidence-Based Medicine and Information Storage and Retrieval and Machine Learning and health services research and Confidentiality and Information Dissemination and Data Analysis and *Big Data and *Musculoskeletal Diseases and *Rheumatic Diseases and *Rheumatology and outcomes research,NA,NA,2020/01//undefined,Ann Rheum Dis,NA,NA,NA,NA
Ramos.Casals_2015_Autorevi,JOUR,"Google-driven search for big data in autoimmune geoepidemiology: analysis of 394,827 patients with systemic autoimmune diseases","Ramos-Casals, Manuel and Brito-Zeron, Pilar and Kostov, Belchin and Siso-Almirall, Antoni and Bosch, Xavier and Buss, David and Trilla, Antoni and Stone, John H. and Khamashta, Munther A. and Shoenfeld, Yehuda",Autoimmunity reviews,"Systemic autoimmune diseases (SADs) are a significant cause of morbidity and mortality worldwide, although their epidemiological profile varies significantly country by country. We explored the potential of the Google search engine to collect and merge large series (>1000 patients) of SADs reported in the Pubmed library, with the aim of obtaining a high-definition geoepidemiological picture of each disease. We collected data from 394,827 patients with SADs. Analysis showed a predominance of medical vs. administrative databases (74% vs. 26%), public health system vs. health insurance resources (88% vs. 12%) and patient-based vs. population-based designs (82% vs. 18%). The most unbalanced gender ratio was found in primary Sjogren syndrome (pSS), with nearly 10 females affected per 1 male, followed by systemic lupus erythematosus (SLE), systemic sclerosis (SSc) and antiphospholipid syndrome (APS) (ratio of nearly 5:1). Each disease predominantly affects a specific age group: children (Kawasaki disease, primary immunodeficiencies and Schonlein-Henoch disease), young people (SLE Behcet disease and sarcoidosis), middle-aged people (SSc, vasculitis and pSS) and the elderly (amyloidosis, polymyalgia rheumatica, and giant cell arteritis). We found significant differences in the geographical distribution of studies for each disease, and a higher frequency of the three SADs with available data (SLE, inflammatory myopathies and Kawasaki disease) in African-American patients. Using a ""big data"" approach enabled hitherto unseen connections in SADs to emerge.",2015,10.1016/j.autrev.2015.03.008,14,8,670-679,eng,1873-0183 1568-9972,Humans and Internet and Big data and Google and Age of Onset and Sex Characteristics and Autoimmune Diseases/*epidemiology and Geoepidemiology and Sjogren syndrome and Systemic lupus erythematosus and Systemic sclerosis and Vasculitis,NA,NA,2015/08//undefined,Autoimmun Rev,NA,NA,NA,NA
Conrad_2020_Autorevi,JOUR,Precision health: A pragmatic approach to understanding and addressing key factors in autoimmune diseases,"Conrad, Karsten and Shoenfeld, Yehuda and Fritzler, Marvin J.",Autoimmunity reviews,"The past decade has witnessed a significant paradigm shift in the clinical approach to autoimmune diseases, lead primarily by initiatives in precision medicine, precision health and precision public health initiatives. An understanding and pragmatic implementation of these approaches require an understanding of the drivers, gaps and limitations of precision medicine. Gaining the trust of the public and patients is paramount but understanding that technologies such as artificial intelligences and machine learning still require context that can only be provided by human input or what is called augmented machine learning. The role of genomics, the microbiome and proteomics, such as autoantibody testing, requires continuing refinement through research and pragmatic approaches to their use in applied precision medicine.",2020,10.1016/j.autrev.2020.102508,19,5,102508,eng,1873-0183 1568-9972,Precision medicine and Humans and Machine Learning and Genomics and Autoantibodies and *Precision Medicine and Proteomics and Biomarker and *Autoimmune Diseases/genetics/immunology/metabolism and Autoantibodies/analysis/immunology and Autoimmune diseases and Autoinflammatory diseases and Precision health,NA,NA,2020/05//undefined,Autoimmun Rev,NA,NA,NA,NA
Guan_2019_A.r.N,JOUR,Machine Learning to Predict Anti-Tumor Necrosis Factor Drug Responses of Rheumatoid Arthritis Patients by Integrating Clinical and Genetic Markers,"Guan, Yuanfang and Zhang, Hongjiu and Quang, Daniel and Wang, Ziyan and Parker, Stephen C. J. and Pappas, Dimitrios A. and Kremer, Joel M. and Zhu, Fan","Arthritis & rheumatology (Hoboken, N.J.)","OBJECTIVE: Accurate prediction of treatment responses in rheumatoid arthritis (RA) patients can provide valuable information on effective drug selection. Anti-tumor necrosis factor (anti-TNF) drugs are an important second-line treatment after methotrexate, the classic first-line treatment for RA. However, patient heterogeneity hinders identification of predictive biomarkers and accurate modeling of anti-TNF drug responses. This study was undertaken to investigate the usefulness of machine learning to assist in developing predictive models for treatment response. METHODS: Using data on patient demographics, baseline disease assessment, treatment, and single-nucleotide polymorphism (SNP) array from the Dialogue on Reverse Engineering Assessment and Methods (DREAM): Rheumatoid Arthritis Responder Challenge, we created a Gaussian process regression model to predict changes in the Disease Activity Score in 28 joints (DAS28) for the patients and to classify them into either the responder or the nonresponder group. This model was developed and cross-validated using data from 1,892 RA patients. It was evaluated using an independent data set from 680 patients. We examined the effectiveness of the similarity modeling and the contribution of individual features. RESULTS: In the cross-validation tests, our method predicted changes in DAS28 (<ce><94>DAS28), with a correlation coefficient of 0.405. It correctly classified responses from 78% of patients. In the independent test, this method achieved a Pearson's correlation coefficient of 0.393 in predicting <ce><94>DAS28. Gaussian process regression effectively remapped the feature space and identified subpopulations that do not respond well to anti-TNF treatments. Genetic SNP biomarkers showed small contributions in the prediction when added to the clinical models. This was the best-performing model in the DREAM Challenge. CONCLUSION: The model described here shows promise in guiding treatment decisions in clinical practice, based primarily on clinical profiles with additional genetic information.",2019,10.1002/art.41056,71,12,1987-1996,eng,2326-5205 2326-5191,"Humans and Regression Analysis and Female and Male and Middle Aged and Treatment Outcome and Reproducibility of Results and Predictive Value of Tests and Polymorphism, Single Nucleotide and Normal Distribution and Outcome Assessment, Health Care/*methods and *Machine Learning and *Severity of Illness Index and Adalimumab/therapeutic use and Methotrexate/therapeutic use and Antirheumatic Agents/*therapeutic use and Arthritis, Rheumatoid/*drug therapy/genetics and Certolizumab Pegol/therapeutic use and Etanercept/therapeutic use and Genetic Markers/drug effects and Infliximab/therapeutic use and Tumor Necrosis Factor-alpha/antagonists & inhibitors",NA,NA,2019/12//undefined,Arthritis Rheumatol,NA,NA,NA,NA
Radner_2014_NatureviRheu,JOUR,Multimorbidity and rheumatic conditions-enhancing the concept of comorbidity,"Radner, Helga and Yoshida, Kazuki and Smolen, Josef S. and Solomon, Daniel H.",Nature reviews. Rheumatology,"The concept of multimorbidity is still poorly understood and not well integrated into medical care and research. For clinicians involved in rheumatology care for an ageing patient population who have multiple diseases, multimorbidity is the rule not the exception. The interaction of different diseases and the impact they have on important clinical outcomes, such as physical function, quality of life and mortality, should all be considered by the rheumatologist. Treatment decisions must be adapted for the patient with multimorbidity to best serve the individual and society. This Perspectives article describes the concept of multimorbidity, how it differs from comorbidity, and outlines why an increased understanding of multimorbiditiy will enhance our overall clinical practice and research focus.",2014,10.1038/nrrheum.2013.212,10,4,252-256,eng,1759-4804 1759-4790,Humans and Decision Making and Comorbidity and Patient Care/standards/trends and Rheumatic Diseases/*complications/*therapy and Rheumatology/standards/trends,NA,NA,2014/04//undefined,Nat Rev Rheumatol,NA,NA,NA,NA
Frisell_2016_NatureviRheu,JOUR,Family history of rheumatoid arthritis: an old concept with new developments,"Frisell, Thomas and Saevarsdottir, Saedis and Askling, Johan",Nature reviews. Rheumatology,"Family history of rheumatoid arthritis (RA) is a proxy for an individual's genetic and, in part, environmental risk of developing RA, and is a well-recognized predictor of disease onset. Although family history of RA is an old concept, the degree of familial aggregation of RA, whether it differs by age, sex, or serology, and what value it has for clinical decisions once a diagnosis of RA has been made remain unclear. New data have been emerging in parallel to substantial progress made in genetic association studies. In this Review, we describe the various ways that familial aggregation has been measured, and how the findings from these studies, whether they are based on twins, cohorts of first-degree relatives, or genetic data, correspond to each other and aid understanding of the aetiology of RA. In addition, we review the potential usefulness of family history of RA from a clinical point of view, demonstrating that, in the era of big data and genomics, family history still has a role in directing clinical decision-making and research.",2016,10.1038/nrrheum.2016.52,12,6,335-343,eng,1759-4804 1759-4790,"Humans and Risk Factors and Prognosis and Parents and Genetic Predisposition to Disease and Medical History Taking and Gene-Environment Interaction and Clinical Decision-Making and Antirheumatic Agents/therapeutic use and *Family and Arthritis, Rheumatoid/drug therapy/*genetics/immunology and Autoantibodies/immunology and Peptides, Cyclic/immunology and Rheumatoid Factor/immunology and Siblings and Twins/genetics",NA,NA,2016/06//undefined,Nat Rev Rheumatol,NA,NA,NA,NA
Gruneboom_2019_NatureviRheu,JOUR,Next-generation imaging of the skeletal system and its blood supply,"Gruneboom, Anika and Kling, Lasse and Christiansen, Silke and Mill, Leonid and Maier, Andreas and Engelke, Klaus and Quick, Harald H. and Schett, Georg and Gunzer, Matthias",Nature reviews. Rheumatology,"Bone is organized in a hierarchical 3D architecture. Traditionally, analysis of the skeletal system was based on bone mass assessment by radiographic methods or on the examination of bone structure by 2D histological sections. Advanced imaging technologies and big data analysis now enable the unprecedented examination of bone and provide new insights into its 3D macrostructure and microstructure. These technologies comprise ex vivo and in vivo methods including high-resolution computed tomography (CT), synchrotron-based imaging, X-ray microscopy, ultra-high-field magnetic resonance imaging (MRI), light-sheet fluorescence microscopy, confocal and intravital two-photon imaging. In concert, these techniques have been used to detect and quantify a novel vascular system of trans-cortical vessels in bone. Furthermore, structures such as the lacunar network, which harbours and connects osteocytes, become accessible for 3D imaging and quantification using these methods. Next-generation imaging of the skeletal system and its blood supply are anticipated to contribute to an entirely new understanding of bone tissue composition and function, from macroscale to nanoscale, in health and disease. These insights could provide the basis for early detection and precision-type intervention of bone disorders in the future.",2019,10.1038/s41584-019-0274-y,15,9,533-549,eng,1759-4804 1759-4790,"Humans and Animals and Reproducibility of Results and Image Processing, Computer-Assisted/methods and Tomography, X-Ray Computed/methods and Diagnostic Imaging/*trends and Magnetic Resonance Imaging/methods and Microscopy, Electron/methods and Musculoskeletal System/*diagnostic imaging and Optical Imaging/methods",NA,NA,2019/09//undefined,Nat Rev Rheumatol,NA,NA,NA,NA
Mikuls_2021_A.r.N,JOUR,American College of Rheumatology Guidance for the Management of Rheumatic Disease in Adult Patients During the COVID-19 Pandemic: Version 3,"Mikuls, Ted R. and Johnson, Sindhu R. and Fraenkel, Liana and Arasaratnam, Reuben J. and Baden, Lindsey R. and Bermas, Bonnie L. and Chatham, Winn and Cohen, Stanley and Costenbader, Karen and Gravallese, Ellen M. and Kalil, Andre C. and Weinblatt, Michael E. and Winthrop, Kevin and Mudano, Amy S. and Turner, Amy and Saag, Kenneth G.","Arthritis & rheumatology (Hoboken, N.J.)","OBJECTIVE: To provide guidance to rheumatology providers on the management of adult rheumatic disease in the context of the coronavirus disease 2019 (COVID-19) pandemic. METHODS: A task force, including 10 rheumatologists and 4 infectious disease specialists from North America, was convened. Clinical questions were collated, and an evidence report was rapidly generated and disseminated. Questions and drafted statements were reviewed and assessed using a modified Delphi process. This included asynchronous anonymous voting by email and webinars with the entire panel. Task force members voted on agreement with draft statements using a 1-9-point numerical scoring system, and consensus was determined to be low, moderate, or high based on the dispersion of votes. For approval, median votes were required to meet predefined levels of agreement (median values of 7-9, 4-6, and 1-3 defined as agreement, uncertainty, or disagreement, respectively) with either moderate or high levels of consensus. RESULTS: Draft guidance statements approved by the task force have been combined to form final guidance. CONCLUSION: These guidance statements are provided to promote optimal care during the current pandemic. However, given the low level of available evidence and the rapidly evolving literature, this guidance is presented as a ""living document,"" and future updates are anticipated.",2021,10.1002/art.41596,73,2,e1-e12,eng,2326-5205 2326-5191,"SARS-CoV-2 and Humans and Delivery of Health Care and Disease Management and Patient Education as Topic and Delphi Technique and Consensus and Advisory Committees and Societies, Medical and Rheumatology and Decision Making, Shared and Antirheumatic Agents/*therapeutic use and COVID-19/complications/*prevention & control and Deprescriptions and Glucocorticoids/*administration & dosage and Immunosuppressive Agents/*therapeutic use and Rheumatic Diseases/complications/*therapy",NA,NA,2021/02//undefined,Arthritis Rheumatol,NA,NA,NA,NA
Gossec_2016_NatureviRheu,JOUR,Management of psoriatic arthritis in 2016: a comparison of EULAR and GRAPPA recommendations,"Gossec, Laure and Coates, Laura C. and de Wit, Maarten and Kavanaugh, Arthur and Ramiro, Sofia and Mease, Philip J. and Ritchlin, Christopher T. and van der Heijde, Desiree and Smolen, Josef S.",Nature reviews. Rheumatology,"Psoriatic arthritis (PsA) is a heterogeneous, potentially severe disease. Many therapeutic agents are now available for PsA, but treatment decisions are not always straightforward. To assist in this decision making, two sets of recommendations for the management of PsA were published in 2016 by international organizations - the European League Against Rheumatism (EULAR) and the Group for Research and Assessment of Psoriasis and Psoriatic Arthritis (GRAPPA). In both sets of recommendations, the heterogeneity of PsA is recognized and the place of various drugs in the therapeutic armamentarium is discussed. Such agents include conventional DMARDs, such as methotrexate, and targeted therapies including biologic agents, such as ustekinumab, secukinumab and TNF inhibitors, or the targeted synthetic drug apremilast. The proposed sequential use of these drugs, as well as some other aspects of PsA management, differ between the two sets of recommendations. This disparity is partly the result of a difference in the evaluation process; the focus of EULAR was primarily rheumatological, whereas that of GRAPPA was balanced between the rheumatological and dermatological aspects of disease. In this Perspectives article, we address the similarities and differences between these two sets of recommendations and the implications for patient management.",2016,10.1038/nrrheum.2016.183,12,12,743-750,eng,1759-4804 1759-4790,"Humans and Practice Guidelines as Topic and Disease Management and Societies, Medical and Antibodies, Monoclonal, Humanized and Methotrexate/therapeutic use and Antibodies, Monoclonal/therapeutic use and Antirheumatic Agents/*therapeutic use and Tumor Necrosis Factor-alpha/antagonists & inhibitors and Anti-Inflammatory Agents, Non-Steroidal/*therapeutic use and Arthritis, Psoriatic/*drug therapy and Glucocorticoids/*therapeutic use and Thalidomide/analogs & derivatives/therapeutic use and Ustekinumab/therapeutic use",NA,NA,2016/12//undefined,Nat Rev Rheumatol,NA,NA,NA,NA
