label,type,title,author,journal,abstract,year,doi,volume,issue,pages,language,issn,keywords,url,institution,DA,j2,DP,l1,l2,ST
Loftus_2020_JAMAsurg,JOUR,Artificial Intelligence and Surgical Decision-making,"Loftus, Tyler J. and Tighe, Patrick J. and Filiberto, Amanda C. and Efron, Philip A. and Brakenridge, Scott C. and Mohr, Alicia M. and Rashidi, Parisa and Upchurch, Gilbert R. Jr and Bihorac, Azra",JAMA surgery,"IMPORTANCE: Surgeons make complex, high-stakes decisions under time constraints and uncertainty, with significant effect on patient outcomes. This review describes the weaknesses of traditional clinical decision-support systems and proposes that artificial intelligence should be used to augment surgical decision-making. OBSERVATIONS: Surgical decision-making is dominated by hypothetical-deductive reasoning, individual judgment, and heuristics. These factors can lead to bias, error, and preventable harm. Traditional predictive analytics and clinical decision-support systems are intended to augment surgical decision-making, but their clinical utility is compromised by time-consuming manual data management and suboptimal accuracy. These challenges can be overcome by automated artificial intelligence models fed by livestreaming electronic health record data with mobile device outputs. This approach would require data standardization, advances in model interpretability, careful implementation and monitoring, attention to ethical challenges involving algorithm bias and accountability for errors, and preservation of bedside assessment and human intuition in the decision-making process. CONCLUSIONS AND RELEVANCE: Integration of artificial intelligence with surgical decision-making has the potential to transform care by augmenting the decision to operate, informed consent process, identification and mitigation of modifiable risk factors, decisions regarding postoperative management, and shared decisions regarding resource use.",2020,10.1001/jamasurg.2019.4917,155,2,148-158,eng,2168-6262 2168-6254,"Emotions and Uncertainty and Humans and Electronic Health Records and Time Factors and Intuition and *Decision Support Systems, Clinical and *Clinical Decision-Making and *Surgical Procedures, Operative and *Artificial Intelligence/ethics",NA,NA,2020/02/01/,JAMA Surg,NA,NA,NA,NA
Cook_2015_ThBrjoofsu,JOUR,The rise of big clinical databases,"Cook, J. A. and Collins, G. S.",The British journal of surgery,"BACKGROUND: The routine collection of large amounts of clinical data, 'big data', is becoming more common, as are research studies that make use of these data source. The aim of this paper is to provide an overview of the uses of data from large multi-institution clinical databases for research. METHODS: This article considers the potential benefits, the types of data source, and the use to which the data is put. Additionally, the main challenges associated with using these data sources for research purposes are considered. RESULTS: Common uses of the data include: providing population characteristics; identifying risk factors and developing prediction (diagnostic or prognostic) models; observational studies comparing different interventions; exploring variation between healthcare providers; and as a supplementary source of data for another study. The main advantages of using such big data sources are their comprehensive nature, the relatively large number of patients they comprise, and the ability to compare healthcare providers. The main challenges are demonstrating data quality and confidently applying a causal interpretation to the study findings. CONCLUSION: Large clinical database research studies are becoming ubiquitous and offer a number of potential benefits. However, the limitations of such data sources must not be overlooked; each research study needs to be considered carefully in its own right, together with the justification for using the data for that specific purpose.",2015,10.1002/bjs.9723,102,2,e101-e93,eng,1365-2168 0007-1323,"Humans and Data Interpretation, Statistical and Research Design and Patient Outcome Assessment and Risk Assessment/methods and Information Dissemination/methods and Biomedical Research/methods and Data Collection/methods and Databases, Factual/standards/*statistics & numerical data and Delivery of Health Care/standards and Observational Studies as Topic/methods",NA,NA,2015/01//undefined,Br J Surg,NA,NA,NA,NA
Simianu_2016_JAMAsurg,JOUR,Number of Diverticulitis Episodes Before Resection and Factors Associated With Earlier Interventions,"Simianu, Vlad V. and Fichera, Alessandro and Bastawrous, Amir L. and Davidson, Giana H. and Florence, Michael G. and Thirlby, Richard C. and Flum, David R.",JAMA surgery,"IMPORTANCE: Despite professional recommendations to delay elective colon resection for patients with uncomplicated diverticulitis, early surgery (after <3 preceding episodes) appears to be common. Several factors have been suggested to contribute to early surgery, including increasing numbers of younger patients, a lower threshold to operate laparoscopically, and growing recognition of ""smoldering"" (or nonrecovering) diverticulitis episodes. However, the relevance of these factors in early surgery has not been well tested, and most prior studies have focused on hospitalizations, missing outpatient events and making it difficult to assess guideline adherence in earlier interventions. OBJECTIVE: To describe patterns of episodes of diverticulitis before surgery and factors associated with earlier interventions using inpatient, outpatient, and antibiotic prescription claims. DESIGN, SETTING, AND PARTICIPANTS: This investigation was a nationwide retrospective cohort study from January 1, 2009, to December 31, 2012. The dates of the analysis were July 2014 to May 2015. Participants were immunocompetent adult patients (age range, 18-64 years) with incident, uncomplicated diverticulitis. EXPOSURE: Elective colectomy for diverticulitis. MAIN OUTCOMES AND MEASURES: Inpatient, outpatient, and antibiotic prescription claims for diverticulitis captured in the MarketScan (Truven Health Analytics) databases. RESULTS: Of 87<e2><80><af>461 immunocompetent patients having at least 1 claim for diverticulitis, 6.4% (n = 5604) underwent a resection. The final study cohort comprised 3054 nonimmunocompromised patients who underwent elective resection for uncomplicated diverticulitis, of whom 55.6% (n = 1699) were male. Before elective surgery, they had a mean (SD) of 1.0 (0.9) inpatient claims, 1.5 (1.5) outpatient claims, and 0.5 (1.2) antibiotic prescription claims related to diverticulitis. Resection occurred after fewer than 3 episodes in 94.9% (2897 of 3054) of patients if counting inpatient claims only, in 80.5% (2459 of 3054) if counting inpatient and outpatient claims only, and in 56.3% (1720 of 3054) if counting all types of claims. Based on all types of claims, patients having surgery after fewer than 3 episodes were of similar mean age compared with patients having delayed surgery (both 47.7 years, P = .91), were less likely to undergo laparoscopy (65.1% [1120 of 1720] vs 70.8% [944 of 1334], P = .001), and had more time between the last 2 episodes preceding surgery (157 vs 96 days, P < .001). Patients with health maintenance organization or capitated insurance plans had lower rates of early surgery (50.1% [247 of 493] vs 57.4% [1429 of 2490], P = .01) than those with other insurance plan types. CONCLUSIONS AND RELEVANCE: After considering all types of diverticulitis claims, 56.3% (1720 of 3054) of elective resections for uncomplicated diverticulitis occurred after fewer than 3 episodes. Earlier surgery was not explained by younger age, laparoscopy, time between the last 2 episodes preceding surgery, or financial risk-bearing for patients. In delivering value-added surgical care, factors driving early, elective resection for diverticulitis need to be determined.",2016,10.1001/jamasurg.2015.5478,151,7,604-610,eng,2168-6262 2168-6254,"Humans and Female and Male and Adult and Middle Aged and Retrospective Studies and Time Factors and Recurrence and Anti-Bacterial Agents/therapeutic use and Hospitalization/statistics & numerical data and Drug Prescriptions/statistics & numerical data and *Episode of Care and Administrative Claims, Healthcare/statistics & numerical data and Ambulatory Care/statistics & numerical data and Colectomy/*statistics & numerical data and Diverticulitis, Colonic/drug therapy/*surgery and Health Maintenance Organizations/*statistics & numerical data and Laparoscopy/statistics & numerical data",NA,NA,2016/07/01/,JAMA Surg,NA,NA,NA,NA
Crawshaw_2015_JAMAsurg,JOUR,Effect of laparoscopic surgery on health care utilization and costs in patients who undergo colectomy,"Crawshaw, Benjamin P. and Chien, Hung-Lun and Augestad, Knut M. and Delaney, Conor P.",JAMA surgery,"IMPORTANCE: Laparoscopic colectomy is safe and effective in the treatment of many colorectal diseases. However, the effect of increasing use of laparoscopy on overall health care utilization and costs, especially in the long term, has not been thoroughly investigated. OBJECTIVE: To evaluate the effect of laparoscopic vs open colectomy on short- and long-term health care utilization and costs. DESIGN, SETTING, AND PARTICIPANTS: Retrospective multivariate regression analysis of national health insurance claims data was used to evaluate health care utilization and costs up to 1 year following elective colectomy. Data were obtained from the Truven Health Analytics MarketScan Commercial Claims and Encounters database. Patients aged 18 to 64 years who underwent elective laparoscopic or open colectomy from January 1, 2010, through December 31, 2010, were included. Patients with complex diagnoses that require increased non-surgery-related health care utilization, including malignant neoplasm, inflammatory bowel disease, human immunodeficiency virus, transplantation, and pregnancy, were excluded. Of 25<e2><80><af>481 patients who underwent colectomy, 4160 were included in the study. MAIN OUTCOMES AND MEASURES: Healthcare utilization, including office, hospital outpatient, and emergency department visits and inpatient services 90 and 365 days after the index procedure; total health care costs; and estimated days off from work owing to health care utilization. RESULTS: Of 25<e2><80><af>481 patients who underwent colectomy, 4160 were included in the study (laparoscopic, 45.6%; open, 54.4%). The mean (SD) net and total payments were lower for laparoscopy ($23<e2><80><af>064 [$14<e2><80><af>558] and $24<e2><80><af>196 [$14<e2><80><af>507] vs $29<e2><80><af>753 [$21<e2><80><af>421] and $31<e2><80><af>606 [$23<e2><80><af>586]). In the first 90 days after surgery, an open approach was significantly associated with a 1.26-fold increase in health care costs (estimated, $1715; 95% CI, $338-$2853), increased use of heath care services, and more estimated days off from work (2.78 days; 95% CI, 1.93-3.59). Similar trends were found in the full postoperative year, with an estimated 1.18-fold increase (95% CI, 1.04-1.35) in health care expenditures and an increase of 1.15 times (95% CI, 1.08-1.23) the number of health care utilization days compared with laparoscopy. CONCLUSIONS AND RELEVANCE: Laparoscopic colectomy results in a significant reduction in health care costs and utilization in the short- and long-term postoperative periods.",2015,10.1001/jamasurg.2014.3171,150,5,410-415,eng,2168-6262 2168-6254,United States and Humans and Female and Male and Adolescent and Adult and Middle Aged and Young Adult and Retrospective Studies and Patient Acceptance of Health Care/*statistics & numerical data and Health Care Costs/*trends and Colectomy/economics/*methods and Laparoscopy/*economics,NA,NA,2015/05//undefined,JAMA Surg,NA,NA,NA,NA
Bihorac_2019_Anofsu,JOUR,MySurgeryRisk: Development and Validation of a Machine-learning Risk Algorithm for Major Complications and Death After Surgery,"Bihorac, Azra and Ozrazgat-Baslanti, Tezcan and Ebadi, Ashkan and Motaei, Amir and Madkour, Mohcine and Pardalos, Panagote M. and Lipori, Gloria and Hogan, William R. and Efron, Philip A. and Moore, Frederick and Moldawer, Lyle L. and Wang, Daisy Zhe and Hobson, Charles E. and Rashidi, Parisa and Li, Xiaolin and Momcilovic, Petar",Annals of surgery,"OBJECTIVE: To accurately calculate the risk for postoperative complications and death after surgery in the preoperative period using machine-learning modeling of clinical data. BACKGROUND: Postoperative complications cause a 2-fold increase in the 30-day mortality and cost, and are associated with long-term consequences. The ability to precisely forecast the risk for major complications before surgery is limited. METHODS: In a single-center cohort of 51,457 surgical patients undergoing major inpatient surgery, we have developed and validated an automated analytics framework for a preoperative risk algorithm (MySurgeryRisk) that uses existing clinical data in electronic health records to forecast patient-level probabilistic risk scores for 8 major postoperative complications (acute kidney injury, sepsis, venous thromboembolism, intensive care unit admission >48 hours, mechanical ventilation >48 hours, wound, neurologic, and cardiovascular complications) and death up to 24 months after surgery. We used the area under the receiver characteristic curve (AUC) and predictiveness curves to evaluate model performance. RESULTS: MySurgeryRisk calculates probabilistic risk scores for 8 postoperative complications with AUC values ranging between 0.82 and 0.94 [99% confidence intervals (CIs) 0.81-0.94]. The model predicts the risk for death at 1, 3, 6, 12, and 24 months with AUC values ranging between 0.77 and 0.83 (99% CI 0.76-0.85). CONCLUSIONS: We constructed an automated predictive analytics framework for machine-learning algorithm with high discriminatory ability for assessing the risk of surgical complications and death using readily available preoperative electronic health records data. The feasibility of this novel algorithm implemented in real time clinical workflow requires further testing.",2019,10.1097/SLA.0000000000002706,269,4,652-662,eng,1528-1140 0003-4932,Humans and *Algorithms and *Machine Learning and Risk Assessment/*methods and Preoperative Period and Postoperative Complications/*epidemiology/mortality,NA,NA,2019/04//undefined,Ann Surg,NA,NA,NA,NA
Knowles_2021_Joofvasu,JOUR,Data analysis of vascular surgery instrument trays yielded large cost and efficiency savings,"Knowles, Martyn and Gay, Samuel S. and Konchan, Sarah K. and Mendes, Robert and Rath, Sandeep and Deshpande, Vinayak and Farber, Mark A. and Wood, Benjamin C.",Journal of vascular surgery,"BACKGROUND: Surgical procedures account for 50% of hospital revenue and <e2><88><bc>60% of operating costs. On average, <20% of surgical instruments will be used during a case, and the expense for resterilization and assembly of instrument trays ranges from $0.51 to $3.01 per instrument. Given the complexity of the surgical service supply chain, physician preferences, and variation of procedures, a reduction of surgical cost has been extremely difficult and often ill-defined. A data-driven approach to instrument tray optimization has implications for efficiency and cost savings in sterile processing, including reductions in tray assembly time and instrument repurchase, repair, and avoidable depreciation. METHODS: During a 3-month period, vascular surgery cases were monitored using a cloud-based technology product (OpFlow, Operative Flow Technologies, Raleigh, NC) as a part of a hospital-wide project. Given the diversity of the cases evaluated, we focused on two main vascular surgery trays: vascular and aortic. An assessment was performed to evaluate the exact instruments used by the operating surgeons across a variety of cases. The vascular tray contained 131 instruments and was used for the vast majority of vascular cases, and the aortic tray contained 152 instruments. Actual instrument usage data were collected, a review and analysis performed, and the trays optimized. RESULTS: During the 3-month period, 168 vascular surgery cases were evaluated across six surgeons. On average, the instrument usage per tray was 30 of 131 instruments (22.9%) for the vascular tray and 19 of 152 (12.5%) for the aortic tray. After review, 45.8% of the instruments were removed from the vascular tray and 62.5% from the aortic tray, for 1255 instruments removed from the versions of both trays. An audit was performed after the removal of instruments, which showed that none of the removed instruments had required reinstatement. The instrument reduction from these two trays alone yielded an estimated costs savings of $97,781 for repurchase and $97,444 in annual resterilization savings. Annually, the removal of the instruments is projected to save 316.2 hours of personnel time. The time required for operating room table setup decreased from a mean of 7:44 to 5:02 minutes for the vascular tray (P < .0001) and from 8:53 to 4:56 minutes for the aortic tray (P < .0001). CONCLUSIONS: Given increasing cost constraints in healthcare, sterile processing remains an untapped resource for surgical expense reduction. A comprehensive data analytics solution provided the ability to make informed decisions in tray management that otherwise could not be reliably performed.",2021,10.1016/j.jvs.2020.09.043,73,6,2144-2153,eng,1097-6809 0741-5214,Machine learning and Data analysis and Humans and Time Factors and Cost-Benefit Analysis and Cost Savings and Pilot Projects and Machine Learning and Workflow and Cloud Computing and *Hospital Costs and Equipment Reuse/economics and Instrument reduction and Operating Rooms/*economics and Sterilization/economics and Surgical instruments and Surgical Instruments/*economics and Vascular Surgical Procedures/*economics/*instrumentation,NA,NA,2021/06//undefined,J Vasc Surg,NA,NA,NA,NA
Mikami_2017_Surgendo,JOUR,"Impact of minimally invasive surgery on healthcare utilization, cost, and workplace absenteeism in patients with Incisional/Ventral Hernia (IVH)","Mikami, Dean J. and Melvin, W. Scott and Murayama, Michael J. and Murayama, Kenric M.",Surgical endoscopy,"BACKGROUND: Incisional hernia repair is one of the most common general surgery operations being performed today. With the advancement of laparoscopy since the 1990s, we have seen vast improvements in faster return to normal activity, shorter hospital stays and less post-operative narcotic use, to name a few. OBJECTIVE: The key aims of this review were to measure the impact of minimally invasive surgery versus open surgery on health care utilization, cost, and work place absenteeism in the patients undergoing inpatient incisional/ventral hernia (IVH) repair. METHODS: We analyzed data from the Truven Health Analytics MarketScan((R)) Commercial Claims and Encounters Database. Total of 2557 patients were included in the analysis. RESULTS: Of the patient that underwent IVH surgery, 24.5% (n = 626) were done utilizing minimally invasive surgical (MIS) techniques and 75.5% (n = 1931) were done open. Ninety-day post-surgery outcomes were significantly lower in the MIS group compared to the open group for total payment ($19,288.97 vs. $21,708.12), inpatient length of stay (3.12 vs. 4.24 days), number of outpatient visit (5.48 vs. 7.35), and estimated days off (11.3 vs. 14.64), respectively. At 365 days post-surgery, the total payment ($27,497.96 vs. $30,157.29), inpatient length of stay (3.70 vs. 5.04 days), outpatient visits (19.75 vs. 23.42), and estimated days off (35.71 vs. 41.58) were significantly lower for MIS group versus the open group, respectively. CONCLUSION: When surgical repair of IVH is performed, there is a clear advantage in the MIS approach versus the open approach in regard to cost, length of stay, number of outpatient visits, and estimated days off.",2017,10.1007/s00464-017-5488-y,31,11,4412-4418,eng,1432-2218 0930-2794,"Humans and Female and Male and Adult and Middle Aged and Databases, Factual and Health care utilization and Patient Acceptance of Health Care/*statistics & numerical data and Health Care Costs/*statistics & numerical data and Workplace and Length of Stay/statistics & numerical data and *Absenteeism and Hernia, Ventral/economics/*surgery and Incisional hernia and Incisional Hernia/economics/*surgery and Laparoscopy/*economics/statistics & numerical data and Ventral hernia and Workplace absenteesim",NA,NA,2017/11//undefined,Surg Endosc,NA,NA,NA,NA
Chiew_2020_Anofsu,JOUR,Utilizing Machine Learning Methods for Preoperative Prediction of Postsurgical Mortality and Intensive Care Unit Admission,"Chiew, Calvin J. and Liu, Nan and Wong, Ting Hway and Sim, Yilin E. and Abdullah, Hairil R.",Annals of surgery,"OBJECTIVE: To compare the performance of machine learning models against the traditionally derived Combined Assessment of Risk Encountered in Surgery (CARES) model and the American Society of Anaesthesiologists-Physical Status (ASA-PS) in the prediction of 30-day postsurgical mortality and need for intensive care unit (ICU) stay >24 hours. BACKGROUND: Prediction of surgical risk preoperatively is important for clinical shared decision-making and planning of health resources such as ICU beds. The current growth of electronic medical records coupled with machine learning presents an opportunity to improve the performance of established risk models. METHODS: All patients aged 18 years and above who underwent noncardiac and nonneurological surgery at Singapore General Hospital (SGH) between 1 January 2012 and 31 October 2016 were included. Patient demographics, comorbidities, preoperative laboratory results, and surgery details were obtained from their electronic medical records. Seventy percent of the observations were randomly selected for training, leaving 30% for testing. Baseline models were CARES and ASA-PS. Candidate models were trained using random forest, adaptive boosting, gradient boosting, and support vector machine. Models were evaluated on area under the receiver operating characteristic curve (AUROC) and area under the precision-recall curve (AUPRC). RESULTS: A total of 90,785 patients were included, of whom 539 (0.6%) died within 30 days and 1264 (1.4%) required ICU admission >24 hours postoperatively. Baseline models achieved high AUROCs despite poor sensitivities by predicting all negative in a predominantly negative dataset. Gradient boosting was the best performing model with AUPRCs of 0.23 and 0.38 for mortality and ICU admission outcomes respectively. CONCLUSIONS: Machine learning can be used to improve surgical risk prediction compared to traditional risk calculators. AUPRC should be used to evaluate model predictive performance instead of AUROC when the dataset is imbalanced.",2020,10.1097/SLA.0000000000003297,272,6,1133-1139,eng,1528-1140 0003-4932,Humans and Female and Male and Adult and Middle Aged and Retrospective Studies and Risk Assessment and Aged and Time Factors and Prognosis and *Machine Learning and *Intensive Care Units and Hospitalization/*statistics & numerical data and Preoperative Period and Postoperative Complications/*mortality,NA,NA,2020/12//undefined,Ann Surg,NA,NA,NA,NA
Borab_2017_JAMAsurg,JOUR,Use of Computerized Clinical Decision Support Systems to Prevent Venous Thromboembolism in Surgical Patients: A Systematic Review and Meta-analysis,"Borab, Zachary M. and Lanni, Michael A. and Tecce, Michael G. and Pannucci, Christopher J. and Fischer, John P.",JAMA surgery,"IMPORTANCE: Health care professionals do not adequately stratify risk or provide prophylaxis for venous thromboembolism (VTE) among surgical patients. Computerized clinical decision support systems (CCDSSs) have been implemented to assist clinicians and improve prophylaxis for VTE. OBJECTIVE: To evaluate the effect of implementing CCDSSs on the ordering of VTE prophylaxis and the rates of VTE. DATA SOURCES: PubMed, MEDLINE via OVID, EMBASE via OVID, Scopus, Cochrane CENTRAL Register of Controlled Trials, and clinicaltrials.gov were searched in June 2016 for articles published in English from October 15, 1991, to February 16, 2016. A manual search of references from relevant articles was also performed. STUDY SELECTION: Clinical trials and observational studies among surgical patients comparing CCDSSs with VTE risk stratification and assistance in ordering prophylaxis vs routine care without decision support were included. Of the 188 articles screened, 11 (5.9%) were eligible for meta-analysis. DATA EXTRACTION AND SYNTHESIS: Meta-analysis of Observational Studies in Epidemiology guidelines were followed. Two reviewers extracted data and assessed quality independently. MAIN OUTCOMES AND MEASURES: Rates of prophylaxis for VTE and VTE events. Random- and fixed-effects models were used to summarize odds ratios and risk ratios. RESULTS: Eleven articles (9 prospective cohort trials and 2 retrospective cohort trials) comprising 156<e2><80><af>366 individuals (104<e2><80><af>241 in the intervention group and 52<e2><80><af>125 in the control group) were included. The use of CCDSSs was associated with a significant increase in the rate of appropriate ordering of prophylaxis for VTE (odds ratio, 2.35; 95% CI, 1.78-3.10; P < .001) and a significant decrease in the risk of VTE events (risk ratio, 0.78; 95% CI, 0.72-0.85; P < .001). CONCLUSIONS AND RELEVANCE: Use of CCDSSs increases the proportion of surgical patients who were prescribed adequate prophylaxis for VTE and correlates with a reduction in VTE events.",2017,10.1001/jamasurg.2017.0131,152,7,638-645,eng,2168-6262 2168-6254,"Humans and Risk Assessment and *Decision Support Systems, Clinical and Postoperative Complications/*prevention & control and Venous Thromboembolism/*prevention & control",NA,NA,2017/07/01/,JAMA Surg,NA,NA,NA,NA
Thiels_2018_JAMAsurg,JOUR,Medical Malpractice Lawsuits Involving Surgical Residents,"Thiels, Cornelius A. and Choudhry, Asad J. and Ray-Zack, Mohamed D. and Lindor, Rachel A. and Bergquist, John R. and Habermann, Elizabeth B. and Zielinski, Martin D.",JAMA surgery,"IMPORTANCE: Medical malpractice litigation against surgical residents is rarely discussed owing to assumed legal doctrine of respondeat superior, or ""let the master answer."" OBJECTIVE: To better understand lawsuits targeting surgical trainees to prevent future litigation. DESIGN, SETTING, AND PARTICIPANTS: Westlaw, an online legal research database containing legal records from across the United States, was retrospectively reviewed for malpractice cases involving surgical interns, residents, or fellows from January 1, 2005, to January 1, 2015. Infant-related obstetric and ophthalmologic procedures were excluded. EXPOSURES: Involvement in a medical malpractice case. MAIN OUTCOMES AND MEASURES: Data were collected on patient demographics, case characteristics, and outcomes and were analyzed using descriptive statistics. RESULTS: During a 10-year period, 87 malpractice cases involving surgical trainees were identified. A total of 50 patients were female (57%), and 79 were 18 years of age or older (91%), with a median patient age of 44.5 years (interquartile range, 45-56 years). A total of 67 cases (77%) resulted in death or permanent disability. Most cases involved elective surgery (61 [70%]) and named a junior resident as a defendant (24 of 35 [69%]). Cases more often questioned the perioperative medical knowledge, decision making errors, and injuries (53 [61%]: preoperative, 19 of 53 [36%]) and postoperative, 34 of 53 [64%]) than intraoperative errors and injuries (43 [49%]). Junior residents were involved primarily with lawsuits related to medical decision making (21 of 24 [87%]). Residents' failure to evaluate the patient was cited in 10 cases (12%) and lack of direct supervision by attending physicians was cited in 48 cases (55%). A total of 42 cases (48%) resulted in a jury verdict or settlement in favor of the plaintiff, with a median payout of $900<e2><80><af>000 (range, $1852 to $32 million). CONCLUSIONS AND RELEVANCE: This review of malpractice cases involving surgical residents highlights the importance of perioperative management, particularly among junior residents, and the importance of appropriate supervision by attending physicians as targets for education on litigation prevention.",2018,10.1001/jamasurg.2017.2979,153,1,13-8,eng,2168-6262 2168-6254,"Communication and United States and Humans and Female and Male and Middle Aged and Retrospective Studies and Databases, Factual and Documentation and Faculty, Medical and Clinical Competence and Clinical Decision-Making and Internship and Residency/*statistics & numerical data and Informed Consent/legislation & jurisprudence and Compensation and Redress/legislation & jurisprudence and Elective Surgical Procedures/legislation & jurisprudence/statistics & numerical data and Fellowships and Scholarships/*statistics & numerical data and Malpractice/*legislation & jurisprudence/*statistics & numerical data and Surgical Procedures, Operative/legislation & jurisprudence/statistics & numerical data",NA,NA,2018/01/01/,JAMA Surg,NA,NA,NA,NA
