label,type,title,author,journal,abstract,year,doi,volume,issue,pages,language,issn,keywords,url,institution,DA,j2,DP,l1,l2,ST
Bertsimas_2019_Ajot.ojotASoTatASoTS,JOUR,Development and validation of an optimized prediction of mortality for candidates awaiting liver transplantation,"Bertsimas, Dimitris and Kung, Jerry and Trichakis, Nikolaos and Wang, Yuchen and Hirose, Ryutaro and Vagefi, Parsia A",American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,"Since 2002, the Model for End-Stage Liver Disease (MELD) has been used to rank liver transplant candidates. However, despite numerous revisions, MELD allocation still does not allow for equitable access to all waitlisted candidates. An optimized prediction of mortality (OPOM) was developed (http://www.opom.online) utilizing machine-learning optimal classification tree models trained to predict a candidate's 3-month waitlist mortality or removal utilizing the Standard Transplant Analysis and Research (STAR) dataset. The Liver Simulated Allocation Model (LSAM) was then used to compare OPOM to MELD-based allocation. Out-of-sample area under the curve (AUC) was also calculated for candidate groups of increasing disease severity. OPOM allocation, when compared to MELD, reduced mortality on average by 417.96 (406.8-428.4) deaths every year in LSAM analysis. Improved survival was noted across all candidate demographics, diagnoses, and geographic regions. OPOM delivered a substantially higher AUC across all disease severity groups. OPOM more accurately and objectively prioritizes candidates for liver transplantation based on disease severity, allowing for more equitable allocation of livers with a resultant significant number of additional lives saved every year. These data demonstrate the potential of machine learning technology to help guide clinical practice, and potentially guide national policy.",2019,10.1111/ajt.15172,19,4,1109-1118,en,"1600-6135, 1600-6143",ethics and public policy and liver transplantation: auxiliary and liver transplantation/hepatology and simulation and statistics,https://doi-org.proxy.library.nd.edu/10.1111/ajt.15172,NA,2019/04//,American Journal of Transplantation,DOI.org (Crossref),NA,NA,NA
Srinivas_2017_Ajot.ojotASoTatASoTS,JOUR,"Big Data, Predictive Analytics, and Quality Improvement in Kidney Transplantation: A Proof of Concept","Srinivas, T. R. and Taber, D. J. and Su, Z. and Zhang, J. and Mour, G. and Northrup, D. and Tripathi, A. and Marsden, J. E. and Moran, W. P. and Mauldin, P. D.",American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,"We sought proof of concept of a Big Data Solution incorporating longitudinal structured and unstructured patient-level data from electronic health records (EHR) to predict graft loss (GL) and mortality. For a quality improvement initiative, GL and mortality prediction models were constructed using baseline and follow-up data (0-90 days posttransplant; structured and unstructured for 1-year models; data up to 1 year for 3-year models) on adult solitary kidney transplant recipients transplanted during 2007-2015 as follows: Model 1: United Network for Organ Sharing (UNOS) data; Model 2: UNOS & Transplant Database (Tx Database) data; Model 3: UNOS, Tx Database & EHR comorbidity data; and Model 4: UNOS, Tx Database, EHR data, Posttransplant trajectory data, and unstructured data. A 10% 3-year GL rate was observed among 891 patients (2007-2015). Layering of data sources improved model performance; Model 1: area under the curve (AUC), 0.66; (95% confidence interval [CI]: 0.60, 0.72); Model 2: AUC, 0.68; (95% CI: 0.61-0.74); Model 3: AUC, 0.72; (95% CI: 0.66-077); Model 4: AUC, 0.84, (95 % CI: 0.79-0.89). One-year GL (AUC, 0.87; Model 4) and 3-year mortality (AUC, 0.84; Model 4) models performed similarly. A Big Data approach significantly adds efficacy to GL and mortality prediction models and is EHR deployable to optimize outcomes.",2017,10.1111/ajt.14099,17,3,671-681,eng,1600-6143 1600-6135,"epidemiology and Humans and Electronic Health Records and Female and Male and Middle Aged and Retrospective Studies and Treatment Outcome and Follow-Up Studies and Survival Rate and *Databases, Factual and clinical decision-making and *Quality Improvement and informatics and business/management and clinical research/practice and Graft Survival and health services and outcomes research and Kidney Failure, Chronic/*surgery and Kidney Transplantation/*mortality/*standards/statistics & numerical data and kidney transplantation/nephrology and quality of care/care delivery and risk assessment/risk stratification and Tissue and Organ Procurement/*statistics & numerical data",NA,NA,2017/03//undefined,Am J Transplant,NA,NA,NA,NA
Thiessen_2015_Ajot.ojotASoTatASoTS,JOUR,Development of a Donor-Centered Approach to Risk Assessment: Rebalancing Nonmaleficence and Autonomy,"Thiessen, C. and Gordon, E. J. and Reese, P. P. and Kulkarni, S.",American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,"Living kidney donors are often excluded from the shared decision making and patient-centered models that are advocated in medical practice. Thresholds for acceptable risk vary between transplant centers, and between clinicians and donors. Although donor selection committees commonly focus on medical risks, potential donors also consider nonmedical risks and burdens, which may alter their assessment of an acceptable level of medical risk. Thus, transplant centers may encounter ethical tensions between nonmaleficence and respect for donor autonomy. A donor-centered model of risk assessment and risk reconciliation would integrate the donor's values and preferences in a shared decision about their eligibility to donate. This paper argues for shifting to a donor-centered model of risk assessment, and presents a research agenda to facilitate the greater participation of donors in their own evaluation and approval processes.",2015,10.1111/ajt.13272,15,9,2314-2323,eng,1600-6143 1600-6135,"Humans and ethics and Patient Selection and Ethics, Medical and *Decision Making and *Personal Autonomy and Informed Consent/*ethics and ethics and public policy and kidney transplantation/nephrology and risk assessment/risk stratification and Tissue and Organ Procurement/*ethics and Donor Selection and Donors and donation: donor evaluation and donors and donation: living and editorial/personal viewpoint and kidney transplantation: living donor and Living Donors/*ethics and Risk Assessment/*ethics",NA,NA,2015/09//undefined,Am J Transplant,NA,NA,NA,NA
Massie_2014_Ajot.ojotASoTatASoTS,JOUR,Big data in organ transplantation: registries and administrative claims,"Massie, A. B. and Kucirka, L. M. and Segev, D. L.",American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,"The field of organ transplantation benefits from large, comprehensive, transplant-specific national data sets available to researchers. In addition to the widely used Organ Procurement and Transplantation Network (OPTN)-based registries (the United Network for Organ Sharing and Scientific Registry of Transplant Recipients data sets) and United States Renal Data System (USRDS) data sets, there are other publicly available national data sets, not specific to transplantation, which have historically been underutilized in the field of transplantation. Of particular interest are the Nationwide Inpatient Sample and State Inpatient Databases, produced by the Agency for Healthcare Research and Quality. The USRDS database provides extensive data relevant to studies of kidney transplantation. Linkage of publicly available data sets to external data sources such as private claims or pharmacy data provides further resources for registry-based research. Although these resources can transcend some limitations of OPTN-based registry data, they come with their own limitations, which must be understood to avoid biased inference. This review discusses different registry-based data sources available in the United States, as well as the proper design and conduct of registry-based research.",2014,10.1111/ajt.12777,14,8,1723-1730,eng,1600-6143 1600-6135,"United States and Humans and Databases, Factual and Research Design and Models, Statistical and United States Agency for Healthcare Research and Quality and *Registries and Tissue and Organ Procurement/*statistics & numerical data and Kidney Failure, Chronic/surgery and Kidney Transplantation/statistics & numerical data and Organ Transplantation/*statistics & numerical data",NA,NA,2014/08//undefined,Am J Transplant,NA,NA,NA,NA
Webster_2008_Ajot.ojotASoTatASoTS,JOUR,Managing cancer risk and decision making after kidney transplantation,"Webster, A. C. and Wong, G. and Craig, J. C. and Chapman, J. R.",American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,"Kidney transplant recipients are at higher risk of cancer at most sites, and cancer after transplantation causes considerable morbidity and mortality. To optimize long-term patient outcomes, clinicians balance the prospect of graft failure and dialysis, with competing risks of diabetes, cardiovascular and cerebrovascular disease and the risk of malignancy. In this paper we critically examine the assumptions underpinning primary prevention, immunization, chemoprevention and screening programs, and highlight considerations when applying evidence to the kidney transplant population, and suggest a clinical research agenda that aims to define a rational approach to managing posttransplant cancer risk.",2008,10.1111/j.1600-6143.2008.02385.x,8,11,2185-2191,eng,1600-6143 1600-6135,Risk and Humans and Decision Making and Risk Factors and Treatment Outcome and Quality of Life and Early Detection of Cancer and Nephrology/methods and Medical Oncology/methods and Graft Survival and Kidney Diseases/complications/*therapy and Kidney Transplantation/*adverse effects and Neoplasms/*etiology/*prevention & control,NA,NA,2008/11//undefined,Am J Transplant,NA,NA,NA,NA
Schnier_2013_Ajot.ojotASoTatASoTS,JOUR,Transplantation at the nexus of behavioral economics and health care delivery,"Schnier, K. E. and Cox, J. C. and McIntyre, C. and Ruhil, R. and Sadiraj, V. and Turgeon, N.",American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,"The transplant surgeon's decision to accept and utilize an organ typically is made within a constrained time window, explicitly cognizant of numerous health-related risks and under the potential influence of considerable regulatory and institutional pressures. This decision affects the health of two distinct populations, those patients receiving organ transplants and those waiting to receive a transplant; it also influences the physician's life and their institute's productivity. The numerous, at times nonaligned, incentives established by the complex clinical and regulatory environment, have been derived specifically to influence physicians' behaviors, and though well intended, may lead to responses that are nonoptimal when considering the myriad stakeholders being influenced. This may compromise the quality of care provided to the population at risk, and has potential to influence the physician-patient relationship. A synergistic collaboration between transplant physicians and economists that is focused on this decision environment may help to alleviate these strains. This viewpoint discusses behavioral economic principles and how they might be applied to transplantation. Specifically, the previous medical decision-making literature on transplantation will be reviewed and a discussion on how a behavioral model of physician decision making can be utilized will be explored. To date this approach has not been integrated into transplantation decision making.",2013,10.1111/j.1600-6143.2012.04343.x,13,1,31-35,eng,1600-6143 1600-6135,"Humans and Decision Making and Physician-Patient Relations and Practice Patterns, Physicians' and *Delivery of Health Care and *Economics and *Transplantation",NA,NA,2013/01//undefined,Am J Transplant,NA,NA,NA,NA
Martin.Delgado_2019_Ajot.ojotASoTatASoTS,JOUR,Summary of Spanish recommendations on intensive care to facilitate organ donation,"Martin-Delgado, Maria C. and Martinez-Soba, Fernando and Masnou, Nuria and Perez-Villares, Jose M. and Pont, Teresa and Sanchez Carretero, Maria Jose and Velasco, Julio and De la Calle, Braulio and Escudero, Dolores and Estebanez, Belen and Coll, Elisabeth and Perez-Blanco, Alicia and Perojo, Lola and Urunuela, David and Dominguez-Gil, Beatriz",American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,"With the aim of consolidating recommendations about the practice of initiating or continuing intensive care to facilitate organ donation (ICOD), an ad hoc working group was established, comprising 10 intensivists designated by the Spanish Society of Intensive Care and Coronary Units (SEMICYUC) and the Spanish National Transplant Organization (ONT). Consensus was reached in all recommendations through a deliberative process. After a public consultation, the final recommendations were institutionally adopted by SEMICYUC, ONT, and the Transplant Committee of the National Health-Care System. This article reports on the resulting recommendations on ICOD for patients with a devastating brain injury for whom the decision has been made not to apply any medical or surgical treatment with a curative purpose on the grounds of futility. Emphasis is made on the systematic referral of these patients to donor coordinators, the proper assessment of the likelihood of brain death and medical suitability, and on transparency in communication with the patient's family. The legal and ethical aspects of ICOD are addressed. ICOD is considered a legitimate practice that offers more patients the opportunity of donating their organs upon their death and helps to increase the availability of organs for transplantation.",2019,10.1111/ajt.15253,19,6,1782-1791,eng,1600-6143 1600-6135,"Communication and Humans and Patient-Centered Care and Death and Decision Making and Brain Injuries and Societies, Medical and Intensive Care Units and Spain and Ethics, Medical and clinical decision-making and *Tissue Donors and ethics and public policy and Terminal Care/methods and health services and outcomes research and Critical Care/methods/*standards and Brain Death and critical care/intensive care management and donation after brain death (DBD) and donation after circulatory death (DCD) and donors and donation and organ procurement and allocation and Organ Transplantation/*methods and Tissue and Organ Procurement/ethics/*methods",NA,NA,2019/06//undefined,Am J Transplant,NA,NA,NA,NA
Ross_2010_Ajot.ojotASoTatASoTS,JOUR,What the medical excuse teaches us about the potential living donor as patient,"Ross, L. F.",American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,"Since the inception of living donor kidney transplantation, physicians have expressed concern about the voluntariness of the donors and their ability to recuse themselves. The literature from the late 1960s and early 1970s reveals the practice of offering a false medical excuse, although more recent comments seem to focus more on a 'general statement of lack of suitability' or 'a blameless explanation'. Simmerling et al. argue that the provision of a medical excuse rests on deception, which is wrong on deontological grounds (that physicians should hold to a principle of veracity) and on consequential grounds (deception threatens to damage trust and the doctor-patient relationship and deception may have adverse impact on the donor's relationship with his family). In this paper I examine and reject these objections. I argue that a false medical excuse is morally unjustifiable, but the medical excuse understood as a 'general statement of lack of suitability' is morally permissible because it promotes donor autonomy (the donor's right to decide whether or not to donate), and protects and preserves the donor's rights to privacy and confidentiality (by affirming the donor as an independent patient).",2010,10.1111/j.1600-6143.2009.03010.x,10,4,731-736,eng,1600-6143 1600-6135,Humans and Privacy and Confidentiality and Informed Consent and *Decision Making and *Kidney Transplantation and Coercion and *Living Donors,NA,NA,2010/04//undefined,Am J Transplant,NA,NA,NA,NA
Lin_2021_Ajot.ojotASoTatASoTS,JOUR,"Understanding family dynamics in adult-to-adult living donor liver transplantation decision-making in Taiwan: Motivation, communication, and ambivalence","Lin, Ya-Ping and Chen, Jung and Lee, Wei-Chen and Chiang, Yang-Jen and Huang, Chih-Wan",American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,"This study investigated how multiple family members co-construct the ethical significance of living donor liver transplantation (LDLT) and how the family structure and dynamics of donor-recipient-caregiver relationships shape the communication and decision-making process within the sociocultural context of Taiwan. We conducted in-depth interviews with 36 participants from 13 families at the Chang Gung Memorial Hospital from February to December 2019. Interviews were audio recorded, transcribed, and translated from Mandarin to English and analyzed utilizing grounded theory and thematic analysis. Our findings revealed that LDLT in Taiwan is not merely a personal choice of either donor or recipient but essentially a collaborative process of family-centered medical decision-making, intertwined with socioeconomic conditions, cultural and social norms, gender roles, and the division of labor in the household. The notion of reciprocity and indebtedness for family members is a central theme underlying the entire process of motivation, deliberation, and decision-making, thereby reinforcing the naturalness of LDLT. However, our study highlighted that donors from families with traditional gender hierarchy and power imbalance may experience psychological and social vulnerabilities. Conclusively, we suggest that healthcare professionals should be sensitive to the contextual and relational factors involved in family dynamics and provide appropriate support to the ambivalent donors.",2021,10.1111/ajt.16281,21,3,1068-1079,eng,1600-6143 1600-6135,Communication and Humans and Adult and Motivation and Family Relations and Family and Taiwan and social sciences and Living Donors and ethics and public policy and liver transplantation/hepatology and clinical research/practice and donors and donation: living and donors and donation and *Liver Transplantation and donors and donation: donor evaluation and liver transplantation: living donor and organ transplantation in general,NA,NA,2021/03//undefined,Am J Transplant,NA,NA,NA,NA
Ralph_2014_Ajot.ojotASoTatASoTS,JOUR,Family perspectives on deceased organ donation: thematic synthesis of qualitative studies,"Ralph, A. and Chapman, J. R. and Gillis, J. and Craig, J. C. and Butow, P. and Howard, K. and Irving, M. and Sutanto, B. and Tong, A.",American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,"A major barrier to meeting the needs for organ transplantation is family refusal to give consent. This study aimed to describe the perspectives of donor families on deceased donation. We conducted a systematic review and thematic synthesis of qualitative studies. Electronic databases were searched to September 2012. From 34 studies involving 1035 participants, we identified seven themes: comprehension of sudden death (accepting finality of life, ambiguity of brain death); finding meaning in donation (altruism, letting the donor live on, fulfilling a moral obligation, easing grief); fear and suspicion (financial motivations, unwanted responsibility for death, medical mistrust); decisional conflict (pressured decision making, family consensus, internal dissonance, religious beliefs); vulnerability (valuing sensitivity and rapport, overwhelmed and disempowered); respecting the donor (honoring the donor's wishes, preserving body integrity) and needing closure (acknowledgment, regret over refusal, unresolved decisional uncertainty, feeling dismissed). Bereaved families report uncertainty about death and the donation process, emotional and cognitive burden and decisional dissonance, but can derive emotional benefit from the ""lifesaving"" act of donation. Strategies are needed to help families understand death in the context of donation, address anxieties about organ procurement, foster trust in the donation process, resolve insecurities in decision making and gain a sense of closure.",2014,10.1111/ajt.12660,14,4,923-935,eng,1600-6143 1600-6135,Humans and Death and Motivation and Altruism and Prognosis and qualitative research and Interpersonal Relations and *Decision Making and Family/*psychology and family and *Qualitative Research and Tissue and Organ Procurement/*trends and Deceased donor and organ and tissue donation and Organ Transplantation,NA,NA,2014/04//undefined,Am J Transplant,NA,NA,NA,NA
