label,type,title,author,journal,abstract,year,doi,volume,issue,pages,language,issn,keywords,url,institution,DA,j2,DP,l1,l2,ST
Sealfon_2020_Kidninte,JOUR,"Machine learning, the kidney, and genotype-phenotype analysis","Sealfon, Rachel S. G. and Mariani, Laura H. and Kretzler, Matthias and Troyanskaya, Olga G.",Kidney international,"With biomedical research transitioning into data-rich science, machine learning provides a powerful toolkit for extracting knowledge from large-scale biological data sets. The increasing availability of comprehensive kidney omics compendia (transcriptomics, proteomics, metabolomics, and genome sequencing), as well as other data modalities such as electronic health records, digital nephropathology repositories, and radiology renal images, makes machine learning approaches increasingly essential for analyzing human kidney data sets. Here, we discuss how machine learning approaches can be applied to the study of kidney disease, with a particular focus on how they can be used for understanding the relationship between genotype and phenotype.",2020,10.1016/j.kint.2020.02.028,97,6,1141-1149,eng,1523-1755 0085-2538,deep learning and machine learning and Humans and Phenotype and Genotype and Kidney and *Machine Learning and *Computational Biology and genotype,NA,NA,2020/06//undefined,Kidney Int,NA,NA,NA,NA
Rashidi_2020_NatureviNeph,JOUR,Artificial intelligence approaches to improve kidney care,"Rashidi, Parisa and Bihorac, Azra",Nature reviews. Nephrology,"Artificial intelligence is increasingly being used to improve diagnosis and prognostication for acute and chronic kidney diseases. Studies published in 2019 relied on a variety of available data sources towards this objective, including electronic health records, intraoperative physiological signals, kidney ultrasound imaging, and digitized biopsy specimens.",2020,10.1038/s41581-019-0243-3,16,2,71-72,eng,1759-507X 1759-5061,"Humans and Electronic Health Records and Deep Learning and Image Interpretation, Computer-Assisted and Kidney Transplantation and Biopsy and *Artificial Intelligence and Ultrasonography and Postoperative Complications/*epidemiology and Acute Kidney Injury/*epidemiology and Kidney/*diagnostic imaging/*pathology and Nephrectomy and Renal Insufficiency, Chronic/classification/*diagnostic imaging/metabolism and Transplants/pathology",NA,NA,2020/02//undefined,Nat Rev Nephrol,NA,NA,NA,NA
Ghani_2014_Eurourol,JOUR,Harnessing big data for health care and research: are urologists ready?,"Ghani, Khurshid R. and Zheng, Kai and Wei, John T. and Friedman, Charles P.",European urology,"We are at a crossroads in terms of the data we collect and how they are analyzed. In health care, big data analytics may uncover associations, patterns, and trends with the potential to advance patient care and lower costs. To adapt to this approach, urologists will have to ask the right questions.",2014,10.1016/j.eururo.2014.07.032,66,6,975-977,eng,1873-7560 0302-2838,Humans and Urology and Data Mining and Artificial Intelligence and Registries and Social Media and *Electronic Health Records and *Medical Informatics and *Biomedical Research,NA,NA,2014/12//undefined,Eur Urol,NA,NA,NA,NA
Kellum_2019_NatureviNeph,JOUR,Artificial intelligence to predict AKI: is it a breakthrough?,"Kellum, John A. and Bihorac, Azra",Nature reviews. Nephrology,"A new study of deep learning based on electronic health records promises to forecast acute kidney injury up to 48 hours before it can be diagnosed clinically. However, employing data science to predict acute kidney injury might be more challenging than it seems.",2019,10.1038/s41581-019-0203-y,15,11,663-664,eng,1759-507X 1759-5061,Humans and Artificial Intelligence and *Acute Kidney Injury,NA,NA,2019/11//undefined,Nat Rev Nephrol,NA,NA,NA,NA
Garcelon_2020_Kidninte,JOUR,Electronic health records for the diagnosis of rare diseases,"Garcelon, Nicolas and Burgun, Anita and Salomon, Remi and Neuraz, Antoine",Kidney international,"With the emergence of electronic health records, the reuse of clinical data offers new perspectives for the diagnosis and management of patients with rare diseases. However, there are many obstacles to the repurposing of clinical data. The development of decision support systems depends on the ability to recruit patients, extract and integrate the patients' data, mine and stratify these data, and integrate the decision support algorithm into patient care. This last step requires an adaptability of the electronic health records to integrate learning health system tools. In this literature review, we examine the research that provides solutions to unlock these barriers and accelerate translational research: structured electronic health records and free-text search engines to find patients, data warehouses and natural language processing to extract phenotypes, machine learning algorithms to classify patients, and similarity metrics to diagnose patients. Medical informatics is experiencing an impellent request to develop decision support systems, and this requires ethical considerations for clinicians and patients to ensure appropriate use of health data.",2020,10.1016/j.kint.2019.11.037,97,4,676-686,eng,1523-1755 0085-2538,artificial intelligence and education and Humans and Algorithms and Machine Learning and electronic health record and Natural Language Processing and *Electronic Health Records and *Rare Diseases/diagnosis/epidemiology and pediatric nephrology and rare diseases,NA,NA,2020/04//undefined,Kidney Int,NA,NA,NA,NA
Gansevoort_2020_NatureviNeph,JOUR,CKD is a key risk factor for COVID-19 mortality,"Gansevoort, Ron T. and Hilbrands, Luuk B.",Nature reviews. Nephrology,"A new study uses the OpenSAFELY health analytics platform to identify risk factors for COVID-19 mortality. This analysis, which includes data for more than 17 million people in the UK, suggests that patients with chronic kidney disease are at higher risk than those with other known risk factors, including chronic heart and lung disease.",2020,10.1038/s41581-020-00349-4,16,12,705-706,eng,1759-507X 1759-5061,"SARS-CoV-2 and Humans and Risk Factors and Pandemics and *COVID-19 and *Renal Insufficiency, Chronic/epidemiology",NA,NA,2020/12//undefined,Nat Rev Nephrol,NA,NA,NA,NA
Martin_2020_NatureviNeph,JOUR,Ethical challenges in nephrology: a call for action,"Martin, Dominique E. and Harris, David C. H. and Jha, Vivekanand and Segantini, Luca and Demme, Richard A. and Le, Thu H. and McCann, Laura and Sands, Jeff M. and Vong, Gerard and Wolpe, Paul Root and Fontana, Monica and London, Gerard M. and Vanderhaegen, Bert and Vanholder, Raymond",Nature reviews. Nephrology,"The American Society of Nephrology, the European Renal Association-European Dialysis and Transplant Association and the International Society of Nephrology Joint Working Group on Ethical Issues in Nephrology have identified ten broad areas of ethical concern as priority challenges that require collaborative action. Here, we describe these challenges - equity in access to kidney failure care, avoiding futile dialysis, reducing dialysis costs, shared decision-making in kidney failure care, living donor risk evaluation and decision-making, priority setting in kidney disease prevention and care, the ethical implications of genetic kidney diseases, responsible advocacy for kidney health and management of conflicts of interest - with the aim of highlighting the need for ethical analysis of specific issues, as well as for the development of tools and training to support clinicians who treat patients with kidney disease in practising ethically and contributing to ethical policy-making.",2020,10.1038/s41581-020-0295-4,16,10,603-613,eng,1759-507X 1759-5061,"Humans and Conflict of Interest and Decision Making, Shared and Medical Futility/ethics and Patient Advocacy/ethics and Cost Control/ethics and Health Priorities/ethics and Health Services Accessibility/ethics and Healthcare Disparities/ethics and Kidney Diseases/genetics and Kidney Transplantation/ethics and Nephrology/*ethics and Organ Trafficking/ethics and Renal Dialysis/economics/ethics and Renal Insufficiency/therapy and Tissue and Organ Procurement/ethics",NA,NA,2020/10//undefined,Nat Rev Nephrol,NA,NA,NA,NA
Nadkarni_2016_Kidninte,JOUR,Big data in nephrology: promises and pitfalls,"Nadkarni, Girish N. and Coca, Steven G. and Wyatt, Christina M.",Kidney international,"Data from the electronic health records hold great promise for nephrology research. However, due to significant limitations, reporting guidelines have been formulated for analyses conducted using electronic health records data.",2016,10.1016/j.kint.2016.06.003,90,2,240-241,eng,1523-1755 0085-2538,Humans and *Electronic Health Records and *Nephrology,NA,NA,2016/08//undefined,Kidney Int,NA,NA,NA,NA
Goldstein_2015_Kidninte,JOUR,Comparative health services research across populations: the unused opportunities in big data,"Goldstein, Benjamin A. and Winkelmayer, Wolfgang C.",Kidney international,"Large population registries present opportunities to understand the epidemiology of disease, study patters of care, and compare the effectiveness of different care practices. While these 'big data' tempt investigators to examine all available individuals, a targeted approach that restricts the study to an optimal sub-population may yield more relevant insights. We discuss how researchers might adapt their studies existing literature to generate additional insights.",2015,10.1038/ki.2015.91,87,6,1094-1096,eng,1523-1755 0085-2538,"Humans and Female and Male and *Renal Replacement Therapy and Atrial Fibrillation/*epidemiology and Kidney Failure, Chronic/*epidemiology/*therapy",NA,NA,2015/06//undefined,Kidney Int,NA,NA,NA,NA
Chang_2011_NatureviNeph,JOUR,Computerized decision support systems: improving patient safety in nephrology,"Chang, Jamison and Ronco, Claudio and Rosner, Mitchell H.",Nature reviews. Nephrology,"Incorrect prescription and administration of medications account for a substantial proportion of medical errors in the USA, causing adverse drug events (ADEs) that result in considerable patient morbidity and enormous costs to the health-care system. Patients with chronic kidney disease or acute kidney injury often have impaired drug clearance as well as polypharmacy, and are therefore at increased risk of experiencing ADEs. Studies have demonstrated that recognition of these conditions is not uniform among treating physicians, and prescribed drug doses are often incorrect. Early interventions that ensure appropriate drug dosing in this group of patients have shown encouraging results. Both computerized physician order entry and clinical decision support systems have been shown to reduce the rate of ADEs. Nevertheless, these systems have been implemented at surprisingly few institutions. Economic stimulus and health-care reform legislation present a rare opportunity to refine these systems and understand how they could be implemented more widely. Failure to explore this technology could mean that the opportunity to reduce the morbidity associated with ADEs is missed.",2011,10.1038/nrneph.2011.50,7,6,348-355,eng,1759-507X 1759-5061,"Humans and Decision Support Systems, Clinical/*standards and Kidney Diseases/mortality/*therapy and Medication Systems, Hospital/*standards and Nephrology/*standards and Quality Assurance, Health Care/methods and Safety Management/*methods",NA,NA,2011/06//undefined,Nat Rev Nephrol,NA,NA,NA,NA
