label,type,title,author,journal,abstract,year,doi,volume,issue,pages,language,issn,keywords,url,institution,DA,j2,DP,l1,l2,ST
VanderWaal_2017_Frinvesc,JOUR,Translating Big Data into Smart Data for Veterinary Epidemiology,"VanderWaal, Kimberly and Morrison, Robert B. and Neuhauser, Claudia and Vilalta, Carles and Perez, Andres M.",Frontiers in veterinary science,"The increasing availability and complexity of data has led to new opportunities and challenges in veterinary epidemiology around how to translate abundant, diverse, and rapidly growing ""big"" data into meaningful insights for animal health. Big data analytics are used to understand health risks and minimize the impact of adverse animal health issues through identifying high-risk populations, combining data or processes acting at multiple scales through epidemiological modeling approaches, and harnessing high velocity data to monitor animal health trends and detect emerging health threats. The advent of big data requires the incorporation of new skills into veterinary epidemiology training, including, for example, machine learning and coding, to prepare a new generation of scientists and practitioners to engage with big data. Establishing pipelines to analyze big data in near real-time is the next step for progressing from simply having ""big data"" to create ""smart data,"" with the objective of improving understanding of health risks, effectiveness of management and policy decisions, and ultimately preventing or at least minimizing the impact of adverse animal health issues.",2017,10.3389/fvets.2017.00110,4,NA,110,eng,2297-1769,machine learning and big data and surveillance and animal movement and modeling and simulation,NA,NA,2017///,Front Vet Sci,NA,NA,NA,NA
Walsh_2019_Traandemedis,JOUR,Artificial intelligence and avian influenza: Using machine learning to enhance active surveillance for avian influenza viruses,"Walsh, Daniel P. and Ma, Ting Fung and Ip, Hon S. and Zhu, Jun",Transboundary and emerging diseases,"Influenza A viruses are one of the most significant viral groups globally with substantial impacts on human, domestic animal and wildlife health. Wild birds are the natural reservoirs for these viruses, and active surveillance within wild bird populations provides critical information about viral evolution forming the basis of risk assessments and countermeasure development. Unfortunately, active surveillance programs are often resource-intensive, and thus, enhancing programs for increased efficiency is paramount. Machine learning, a branch of artificial intelligence applications, provides statistical learning procedures that can be used to gain novel insights into disease surveillance systems. We use a form of machine learning, gradient boosted trees, to estimate the probability of isolating avian influenza viruses (AIV) from wild bird samples collected during surveillance for AIVs from 2006 to 2011 in the United States. We examined several predictive features including age, sex, bird type, geographic location and matrix gene rRT-PCR results. Our final model had high predictive power and only included geographic location and rRT-PCR results as important predictors. The highest predicted viral isolation probability was for samples collected from the north-central states and the south-eastern region of Alaska. Lower rRT-PCR Ct-values are associated with increased likelihood of AIV isolation, and the model estimated 16% probability of isolating AIV from samples declared negative (i.e., <e2><89><a5>35 Ct-value) using the rRT-PCR screening test and standard protocols. Our model can be used to prioritize previously collected samples for isolation and rapidly evaluate AIV surveillance designs to maximize the probability of viral isolation given limited resources and laboratory capacity.",2019,10.1111/tbed.13318,66,6,2537-2545,eng,1865-1682 1865-1674,"machine learning and artificial intelligence and Animals and Artificial Intelligence and surveillance and Population Surveillance and United States/epidemiology and *Machine Learning and Animals, Wild/*virology and Birds/*virology and Disease Reservoirs and influenza A and Influenza in Birds/*epidemiology/transmission and Polymerase Chain Reaction/veterinary and virus isolation and waterfowl",NA,NA,2019/11//undefined,Transbound Emerg Dis,NA,NA,NA,NA
Cockburn_2020_A.aoajfM,JOUR,Review: Application and Prospective Discussion of Machine Learning for the Management of Dairy Farms,"Cockburn, Marianne",Animals : an open access journal from MDPI,"Dairy farmers use herd management systems, behavioral sensors, feeding lists, breeding schedules, and health records to document herd characteristics. Consequently, large amounts of dairy data are becoming available. However, a lack of data integration makes it difficult for farmers to analyze the data on their dairy farm, which indicates that these data are currently not being used to their full potential. Hence, multiple issues in dairy farming such as low longevity, poor performance, and health issues remain. We aimed to evaluate whether machine learning (ML) methods can solve some of these existing issues in dairy farming. This review summarizes peer-reviewed ML papers published in the dairy sector between 2015 and 2020. Ultimately, 97 papers from the subdomains of management, physiology, reproduction, behavior analysis, and feeding were considered in this review. The results confirm that ML algorithms have become common tools in most areas of dairy research, particularly to predict data. Despite the quantity of research available, most tested algorithms have not performed sufficiently for a reliable implementation in practice. This may be due to poor training data. The availability of data resources from multiple farms covering longer periods would be useful to improve prediction accuracies. In conclusion, ML is a promising tool in dairy research, which could be used to develop and improve decision support for farmers. As the cow is a multifactorial system, ML algorithms could analyze integrated data sources that describe and ultimately allow managing cows according to all relevant influencing factors. However, both the integration of multiple data sources and the obtainability of public data currently remain challenging.",2020,10.3390/ani10091690,10,9,NA,eng,2076-2615,data analysis and data integration and big data and sensor and cluster and smart farming,NA,NA,2020/09/18/,Animals (Basel),NA,NA,NA,NA
McCue_2017_Frinvesc,JOUR,The Scope of Big Data in One Medicine: Unprecedented Opportunities and Challenges,"McCue, Molly E. and McCoy, Annette M.",Frontiers in veterinary science,"Advances in high-throughput molecular biology and electronic health records (EHR), coupled with increasing computer capabilities have resulted in an increased interest in the use of big data in health care. Big data require collection and analysis of data at an unprecedented scale and represents a paradigm shift in health care, offering (1) the capacity to generate new knowledge more quickly than traditional scientific approaches; (2) unbiased collection and analysis of data; and (3) a holistic understanding of biology and pathophysiology. Big data promises more personalized and precision medicine for patients with improved accuracy and earlier diagnosis, and therapy tailored to an individual's unique combination of genes, environmental risk, and precise disease phenotype. This promise comes from data collected from numerous sources, ranging from molecules to cells, to tissues, to individuals and populations-and the integration of these data into networks that improve understanding of heath and disease. Big data-driven science should play a role in propelling comparative medicine and ""one medicine"" (i.e., the shared physiology, pathophysiology, and disease risk factors across species) forward. Merging of data from EHR across institutions will give access to patient data on a scale previously unimaginable, allowing for precise phenotype definition and objective evaluation of risk factors and response to therapy. High-throughput molecular data will give insight into previously unexplored molecular pathophysiology and disease etiology. Investigation and integration of big data from a variety of sources will result in stronger parallels drawn at the molecular level between human and animal disease, allow for predictive modeling of infectious disease and identification of key areas of intervention, and facilitate step-changes in our understanding of disease that can make a substantial impact on animal and human health. However, the use of big data comes with significant challenges. Here we explore the scope of ""big data,"" including its opportunities, its limitations, and what is needed capitalize on big data in one medicine.",2017,10.3389/fvets.2017.00194,4,NA,194,eng,2297-1769,bioinformatics and clinical informatics and environmental epidemiology and deep phenotyping and genetic epidemiology and multilayer disease module and network medicine and structural informatics,NA,NA,2017///,Front Vet Sci,NA,NA,NA,NA
Kasilingam_2021_Traandemedis,JOUR,Exploring the growth of COVID-19 cases using exponential modelling across 42 countries and predicting signs of early containment using machine learning,"Kasilingam, Dharun and Sathiya Prabhakaran, Sakthivel Puvaneswaran and Rajendran, Dinesh Kumar and Rajagopal, Varthini and Santhosh Kumar, Thangaraj and Soundararaj, Ajitha",Transboundary and emerging diseases,"The coronavirus disease 2019 (COVID-19) pandemic spread by the single-stranded RNA severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) belongs to the seventh generation of the coronavirus family. Following an unusual replication mechanism, its extreme ease of transmissivity has put many countries under lockdown. With the uncertainty of developing a cure/vaccine for the infection in the near future, the onus currently lies on healthcare infrastructure, policies, government activities, and behaviour of the people to contain the virus. This research uses exponential growth modelling studies to understand the spreading patterns of SARS-CoV-2 and identifies countries that showed early signs of containment until March 26, 2020. Predictive supervised machine learning models are built using infrastructure, environment, policies, and infection-related independent variables to predict early containment. COVID-19 infection data across 42 countries are used. Logistic regression results show a positive significant relationship between healthcare infrastructure and lockdown policies, and signs of early containment. Machine learning models based on logistic regression, decision tree, random forest, and support vector machines are developed and show accuracies between 76.2% and 92.9% to predict early signs of infection containment. Other policies and the decisions taken by countries to contain the infection are also discussed.",2021,10.1111/tbed.13764,68,3,1001-1018,eng,1865-1682 1865-1674,"SARS-CoV-2 and machine learning and COVID-19 and Humans and Animals and Pandemics and coronavirus and pandemic and *SARS-CoV-2 and COVID-19/*epidemiology and *Machine Learning and *Models, Biological and Communicable Disease Control/*statistics & numerical data and exponential growth model",NA,NA,2021/05//undefined,Transbound Emerg Dis,NA,NA,NA,NA
Faverjon_2019_Frinvesc,JOUR,A Transdisciplinary Approach Supporting the Implementation of a Big Data Project in Livestock Production: An Example From the Swiss Pig Production Industry,"Faverjon, Celine and Bernstein, Abraham and Grutter, Rolf and Nathues, Christina and Nathues, Heiko and Sarasua, Cristina and Sterchi, Martin and Vargas, Maria-Elena and Berezowski, John",Frontiers in veterinary science,"Big Data approaches offer potential benefits for improving animal health, but they have not been broadly implemented in livestock production systems. Privacy issues, the large number of stakeholders, and the competitive environment all make data sharing, and integration a challenge in livestock production systems. The Swiss pig production industry illustrates these and other Big Data issues. It is a highly decentralized and fragmented complex network made up of a large number of small independent actors collecting a large amount of heterogeneous data. Transdisciplinary approaches hold promise for overcoming some of the barriers to implementing Big Data approaches in livestock production systems. The purpose of our paper is to describe the use of a transdisciplinary approach in a Big Data research project in the Swiss pig industry. We provide a brief overview of the research project named ""Pig Data,"" describing the structure of the project, the tools developed for collaboration and knowledge transfer, the data received, and some of the challenges. Our experience provides insight and direction for researchers looking to use similar approaches in livestock production system research.",2019,10.3389/fvets.2019.00215,6,NA,215,eng,2297-1769,big data and network analysis and transdisciplinary and food animal production and pig,NA,NA,2019///,Front Vet Sci,NA,NA,NA,NA
Fernandez.Carrion_2020_A.aoajfM,JOUR,Computer Vision Applied to Detect Lethargy through Animal Motion Monitoring: A Trial on African Swine Fever in Wild Boar,"Fernandez-Carrion, Eduardo and Barasona, Jose Angel and Sanchez, Angel and Jurado, Cristina and Cadenas-Fernandez, Estefania and Sanchez-Vizcaino, Jose Manuel",Animals : an open access journal from MDPI,"Early detection of infectious diseases is the most cost-effective strategy in disease surveillance for reducing the risk of outbreaks. Latest deep learning and computer vision improvements are powerful tools that potentially open up a new field of research in epidemiology and disease control. These techniques were used here to develop an algorithm aimed to track and compute animal motion in real time. This algorithm was used in experimental trials in order to assess African swine fever (ASF) infection course in Eurasian wild boar. Overall, the outcomes showed negative correlation between motion reduction and fever caused by ASF infection. In addition, infected animals computed significant lower movements compared to uninfected animals. The obtained results suggest that a motion monitoring system based on artificial vision may be used in indoors to trigger suspicions of fever. It would help farmers and animal health services to detect early clinical signs compatible with infectious diseases. This technology shows a promising non-intrusive, economic and real time solution in the livestock industry with especial interest in ASF, considering the current concern in the world pig industry.",2020,10.3390/ani10122241,10,12,NA,eng,2076-2615,artificial intelligence and computer vision and infectious disease and african swine fever,NA,NA,2020/11/29/,Animals (Basel),NA,NA,NA,NA
Zhang_2019_Traandemedis,JOUR,Rapid identification of human-infecting viruses,"Zhang, Zheng and Cai, Zena and Tan, Zhiying and Lu, Congyu and Jiang, Taijiao and Zhang, Gaihua and Peng, Yousong",Transboundary and emerging diseases,"Viruses have caused much mortality and morbidity to humans and pose a serious threat to global public health. The virome with the potential of human infection is still far from complete. Novel viruses have been discovered at an unprecedented pace as the rapid development of viral metagenomics. However, there is still a lack of methodology for rapidly identifying novel viruses with the potential of human infection. This study built several machine learning models to discriminate human-infecting viruses from other viruses based on the frequency of k-mers in the viral genomic sequences. The k-nearest neighbor (KNN) model can predict the human-infecting viruses with an accuracy of over 90%. The performance of this KNN model built on the short contigs (<e2><89><a5>1 kb) is comparable to those built on the viral genomes. We used a reported human blood virome to further validate this KNN model with an accuracy of over 80% based on very short raw reads (150 bp). Our work demonstrates a conceptual and generic protocol for the discovery of novel human-infecting viruses in viral metagenomics studies.",2019,10.1111/tbed.13314,66,6,2517-2522,eng,1865-1682 1865-1674,"machine learning and Humans and Machine Learning and Animals and Cluster Analysis and *Genome, Viral and Metagenomics and Blood/virology and DNA, Viral/blood and human-infecting virus and viral metagenomics and virome and Viruses/*genetics",NA,NA,2019/11//undefined,Transbound Emerg Dis,NA,NA,NA,NA
Bradley_2019_Joofveinme,JOUR,Predicting early risk of chronic kidney disease in cats using routine clinical laboratory tests and machine learning,"Bradley, Richard and Tagkopoulos, Ilias and Kim, Minseung and Kokkinos, Yiannis and Panagiotakos, Theodoros and Kennedy, James and De Meyer, Geert and Watson, Phillip and Elliott, Jonathan",Journal of veterinary internal medicine,"BACKGROUND: Advanced machine learning methods combined with large sets of health screening data provide opportunities for diagnostic value in human and veterinary medicine. HYPOTHESIS/OBJECTIVES: To derive a model to predict the risk of cats developing chronic kidney disease (CKD) using data from electronic health records (EHRs) collected during routine veterinary practice. ANIMALS: A total of 106 251 cats that attended Banfield Pet Hospitals between January 1, 1995, and December 31, 2017. METHODS: Longitudinal EHRs from Banfield Pet Hospitals were extracted and randomly split into 2 parts. The first 67% of the data were used to build a prediction model, which included feature selection and identification of the optimal neural network type and architecture. The remaining unseen EHRs were used to evaluate the model performance. RESULTS: The final model was a recurrent neural network (RNN) with 4 features (creatinine, blood urea nitrogen, urine specific gravity, and age). When predicting CKD near the point of diagnosis, the model displayed a sensitivity of 90.7% and a specificity of 98.9%. Model sensitivity decreased when predicting the risk of CKD with a longer horizon, having 63.0% sensitivity 1 year before diagnosis and 44.2% 2 years before diagnosis, but with specificity remaining around 99%. CONCLUSIONS AND CLINICAL IMPORTANCE: The use of models based on machine learning can support veterinary decision making by improving early identification of CKD.",2019,10.1111/jvim.15623,33,6,2644-2656,eng,1939-1676 0891-6640,"Software and machine learning and Female and Male and Animals and Predictive Value of Tests and *Machine Learning and artificial neural network and Cat Diseases/*blood and Cats and computer model and feline and renal and Renal Insufficiency, Chronic/blood/*veterinary",NA,NA,2019/11//undefined,J Vet Intern Med,NA,NA,NA,NA
Niu_2021_Traandemedis,JOUR,Epidemic analysis of COVID-19 in Italy based on spatiotemporal geographic information and Google Trends,"Niu, Bing and Liang, Ruirui and Zhang, Shuwen and Zhang, Hui and Qu, Xiaosheng and Su, Qiang and Zheng, Linfeng and Chen, Qin",Transboundary and emerging diseases,"Since the first two novel coronavirus cases appeared in January of 2020, the outbreak of the COVID-19 epidemic seriously threatens the public health of Italy. In this article, the distribution characteristics and spreading of COVID-19 in various regions of Italy were analysed by heat maps. Meanwhile, spatial autocorrelation, spatiotemporal clustering analysis and kernel density method were also applied to analyse the spatial clustering of COVID-19. The results showed that the Italian epidemic has a temporal trend and spatial aggregation. The epidemic was concentrated in northern Italy and gradually spread to other regions. Finally, the Google Trends index of the COVID-19 epidemic was further employed to build a prediction model combined with machine learning algorithms. By using Adaboost algorithm for single-factor modelling,the results show that the AUC of these six features (mask, pneumonia, thermometer, ISS, disinfection and disposable gloves) are all >0.9, indicating that these features have a large contribution to the prediction model. It is also implied that the public's attention to the epidemic is increasing as well as the awareness of the need for protective measures. This increased awareness of the epidemic will prompt the public to pay more attention to protective measures, thereby reducing the risk of coronavirus infection.",2021,10.1111/tbed.13902,68,4,2384-2400,eng,1865-1682 1865-1674,SARS-CoV-2 and machine learning and Epidemics and Animals and coronavirus and Spatio-Temporal Analysis and *Search Engine and Italy/epidemiology and Google Trends and *COVID-19/veterinary and epidemic and geographic information system,NA,NA,2021/07//undefined,Transbound Emerg Dis,NA,NA,NA,NA
