label,type,title,author,journal,abstract,year,doi,volume,issue,pages,language,issn,keywords,url,institution,DA,j2,DP,l1,l2,ST
Han_2020_Joofmevi,JOUR,A comparative-descriptive analysis of clinical characteristics in 2019-coronavirus-infected children and adults,"Han, Ya-Nan and Feng, Zhan-Wei and Sun, Li-Na and Ren, Xiao-Xia and Wang, Hua and Xue, Yong-Ming and Wang, Yi and Fang, Ying",Journal of medical virology,"Acute respiratory disease caused by 2019 novel coronavirus (2019-nCoV) has rapidly spread throughout China. Children and adults show a different clinical course. The purpose of the current study is to comparatively analyze the clinical characteristics of 2019-nCoV infection in children and adults and to explore the possible causes for the discrepancies present. The medical records of 25 adults and 7 children confirmed cases of 2019-2019-nCoV acute respiratory diseases were reviewed retrospectively. All children were family clusters. The total adult patients were differentiated into the local residents of Wuhan, a history of travel to Wuhan and direct contact with people from Wuhan. The numbers were 14 (56%), 10 (40%), and 1 (4%), respectively. The median incubation period of children and adults was 5 days (ranged, 3-12 days) and 4 days (ranged, 2-12 days), respectively. Diarrhoea and/or vomiting (57.1%) were demic by World Health Organiza more common in children, whereas for adults it was myalgia or fatigue (52%). On admission, the percentage of children having pneumonia (5%, 71.4%) was roughly the same as adults (20%, 80%). A total of 20% of adults had leucopoenia, but leukocytosis was more frequently in children (28.6%, P=.014). A higher number of children had elevated creatine kinase isoenzyme (57.1% vs 4%, P=.004). Antiviral therapy was given to all adult patients but to none of the children. In summary, knowledge of these differences between children and adults will not only be helpful for the clinical diagnosis of 2019-nCoV disease, but also for a future discussion on age-specific coronavirus infection.",2020,10.1002/jmv.25835,92,9,1596-1602,eng,1096-9071 0146-6615,"Humans and Female and Male and Adolescent and Adult and Young Adult and Child and Child, Preschool and Infant and Risk Factors and Comorbidity and Disease Management and Symptom Assessment and Environmental Exposure and Clinical Decision-Making and 2019 novel coronavirus and clinical manifestations and comparative analysis and COVID-19/*diagnosis/epidemiology/therapy/*virology and differences between children and adults and laboratory parameters and SARS-CoV-2/*physiology",NA,NA,2020/09//undefined,J Med Virol,NA,NA,NA,NA
Wu_2020_Joofmevi,JOUR,Psychological stress of medical staffs during outbreak of COVID-19 and adjustment strategy,"Wu, Wenzhi and Zhang, Yan and Wang, Pu and Zhang, Li and Wang, Guixiang and Lei, Guanghui and Xiao, Qiang and Cao, Xiaochen and Bian, Yueran and Xie, Simiao and Huang, Fei and Luo, Na and Zhang, Jingyuan and Luo, Mingyan",Journal of medical virology,"COVID-19 has a significant impact on public health and poses a challenge to medical staffs, especially to front-line medical staffs who are exposed to and in direct contact with patients. To understand the psychological stress status of medical staffs during the outbreak of COVID-19, random sample questionnaire survey was conducted among 2110 medical staffs and 2158 college students in all provinces of China through a questionnaire, which was compiled and completed through the Questionnaire Star platform relying on Wechat, QQ, and other social software. The differences in psychological stress status of different groups were compared through the analysis of the questionnaire. Results revealed that in all provinces of China, medical staffs scored significantly higher on all items of psychological stress than college students (P < .001). In Wuhan, medical staffs scored significantly higher than college students in all items of psychological stress (P < .001). While among medical staffs, the group in Wuhan area scored significantly higher than the group outside Wuhan on the following items: ""Thought of being in danger,"" ""The possibility of self-illness,"" ""Worrying about family infection"" (P < .05), ""Poor sleep quality,"" ""Needing psychological guidance,"" and ""Worrying about being infected"" (P < .01) in the Psychological Stress Questionnaire, but on the item ""Confidence in the victory of the epidemic,"" the group in Wuhan area scored significantly lower than the group outside Wuhan (P < .05). The emotion, cognition, physical, and mental response of front-line medical staff showed obvious ""exposure effect"", which calls for a psychological crisis intervention strategy that can be helpful.",2020,10.1002/jmv.25914,92,10,1962-1970,eng,1096-9071 0146-6615,"COVID-19 and Humans and Female and Male and Adolescent and Adult and Young Adult and Cross-Sectional Studies and Surveys and Questionnaires and public health and Disease Outbreaks and COVID-19/*epidemiology/*psychology and China/epidemiology and *Adaptation, Psychological and Anxiety/epidemiology and artificial intelligence technology and Medical Staff/*psychology and medical staffs and psychological stress and Stress, Psychological/*epidemiology",NA,NA,2020/10//undefined,J Med Virol,NA,NA,NA,NA
Sedik_2020_Viru,JOUR,Deploying Machine and Deep Learning Models for Efficient Data-Augmented Detection of COVID-19 Infections,"Sedik, Ahmed and Iliyasu, Abdullah M. and Abd El-Rahiem, Basma and Abdel Samea, Mohammed E. and Abdel-Raheem, Asmaa and Hammad, Mohamed and Peng, Jialiang and Abd El-Samie, Fathi E. and Abd El-Latif, Ahmed A.",Viruses,"This generation faces existential threats because of the global assault of the novel Corona virus 2019 (i.e., COVID-19). With more than thirteen million infected and nearly 600000 fatalities in 188 countries/regions, COVID-19 is the worst calamity since the World War II. These misfortunes are traced to various reasons, including late detection of latent or asymptomatic carriers, migration, and inadequate isolation of infected people. This makes detection, containment, and mitigation global priorities to contain exposure via quarantine, lockdowns, work/stay at home, and social distancing that are focused on ""flattening the curve"". While medical and healthcare givers are at the frontline in the battle against COVID-19, it is a crusade for all of humanity. Meanwhile, machine and deep learning models have been revolutionary across numerous domains and applications whose potency have been exploited to birth numerous state-of-the-art technologies utilised in disease detection, diagnoses, and treatment. Despite these potentials, machine and, particularly, deep learning models are data sensitive, because their effectiveness depends on availability and reliability of data. The unavailability of such data hinders efforts of engineers and computer scientists to fully contribute to the ongoing assault against COVID-19. Faced with a calamity on one side and absence of reliable data on the other, this study presents two data-augmentation models to enhance learnability of the Convolutional Neural Network (CNN) and the Convolutional Long Short-Term Memory (ConvLSTM)-based deep learning models (DADLMs) and, by doing so, boost the accuracy of COVID-19 detection. Experimental results reveal improvement in terms of accuracy of detection, logarithmic loss, and testing time relative to DLMs devoid of such data augmentation. Furthermore, average increases of 4% to 11% in COVID-19 detection accuracy are reported in favour of the proposed data-augmented deep learning models relative to the machine learning techniques. Therefore, the proposed algorithm is effective in performing a rapid and consistent Corona virus diagnosis that is primarily aimed at assisting clinicians in making accurate identification of the virus.",2020,10.3390/v12070769,12,7,NA,eng,1999-4915,"SARS-CoV-2 and deep learning and machine learning and COVID-19 and Humans and Pandemics and ROC Curve and Tomography, X-Ray Computed and CNN and *Machine Learning and *Deep Learning and *Betacoronavirus and Coronavirus Infections/*diagnosis and Pneumonia, Viral/*diagnosis and Corona virus and image processing and LSTM networks",NA,NA,2020/07/16/,Viruses,NA,NA,NA,NA
Chen_2021_Joofmevi,JOUR,"Risk factors for mortality in critically ill patients with COVID-19 in Huanggang, China: A single-center multivariate pattern analysis","Chen, Yinyin and Linli, Zeqiang and Lei, Yuting and Yang, Yiya and Liu, Zhipeng and Xia, Youchun and Liang, Yumei and Zhu, Huabo and Guo, Shuixia",Journal of medical virology,"To date, the coronavirus disease 2019 (COVID-19) has a worldwide distribution. Risk factors for mortality in critically ill patients, especially detailed self-evaluation indicators and laboratory-examination indicators, have not been well described. In this paper, a total of 192 critically ill patients (142 were discharged and 50 died in the hospital) with COVID-19 were included. Self-evaluation indicators including demographics, baseline characteristics, and symptoms and detailed lab-examination indicators were extracted. Data were first compared between survivors and nonsurvivors. Multivariate pattern analysis (MVPA) was performed to identify possible risk factors for mortality of COVID-19 patients. MVPA achieved a relatively high classification accuracy of 93% when using both self-evaluation indicators and laboratory-examination indicators. Several self-evaluation factors related to COVID-19 were highly associated with mortality, including age, duration (time from illness onset to admission), and the Barthel index (BI) score. When the duration, age increased by 1 day, 1 year, BI decreased by 1 point, the mortality increased by 3.6%, 2.4%, and 0.9% respectively. Laboratory-examination indicators including C-reactive protein, white blood cell count, platelet count, fibrin degradation products, oxygenation index, lymphocyte count, and d-dimer were also risk factors. Among them, duration was the strongest predictor of all-cause mortality. Several self-evaluation indicators that can simply be obtained by questionnaires and without clinical examination were the risk factors of all-cause mortality in critically ill COVID-19 patients. The prediction model can be used by individuals to improve health awareness, and by clinicians to identify high-risk individuals.",2021,10.1002/jmv.26572,93,4,2046-2055,eng,1096-9071 0146-6615,"machine learning and China and COVID-19 and Humans and Female and Male and Adult and Middle Aged and Aged and Multivariate Analysis and Risk Factors and Prognosis and Aged, 80 and over and COVID-19/*mortality and Critical Illness/*mortality and risk factor and *Diagnostic Self Evaluation and clinical indicators and self-evaluation",NA,NA,2021/04//undefined,J Med Virol,NA,NA,NA,NA
Huang_2020_Joofmevi,JOUR,The impact of hepatitis B virus infection status on the prevalence of nonalcoholic fatty liver disease: A population-based study,"Huang, Jiaofeng and Jing, Mengli and Wang, Ciyang and Wang, Mingfang and You, Shunjie and Lin, Su and Zhu, Yueyong",Journal of medical virology,"BACKGROUND: We aimed to explore the impact of hepatitis B virus (HBV) infection on the prevalence of nonalcoholic fatty liver disease (NAFLD) based on clinical big data. METHODS: Data were collected from the health examination center of the First Affiliated Hospital of Fujian Medical University. Univariate and multivariate analysis were applied to investigate the relationship between HBV and NAFLD. RESULTS: A total of 14 452 patients were included, with an average age of 43.84 <c2><b1> 13.03 years. Cases of HBV current infection, past infection, and noninfection were 21 102 110 (14.6%), 90 039 003 (62.3%), and 33 393 339 (23.1%), respectively. The prevalence of NAFLD was significantly lower in the current infection group (29.9%) than in the past infection group (35.8%) and noninfection group (31.9%) (P < .001). After adjusting for age, the prevalence of NAFLD in the current infection group remained the lowest across all of the age groups. Multivariate analysis showed that current infection was at a lower risk of NAFLD (odds ratio [OR] = 0.717, 95% CI: 0.608-0.846), whereas past infection had no effect on NAFLD. CONCLUSIONS: Current HBV infection may lower the risk of NAFLD. This effect becomes insignificant when the patient is no longer infected.",2020,10.1002/jmv.25621,92,8,1191-1197,eng,1096-9071 0146-6615,Hepatitis B virus and Humans and Female and Male and Adult and Middle Aged and Cross-Sectional Studies and Prevalence and Odds Ratio and China/epidemiology and hepatitis B e antigen and hepatitis B surface antigen and hepatitis B virus and Hepatitis B/*complications/epidemiology and Non-alcoholic Fatty Liver Disease/*epidemiology/*virology and nonalcoholic fatty liver,NA,NA,2020/08//undefined,J Med Virol,NA,NA,NA,NA
Shang_2013_Joofmevi,JOUR,Predicting the presence of hepatitis B virus surface antigen in Chinese patients by pathology data mining,"Shang, Guifang and Richardson, Alice and Gahan, Michelle E. and Easteal, Simon and Ohms, Stephen and Lidbury, Brett A.",Journal of medical virology,"Hepatitis B virus (HBV) is a pathogen of worldwide health significance, associated with liver disease. A vaccine is available, yet HBV prevalence remains a concern, particularly in developing countries. Pathology laboratories have a primary role in the diagnosis and monitoring of HBV infection, through hepatitis B surface antigen (HBsAg) immunoassay and associated tests. Analysis of HBsAg immunoassay and associated pathology data from 821 Chinese patients applied 10-fold cross-validation to establish classification decision trees (CDTs), with CDT results used subsequently to develop a logistic regression model. The robustness of logistic regression model was confirmed by the Hosmer-Lemeshow test, Pseudo-R(2) and an area under receiver operating characteristic curve (AUROC) result that showed the logistic regression model was capable of accurately discriminating the HBsAg positive from HBsAg negative patients at 95% accuracy. Overall CDT sensitivity and specificity was 94.7% (<c2><b1> 5.0%) and 89.5% (<c2><b1> 5.7%), respectively, close to the sensitivity and specificity of the immunoassay, providing an alternative to predict HBsAg status. Both the CDT and logistic regression modeling demonstrated the importance of the routine pathology variables alanine aminotransferase (ALT), serum albumin (ALB), and alkaline phosphatase (ALP) to accurately predict HBsAg status in a Chinese patient cohort. The study demonstrates that CDTs and a linked logistic regression model applied to routine pathology data were an effective supplement to HBsAg immunoassay, and a possible replacement method where immunoassays are not requested or not easily available for the laboratory diagnosis of HBV infection.",2013,10.1002/jmv.23609,85,8,1334-1339,eng,1096-9071 0146-6615,China and Humans and Sensitivity and Specificity and Data Mining and Artificial Intelligence and *Decision Support Techniques and Alanine Transaminase/*blood and Alkaline Phosphatase/*blood and Hepatitis B Surface Antigens/*blood and Hepatitis B virus/*isolation & purification and Hepatitis B/*diagnosis/pathology/virology and Serum Albumin/*analysis,NA,NA,2013/08//undefined,J Med Virol,NA,NA,NA,NA
Sturkenboom_2020_Vacc,JOUR,"ADVANCE database characterisation and fit for purpose assessment for multi-country studies on the coverage, benefits and risks of pertussis vaccinations","Sturkenboom, Miriam and Braeye, Toon and van der Aa, Lieke and Danieli, Giorgia and Dodd, Caitlin and Duarte-Salles, Talita and Emborg, Hanne-Dorthe and Gheorghe, Marius and Kahlert, Johnny and Gini, Rosa and Huerta-Alvarez, Consuelo and Martin-Merino, Elisa and McGee, Chris and de Lusignan, Simon and Picelli, Gino and Roberto, Giuseppe and Tramontan, Lara and Villa, Marco and Weibel, Daniel and Titievsky, Lina",Vaccine,"INTRODUCTION: The public-private ADVANCE consortium (Accelerated development of vaccine benefit-risk collaboration in Europe) aimed to assess if electronic healthcare databases can provide fit-for purpose data for collaborative, distributed studies and monitoring of vaccine coverage, benefits and risks of vaccines. OBJECTIVE: To evaluate if European healthcare databases can be used to estimate vaccine coverage, benefit and/or risk using pertussis-containing vaccines as an example. METHODS: Characterisation was conducted using open-source Java-based (Jerboa) software and R scripts. We obtained: (i) The general characteristics of the database and data source (meta-data) and (ii) a detailed description of the database population (size, representatively of age/sex of national population, rounding of birth dates, delay between birth and database entry), vaccinations (number of vaccine doses, recording of doses, pattern of doses by age and coverage) and events of interest (diagnosis codes, incidence rates). A total of nine databases (primary care, regional/national record linkage) provided data on events (pertussis, pneumonia, death, fever, convulsions, injection site reactions, hypotonic hypo-responsive episode, persistent crying) and vaccines (acellular pertussis and whole cell pertussis) related to the pertussis proof of concept studies. RESULTS: The databases contained data for a total population of 44 million individuals. Seven databases had recorded doses of vaccines. The pertussis coverage estimates were similar to those reported by the World Health Organisation (WHO). Incidence rates of events were comparable in magnitude and age-distribution between databases with the same characteristics. Several conditions (persistent crying and somnolence) were not captured by the databases for which outcomes were restricted to hospital discharge diagnoses. CONCLUSION: The database characterisation programs and workflows allowed for an efficient, transparent and standardised description and verification of electronic healthcare databases which may participate in pertussis vaccine coverage, benefit and risk studies. This approach is ready to be used for other vaccines/events to create readiness for participation in other vaccine related studies.",2020,10.1016/j.vaccine.2020.01.100,38 Suppl 2,NA,B21-B8,eng,1873-2518 0264-410X,Humans and Infant and Risk Assessment and Vaccination and Big data and Europe and Seizures and *Pertussis Vaccine/therapeutic use and *Whooping Cough/epidemiology/prevention & control and Electronic health data and Fit-for-purpose and Real world evidence and Vaccination Coverage,NA,NA,2020/12/22/,Vaccine,NA,NA,NA,NA
Baker_2020_PLoSpath,JOUR,No more business as usual: Agile and effective responses to emerging pathogen threats require open data and open analytics,"Baker, Dannon and van den Beek, Marius and Blankenberg, Daniel and Bouvier, Dave and Chilton, John and Coraor, Nate and Coppens, Frederik and Eguinoa, Ignacio and Gladman, Simon and Gruning, Bjorn and Keener, Nicholas and Lariviere, Delphine and Lonie, Andrew and Kosakovsky Pond, Sergei and Maier, Wolfgang and Nekrutenko, Anton and Taylor, James and Weaver, Steven",PLoS pathogens,"The current state of much of the Wuhan pneumonia virus (severe acute respiratory syndrome coronavirus 2 [SARS-CoV-2]) research shows a regrettable lack of data sharing and considerable analytical obfuscation. This impedes global research cooperation, which is essential for tackling public health emergencies and requires unimpeded access to data, analysis tools, and computational infrastructure. Here, we show that community efforts in developing open analytical software tools over the past 10 years, combined with national investments into scientific computational infrastructure, can overcome these deficiencies and provide an accessible platform for tackling global health emergencies in an open and transparent manner. Specifically, we use all SARS-CoV-2 genomic data available in the public domain so far to (1) underscore the importance of access to raw data and (2) demonstrate that existing community efforts in curation and deployment of biomedical software can reliably support rapid, reproducible research during global health crises. All our analyses are fully documented at https://github.com/galaxyproject/SARS-CoV-2.",2020,10.1371/journal.ppat.1008643,16,8,e1008643,eng,1553-7374 1553-7366,"SARS-CoV-2 and COVID-19 and Humans and Pandemics and *Public Health and Betacoronavirus/*pathogenicity and Data Analysis and Coronavirus Infections/*virology and Pneumonia, Viral/*virology and Severe Acute Respiratory Syndrome/*virology",NA,NA,2020/08//undefined,PLoS Pathog,NA,NA,NA,NA
Erly_2020_Viru,JOUR,Characterization of Molecular Cluster Detection and Evaluation of Cluster Investigation Criteria Using Machine Learning Methods and Statewide Surveillance Data in Washington State,"Erly, Steven J. and Herbeck, Joshua T. and Kerani, Roxanne P. and Reuer, Jennifer R.",Viruses,"Molecular cluster detection can be used to interrupt HIV transmission but is dependent on identifying clusters where transmission is likely. We characterized molecular cluster detection in Washington State, evaluated the current cluster investigation criteria, and developed a criterion using machine learning. The population living with HIV (PLWH) in Washington State, those with an analyzable genotype sequences, and those in clusters were described across demographic characteristics from 2015 to2018. The relationship between 3- and 12-month cluster growth and demographic, clinical, and temporal predictors were described, and a random forest model was fit using data from 2016 to 2017. The ability of this model to identify clusters with future transmission was compared to Centers for Disease Control and Prevention (CDC) and the Washington state criteria in 2018. The population with a genotype was similar to all PLWH, but people in a cluster were disproportionately white, male, and men who have sex with men. The clusters selected for investigation by the random forest model grew on average 2.3 cases (95% CI 1.1-1.4) in 3 months, which was not significantly larger than the CDC criteria (2.0 cases, 95% CI 0.5-3.4). Disparities in the cases analyzed suggest that molecular cluster detection may not benefit all populations. Jurisdictions should use auxiliary data sources for prediction or continue using established investigation criteria.",2020,10.3390/v12020142,12,2,NA,eng,1999-4915,Humans and Female and Male and Retrospective Studies and Genotype and Supervised Machine Learning and Molecular Epidemiology and Epidemiological Monitoring and disease surveillance and *Cluster Analysis and cluster detection and HIV Infections/*epidemiology/virology and HIV/*genetics and human immunodeficiency virus (HIV) and molecular epidemiology and public health response and sequence analysis and Washington/epidemiology,NA,NA,2020/01/26/,Viruses,NA,NA,NA,NA
Swift_2016_Viru,JOUR,Big Data Offers Novel Insights for Oncolytic Virus Immunotherapy,"Swift, Stephanie L. and Stojdl, David F.",Viruses,"Large-scale assays, such as microarrays, next-generation sequencing and various ""omics"" technologies, have explored multiple aspects of the immune response following virus infection, often from a public health perspective. Yet a lack of similar data exists for monitoring immune engagement during oncolytic virus immunotherapy (OVIT) in the cancer setting. Tracking immune signatures at the tumour site can create a snapshot or longitudinally analyse immune cell activation, infiltration and functionality within global populations or individual cells. Mapping immune changes over the course of oncolytic biotherapy-from initial infection to tumour stabilisation/regression through to long-term cure or escape/relapse-has the potential to generate important therapeutic insights around virus-host interactions. Further, correlating such immune signatures with specific tumour outcomes has significant value for guiding the development of novel oncolytic virus immunotherapy strategies. Here, we provide insights for OVIT from large-scale analyses of immune populations in the infection, vaccination and immunotherapy setting. We analyse several approaches to manipulating immune engagement during OVIT. We further explore immunocentric changes in the tumour tissue following immunotherapy, and compile several immune signatures of therapeutic success. Ultimately, we highlight clinically relevant large-scale approaches with the potential to strengthen future oncolytic strategies to optimally engage the immune system.",2016,10.3390/v8020045,8,2,NA,eng,1999-4915,Humans and Animals and virus and *Immunotherapy/trends and *Oncolytic Virotherapy/trends and immune and immunology and immunotherapy and large-scale and Neoplasms/immunology/*therapy and oncolytic and Oncolytic Viruses/genetics/*physiology and screen,NA,NA,2016/02/05/,Viruses,NA,NA,NA,NA
